ZipCode,county,state,Youth,Adult,Retirement,Geriatric
35005,Jefferson County,AL,NA,NA,62.16179096277984,NA
35007,Shelby County,AL,NA,65.66750629722921,NA,NA
35010,Tallapoosa County,AL,NA,51.586901763224176,NA,8.08383233532934
35016,Marshall County,AL,NA,81.36020151133502,37.38497459140228,18.57863220926568
35020,Jefferson County,AL,NA,NA,85.67504463672573,NA
35022,Jefferson County,AL,NA,NA,NA,4.475260006303183
35023,Jefferson County,AL,NA,64.6095717884131,1.6343908803735752,4.947998739363379
35031,Blount County,AL,NA,84.30730478589422,87.2819667628073,62.8112196659313
35034,Bibb County,AL,NA,NA,89.65801400906469,NA
35040,Shelby County,AL,NA,32.795969773299745,85.52396648811977,84.36810589347621
35045,Chilton County,AL,NA,NA,34.2123334706771,81.57894736842105
35051,Shelby County,AL,NA,NA,57.13500892734514,75.76426095178064
35054,St. Clair County,AL,NA,97.55667506297229,NA,NA
35055,Cullman County,AL,NA,37.858942065491185,NA,60.132366845256854
35057,Cullman County,AL,NA,59.622166246851386,50.11674220574097,69.42956192877404
35058,Cullman County,AL,NA,NA,74.86608982282654,NA
35062,Jefferson County,AL,NA,NA,96.08570251339101,NA
35064,Jefferson County,AL,NA,42.26700251889169,NA,NA
35071,Jefferson County,AL,NA,NA,76.67902760609806,NA
35072,Coosa County,AL,NA,NA,48.99052327976926,NA
35077,Cullman County,AL,NA,NA,30.874879824199976,NA
35079,Blount County,AL,NA,NA,47.562148056585634,74.99212102111566
35080,Shelby County,AL,NA,NA,38.74467792885593,68.121651433974165
35085,Chilton County,AL,NA,NA,88.71034198599094,70.07563819728963
35094,Jefferson County,AL,75,NA,NA,NA
35096,Talladega County,AL,NA,NA,43.66158494712265,NA
35111,Tuscaloosa County,AL,NA,NA,30.05081719544019,NA
35115,Shelby County,AL,NA,NA,27.19406674907293,NA
35120,St. Clair County,AL,NA,42.9471032745592,NA,NA
35121,Blount County,AL,NA,86.64987405541562,NA,NA
35124,Shelby County,AL,NA,NA,9.490454607883532,92.87740308855972
35128,St. Clair County,AL,NA,NA,33.29213020189534,77.60794201071542
35133,Blount County,AL,NA,NA,84.16426315066612,NA
35146,St. Clair County,AL,NA,93.40050377833752,NA,NA
35150,Talladega County,AL,NA,24.483627204030224,NA,NA
35151,Talladega County,AL,NA,82.72040302267003,NA,NA
35160,Talladega County,AL,NA,NA,NA,71.76173967853767
35171,Chilton County,AL,NA,99.29471032745592,NA,NA
35173,Jefferson County,AL,NA,NA,11.34459552259305,70.91080995902931
35175,Marshall County,AL,NA,NA,NA,98.75512133627483
35179,Cullman County,AL,NA,75.8942065491184,95.63246806757314,NA
35180,Jefferson County,AL,NA,52.544080604534,32.88009888751545,NA
35204,Jefferson County,AL,NA,81.56171284634762,NA,30.365584620233214
35205,Jefferson County,AL,NA,NA,98.95618733690426,NA
35206,Jefferson County,AL,NA,74.911838790932,NA,NA
35207,Jefferson County,AL,NA,52.59445843828715,NA,NA
35208,Jefferson County,AL,NA,NA,NA,53.86069965332493
35209,Jefferson County,AL,NA,86.52392947103274,88.93009202032688,NA
35210,Jefferson County,AL,NA,NA,29.80359840681225,NA
35211,Jefferson County,AL,NA,29.345088161209066,68.58947946710616,NA
35212,Jefferson County,AL,NA,62.8463476070529,64.78505699766515,NA
35214,Jefferson County,AL,NA,NA,NA,39.4264103372203
35215,Jefferson County,AL,NA,36.423173803526446,56.214805658563385,82.44563504569807
35216,Jefferson County,AL,NA,68.33753148614609,NA,16.782225023636936
35217,Jefferson County,AL,NA,NA,66.73533855239666,NA
35218,Jefferson County,AL,NA,NA,95.74234308474111,NA
35226,Jefferson County,AL,NA,NA,40.42027194066749,6.019539867633155
35235,Jefferson County,AL,NA,37.90931989924433,80.68946573272902,NA
35242,Shelby County,AL,NA,NA,14.476033511880237,0.8509297195083518
35401,Tuscaloosa County,AL,NA,12.997481108312343,20.3818156846587,19.791994957453515
35404,Tuscaloosa County,AL,NA,60.68010075566751,89.89149842054663,43.01922470847778
35405,Tuscaloosa County,AL,NA,2.9974811083123427,54.539211646751816,15.505830444374407
35406,Tuscaloosa County,AL,NA,NA,15.42370553495399,NA
35453,Tuscaloosa County,AL,NA,37.556675062972296,32.24831753879961,87.03120075638198
35466,Pickens County,AL,NA,77.85894206549119,NA,88.15001575795776
35470,Sumter County,AL,NA,NA,NA,99.1175543649543
35473,Tuscaloosa County,AL,NA,NA,52.3279769262464,35.47116293728333
35476,Tuscaloosa County,AL,NA,NA,NA,99.47998739363378
35501,Walker County,AL,NA,NA,54.291992858123884,NA
35503,Walker County,AL,NA,48.69017632241814,NA,49.7636306334699
35504,Walker County,AL,NA,NA,62.86224419722566,76.75701229120706
35549,Walker County,AL,NA,83.9294710327456,NA,NA
35550,Walker County,AL,NA,97.455919395466,95.89342123334707,NA
35555,Fayette County,AL,NA,NA,85.15313830517786,NA
35563,Marion County,AL,NA,83.32493702770782,86.85620107128142,NA
35565,Winston County,AL,NA,NA,87.98241999725313,NA
35570,Marion County,AL,NA,NA,NA,22.10841474944847
35578,Walker County,AL,NA,NA,84.16426315066612,NA
35579,Walker County,AL,NA,NA,NA,78.1437125748503
35581,Franklin County,AL,NA,94.43324937027707,NA,87.70879294043492
35582,Franklin County,AL,NA,87.22921914357683,NA,NA
35586,Lamar County,AL,NA,NA,83.0792473561324,NA
35592,Lamar County,AL,86.97916666666666,NA,NA,NA
35601,Morgan County,AL,NA,5.743073047858942,1.73053152039555,34.08446265364009
35603,Morgan County,AL,NA,61.96473551637279,7.73245433319599,32.19350772139931
35611,Limestone County,AL,NA,NA,24.323581925559676,NA
35619,Morgan County,AL,NA,94.3073047858942,NA,NA
35622,Morgan County,AL,NA,NA,65.62285400357094,69.42956192877404
35630,Lauderdale County,AL,NA,NA,8.899876390605685,17.822250236369367
35633,Lauderdale County,AL,NA,37.90931989924433,NA,NA
35640,Morgan County,AL,NA,19.042821158690177,9.353110836423568,NA
35645,Lauderdale County,AL,NA,55.4911838790932,NA,74.99212102111566
35650,Lawrence County,AL,NA,NA,NA,44.53198865427041
35653,Franklin County,AL,NA,NA,80.12635626974317,NA
35661,Colbert County,AL,NA,NA,36.65705260266447,NA
35672,Lawrence County,AL,NA,NA,51.46271116604863,NA
35673,Morgan County,AL,NA,NA,63.10946298585359,NA
35674,Colbert County,AL,NA,19.748110831234257,15.89067435791787,NA
35747,Marshall County,AL,NA,77.48110831234257,NA,NA
35749,Madison County,AL,NA,NA,18.719956049993133,97.57327450362433
35750,Madison County,AL,NA,NA,74.57766790276061,NA
35754,Morgan County,AL,NA,NA,NA,86.6057358966278
35757,Madison County,AL,NA,NA,NA,68.84651749133313
35758,Madison County,AL,NA,NA,NA,35.219035612984555
35759,Madison County,AL,NA,NA,68.19118252987228,NA
35761,Madison County,AL,NA,84.88664987405542,73.8360115368768,NA
35768,Jackson County,AL,NA,42.41813602015113,19.365471775854964,35.97541758588087
35769,Jackson County,AL,NA,81.41057934508817,NA,73.54238890639773
35771,Jackson County,AL,NA,95.46599496221663,NA,99.84242042231327
35773,Madison County,AL,NA,NA,27.825848097788764,NA
