ZipCode,county,state,Adult,Retirement
35212,Jefferson County,AL,NA,92.512077294686
35242,Shelby County,AL,43.91534391534391,17.391304347826086
35570,Marion County,AL,NA,58.69565217391305
35802,Madison County,AL,NA,70.53140096618358
36024,Elmore County,AL,NA,98.55072463768117
36037,Butler County,AL,NA,67.3913043478261
36201,Calhoun County,AL,NA,55.072463768115945
36426,Escambia County,AL,NA,66.42512077294685
36545,Clarke County,AL,92.5925925925926,NA
99654,Matanuska-Susitna Borough,AK,NA,48.55072463768116
85021,Maricopa County,AZ,53.96825396825397,NA
85042,Maricopa County,AZ,NA,61.59420289855072
85310,Maricopa County,AZ,NA,79.22705314009661
85614,Pima County,AZ,NA,26.08695652173913
85635,Cochise County,AZ,35.978835978835974,NA
85710,Pima County,AZ,NA,20.048309178743963
86401,Mohave County,AZ,NA,11.352657004830919
86426,Mohave County,AZ,95.76719576719577,NA
71603,Jefferson County,AR,NA,27.77777777777778
71639,Desha County,AR,NA,99.03381642512076
72143,White County,AR,NA,14.251207729468598
72714,Benton County,AR,NA,76.32850241545893
90048,Los Angeles County,CA,NA,65.70048309178745
90301,Los Angeles County,CA,46.56084656084656,NA
90403,Los Angeles County,CA,NA,78.01932367149759
91010,Los Angeles County,CA,NA,68.84057971014492
91402,Los Angeles County,CA,NA,40.57971014492754
91702,Los Angeles County,CA,NA,82.1256038647343
91709,San Bernardino County,CA,NA,31.88405797101449
91730,San Bernardino County,CA,NA,42.7536231884058
92020,San Diego County,CA,NA,10.869565217391305
92117,San Diego County,CA,NA,60.6280193236715
92201,Riverside County,CA,NA,21.256038647342994
92210,Riverside County,CA,99.47089947089947,NA
92284,San Bernardino County,CA,NA,32.850241545893724
92506,Riverside County,CA,NA,81.64251207729468
92649,Orange County,CA,NA,34.78260869565217
93021,Ventura County,CA,NA,54.830917874396135
93274,Tulare County,CA,NA,24.154589371980677
93304,Kern County,CA,82.53968253968253,NA
93535,Los Angeles County,CA,12.16931216931217,NA
93646,Fresno County,CA,NA,95.41062801932367
93706,Fresno County,CA,NA,80.67632850241546
94080,San Mateo County,CA,NA,10.144927536231885
94105,San Francisco County,CA,96.82539682539682,NA
94109,San Francisco County,CA,NA,50.48309178743962
94134,San Francisco County,CA,51.85185185185185,NA
94404,San Mateo County,CA,NA,51.690821256038646
94501,Alameda County,CA,NA,82.85024154589372
94530,Contra Costa County,CA,NA,65.94202898550725
94555,Alameda County,CA,NA,92.9951690821256
94566,Alameda County,CA,NA,44.20289855072464
94603,Alameda County,CA,NA,60.86956521739131
95051,Santa Clara County,CA,60.317460317460316,NA
95111,Santa Clara County,CA,NA,67.6328502415459
95380,Stanislaus County,CA,NA,25.845410628019323
95405,Sonoma County,CA,83.5978835978836,NA
95630,Sacramento County,CA,38.095238095238095,NA
95829,Sacramento County,CA,NA,91.54589371980676
95901,Yuba County,CA,32.27513227513227,NA
80012,Arapahoe County,CO,14.814814814814813,NA
80108,Douglas County,CO,NA,64.00966183574879
80109,Douglas County,CO,NA,71.25603864734299
80239,Denver County,CO,NA,56.038647342995176
80513,Larimer County,CO,84.65608465608466,NA
80525,Larimer County,CO,NA,48.792270531400966
80634,Weld County,CO,NA,3.140096618357488
80918,El Paso County,CO,NA,40.82125603864734
81401,Montrose County,CO,NA,47.10144927536232
06040,Hartford County,CT,12.698412698412698,NA
06405,New Haven County,CT,54.4973544973545,33.33333333333333
06473,New Haven County,CT,NA,37.19806763285024
06483,New Haven County,CT,75.13227513227513,NA
06492,New Haven County,CT,29.100529100529098,NA
06516,New Haven County,CT,NA,7.004830917874397
06790,Litchfield County,CT,NA,3.864734299516908
19703,New Castle County,DE,70.8994708994709,NA
19950,Sussex County,DE,NA,95.16908212560386
32091,Bradford County,FL,NA,48.06763285024155
32163,Sumter County,FL,NA,38.405797101449274
32219,Duval County,FL,NA,73.42995169082126
32257,Duval County,FL,NA,29.227053140096622
32533,Escambia County,FL,NA,25.36231884057971
32534,Escambia County,FL,59.25925925925925,NA
32541,Okaloosa County,FL,NA,44.927536231884055
32563,Santa Rosa County,FL,NA,29.468599033816425
32605,Alachua County,FL,NA,73.67149758454107
32951,Brevard County,FL,NA,89.13043478260869
32958,Indian River County,FL,79.36507936507937,NA
33029,Broward County,FL,NA,69.56521739130434
33033,Miami-Dade County,FL,NA,57.48792270531401
33064,Broward County,FL,NA,22.22222222222222
