ZipCode,county,state,Youth
35769,Jackson County,AL,95.1890034364261
85008,Maricopa County,AZ,15.120274914089347
85040,Maricopa County,AZ,69.41580756013745
85202,Maricopa County,AZ,44.67353951890035
85207,Maricopa County,AZ,42.2680412371134
85256,Maricopa County,AZ,99.3127147766323
85705,Pima County,AZ,16.83848797250859
85756,Pima County,AZ,49.140893470790374
85941,Apache County,AZ,39.51890034364261
90003,Los Angeles County,CA,52.92096219931272
90063,Los Angeles County,CA,65.29209621993127
90201,Los Angeles County,CA,48.10996563573883
90230,Los Angeles County,CA,85.91065292096219
90262,Los Angeles County,CA,32.302405498281786
90277,Los Angeles County,CA,76.97594501718214
90280,Los Angeles County,CA,36.08247422680412
90712,Los Angeles County,CA,80.41237113402062
91741,Los Angeles County,CA,97.9381443298969
91746,Los Angeles County,CA,79.38144329896907
92019,San Diego County,CA,39.51890034364261
92021,San Diego County,CA,34.36426116838488
92129,San Diego County,CA,64.60481099656357
92231,Imperial County,CA,95.87628865979381
92587,Riverside County,CA,94.50171821305841
92647,Orange County,CA,54.29553264604811
92707,Orange County,CA,58.4192439862543
92806,Orange County,CA,70.44673539518901
93003,Ventura County,CA,49.828178694158076
93033,Ventura County,CA,5.841924398625429
93230,Kings County,CA,28.1786941580756
93234,Fresno County,CA,92.78350515463917
93535,Los Angeles County,CA,30.240549828178693
93630,Fresno County,CA,87.2852233676976
93726,Fresno County,CA,41.23711340206185
94546,Alameda County,CA,69.41580756013745
94621,Alameda County,CA,50.85910652920962
95358,Stanislaus County,CA,58.075601374570454
95648,Placer County,CA,75.25773195876289
95661,Placer County,CA,94.15807560137456
95838,Sacramento County,CA,81.09965635738831
95926,Butte County,CA,65.63573883161511
80020,Broomfield County,CO,22.336769759450174
80022,Adams County,CO,18.900343642611684
80229,Adams County,CO,15.807560137457044
06010,Hartford County,CT,11.683848797250858
06067,Hartford County,CT,89.69072164948454
06513,New Haven County,CT,27.835051546391753
06706,New Haven County,CT,86.5979381443299
32065,Clay County,FL,59.106529209621996
32209,Duval County,FL,20.274914089347078
32547,Okaloosa County,FL,73.53951890034365
32707,Seminole County,FL,78.35051546391753
32825,Orange County,FL,35.738831615120276
32832,Orange County,FL,82.13058419243985
33020,Broward County,FL,67.69759450171821
33178,Miami-Dade County,FL,57.388316151202744
33184,Miami-Dade County,FL,74.22680412371135
33415,Palm Beach County,FL,61.16838487972509
33510,Hillsborough County,FL,81.44329896907216
33578,Hillsborough County,FL,81.78694158075601
33610,Hillsborough County,FL,17.18213058419244
33619,Hillsborough County,FL,75.60137457044674
34655,Pasco County,FL,31.958762886597935
34758,Osceola County,FL,34.707903780068726
34759,Polk County,FL,12.027491408934708
34972,Okeechobee County,FL,90.03436426116839
30025,Walton County,GA,91.40893470790378
30044,Gwinnett County,GA,26.11683848797251
30132,Paulding County,GA,45.70446735395189
30168,Cobb County,GA,58.76288659793815
30329,DeKalb County,GA,86.94158075601375
30809,Columbia County,GA,38.48797250859107
39845,Seminole County,GA,94.50171821305841
96793,Maui County,HI,87.2852233676976
83401,Bonneville County,ID,10.652920962199312
60030,Lake County,IL,47.766323024054984
60085,Lake County,IL,43.6426116838488
60177,Kane County,IL,85.56701030927834
60559,DuPage County,IL,37.80068728522337
60563,DuPage County,IL,55.670103092783506
60565,DuPage County,IL,28.52233676975945
60610,Cook County,IL,97.2508591065292
60616,Cook County,IL,38.144329896907216
60914,Kankakee County,IL,50.51546391752577
62526,Macon County,IL,39.175257731958766
46176,Shelby County,IN,56.70103092783505
46205,Marion County,IN,87.97250859106529
46268,Marion County,IN,83.16151202749141
46320,Lake County,IN,64.26116838487972
46514,Elkhart County,IN,70.10309278350515
46825,Allen County,IN,13.402061855670103
47670,Gibson County,IN,91.40893470790378
47905,Tippecanoe County,IN,70.44673539518901
47933,Montgomery County,IN,54.98281786941581
50158,Marshall County,IA,49.140893470790374
50317,Polk County,IA,36.769759450171826
50401,Cerro Gordo County,IA,6.529209621993128
52302,Linn County,IA,62.88659793814433
66111,Wyandotte County,KS,99.65635738831615
67880,Grant County,KS,90.72164948453609
70058,Jefferson Parish,LA,1.3745704467353952
70392,St. Mary Parish,LA,60.48109965635739
70460,St. Tammany Parish,LA,21.649484536082475
70506,Lafayette Parish,LA,16.49484536082474
70726,Livingston Parish,LA,3.0927835051546393
70737,Ascension Parish,LA,5.498281786941581
71037,Bossier Parish,LA,71.1340206185567
71109,Caddo Parish,LA,14.432989690721648
20723,Howard County,MD,77.31958762886599
21009,Harford County,MD,83.50515463917526
21502,Allegany County,MD,78.69415807560138
01108,Hampden County,MA,1.718213058419244
01516,Worcester County,MA,84.19243986254295
01843,Essex County,MA,9.965635738831615
01845,Essex County,MA,46.04810996563574
01960,Essex County,MA,10.309278350515463
02119,Suffolk County,MA,8.59106529209622
02136,Suffolk County,MA,13.058419243986256
02139,Middlesex County,MA,15.807560137457044
02151,Suffolk County,MA,3.436426116838488
02301,Plymouth County,MA,0.3436426116838488
48030,Oakland County,MI,48.45360824742268
48066,Macomb County,MI,21.993127147766323
48198,Washtenaw County,MI,27.147766323024054
48205,Wayne County,MI,8.934707903780069
48207,Wayne County,MI,23.367697594501717
48228,Wayne County,MI,4.4673539518900345
48336,Oakland County,MI,48.797250859106526
48430,Genesee County,MI,50.171821305841924
48444,Lapeer County,MI,77.31958762886599
48503,Genesee County,MI,51.20274914089347
48602,Saginaw County,MI,7.903780068728522
48842,Ingham County,MI,40.20618556701031
48843,Livingston County,MI,6.185567010309279
48917,Eaton County,MI,20.618556701030926
49009,Kalamazoo County,MI,68.38487972508591
49329,Montcalm County,MI,82.81786941580756
49412,Newaygo County,MI,73.8831615120275
49508,Kent County,MI,8.24742268041237
49509,Kent County,MI,35.051546391752574
49913,Houghton County,MI,74.91408934707904
55106,Ramsey County,MN,25.085910652920962
55112,Ramsey County,MN,78.00687285223368
55113,Ramsey County,MN,25.773195876288657
55343,Hennepin County,MN,53.264604810996566
55362,Wright County,MN,67.35395189003437
55404,Hennepin County,MN,12.371134020618557
55805,St. Louis County,MN,65.97938144329896
55975,Fillmore County,MN,98.62542955326461
56431,Aitkin County,MN,61.512027491408936
38666,Panola County,MS,96.90721649484536
63113,St. Louis city,MO,72.5085910652921
63304,St. Charles County,MO,60.824742268041234
63501,Adair County,MO,90.72164948453609
64050,Jackson County,MO,18.556701030927837
64117,Clay County,MO,45.017182130584196
64123,Jackson County,MO,66.66666666666666
64130,Jackson County,MO,19.243986254295535
68138,Sarpy County,NE,93.47079037800687
89108,Clark County,NV,26.11683848797251
89128,Clark County,NV,83.8487972508591
89509,Washoe County,NV,64.94845360824742
07102,Essex County,NJ,72.85223367697594
07103,Essex County,NJ,32.64604810996563
07104,Essex County,NJ,6.872852233676976
07719,Monmouth County,NJ,84.19243986254295
07753,Monmouth County,NJ,29.20962199312715
08611,Mercer County,NJ,21.305841924398624
87401,San Juan County,NM,45.017182130584196
88021,Doa Ana County,NM,80.06872852233677
10314,Richmond County,NY,19.587628865979383
10452,Bronx County,NY,4.810996563573884
10458,Bronx County,NY,2.7491408934707904
10466,Bronx County,NY,17.869415807560138
10468,Bronx County,NY,7.216494845360824
11219,Kings County,NY,41.92439862542955
11220,Kings County,NY,0.6872852233676976
