fips,county,state,Under18,Over18
01005,Barbour County,AL,NA,82.74231678486997
01015,Calhoun County,AL,NA,61.702127659574465
01047,Dallas County,AL,NA,58.274231678487
01055,Etowah County,AL,NA,16.666666666666664
01073,Jefferson County,AL,NA,52.00945626477541
01077,Lauderdale County,AL,NA,39.83451536643026
01083,Limestone County,AL,NA,33.56973995271868
01089,Madison County,AL,NA,10.99290780141844
01097,Mobile County,AL,NA,14.30260047281324
01113,Russell County,AL,NA,83.80614657210403
01121,Talladega County,AL,64.70588235294117,NA
01123,Tallapoosa County,AL,NA,63.00236406619385
01125,Tuscaloosa County,AL,NA,4.491725768321513
02020,Anchorage Municipality,AK,NA,90.66193853427896
02050,Bethel Census Area,AK,NA,99.76359338061465
02122,Kenai Peninsula Borough,AK,NA,80.6146572104019
02130,Ketchikan Gateway Borough,AK,NA,94.79905437352247
02220,Sitka City and Borough,AK,NA,99.05437352245863
04001,Apache County,AZ,NA,98.22695035460993
04003,Cochise County,AZ,NA,19.38534278959811
04005,Coconino County,AZ,NA,81.56028368794325
04013,Maricopa County,AZ,46.63865546218487,50.23640661938534
04015,Mohave County,AZ,NA,15.130023640661939
04017,Navajo County,AZ,77.73109243697479,92.90780141843972
04019,Pima County,AZ,NA,21.98581560283688
04021,Pinal County,AZ,29.411764705882355,27.77777777777778
04025,Yavapai County,AZ,NA,16.430260047281322
05007,Benton County,AR,NA,15.721040189125295
05047,Franklin County,AR,NA,94.2080378250591
05053,Grant County,AR,NA,96.09929078014184
05119,Pulaski County,AR,NA,36.17021276595745
05125,Saline County,AR,NA,30.851063829787233
05131,Sebastian County,AR,NA,34.515366430260045
05143,Washington County,AR,NA,25.295508274231675
05145,White County,AR,NA,31.44208037825059
06001,Alameda County,CA,NA,55.910165484633566
06007,Butte County,CA,45.378151260504204,28.841607565011824
06013,Contra Costa County,CA,NA,25.177304964539005
06017,El Dorado County,CA,NA,60.7565011820331
06019,Fresno County,CA,NA,21.631205673758867
06029,Kern County,CA,48.319327731092436,7.446808510638298
06031,Kings County,CA,NA,43.14420803782506
06033,Lake County,CA,NA,68.32151300236407
06037,Los Angeles County,CA,1.2605042016806722,27.659574468085108
06039,Madera County,CA,NA,30.969267139479907
06041,Marin County,CA,NA,32.860520094562645
06053,Monterey County,CA,NA,57.09219858156028
06055,Napa County,CA,NA,23.995271867612296
06057,Nevada County,CA,NA,35.57919621749409
06059,Orange County,CA,10.504201680672269,0.4728132387706856
06061,Placer County,CA,NA,21.15839243498818
06065,Riverside County,CA,NA,18.321513002364064
06067,Sacramento County,CA,13.025210084033615,62.76595744680851
06071,San Bernardino County,CA,1.680672268907563,5.08274231678487
06073,San Diego County,CA,15.966386554621847,22.576832151300234
06075,San Francisco County,CA,31.512605042016805,75.76832151300236
06077,San Joaquin County,CA,22.268907563025213,34.751773049645394
06079,San Luis Obispo County,CA,56.72268907563025,9.101654846335698
06081,San Mateo County,CA,35.714285714285715,67.37588652482269
06083,Santa Barbara County,CA,36.97478991596639,53.42789598108747
06085,Santa Clara County,CA,15.546218487394958,70.80378250591016
