fips,county,state,Under18
01001,Autauga County,AL,NA
01003,Baldwin County,AL,6.41025641025641
01005,Barbour County,AL,NA
01007,Bibb County,AL,NA
01009,Blount County,AL,NA
01011,Bullock County,AL,NA
01013,Butler County,AL,NA
01015,Calhoun County,AL,67.82051282051282
01017,Chambers County,AL,NA
01019,Cherokee County,AL,NA
01021,Chilton County,AL,NA
01025,Clarke County,AL,NA
01027,Clay County,AL,NA
01029,Cleburne County,AL,NA
01031,Coffee County,AL,77.05128205128206
01033,Colbert County,AL,NA
01035,Conecuh County,AL,NA
01037,Coosa County,AL,NA
01039,Covington County,AL,NA
01041,Crenshaw County,AL,NA
01043,Cullman County,AL,19.871794871794872
01045,Dale County,AL,NA
01047,Dallas County,AL,NA
01049,DeKalb County,AL,NA
01051,Elmore County,AL,NA
01053,Escambia County,AL,86.7948717948718
01055,Etowah County,AL,21.666666666666668
01057,Fayette County,AL,NA
01059,Franklin County,AL,NA
01061,Geneva County,AL,91.66666666666666
01063,Greene County,AL,NA
01065,Hale County,AL,NA
01067,Henry County,AL,NA
01069,Houston County,AL,87.56410256410257
01071,Jackson County,AL,53.46153846153846
01073,Jefferson County,AL,17.307692307692307
01075,Lamar County,AL,NA
01077,Lauderdale County,AL,22.82051282051282
01079,Lawrence County,AL,NA
01081,Lee County,AL,13.846153846153847
01083,Limestone County,AL,73.71794871794873
01085,Lowndes County,AL,NA
01087,Macon County,AL,NA
01089,Madison County,AL,55.38461538461539
01091,Marengo County,AL,NA
01093,Marion County,AL,NA
01095,Marshall County,AL,NA
01097,Mobile County,AL,56.794871794871796
01099,Monroe County,AL,NA
01101,Montgomery County,AL,63.84615384615384
01103,Morgan County,AL,NA
01105,Perry County,AL,NA
01107,Pickens County,AL,NA
01109,Pike County,AL,76.92307692307693
01111,Randolph County,AL,NA
01113,Russell County,AL,NA
01115,St. Clair County,AL,NA
01117,Shelby County,AL,18.205128205128204
01119,Sumter County,AL,NA
01121,Talladega County,AL,NA
01123,Tallapoosa County,AL,NA
01125,Tuscaloosa County,AL,NA
01127,Walker County,AL,37.94871794871795
01129,Washington County,AL,NA
01131,Wilcox County,AL,NA
01133,Winston County,AL,NA
02020,Anchorage Municipality,AK,58.58974358974359
02050,Bethel Census Area,AK,NA
02070,Dillingham Census Area,AK,91.28205128205128
02090,Fairbanks North Star Borough,AK,NA
02110,Juneau City and Borough,AK,NA
02122,Kenai Peninsula Borough,AK,34.35897435897436
02130,Ketchikan Gateway Borough,AK,NA
02150,Kodiak Island Borough,AK,NA
02170,Matanuska-Susitna Borough,AK,17.564102564102562
02180,Nome Census Area,AK,NA
02220,Sitka City and Borough,AK,NA
02240,Southeast Fairbanks Census Area,AK,NA
02261,Valdez-Cordova Census Area,AK,NA
02270,Wade Hampton Census Area,AK,NA
04001,Apache County,AZ,71.92307692307692
04003,Cochise County,AZ,20.64102564102564
04005,Coconino County,AZ,84.35897435897436
04007,Gila County,AZ,32.30769230769231
04009,Graham County,AZ,34.1025641025641
04012,La Paz County,AZ,NA
04013,Maricopa County,AZ,11.282051282051283
04015,Mohave County,AZ,NA
04017,Navajo County,AZ,16.41025641025641
04019,Pima County,AZ,43.97435897435897
04021,Pinal County,AZ,9.615384615384617
04023,Santa Cruz County,AZ,NA
04025,Yavapai County,AZ,82.05128205128204
04027,Yuma County,AZ,NA
05001,Arkansas County,AR,NA
05003,Ashley County,AR,NA
05005,Baxter County,AR,NA
05007,Benton County,AR,NA
05009,Boone County,AR,NA
05011,Bradley County,AR,NA
05015,Carroll County,AR,NA
05017,Chicot County,AR,NA
05019,Clark County,AR,NA
05021,Clay County,AR,NA
05023,Cleburne County,AR,NA
05025,Cleveland County,AR,NA
05027,Columbia County,AR,NA
05029,Conway County,AR,NA
05031,Craighead County,AR,NA
05033,Crawford County,AR,NA
05035,Crittenden County,AR,NA
05037,Cross County,AR,NA
05039,Dallas County,AR,NA
05041,Desha County,AR,NA
05043,Drew County,AR,NA
05045,Faulkner County,AR,NA
05047,Franklin County,AR,NA
05049,Fulton County,AR,NA
05051,Garland County,AR,NA
05053,Grant County,AR,NA
05055,Greene County,AR,NA
05057,Hempstead County,AR,NA
05059,Hot Spring County,AR,NA
05061,Howard County,AR,NA
05063,Independence County,AR,NA
05067,Jackson County,AR,NA
05069,Jefferson County,AR,NA
05071,Johnson County,AR,NA
05075,Lawrence County,AR,NA
05077,Lee County,AR,NA
05079,Lincoln County,AR,NA
05081,Little River County,AR,NA
05083,Logan County,AR,NA
05085,Lonoke County,AR,NA
05087,Madison County,AR,NA
05089,Marion County,AR,NA
05091,Miller County,AR,NA
05093,Mississippi County,AR,NA
05095,Monroe County,AR,NA
05097,Montgomery County,AR,NA
05099,Nevada County,AR,NA
05103,Ouachita County,AR,NA
05105,Perry County,AR,NA
05107,Phillips County,AR,NA
05109,Pike County,AR,NA
05111,Poinsett County,AR,NA
05113,Polk County,AR,NA
05115,Pope County,AR,NA
05119,Pulaski County,AR,NA
05121,Randolph County,AR,NA
05123,St. Francis County,AR,NA
05125,Saline County,AR,NA
05127,Scott County,AR,NA
05129,Searcy County,AR,NA
05131,Sebastian County,AR,NA
05133,Sevier County,AR,NA
05135,Sharp County,AR,NA
05137,Stone County,AR,NA
05139,Union County,AR,NA
05141,Van Buren County,AR,NA
05143,Washington County,AR,NA
05145,White County,AR,NA
05149,Yell County,AR,NA
06001,Alameda County,CA,15.128205128205128
06005,Amador County,CA,NA
06007,Butte County,CA,1.4102564102564104
06009,Calaveras County,CA,NA
06011,Colusa County,CA,NA
06013,Contra Costa County,CA,63.46153846153846
06015,Del Norte County,CA,NA
06017,El Dorado County,CA,15.256410256410257
06019,Fresno County,CA,9.35897435897436
06021,Glenn County,CA,77.56410256410257
06023,Humboldt County,CA,NA
06025,Imperial County,CA,5.128205128205128
06027,Inyo County,CA,NA
06029,Kern County,CA,9.871794871794872
06031,Kings County,CA,NA
06033,Lake County,CA,35.76923076923077
06035,Lassen County,CA,NA
06037,Los Angeles County,CA,19.48717948717949
06039,Madera County,CA,NA
06041,Marin County,CA,79.35897435897435
06043,Mariposa County,CA,NA
06045,Mendocino County,CA,NA
06047,Merced County,CA,7.435897435897436
06049,Modoc County,CA,NA
06051,Mono County,CA,NA
06053,Monterey County,CA,2.051282051282051
06055,Napa County,CA,NA
06057,Nevada County,CA,NA
06059,Orange County,CA,1.9230769230769231
06061,Placer County,CA,26.02564102564103
06063,Plumas County,CA,NA
06065,Riverside County,CA,4.102564102564102
06067,Sacramento County,CA,30.512820512820515
06069,San Benito County,CA,NA
06071,San Bernardino County,CA,45.64102564102564
06073,San Diego County,CA,33.97435897435898
06075,San Francisco County,CA,25.51282051282051
06077,San Joaquin County,CA,0.1282051282051282
06079,San Luis Obispo County,CA,NA
06081,San Mateo County,CA,69.87179487179486
06083,Santa Barbara County,CA,28.846153846153843
06085,Santa Clara County,CA,10.128205128205128
06087,Santa Cruz County,CA,19.743589743589745
06089,Shasta County,CA,NA
06093,Siskiyou County,CA,NA
06095,Solano County,CA,59.743589743589745
06097,Sonoma County,CA,3.717948717948718
06099,Stanislaus County,CA,3.4615384615384617
06101,Sutter County,CA,NA
06103,Tehama County,CA,NA
06105,Trinity County,CA,NA
06107,Tulare County,CA,47.69230769230769
06109,Tuolumne County,CA,NA
06111,Ventura County,CA,68.33333333333333
06113,Yolo County,CA,42.82051282051282
06115,Yuba County,CA,NA
08001,Adams County,CO,25.8974358974359
08003,Alamosa County,CO,98.07692307692307
08005,Arapahoe County,CO,50.51282051282051
08007,Archuleta County,CO,NA
08011,Bent County,CO,NA
08013,Boulder County,CO,70.51282051282051
08014,Broomfield County,CO,NA
08015,Chaffee County,CO,NA
08021,Conejos County,CO,NA
08027,Custer County,CO,NA
08029,Delta County,CO,NA
08031,Denver County,CO,14.23076923076923
08035,Douglas County,CO,74.23076923076923
08037,Eagle County,CO,NA
08039,Elbert County,CO,NA
08041,El Paso County,CO,44.743589743589745
08043,Fremont County,CO,NA
08045,Garfield County,CO,30.128205128205128
08051,Gunnison County,CO,NA
08055,Huerfano County,CO,NA
08059,Jefferson County,CO,22.564102564102566
