ZipCode,county,state,Adult,Retirement
35062,Jefferson County,AL,NA,88.67924528301887
35068,Jefferson County,AL,NA,91.98113207547169
35077,Cullman County,AL,NA,74.52830188679245
35120,St. Clair County,AL,60.24759284731774,NA
35125,St. Clair County,AL,56.808803301237965,NA
35565,Winston County,AL,68.91334250343878,NA
35592,Lamar County,AL,91.88445667125173,NA
35816,Madison County,AL,NA,75
35950,Marshall County,AL,NA,59.905660377358494
35959,Cherokee County,AL,93.53507565337001,NA
35967,DeKalb County,AL,63.411279229711134,NA
36507,Baldwin County,AL,69.60110041265474,NA
36522,Mobile County,AL,85.69463548830811,NA
36703,Dallas County,AL,NA,62.264150943396224
99654,Matanuska-Susitna Borough,AK,37.27647867950481,NA
99835,Sitka City and Borough,AK,59.83493810178817,NA
85020,Maricopa County,AZ,40.44016506189821,NA
85022,Maricopa County,AZ,21.73314993122421,NA
85033,Maricopa County,AZ,17.881705639614857,NA
85044,Maricopa County,AZ,51.031636863823934,NA
85051,Maricopa County,AZ,15.680880330123797,NA
85138,Pinal County,AZ,NA,73.58490566037736
85248,Maricopa County,AZ,NA,33.0188679245283
85301,Maricopa County,AZ,5.364511691884457,NA
85302,Maricopa County,AZ,27.51031636863824,NA
85303,Maricopa County,AZ,76.75378266850069,NA
85344,La Paz County,AZ,40.30261348005502,NA
85345,Maricopa County,AZ,13.480055020632737,NA
85379,Maricopa County,AZ,31.361760660247594,NA
85388,Maricopa County,AZ,66.16231086657497,NA
85621,Santa Cruz County,AZ,46.76753782668501,NA
85648,Santa Cruz County,AZ,51.44429160935351,NA
85713,Pima County,AZ,8.528198074277855,NA
85716,Pima County,AZ,19.80742778541953,29.245283018867923
85718,Pima County,AZ,58.18431911966988,NA
85742,Pima County,AZ,NA,54.71698113207547
85748,Pima County,AZ,79.36726272352132,NA
86004,Coconino County,AZ,8.253094910591471,NA
86326,Yavapai County,AZ,26.13480055020633,NA
86327,Yavapai County,AZ,89.82118294360384,NA
86426,Mohave County,AZ,77.44154057771664,NA
86503,Apache County,AZ,65.74965612104539,NA
86538,Apache County,AZ,89.54607977991746,NA
71753,Columbia County,AR,64.0990371389271,NA
71913,Garland County,AR,NA,27.358490566037734
72117,Pulaski County,AR,52.54470426409904,NA
72360,Lee County,AR,97.24896836313619,NA
72450,Greene County,AR,NA,26.41509433962264
72601,Boone County,AR,54.33287482806052,NA
72901,Sebastian County,AR,52.81980742778541,NA
90002,Los Angeles County,CA,NA,64.62264150943396
90003,Los Angeles County,CA,37.13892709766162,NA
90038,Los Angeles County,CA,74.82806052269602,NA
90047,Los Angeles County,CA,17.05639614855571,NA
90057,Los Angeles County,CA,41.403026134800555,NA
90063,Los Angeles County,CA,50.61898211829436,NA
90254,Los Angeles County,CA,81.01788170563961,NA
90277,Los Angeles County,CA,52.68225584594223,NA
90701,Los Angeles County,CA,87.89546079779917,NA
90706,Los Angeles County,CA,26.960110041265473,NA
90731,Los Angeles County,CA,62.72352132049519,NA
90745,Los Angeles County,CA,NA,34.43396226415094
90805,Los Angeles County,CA,19.669876203576344,NA
91205,Los Angeles County,CA,NA,55.660377358490564
91321,Los Angeles County,CA,67.95048143053644,NA
91340,Los Angeles County,CA,62.86107290233838,NA
91730,San Bernardino County,CA,21.458046767537827,NA
91790,Los Angeles County,CA,51.5818431911967,NA
91910,San Diego County,CA,27.235213204951858,NA
92025,San Diego County,CA,NA,56.60377358490566
92026,San Diego County,CA,NA,52.358490566037744
92108,San Diego County,CA,83.21870701513068,NA
92120,San Diego County,CA,NA,76.88679245283019
92301,San Bernardino County,CA,35.488308115543326,NA
92345,San Bernardino County,CA,11.279229711141678,NA
92404,San Bernardino County,CA,18.982118294360383,NA
92405,San Bernardino County,CA,NA,84.43396226415094
92410,San Bernardino County,CA,NA,73.11320754716981
92539,Riverside County,CA,NA,94.81132075471697
92570,Riverside County,CA,NA,49.056603773584904
92646,Orange County,CA,NA,7.547169811320755
92663,Orange County,CA,77.02888583218707,NA
92683,Orange County,CA,18.707015130674005,NA
92805,Orange County,CA,27.92297111416781,NA
92844,Orange County,CA,87.34525447042641,NA
92860,Riverside County,CA,70.42640990371389,NA
92880,Riverside County,CA,24.484181568088033,NA
93063,Ventura County,CA,36.31361760660248,NA
93065,Ventura County,CA,NA,19.339622641509436
93274,Tulare County,CA,NA,17.452830188679243
93291,Tulare County,CA,22.97111416781293,NA
93422,San Luis Obispo County,CA,48.005502063273724,NA
93442,San Luis Obispo County,CA,80.46767537826685,NA
93444,San Luis Obispo County,CA,59.422283356258596,NA
93446,San Luis Obispo County,CA,59.55983493810179,NA
93534,Los Angeles County,CA,38.239339752407155,NA
93720,Fresno County,CA,NA,26.88679245283019
93905,Monterey County,CA,39.88995873452545,NA
94536,Alameda County,CA,NA,23.58490566037736
94544,Alameda County,CA,20.082530949105916,NA
94551,Alameda County,CA,75.51581843191197,NA
94563,Contra Costa County,CA,83.90646492434664,NA
94565,Contra Costa County,CA,24.071526822558457,NA
95118,Santa Clara County,CA,61.760660247592845,NA
95301,Merced County,CA,47.45529573590097,NA
95336,San Joaquin County,CA,30.81155433287483,NA
95355,Stanislaus County,CA,9.903713892709765,NA
95382,Stanislaus County,CA,26.409903713892707,NA
95492,Sonoma County,CA,62.035763411279234,NA
95603,Placer County,CA,66.57496561210453,NA
95628,Sacramento County,CA,NA,42.45283018867924
95655,Sacramento County,CA,NA,99.52830188679245
95825,Sacramento County,CA,89.95873452544704,NA
95826,Sacramento County,CA,NA,57.54716981132076
95841,Sacramento County,CA,NA,87.73584905660378
95926,Butte County,CA,35.763411279229715,NA
95969,Butte County,CA,32.04951856946355,NA
95991,Sutter County,CA,61.34800550206327,NA
96022,Tehama County,CA,78.1292984869326,NA
96080,Tehama County,CA,44.42916093535076,NA
80011,Arapahoe County,CO,9.353507565337003,NA
80013,Arapahoe County,CO,11.004126547455295,NA
80014,Arapahoe County,CO,32.599724896836314,NA
80015,Arapahoe County,CO,NA,21.69811320754717
80016,Arapahoe County,CO,55.29573590096286,NA
80026,Boulder County,CO,60.79779917469052,NA
80102,Adams County,CO,NA,98.11320754716981
80130,Douglas County,CO,74.82806052269602,NA
80219,Denver County,CO,5.639614855570839,NA
80227,Jefferson County,CO,57.35900962861072,NA
80229,Adams County,CO,15.543328748280604,NA
80521,Larimer County,CO,67.81292984869326,NA
80538,Larimer County,CO,13.067400275103164,NA
80601,Adams County,CO,35.35075653370014,NA
80634,Weld County,CO,3.3012379642365883,NA
80922,El Paso County,CO,55.57083906464925,NA
81050,Otero County,CO,71.52682255845943,NA
81132,Rio Grande County,CO,99.17469050894086,NA
81240,Fremont County,CO,NA,96.22641509433963
81301,La Plata County,CO,54.60797799174691,44.339622641509436
81321,Montezuma County,CO,65.74965612104539,NA
81504,Mesa County,CO,31.49931224209078,NA
81521,Mesa County,CO,68.36313617606602,NA
81632,Eagle County,CO,NA,90.56603773584906
06010,Hartford County,CT,2.7510316368638237,NA
06037,Hartford County,CT,71.52682255845943,NA
06057,Litchfield County,CT,NA,91.50943396226415
06067,Hartford County,CT,67.67537826685007,NA
06082,Hartford County,CT,20.495185694635488,NA
06098,Litchfield County,CT,48.4181568088033,NA
06105,Hartford County,CT,23.93397524071527,NA
06451,New Haven County,CT,NA,40.56603773584906
06475,Middlesex County,CT,NA,61.32075471698113
06810,Fairfield County,CT,16.91884456671252,NA
19802,New Castle County,DE,15.818431911966988,NA
32024,Columbia County,FL,NA,45.28301886792453
32068,Clay County,FL,NA,10.849056603773585
32169,Volusia County,FL,NA,65.56603773584906
32225,Duval County,FL,30.12379642365887,NA
32259,St. Johns County,FL,45.94222833562586,NA
32446,Jackson County,FL,63.13617606602476,NA
32507,Escambia County,FL,39.88995873452545,NA
32641,Alachua County,FL,27.372764786795052,NA
32656,Clay County,FL,69.18844566712518,NA
32725,Volusia County,FL,36.86382393397524,NA
32750,Seminole County,FL,66.02475928473177,NA
32771,Seminole County,FL,18.15680880330124,NA
32822,Orange County,FL,20.77028885832187,NA
32926,Brevard County,FL,71.25171939477303,NA
33010,Miami-Dade County,FL,64.2365887207703,NA
33042,Monroe County,FL,92.57221458046767,NA
33064,Broward County,FL,40.16506189821183,NA
33145,Miami-Dade County,FL,NA,82.54716981132076
33155,Miami-Dade County,FL,NA,35.37735849056604
33157,Miami-Dade County,FL,NA,22.169811320754718
33168,Miami-Dade County,FL,68.6382393397524,NA
33169,Miami-Dade County,FL,43.7414030261348,NA
33177,Miami-Dade County,FL,45.667125171939475,NA
33189,Miami-Dade County,FL,85.14442916093536,NA
33196,Miami-Dade County,FL,63.68638239339752,NA
33311,Broward County,FL,NA,20.754716981132077
33404,Palm Beach County,FL,39.61485557083906,NA
33603,Hillsborough County,FL,60.11004126547456,NA
33613,Hillsborough County,FL,43.328748280605225,NA
33615,Hillsborough County,FL,NA,35.84905660377358
33713,Pinellas County,FL,53.507565337001374,NA
33801,Polk County,FL,25.722145804676757,NA
33810,Polk County,FL,28.61072902338377,NA
33853,Polk County,FL,64.64924346629986,NA
33870,Highlands County,FL,30.39889958734526,NA
33990,Lee County,FL,NA,41.9811320754717
34116,Collier County,FL,48.693259972489685,NA
34429,Citrus County,FL,96.42365887207703,NA
34488,Marion County,FL,NA,80.18867924528303
34613,Hernando County,FL,72.07702888583218,NA
34761,Orange County,FL,NA,43.86792452830189
34772,Osceola County,FL,65.61210453920219,NA
34947,St. Lucie County,FL,53.232462173315,NA
34952,St. Lucie County,FL,NA,9.433962264150944
34974,Okeechobee County,FL,53.782668500687755,NA
30038,DeKalb County,GA,44.29160935350757,NA
30052,Walton County,GA,NA,8.962264150943396
30263,Coweta County,GA,NA,13.20754716981132
30417,Evans County,GA,78.54195323246216,NA
30808,McDuffie County,GA,97.11141678129297,NA
31405,Chatham County,GA,NA,41.0377358490566
31411,Chatham County,GA,99.86244841815682,NA
31701,Dougherty County,GA,46.49243466299862,NA
31773,Thomas County,GA,NA,95.28301886792453
39819,Decatur County,GA,77.57909215955983,NA
96707,Honolulu County,HI,37.41403026134801,NA
96720,Hawaii County,HI,35.213204951856945,NA
96734,Honolulu County,HI,39.47730398899587,NA
96738,Hawaii County,HI,93.25997248968363,NA
96744,Honolulu County,HI,21.73314993122421,NA
96778,Hawaii County,HI,NA,70.28301886792453
96816,Honolulu County,HI,33.97524071526822,NA
83440,Madison County,ID,86.79504814305365,NA
83705,Ada County,ID,NA,14.622641509433961
60013,McHenry County,IL,NA,38.67924528301887
60046,Lake County,IL,41.26547455295736,NA
60053,Cook County,IL,NA,37.264150943396224
60073,Lake County,IL,17.606602475928472,NA
60098,McHenry County,IL,32.737276478679505,NA
60126,DuPage County,IL,11.141678129298487,NA
60137,DuPage County,IL,NA,32.54716981132076
60156,McHenry County,IL,NA,60.84905660377359
60174,Kane County,IL,NA,40.09433962264151
60193,Cook County,IL,41.81568088033013,NA
60403,Will County,IL,59.697386519944985,NA
60441,Will County,IL,25.30949105914718,NA
60445,Cook County,IL,55.84594222833562,NA
60462,Cook County,IL,28.473177441540575,5.660377358490567
60504,DuPage County,IL,NA,63.20754716981132
60510,Kane County,IL,NA,52.83018867924528
60618,Cook County,IL,NA,18.39622641509434
60629,Cook County,IL,7.015130674002751,NA
60631,Cook County,IL,32.874828060522695,NA
60637,Cook County,IL,NA,13.679245283018867
60649,Cook County,IL,NA,8.49056603773585
60901,Kankakee County,IL,18.844566712517192,NA
61244,Rock Island County,IL,NA,78.77358490566037
61603,Peoria County,IL,64.92434662998625,NA
61944,Edgar County,IL,74.82806052269602,NA
62521,Macon County,IL,13.75515818431912,NA
62681,Schuyler County,IL,92.98486932599724,NA
46012,Madison County,IN,NA,19.81132075471698
46123,Hendricks County,IN,74.69050894085282,NA
46241,Marion County,IN,22.145804676753784,NA
46307,Lake County,IN,14.030261348005501,NA
46356,Lake County,IN,62.99862448418156,NA
46360,LaPorte County,IN,6.327372764786795,NA
46375,Lake County,IN,34.11279229711142,NA
46385,Porter County,IN,NA,25.471698113207548
46392,Jasper County,IN,66.71251719394773,NA
46755,Noble County,IN,29.160935350756535,NA
46902,Howard County,IN,21.595598349381017,NA
46953,Grant County,IN,NA,11.79245283018868
47201,Bartholomew County,IN,12.65474552957359,NA
47304,Delaware County,IN,NA,44.81132075471698
47553,Martin County,IN,83.63136176066025,NA
47804,Vigo County,IN,60.52269601100413,NA
47882,Sullivan County,IN,89.2709766162311,NA
50310,Polk County,IA,52.95735900962861,NA
50313,Polk County,IA,NA,71.22641509433963
50315,Polk County,IA,10.041265474552958,NA
50316,Polk County,IA,42.91609353507565,NA
50325,Polk County,IA,87.62035763411279,NA
50702,Black Hawk County,IA,43.7414030261348,83.9622641509434
51501,Pottawattamie County,IA,36.72627235213205,NA
52060,Jackson County,IA,84.04401650618982,NA
52302,Linn County,IA,NA,38.20754716981132
52310,Jones County,IA,88.9958734525447,NA
52404,Linn County,IA,NA,16.9811320754717
52556,Jefferson County,IA,75.24071526822559,NA
52632,Lee County,IA,NA,39.15094339622642
52730,Clinton County,IA,90.78404401650619,NA
52753,Scott County,IA,94.08528198074278,NA
52756,Scott County,IA,98.76203576341128,NA
52806,Scott County,IA,23.24621733149931,NA
66106,Wyandotte County,KS,NA,71.69811320754717
66109,Wyandotte County,KS,53.232462173315,NA
66218,Johnson County,KS,92.1595598349381,NA
66226,Johnson County,KS,NA,96.22641509433963
67207,Sedgwick County,KS,NA,85.84905660377359
40014,Oldham County,KY,NA,70.75471698113208
40118,Jefferson County,KY,54.19532324621733,NA
40165,Bullitt County,KY,15.268225584594223,NA
40175,Hardin County,KY,57.9092159559835,NA
40258,Jefferson County,KY,24.896836313617605,NA
40351,Rowan County,KY,24.346629986244842,NA
40391,Clark County,KY,9.491059147180192,NA
40403,Madison County,KY,25.034387895460796,NA
40444,Garrard County,KY,58.872077028885826,NA
41007,Campbell County,KY,98.62448418156808,NA
41075,Campbell County,KY,NA,84.90566037735849
41129,Boyd County,KY,NA,58.01886792452831
41822,Knott County,KY,99.03713892709766,NA
42001,McCracken County,KY,NA,21.22641509433962
42101,Warren County,KY,30.261348005502064,15.09433962264151
42347,Ohio County,KY,73.86519944979368,NA
42503,Pulaski County,KY,44.70426409903714,NA
42544,Pulaski County,KY,79.6423658872077,NA
42602,Clinton County,KY,NA,76.41509433962264
42717,Cumberland County,KY,NA,80.66037735849056
70043,St. Bernard Parish,LA,63.27372764786795,NA
70072,Jefferson Parish,LA,24.759284731774414,3.30188679245283
70339,Assumption Parish,LA,73.31499312242092,NA
70427,Washington Parish,LA,16.643741403026134,NA
70435,St. Tammany Parish,LA,22.00825309491059,NA
70532,Jefferson Davis Parish,LA,100,NA
71075,Webster Parish,LA,66.43741403026134,NA
71107,Caddo Parish,LA,3.576341127922971,NA
71235,Lincoln Parish,LA,NA,97.16981132075472
71241,Union Parish,LA,88.44566712517194,NA
71373,Concordia Parish,LA,80.05502063273727,NA
71409,Rapides Parish,LA,69.87620357634113,NA
04002,York County,ME,NA,50
04046,York County,ME,79.09215955983494,NA
04743,Aroostook County,ME,NA,85.37735849056604
04901,Kennebec County,ME,NA,3.7735849056603774
20634,St. Mary's County,MD,95.73590096286108,NA
20874,Montgomery County,MD,47.31774415405777,NA
20886,Montgomery County,MD,73.03988995873453,NA
20902,Montgomery County,MD,67.1251719394773,NA
20906,Montgomery County,MD,51.5818431911967,NA
21015,Harford County,MD,70.15130674002751,NA
21074,Carroll County,MD,76.34112792297113,NA
21084,Harford County,MD,97.66162310866575,NA
21231,Baltimore city,MD,64.78679504814305,NA
21236,Baltimore County,MD,NA,43.39622641509434
21403,Anne Arundel County,MD,62.17331499312242,NA
21632,Caroline County,MD,83.08115543328748,NA
21666,Queen Anne's County,MD,90.23383768913342,NA
21703,Frederick County,MD,60.52269601100413,NA
21754,Frederick County,MD,92.84731774415405,NA
21784,Carroll County,MD,78.67950481430537,NA
21793,Frederick County,MD,85.9697386519945,NA
21811,Worcester County,MD,NA,27.830188679245282
21918,Cecil County,MD,97.24896836313619,NA
01056,Hampden County,MA,18.56946354883081,NA
01069,Hampden County,MA,29.848693259972492,NA
01201,Berkshire County,MA,2.200825309491059,NA
01220,Berkshire County,MA,25.034387895460796,NA
01535,Worcester County,MA,78.95460797799174,NA
01571,Worcester County,MA,75.92847317744153,NA
01603,Worcester County,MA,2.4759284731774414,NA
01721,Middlesex County,MA,34.3878954607978,NA
01756,Worcester County,MA,95.59834938101788,NA
01832,Essex County,MA,3.851444291609354,NA
01835,Essex County,MA,33.83768913342504,NA
01852,Middlesex County,MA,0.5502063273727648,NA
01880,Middlesex County,MA,8.940852819807429,NA
01913,Essex County,MA,27.097661623108664,NA
01915,Essex County,MA,13.342503438789546,NA
02021,Norfolk County,MA,87.4828060522696,NA
02093,Norfolk County,MA,56.2585969738652,NA
02109,Suffolk County,MA,NA,98.58490566037736
02118,Suffolk County,MA,0.41265474552957354,NA
02119,Suffolk County,MA,2.3383768913342506,NA
02148,Middlesex County,MA,0,NA
02151,Suffolk County,MA,0.2751031636863824,0
02184,Norfolk County,MA,6.464924346629987,NA
02301,Plymouth County,MA,0.1375515818431912,NA
02332,Plymouth County,MA,70.70151306740028,NA
02339,Plymouth County,MA,69.05089408528198,NA
02341,Plymouth County,MA,43.053645116918844,NA
02476,Middlesex County,MA,NA,28.77358490566038
02481,Norfolk County,MA,56.53370013755158,NA
02601,Barnstable County,MA,5.089408528198074,NA
02648,Barnstable County,MA,73.4525447042641,NA
02723,Bristol County,MA,3.0261348005502064,NA
02748,Bristol County,MA,42.0907840440165,NA
02769,Bristol County,MA,NA,61.79245283018868
02790,Bristol County,MA,23.383768913342504,NA
48005,Macomb County,MI,89.1334250343879,NA
48014,St. Clair County,MI,94.77303988995874,NA
48036,Macomb County,MI,29.298486932599726,67.9245283018868
48040,St. Clair County,MI,70.01375515818432,NA
48043,Macomb County,MI,33.42503438789546,NA
48060,St. Clair County,MI,3.7138927097661623,NA
48072,Oakland County,MI,76.61623108665749,NA
48074,St. Clair County,MI,NA,75.94339622641509
48091,Macomb County,MI,8.11554332874828,NA
48101,Wayne County,MI,55.70839064649243,NA
48116,Livingston County,MI,NA,15.566037735849056
48160,Washtenaw County,MI,NA,58.490566037735846
48167,Oakland County,MI,NA,66.50943396226415
48178,Oakland County,MI,34.3878954607978,NA
48180,Wayne County,MI,3.1636863823933976,NA
48186,Wayne County,MI,6.87757909215956,NA
48192,Wayne County,MI,20.082530949105916,NA
48328,Oakland County,MI,40.852819807427785,NA
48331,Oakland County,MI,38.78954607977992,NA
48346,Oakland County,MI,39.33975240715269,NA
48353,Livingston County,MI,NA,89.15094339622641
