ZipCode,county,state,Adult,Retirement
35055,Cullman County,AL,52.63157894736842,NA
35068,Jefferson County,AL,NA,87.09677419354838
35405,Tuscaloosa County,AL,NA,11.981566820276496
35674,Colbert County,AL,NA,46.54377880184332
35810,Madison County,AL,29.82456140350877,NA
35953,St. Clair County,AL,NA,85.71428571428571
36744,Hale County,AL,NA,98.61751152073732
99645,Matanuska-Susitna Borough,AK,NA,64.0552995391705
85028,Maricopa County,AZ,73.09941520467837,NA
85251,Maricopa County,AZ,38.59649122807017,NA
85282,Maricopa County,AZ,NA,42.857142857142854
85901,Navajo County,AZ,NA,23.502304147465438
85929,Navajo County,AZ,79.53216374269006,NA
71953,Polk County,AR,NA,50.69124423963134
72301,Crittenden County,AR,76.0233918128655,NA
72634,Marion County,AR,NA,97.6958525345622
90024,Los Angeles County,CA,74.26900584795322,NA
90605,Los Angeles County,CA,NA,91.70506912442397
90744,Los Angeles County,CA,NA,55.76036866359447
91362,Ventura County,CA,NA,40.09216589861751
91724,Los Angeles County,CA,67.83625730994152,NA
92115,San Diego County,CA,30.994152046783626,NA
92240,Riverside County,CA,20.46783625730994,NA
92501,Riverside County,CA,73.68421052631578,NA
92504,Riverside County,CA,NA,52.07373271889401
92507,Riverside County,CA,42.10526315789473,NA
92653,Orange County,CA,70.17543859649122,50.23041474654379
92821,Orange County,CA,NA,47.004608294930875
93305,Kern County,CA,NA,54.83870967741935
93711,Fresno County,CA,NA,35.944700460829495
94507,Contra Costa County,CA,NA,86.17511520737328
94583,Contra Costa County,CA,NA,58.986175115207374
94707,Alameda County,CA,NA,84.7926267281106
95014,Santa Clara County,CA,NA,81.5668202764977
95020,Santa Clara County,CA,NA,29.953917050691242
95120,Santa Clara County,CA,NA,49.30875576036866
95126,Santa Clara County,CA,NA,75.11520737327189
95327,Tuolumne County,CA,96.49122807017544,NA
95337,San Joaquin County,CA,NA,69.12442396313364
95370,Tuolumne County,CA,NA,43.77880184331797
95437,Mendocino County,CA,NA,39.1705069124424
95472,Sonoma County,CA,NA,56.68202764976959
95688,Solano County,CA,59.64912280701754,NA
95757,Sacramento County,CA,NA,55.29953917050692
95821,Sacramento County,CA,NA,27.64976958525346
95926,Butte County,CA,NA,22.119815668202765
96101,Modoc County,CA,NA,82.94930875576037
80016,Arapahoe County,CO,NA,16.129032258064516
80026,Boulder County,CO,58.47953216374269,NA
80233,Adams County,CO,26.900584795321635,NA
80513,Larimer County,CO,71.34502923976608,NA
80526,Larimer County,CO,62.57309941520468,NA
80634,Weld County,CO,2.923976608187134,NA
80906,El Paso County,CO,NA,37.78801843317972
81004,Pueblo County,CO,25.146198830409354,NA
81005,Pueblo County,CO,NA,18.433179723502306
81122,La Plata County,CO,NA,88.0184331797235
06053,Hartford County,CT,NA,21.19815668202765
06117,Hartford County,CT,65.49707602339181,NA
06119,Hartford County,CT,NA,73.27188940092167
06226,Windham County,CT,NA,42.3963133640553
06268,Tolland County,CT,91.22807017543859,NA
06450,New Haven County,CT,NA,11.52073732718894
06518,New Haven County,CT,NA,70.04608294930875
06708,New Haven County,CT,22.22222222222222,NA
19901,Kent County,DE,NA,16.589861751152075
19938,Kent County,DE,NA,57.6036866359447
32073,Clay County,FL,NA,24.42396313364055
32082,St. Johns County,FL,NA,63.133640552995395
32119,Volusia County,FL,86.54970760233918,NA
32168,Volusia County,FL,NA,32.71889400921659
32413,Bay County,FL,69.5906432748538,NA
32579,Okaloosa County,FL,NA,80.64516129032258
32618,Alachua County,FL,95.32163742690058,NA
33597,Sumter County,FL,87.13450292397661,NA
33912,Lee County,FL,NA,70.50691244239631
33913,Lee County,FL,NA,27.188940092165897
34234,Sarasota County,FL,NA,41.013824884792626
34293,Sarasota County,FL,NA,5.529953917050691
34606,Hernando County,FL,NA,36.86635944700461
34698,Pinellas County,FL,NA,17.51152073732719
30058,DeKalb County,GA,NA,59.907834101382484
30179,Carroll County,GA,85.38011695906432,NA
30224,Spalding County,GA,NA,47.926267281105986
31021,Laurens County,GA,NA,53.91705069124424
31082,Washington County,GA,97.6608187134503,NA
31525,Glynn County,GA,47.953216374269005,NA
96817,Honolulu County,HI,8.771929824561402,NA
96826,Honolulu County,HI,NA,31.336405529953915
83202,Bannock County,ID,NA,63.594470046082954
83221,Bingham County,ID,27.485380116959064,NA
83338,Jerome County,ID,NA,20.737327188940093
83713,Ada County,ID,37.42690058479532,NA
60030,Lake County,IL,NA,18.89400921658986
60137,DuPage County,IL,NA,25.34562211981567
60139,DuPage County,IL,NA,34.10138248847927
60148,DuPage County,IL,NA,30.414746543778804
60402,Cook County,IL,NA,8.755760368663594
60441,Will County,IL,21.637426900584796,NA
60451,Will County,IL,NA,12.903225806451612
61231,Mercer County,IL,NA,94.93087557603687
61611,Tazewell County,IL,NA,39.63133640552996
61953,Douglas County,IL,91.81286549707602,NA
62024,Madison County,IL,NA,85.25345622119815
62040,Madison County,IL,16.95906432748538,NA
62052,Jersey County,IL,63.74269005847953,NA
62298,Monroe County,IL,NA,83.87096774193549
62650,Morgan County,IL,50.29239766081871,NA
62960,Massac County,IL,NA,71.42857142857143
46112,Hendricks County,IN,NA,46.08294930875576
46143,Johnson County,IN,NA,14.746543778801843
46254,Marion County,IN,21.052631578947366,NA
46368,Porter County,IN,3.508771929824561,NA
46806,Allen County,IN,NA,36.405529953917046
46807,Allen County,IN,48.53801169590643,NA
46818,Allen County,IN,NA,44.23963133640553
47394,Randolph County,IN,NA,80.18433179723502
47421,Lawrence County,IN,61.40350877192983,NA
47933,Montgomery County,IN,NA,43.31797235023041
50129,Greene County,IA,NA,82.02764976958525
