ZipCode,county,state,Youth,Adult,Retirement,Geriatric
35004,St. Clair County,AL,NA,76.72228202368137,NA,NA
35005,Jefferson County,AL,96.27329192546584,96.42088266953714,81.44499178981938,86.37557452396585
35007,Shelby County,AL,NA,84.60710441334768,NA,NA
35010,Tallapoosa County,AL,NA,57.212055974165764,20.689655172413794,19.17268548916612
35014,Talladega County,AL,NA,NA,92.51700680272108,NA
35016,Marshall County,AL,NA,39.66630785791173,87.356321839080465,71.33946158896914
35020,Jefferson County,AL,NA,31.054897739504845,NA,26.165462902166777
35022,Jefferson County,AL,NA,27.125941872981702,NA,NA
35023,Jefferson County,AL,NA,NA,7.107670654468684,13.3946158896914
35031,Blount County,AL,NA,NA,NA,81.02429415627051
35044,Talladega County,AL,NA,NA,NA,94.8456992777413
35045,Chilton County,AL,NA,50.64585575888052,96.12948627726952,71.24097176625082
35046,Chilton County,AL,NA,88.34768568353067,NA,NA
35051,Shelby County,AL,NA,94.05274488697523,NA,NA
35055,Cullman County,AL,NA,NA,90.75768238329815,45.30531845042679
35057,Cullman County,AL,NA,65.31216361679225,NA,85.22652659225214
35058,Cullman County,AL,NA,NA,65.0715458597232,NA
35064,Jefferson County,AL,NA,47.470398277717976,NA,NA
35071,Jefferson County,AL,NA,86.92142088266954,NA,NA
35072,Coosa County,AL,NA,NA,72.41379310344827,NA
35077,Cullman County,AL,NA,NA,54.28102275392915,NA
35079,Blount County,AL,NA,NA,NA,88.6736703873933
35080,Shelby County,AL,NA,46.28632938643703,62.678864649308,NA
35085,Chilton County,AL,NA,93.83745963401508,82.68824771287827,NA
35094,Jefferson County,AL,NA,48.2508073196986,NA,NA
35096,Talladega County,AL,NA,95.45209903121636,NA,NA
35111,Tuscaloosa County,AL,NA,66.60387513455328,NA,NA
35115,Shelby County,AL,NA,NA,NA,88.11556139198949
35120,St. Clair County,AL,NA,48.6275565123789,NA,NA
35121,Blount County,AL,NA,51.10333692142088,NA,NA
35124,Shelby County,AL,NA,90.31216361679225,58.808350926577525,59.750492449113594
35125,St. Clair County,AL,NA,44.02583423035522,NA,96.48719632304662
35126,Jefferson County,AL,NA,NA,35.585268590194694,NA
35128,St. Clair County,AL,NA,88.21313240043057,56.76753460004692,NA
35146,St. Clair County,AL,NA,72.84714747039828,NA,NA
35150,Talladega County,AL,NA,NA,45.17945109078114,NA
35160,Talladega County,AL,NA,NA,30.870279146141215,58.37163493105712
35172,Blount County,AL,NA,98.51991388589882,NA,NA
35173,Jefferson County,AL,NA,37.19052744886975,26.249120337790288,NA
35179,Cullman County,AL,NA,93.97201291711518,NA,NA
35180,Jefferson County,AL,NA,58.100107642626476,85.17475955899602,NA
35184,Bibb County,AL,NA,NA,70.7013840018766,NA
35204,Jefferson County,AL,NA,NA,NA,82.89560078791858
35205,Jefferson County,AL,NA,54.35952637244349,NA,NA
35208,Jefferson County,AL,NA,NA,63.452967393854095,NA
35209,Jefferson County,AL,NA,NA,52.545155993431855,NA
35210,Jefferson County,AL,NA,59.09580193756727,NA,NA
35211,Jefferson County,AL,NA,NA,45.812807881773395,NA
35212,Jefferson County,AL,NA,68.72981700753499,NA,NA
35215,Jefferson County,AL,NA,40.5005382131324,NA,79.87524622455679
35216,Jefferson County,AL,NA,NA,NA,32.764281024294156
35217,Jefferson County,AL,NA,NA,NA,69.23834537097832
35218,Jefferson County,AL,NA,53.14854682454252,NA,NA
35226,Jefferson County,AL,NA,35.199138858988164,12.151067323481117,15.265922521339462
35228,Jefferson County,AL,NA,48.681377825618945,NA,76.03414313854235
35234,Jefferson County,AL,NA,NA,NA,96.09323703217333
35235,Jefferson County,AL,NA,NA,NA,65.75837163493105
35243,Jefferson County,AL,NA,NA,77.8794276331222,NA
35401,Tuscaloosa County,AL,NA,15.608180839612487,NA,NA
35405,Tuscaloosa County,AL,NA,21.60925726587729,NA,NA
35462,Greene County,AL,NA,80.03229278794403,NA,NA
35470,Sumter County,AL,NA,95.8826695371367,NA,NA
