ZipCode,county,state,Youth,Adult,Retirement,Geriatric
35004,St. Clair County,AL,NA,NA,57.166750292691084,NA
35005,Jefferson County,AL,NA,NA,NA,73.1975620633269
35010,Tallapoosa County,AL,NA,NA,14.28332497073089,92.59699717556117
35016,Marshall County,AL,NA,NA,18.46462619167085,NA
35020,Jefferson County,AL,NA,NA,65.21157384177955,78.07343540954363
35022,Jefferson County,AL,NA,21.141003625262357,50.44321792941964,26.23755017095288
35023,Jefferson County,AL,NA,NA,4.365278474661315,NA
35033,Cullman County,AL,NA,97.19519175729823,NA,NA
35034,Bibb County,AL,NA,NA,94.1294530858003,95.86740002973093
35043,Shelby County,AL,NA,NA,NA,92.19562955254943
35044,Talladega County,AL,54.86725663716814,NA,NA,NA
35045,Chilton County,AL,NA,45.010494180499904,49.908011373139324,NA
35046,Chilton County,AL,NA,NA,NA,95.86740002973093
35054,St. Clair County,AL,NA,NA,NA,68.57440166493237
35055,Cullman County,AL,NA,37.14939896966228,NA,26.772707001635197
35058,Cullman County,AL,NA,84.71665712650257,57.166750292691084,NA
35064,Jefferson County,AL,NA,NA,57.71868205385516,NA
35068,Jefferson County,AL,NA,NA,82.40508446228466,NA
35071,Jefferson County,AL,NA,57.87063537492845,59.34102692757987,NA
35072,Coosa County,AL,NA,NA,88.35925740090316,NA
35077,Cullman County,AL,NA,NA,46.39571834754976,89.2968633863535
35085,Chilton County,AL,NA,NA,77.00284328483023,97.14583023636094
35094,Jefferson County,AL,NA,NA,44.739923064057535,44.626133491898315
35096,Talladega County,AL,NA,NA,59.44137815688242,86.79946484316932
35111,Tuscaloosa County,AL,NA,61.495897729440955,NA,NA
35114,Shelby County,AL,NA,NA,NA,89.31172885387245
35115,Shelby County,AL,NA,NA,NA,76.08146276200387
35117,Jefferson County,AL,NA,NA,99.163739755812,NA
35120,St. Clair County,AL,NA,86.83457355466514,NA,NA
35121,Blount County,AL,NA,NA,28.14851981936779,39.88404935335216
35124,Shelby County,AL,NA,47.242892577752336,NA,39.557009067935184
35125,St. Clair County,AL,NA,71.32226674298798,NA,NA
35126,Jefferson County,AL,NA,67.23907651211601,NA,NA
35127,Jefferson County,AL,NA,72.71513070024804,NA,NA
35128,St. Clair County,AL,NA,85.63251287922152,NA,95.19845399137803
35133,Blount County,AL,NA,95.19175729822553,NA,NA
35146,St. Clair County,AL,NA,67.50620110665903,NA,78.5342649026312
35150,Talladega County,AL,NA,NA,NA,55.031960755165755
35151,Talladega County,AL,NA,83.4955161228773,NA,NA
35160,Talladega County,AL,10.914454277286136,28.506010303377217,59.44137815688242,38.21911699122937
35173,Jefferson County,AL,NA,NA,54.39036628198696,NA
35178,Shelby County,AL,NA,99.19862621637093,NA,NA
35180,Jefferson County,AL,NA,53.176874642243845,NA,NA
35203,Jefferson County,AL,NA,98.66437702728487,NA,NA
35204,Jefferson County,AL,NA,NA,NA,31.247212724840196
35205,Jefferson County,AL,NA,48.90288112955543,NA,NA
35206,Jefferson County,AL,NA,NA,24.803478842615824,31.916158763193103
35207,Jefferson County,AL,NA,NA,NA,61.79574847628958
35209,Jefferson County,AL,NA,NA,NA,37.921807640850304
35210,Jefferson County,AL,NA,54.20721236405266,45.32530523498913,NA
35211,Jefferson County,AL,NA,47.81530242320168,8.981435022579026,10.732867548684407
35212,Jefferson County,AL,NA,NA,77.87255393878574,NA
35213,Jefferson County,AL,NA,NA,NA,91.25910509885536
35214,Jefferson County,AL,NA,91.37569166189658,18.56497742097341,NA
35215,Jefferson County,AL,NA,2.575844304522038,16.54122763003847,NA
35217,Jefferson County,AL,NA,87.65502766647586,NA,49.33848669540657
35221,Jefferson County,AL,NA,NA,91.82137481184145,NA
35222,Jefferson County,AL,NA,85.30814730013357,NA,NA
35223,Jefferson County,AL,NA,NA,NA,43.54095436301472
35226,Jefferson County,AL,67.10914454277285,29.975195573363862,79.06004348553269,30.01337892076706
35228,Jefferson County,AL,NA,43.31234497233352,NA,58.70373123234726
35234,Jefferson County,AL,NA,88.07479488647205,NA,NA
35235,Jefferson County,AL,NA,37.225720282388856,NA,NA
35242,Shelby County,AL,NA,15.932074031673347,3.679545074427162,NA
35243,Jefferson County,AL,NA,69.43331425300515,NA,63.31202616322283
