fips,county,state,Over18
01001,Autauga County,AL,NA
01003,Baldwin County,AL,5.0163576881134135
01005,Barbour County,AL,NA
01007,Bibb County,AL,NA
01009,Blount County,AL,NA
01011,Bullock County,AL,95.31079607415485
01013,Butler County,AL,NA
01015,Calhoun County,AL,NA
01017,Chambers County,AL,NA
01019,Cherokee County,AL,NA
01021,Chilton County,AL,89.20392584514721
01025,Clarke County,AL,NA
01027,Clay County,AL,NA
01029,Cleburne County,AL,NA
01031,Coffee County,AL,NA
01033,Colbert County,AL,41.76663031624864
01035,Conecuh County,AL,NA
01037,Coosa County,AL,NA
01039,Covington County,AL,NA
01041,Crenshaw County,AL,NA
01043,Cullman County,AL,NA
01045,Dale County,AL,NA
01047,Dallas County,AL,NA
01049,DeKalb County,AL,53.871319520174474
01051,Elmore County,AL,31.515812431842967
01053,Escambia County,AL,59.214830970556164
01055,Etowah County,AL,77.64449291166848
01057,Fayette County,AL,NA
01059,Franklin County,AL,NA
01061,Geneva County,AL,90.29443838604145
01063,Greene County,AL,NA
01065,Hale County,AL,NA
01067,Henry County,AL,NA
01069,Houston County,AL,19.19302071973828
01071,Jackson County,AL,NA
01073,Jefferson County,AL,30.75245365321701
01075,Lamar County,AL,NA
01077,Lauderdale County,AL,32.279171210468924
01079,Lawrence County,AL,NA
01081,Lee County,AL,25.29989094874591
01083,Limestone County,AL,NA
01085,Lowndes County,AL,NA
01087,Macon County,AL,NA
01089,Madison County,AL,17.77535441657579
01091,Marengo County,AL,NA
01093,Marion County,AL,NA
01095,Marshall County,AL,NA
01097,Mobile County,AL,45.147219193020725
01099,Monroe County,AL,NA
01101,Montgomery County,AL,44.601962922573605
01103,Morgan County,AL,NA
01105,Perry County,AL,NA
01107,Pickens County,AL,NA
01109,Pike County,AL,NA
01111,Randolph County,AL,NA
01113,Russell County,AL,NA
01115,St. Clair County,AL,NA
01117,Shelby County,AL,63.031624863685934
01119,Sumter County,AL,NA
01121,Talladega County,AL,24.427480916030532
01123,Tallapoosa County,AL,NA
01125,Tuscaloosa County,AL,14.830970556161397
01127,Walker County,AL,NA
01129,Washington County,AL,NA
01131,Wilcox County,AL,NA
01133,Winston County,AL,NA
02020,Anchorage Municipality,AK,37.29552889858233
02050,Bethel Census Area,AK,NA
02070,Dillingham Census Area,AK,98.90948745910578
02090,Fairbanks North Star Borough,AK,NA
02110,Juneau City and Borough,AK,88.33151581243183
02122,Kenai Peninsula Borough,AK,NA
02130,Ketchikan Gateway Borough,AK,NA
02150,Kodiak Island Borough,AK,NA
02170,Matanuska-Susitna Borough,AK,NA
02180,Nome Census Area,AK,NA
02220,Sitka City and Borough,AK,NA
02240,Southeast Fairbanks Census Area,AK,NA
02261,Valdez-Cordova Census Area,AK,NA
02270,Wade Hampton Census Area,AK,NA
04001,Apache County,AZ,NA
04003,Cochise County,AZ,NA
04005,Coconino County,AZ,76.11777535441658
04007,Gila County,AZ,NA
04009,Graham County,AZ,66.52126499454744
04012,La Paz County,AZ,91.16684841875681
04013,Maricopa County,AZ,38.713195201744824
04015,Mohave County,AZ,NA
04017,Navajo County,AZ,16.793893129770993
04019,Pima County,AZ,31.733914940021812
04021,Pinal County,AZ,33.36968375136314
04023,Santa Cruz County,AZ,NA
04025,Yavapai County,AZ,1.0905125408942202
04027,Yuma County,AZ,22.573609596510362
05001,Arkansas County,AR,90.94874591057798
05003,Ashley County,AR,NA
05005,Baxter County,AR,NA
05007,Benton County,AR,NA
05009,Boone County,AR,NA
05011,Bradley County,AR,NA
05015,Carroll County,AR,NA
05017,Chicot County,AR,NA
05019,Clark County,AR,NA
05021,Clay County,AR,91.71210468920393
05023,Cleburne County,AR,NA
05025,Cleveland County,AR,NA
05027,Columbia County,AR,NA
05029,Conway County,AR,NA
05031,Craighead County,AR,NA
05033,Crawford County,AR,NA
05035,Crittenden County,AR,NA
05037,Cross County,AR,NA
05039,Dallas County,AR,NA
05041,Desha County,AR,NA
05043,Drew County,AR,NA
05045,Faulkner County,AR,32.06106870229007
05047,Franklin County,AR,NA
05049,Fulton County,AR,NA
05051,Garland County,AR,24.53653217011996
05053,Grant County,AR,NA
05055,Greene County,AR,NA
05057,Hempstead County,AR,NA
05059,Hot Spring County,AR,NA
05061,Howard County,AR,NA
05063,Independence County,AR,NA
05067,Jackson County,AR,NA
05069,Jefferson County,AR,NA
05071,Johnson County,AR,NA
05075,Lawrence County,AR,NA
05077,Lee County,AR,NA
05079,Lincoln County,AR,NA
05081,Little River County,AR,NA
05083,Logan County,AR,NA
05085,Lonoke County,AR,NA
05087,Madison County,AR,NA
05089,Marion County,AR,NA
05091,Miller County,AR,NA
05093,Mississippi County,AR,77.97164667393675
05095,Monroe County,AR,NA
05097,Montgomery County,AR,NA
05099,Nevada County,AR,NA
05103,Ouachita County,AR,NA
05105,Perry County,AR,NA
05107,Phillips County,AR,NA
05109,Pike County,AR,NA
05111,Poinsett County,AR,NA
05113,Polk County,AR,NA
05115,Pope County,AR,61.61395856052344
05119,Pulaski County,AR,0.5452562704471101
05121,Randolph County,AR,NA
05123,St. Francis County,AR,NA
05125,Saline County,AR,24.7546346782988
05127,Scott County,AR,NA
05129,Searcy County,AR,NA
05131,Sebastian County,AR,NA
05133,Sevier County,AR,96.07415485278081
05135,Sharp County,AR,NA
05137,Stone County,AR,NA
05139,Union County,AR,NA
05141,Van Buren County,AR,93.45692475463467
05143,Washington County,AR,69.24754634678298
05145,White County,AR,NA
05149,Yell County,AR,NA
06001,Alameda County,CA,82.00654307524536
06005,Amador County,CA,76.55398037077427
06007,Butte County,CA,53.76226826608506
06009,Calaveras County,CA,NA
06011,Colusa County,CA,NA
06013,Contra Costa County,CA,60.741548527808064
06015,Del Norte County,CA,NA
06017,El Dorado County,CA,6.543075245365322
06019,Fresno County,CA,90.6215921483097
06021,Glenn County,CA,NA
06023,Humboldt County,CA,86.477644492911665
06025,Imperial County,CA,37.404580152671755
06027,Inyo County,CA,NA
06029,Kern County,CA,64.23118865866958
06031,Kings County,CA,97.4918211559433
06033,Lake County,CA,35.44165757906216
06035,Lassen County,CA,NA
06037,Los Angeles County,CA,51.4721919302072
06039,Madera County,CA,93.020719738277
06041,Marin County,CA,68.15703380588877
06043,Mariposa County,CA,NA
06045,Mendocino County,CA,NA
06047,Merced County,CA,68.92039258451473
06049,Modoc County,CA,96.83751363140675
06051,Mono County,CA,NA
06053,Monterey County,CA,76.77208287895311
06055,Napa County,CA,78.62595419847328
06057,Nevada County,CA,NA
06059,Orange County,CA,71.97382769901853
06061,Placer County,CA,56.37949836423118
06063,Plumas County,CA,NA
06065,Riverside County,CA,62.486368593238815
06067,Sacramento County,CA,59.32388222464559
06069,San Benito County,CA,90.40348964013086
06071,San Bernardino County,CA,77.7535441657579
06073,San Diego County,CA,67.06652126499455
06075,San Francisco County,CA,11.886586695747
06077,San Joaquin County,CA,81.46128680479825
06079,San Luis Obispo County,CA,74.70010905125409
06081,San Mateo County,CA,62.92257360959651
06083,Santa Barbara County,CA,56.05234460196292
