ZipCode,county,state,Youth,Adult,Retirement,Geriatric
35004,St. Clair County,AL,38.44660194174757,73.85910500664599,95.32207319092565,NA
35005,Jefferson County,AL,95.3883495145631,29.862649534780683,69.71352872992217,87.81217994170015
35007,Shelby County,AL,NA,38.856889676561806,80.89915548931941,27.55061845111479
35010,Tallapoosa County,AL,NA,67.46787771377936,89.97350554727603,69.76286141968014
35014,Talladega County,AL,NA,95.95702259636685,NA,89.6242023162373
35016,Marshall County,AL,NA,86.97385910500664,76.93326709720152,55.51091152603797
35020,Jefferson County,AL,NA,93.77492246344706,77.43831760225203,88.8442448593713
35022,Jefferson County,AL,NA,50.12184315463004,77.31412485510846,74.49775466792721
35023,Jefferson County,AL,NA,61.96278245458573,79.92217254512336,43.08674072323328
35031,Blount County,AL,92.81553398058252,62.228622064687634,NA,71.66154573386906
35034,Bibb County,AL,NA,87.21754541426672,89.62576585527405,42.64555266682423
35040,Shelby County,AL,NA,6.180770934869296,97.25120052988906,61.72693610651541
35042,Bibb County,AL,NA,28.91005759858219,91.58801126014241,29.165681871897895
35043,Shelby County,AL,NA,NA,NA,11.65997006223903
35044,Talladega County,AL,NA,36.27603012848915,37.12535187945024,31.379500512093276
35045,Chilton County,AL,NA,32.59858218874612,40.29640668984931,72.33120617663279
35046,Chilton County,AL,NA,75.18830305715551,68.73654578572611,20.75947372567557
35051,Shelby County,AL,NA,NA,95.77744659711873,16.536673757189003
35054,St. Clair County,AL,NA,99.81169694284449,97.87216426560688,2.387142519498936
35055,Cullman County,AL,NA,41.880815241470984,54.22255340288127,83.08516505160325
35057,Cullman County,AL,NA,19.240141781125388,41.339625765855274,57.811392105885126
35058,Cullman County,AL,NA,44.27337173238813,47.333995694651435,96.57291420467975
35062,Jefferson County,AL,NA,NA,27.46315615168074,11.297565587331599
35064,Jefferson County,AL,NA,88.15906070004431,33.99569465143236,68.77806665090995
35068,Jefferson County,AL,NA,NA,64.43119721808246,76.63278972662097
35071,Jefferson County,AL,NA,17.40141781125388,62.15433018711707,54.376427952414716
35072,Coosa County,AL,NA,34.39299955693399,67.98310978638847,10.98243126132514
35077,Cullman County,AL,NA,94.92689410722197,66.98128829276371,66.07578980540455
35079,Blount County,AL,NA,NA,22.27189932107965,78.95690538091861
35080,Shelby County,AL,NA,80.64909171466549,45.01573108130485,NA
35083,Cullman County,AL,NA,98.93664155959237,NA,NA
35085,Chilton County,AL,65.77669902912622,NA,NA,59.1270779169621
35094,Jefferson County,AL,NA,10.44528134692069,92.58155323729093,45.852044433939966
35096,Talladega County,AL,86.74757281553399,39.51041205139566,79.11077993045205,NA
35111,Tuscaloosa County,AL,NA,63.579973416038996,73.1826461334658,10.895769321673363
35114,Shelby County,AL,NA,NA,16.42656068885577,88.74970456156936
35115,Shelby County,AL,NA,36.47540983606557,53.825136612021865,15.039785708658314
35117,Jefferson County,AL,NA,NA,NA,23.241156542976444
35118,Jefferson County,AL,NA,96.53300841825431,NA,10.328527534861735
35120,St. Clair County,AL,NA,85.55604785112982,83.26709720152343,11.463011108484991
35121,Blount County,AL,NA,11.696942844483829,62.03841695644974,8.130465610966676
35124,Shelby County,AL,NA,51.11874169251218,63.13131313131313,80.18592925234381
35125,St. Clair County,AL,NA,43.56446610544971,81.13098195065407,90.4829433546049
35126,Jefferson County,AL,41.262135922330096,24.734160389898094,31.230336148368938,41.960135507760185
35127,Jefferson County,AL,NA,29.264510412051397,86.53750620963736,39.43118254155834
35128,St. Clair County,AL,NA,NA,69.71352872992217,17.954778224218074
35131,St. Clair County,AL,NA,NA,99.95860241761882,NA
35146,St. Clair County,AL,NA,87.0181657066903,69.10912402715681,4.02584101473253
35150,Talladega County,AL,NA,41.459902525476295,83.6148368935254,24.572599070353736
35151,Talladega County,AL,NA,91.67035888347364,33.37473091571452,NA
35160,Talladega County,AL,67.03883495145631,47.13114754098361,12.170889220069547,65.02796817143307
35173,Jefferson County,AL,NA,37.79353123615419,37.928464977645305,39.39179075080753
35175,Marshall County,AL,NA,NA,98.9485014075178,88.56062396596549
35179,Cullman County,AL,NA,33.40717766947275,42.7471435668157,50.62632947293784
35180,Jefferson County,AL,NA,NA,81.03162775293923,86.70920980067753
35184,Bibb County,AL,NA,NA,53.825136612021865,2.591979831403136
35203,Jefferson County,AL,NA,NA,54.139758238118894,NA
35204,Jefferson County,AL,NA,98.05050952591937,77.41347905282332,85.11778145434491
35205,Jefferson County,AL,NA,92.73371732388127,NA,43.43338848184038
35206,Jefferson County,AL,NA,96.74346477625167,95.33863222387812,59.985818955329705
35207,Jefferson County,AL,NA,95.45857332742578,72.44576916708064,82.08461356653274
35208,Jefferson County,AL,NA,94.02968542312806,81.65259148865707,96.43110375797683
35209,Jefferson County,AL,NA,78.11253876827648,46.39841033283656,46.06476010399433
35210,Jefferson County,AL,NA,15.440850686752325,86.28084119887399,90.1756873867486
35211,Jefferson County,AL,NA,80.08418254319893,73.96920019870839,44.701804144016386
35212,Jefferson County,AL,76.6504854368932,65.7620735489588,57.21145885080311,98.51886866776964
35213,Jefferson County,AL,61.6504854368932,NA,2.409339294585196,2.30048057984716
35214,Jefferson County,AL,NA,76.61719096145325,70.16890213611525,96.86441345623572
35215,Jefferson County,AL,NA,79.76295968099247,90.7103825136612,55.44000630268652
35216,Jefferson County,AL,NA,41.072219760744346,30.849478390462,42.5904041597731
35217,Jefferson County,AL,33.398058252427184,66.31590607000443,98.27786057294254,97.47104703379816
35218,Jefferson County,AL,97.52427184466019,98.13912272928667,96.82066567312468,67.34420546758055
35221,Jefferson County,AL,NA,96.38901196278246,92.68918695148204,97.84920822500591
35222,Jefferson County,AL,86.94174757281553,NA,36.868686868686865,94.70574332309147
35223,Jefferson County,AL,95.67961165048544,NA,5.100182149362477,16.717875994642718
35224,Jefferson County,AL,NA,99.59016393442623,NA,NA
35226,Jefferson County,AL,NA,36.36464333185644,1.4571948998178506,68.27385172929962
35228,Jefferson County,AL,NA,47.31945059813912,6.789203510514986,63.208067438745765
35234,Jefferson County,AL,NA,99.75631369073992,97.50786554065243,90.77444260616087
35235,Jefferson County,AL,NA,88.24767390341161,40.91737042556714,47.01804144016387
35242,Shelby County,AL,24.951456310679614,34.636685866194064,57.004470938897164,56.936894351217205
35243,Jefferson County,AL,NA,NA,28.655406524258982,58.94587567950838
35244,Jefferson County,AL,NA,21.44439521488702,24.8468289451896,18.167493894272432
35401,Tuscaloosa County,AL,40.873786407766985,80.41648205582632,78.51465474416294,3.238005199716379
35404,Tuscaloosa County,AL,NA,92.3349579087284,89.94038748137109,36.492554951548094
35405,Tuscaloosa County,AL,42.33009708737864,55.36109880372175,11.881106143401226,7.68139919640747
35406,Tuscaloosa County,AL,NA,60.65573770491803,13.114754098360656,6.6729693531867955
35442,Pickens County,AL,NA,32.33274257864422,70.30137439973505,NA
35453,Tuscaloosa County,AL,91.06796116504854,NA,75.40155654909753,57.8586622547861
35462,Greene County,AL,90.48543689320388,77.33717323881258,79.77314124855108,71.74032931537067
35466,Pickens County,AL,NA,35.821887461231725,67.15515813876469,34.06602064129836
35470,Sumter County,AL,NA,96.7766947275144,43.103162775293924,11.124241708028046
35473,Tuscaloosa County,AL,NA,64.12272928666371,7.51780096042391,3.001654455211534
35474,Hale County,AL,NA,99.34647762516616,93.41778440139096,95.50933585440794
35475,Tuscaloosa County,AL,NA,59.42622950819673,0.9190263288623944,41.148664618293544
35476,Tuscaloosa County,AL,NA,49.479397430217105,74.01887729756582,36.42164972819664
35501,Walker County,AL,72.03883495145631,NA,73.09985096870342,40.0535728354211
35503,Walker County,AL,NA,35.67789100575986,25.658221559860905,64.10620026786418
35504,Walker County,AL,NA,15.485157288435976,23.12468951813214,83.72331206176634
35541,Winston County,AL,NA,94.58351794417368,NA,NA
35546,Fayette County,AL,72.57281553398059,77.12671688081524,33.200861069713525,61.45119357125976
35549,Walker County,AL,NA,73.85910500664599,NA,96.8092649491846
35550,Walker County,AL,87.03883495145631,71.38901196278246,NA,75.38013078074529
35553,Winston County,AL,NA,NA,22.39609206822322,93.30339557236272
