ZipCode,county,state,Retirement
35405,Tuscaloosa County,AL,14.124293785310735
35622,Morgan County,AL,96.045197740113
35960,Cherokee County,AL,81.35593220338984
85085,Maricopa County,AZ,86.4406779661017
85375,Maricopa County,AZ,25.98870056497175
71854,Miller County,AR,30.508474576271187
72023,Lonoke County,AR,32.20338983050847
72901,Sebastian County,AR,74.01129943502825
90047,Los Angeles County,CA,15.254237288135593
91311,Los Angeles County,CA,55.932203389830505
92020,San Diego County,CA,7.909604519774012
92111,San Diego County,CA,83.61581920903954
92805,Orange County,CA,43.50282485875706
92807,Orange County,CA,42.3728813559322
92867,Orange County,CA,58.75706214689266
92870,Orange County,CA,27.683615819209038
93722,Fresno County,CA,17.51412429378531
95116,Santa Clara County,CA,55.367231638418076
95356,Stanislaus County,CA,44.06779661016949
95841,Sacramento County,CA,97.74011299435028
95966,Butte County,CA,10.16949152542373
80215,Jefferson County,CO,82.485875706214685
80223,Denver County,CO,58.19209039548022
32081,St. Johns County,FL,84.7457627118644
32207,Duval County,FL,12.429378531073446
32216,Duval County,FL,33.89830508474576
32219,Duval County,FL,70.05649717514125
32224,Duval County,FL,45.76271186440678
32931,Brevard County,FL,67.2316384180791
32953,Brevard County,FL,59.887005649717516
33023,Broward County,FL,46.89265536723164
33401,Palm Beach County,FL,76.27118644067797
33803,Polk County,FL,60.451977401129945
33876,Highlands County,FL,96.61016949152543
33912,Lee County,FL,48.0225988700565
34736,Lake County,FL,51.9774011299435
30005,Fulton County,GA,77.40112994350282
30034,DeKalb County,GA,27.11864406779661
30240,Troup County,GA,28.8135593220339
30313,Fulton County,GA,97.17514124293785
30401,Emanuel County,GA,66.66666666666666
30655,Walton County,GA,66.10169491525424
30731,Chattooga County,GA,99.43502824858757
31520,Glynn County,GA,59.32203389830508
96746,Kauai County,HI,72.88135593220339
96816,Honolulu County,HI,19.774011299435028
83404,Bonneville County,ID,53.10734463276836
60014,McHenry County,IL,16.94915254237288
60045,Lake County,IL,26.55367231638418
60064,Lake County,IL,89.83050847457628
60091,Cook County,IL,25.423728813559322
60148,DuPage County,IL,6.779661016949152
60439,Cook County,IL,20.903954802259886
60448,Will County,IL,51.41242937853108
60543,Kendall County,IL,79.66101694915254
60621,Cook County,IL,37.28813559322034
60643,Cook County,IL,3.954802259887006
60651,Cook County,IL,9.03954802259887
60714,Cook County,IL,41.24293785310734
61701,McLean County,IL,33.33333333333333
46052,Boone County,IN,52.54237288135594
46126,Shelby County,IN,100
46151,Morgan County,IN,23.728813559322035
46327,Lake County,IN,61.5819209039548
46403,Lake County,IN,64.40677966101694
46582,Kosciusko County,IN,91.52542372881356
50703,Black Hawk County,IA,36.15819209039548
66062,Johnson County,KS,18.64406779661017
66213,Johnson County,KS,50.282485875706215
67005,Cowley County,KS,76.8361581920904
40447,Jackson County,KY,85.87570621468926
40508,Fayette County,KY,69.49152542372882
41017,Kenton County,KY,24.293785310734464
42718,Taylor County,KY,40.67796610169492
70805,East Baton Rouge Parish,LA,32.7683615819209
71055,Webster Parish,LA,38.4180790960452
71232,Richland Parish,LA,74.57627118644068
20748,Prince George's County,MD,67.79661016949152
01040,Hampden County,MA,0
01564,Worcester County,MA,84.18079096045197
01570,Worcester County,MA,89.26553672316385
01904,Essex County,MA,14.689265536723164
02026,Norfolk County,MA,19.2090395480226
02360,Plymouth County,MA,0.5649717514124294
48060,St. Clair County,MI,6.214689265536723
48108,Washtenaw County,MI,35.59322033898305
48162,Monroe County,MI,2.824858757062147
48326,Oakland County,MI,57.6271186440678
48342,Oakland County,MI,39.548022598870055
48348,Oakland County,MI,47.45762711864407
48428,Lapeer County,MI,88.13559322033898
48632,Clare County,MI,87.57062146892656
48638,Saginaw County,MI,45.19774011299435
48910,Ingham County,MI,15.819209039548024
49431,Mason County,MI,28.24858757062147
56101,Cottonwood County,MN,75.70621468926554
39213,Hinds County,MS,54.23728813559322
39429,Marion County,MS,68.92655367231639
39465,Forrest County,MS,80.22598870056498
63119,St. Louis County,MO,44.632768361581924
63304,St. Charles County,MO,16.38418079096045
64465,Clinton County,MO,98.30508474576271
64804,Jasper County,MO,9.6045197740113
65711,Wright County,MO,78.53107344632768
89506,Washoe County,NV,35.02824858757062
03825,Strafford County,NH,49.717514124293785
07726,Monmouth County,NJ,29.37853107344633
10468,Bronx County,NY,1.694915254237288
10469,Bronx County,NY,37.85310734463277
10520,Westchester County,NY,77.96610169491525
11355,Queens County,NY,20.33898305084746
11369,Queens County,NY,63.84180790960452
12157,Schoharie County,NY,95.48022598870057
13440,Oneida County,NY,5.649717514124294
14221,Erie County,NY,2.2598870056497176
27107,Forsyth County,NC,3.389830508474576
27518,Wake County,NC,57.06214689265536
27519,Wake County,NC,56.49717514124294
28213,Mecklenburg County,NC,54.80225988700565
28792,Henderson County,NC,11.299435028248588
43055,Licking County,OH,1.1299435028248588
43113,Pickaway County,OH,46.32768361581921
43402,Wood County,OH,90.96045197740112
44142,Cuyahoga County,OH,21.468926553672315
44146,Cuyahoga County,OH,18.07909604519774
44310,Summit County,OH,24.858757062146893
44515,Mahoning County,OH,12.429378531073446
45385,Greene County,OH,8.47457627118644
73529,Stephens County,OK,92.65536723163842
74006,Washington County,OK,40.11299435028249
74012,Tulsa County,OK,13.559322033898304
74066,Creek County,OK,38.983050847457626
74145,Tulsa County,OK,65.5367231638418
97520,Jackson County,OR,50.847457627118644
15219,Allegheny County,PA,53.672316384180796
16335,Crawford County,PA,10.734463276836157
17011,Cumberland County,PA,22.033898305084744
17110,Dauphin County,PA,29.37853107344633
18062,Lehigh County,PA,34.463276836158194
18702,Luzerne County,PA,4.519774011299435
18966,Bucks County,PA,11.864406779661017
19075,Montgomery County,PA,98.87005649717514
19111,Philadelphia County,PA,5.084745762711865
19120,Philadelphia County,PA,7.344632768361582
29316,Spartanburg County,SC,36.72316384180791
29349,Spartanburg County,SC,22.598870056497177
29431,Berkeley County,SC,92.09039548022598
29657,Pickens County,SC,62.71186440677966
37327,Sequatchie County,TN,64.97175141242938
37388,Coffee County,TN,42.93785310734463
38068,Fayette County,TN,81.92090395480226
75074,Collin County,TX,70.62146892655367
75089,Dallas County,TX,71.1864406779661
75407,Collin County,TX,72.31638418079096
75644,Upshur County,TX,88.70056497175142
77083,Harris County,TX,31.07344632768362
77084,Harris County,TX,62.14689265536724
77422,Brazoria County,TX,75.14124293785311
77833,Washington County,TX,31.63841807909605
78586,Cameron County,TX,48.58757062146893
78704,Travis County,TX,80.7909604519774
79413,Lubbock County,TX,94.91525423728814
05701,Rutland County,VT,41.80790960451977
20110,Manassas city,VA,60.451977401129945
20170,Fairfax County,VA,49.152542372881356
20191,Fairfax County,VA,68.36158192090396
20194,Fairfax County,VA,93.78531073446328
22920,Nelson County,VA,94.35028248587571
22942,Louisa County,VA,90.3954802259887
24401,Staunton city,VA,79.09604519774011
98008,King County,WA,71.75141242937853
98043,Snohomish County,WA,93.22033898305084
98133,King County,WA,23.163841807909606
98166,King County,WA,83.05084745762711
99037,Spokane County,WA,85.31073446327684
26155,Wetzel County,WV,63.2768361581921
53083,Sheboygan County,WI,87.00564971751412
82501,Fremont County,WY,73.44632768361582
