fips,county,state,Under18,Over18
01001,Autauga County,AL,NA,8.951841359773372
01003,Baldwin County,AL,22.041420118343193,61.98300283286119
01005,Barbour County,AL,NA,75.1841359773371
01007,Bibb County,AL,98.07692307692307,27.25212464589235
01009,Blount County,AL,NA,38.30028328611898
01013,Butler County,AL,NA,90.9915014164306
01015,Calhoun County,AL,23.076923076923077,73.76770538243626
01017,Chambers County,AL,NA,82.54957507082153
01019,Cherokee County,AL,90.38461538461539,78.13031161473087
01021,Chilton County,AL,NA,16.543909348441925
01025,Clarke County,AL,NA,96.43059490084985
01031,Coffee County,AL,91.86390532544378,48.6685552407932
01033,Colbert County,AL,91.71597633136095,78.75354107648725
01037,Coosa County,AL,NA,96.8271954674221
01039,Covington County,AL,88.90532544378699,91.38810198300284
01043,Cullman County,AL,51.03550295857988,15.524079320113316
01045,Dale County,AL,NA,47.875354107648725
01047,Dallas County,AL,NA,73.03116147308782
01049,DeKalb County,AL,NA,81.35977337110482
01051,Elmore County,AL,NA,47.422096317280456
01053,Escambia County,AL,67.01183431952663,10.198300283286118
01055,Etowah County,AL,NA,75.92067988668555
01057,Fayette County,AL,NA,84.87252124645892
01059,Franklin County,AL,NA,83.05949008498584
01061,Geneva County,AL,82.54437869822485,87.08215297450424
01065,Hale County,AL,NA,33.48441926345609
01067,Henry County,AL,NA,56.20396600566572
01069,Houston County,AL,NA,61.01983002832861
01071,Jackson County,AL,NA,74.39093484419263
01073,Jefferson County,AL,25.443786982248522,55.580736543909346
01077,Lauderdale County,AL,NA,28.951841359773372
01079,Lawrence County,AL,NA,53.76770538243626
01081,Lee County,AL,NA,49.68838526912182
01083,Limestone County,AL,28.106508875739642,21.98300283286119
01085,Lowndes County,AL,NA,99.4900849858357
01087,Macon County,AL,NA,77.84702549575071
01089,Madison County,AL,23.5207100591716,95.92067988668556
01093,Marion County,AL,NA,70.48158640226629
01095,Marshall County,AL,NA,84.98583569405099
01097,Mobile County,AL,4.5857988165680474,67.64872521246458
01099,Monroe County,AL,NA,73.42776203966007
01101,Montgomery County,AL,13.461538461538462,62.37960339943343
01103,Morgan County,AL,43.786982248520715,46.91218130311615
01105,Perry County,AL,NA,93.31444759206798
01107,Pickens County,AL,89.3491124260355,NA
01109,Pike County,AL,74.40828402366864,NA
01113,Russell County,AL,NA,77.22379603399433
01115,St. Clair County,AL,42.15976331360947,26.288951841359776
01117,Shelby County,AL,NA,5.779036827195467
01119,Sumter County,AL,93.49112426035504,97.62039660056658
01121,Talladega County,AL,NA,33.654390934844194
01123,Tallapoosa County,AL,NA,64.8158640226629
01125,Tuscaloosa County,AL,61.68639053254438,58.016997167138804
01127,Walker County,AL,NA,63.28611898016997
01133,Winston County,AL,72.92899408284023,77.84702549575071
02020,Anchorage Municipality,AK,22.928994082840237,43.51274787535411
02122,Kenai Peninsula Borough,AK,NA,30.76487252124646
02130,Ketchikan Gateway Borough,AK,NA,76.88385269121814
04001,Apache County,AZ,10.502958579881657,87.42209631728045
04003,Cochise County,AZ,NA,61.13314447592067
04005,Coconino County,AZ,6.656804733727811,58.753541076487245
04007,Gila County,AZ,NA,93.1444759206799
04012,La Paz County,AZ,NA,80.5099150141643
04013,Maricopa County,AZ,20.857988165680474,27.53541076487252
04015,Mohave County,AZ,NA,54.5042492917847
04017,Navajo County,AZ,19.526627218934912,13.144475920679888
04019,Pima County,AZ,1.183431952662722,31.218130311614733
04021,Pinal County,AZ,64.05325443786982,59.036827195467424
04025,Yavapai County,AZ,NA,61.47308781869688
04027,Yuma County,AZ,41.27218934911242,65.6657223796034
