fips,county,state,Over18
01001,Autauga County,AL,NA
01003,Baldwin County,AL,11.685552407932011
01005,Barbour County,AL,NA
01007,Bibb County,AL,NA
01009,Blount County,AL,25.21246458923513
01011,Bullock County,AL,88.03116147308782
01013,Butler County,AL,66.43059490084985
01015,Calhoun County,AL,NA
01017,Chambers County,AL,NA
01019,Cherokee County,AL,NA
01021,Chilton County,AL,NA
01025,Clarke County,AL,NA
01027,Clay County,AL,83.356940509915
01029,Cleburne County,AL,NA
01031,Coffee County,AL,32.79036827195468
01033,Colbert County,AL,NA
01035,Conecuh County,AL,97.30878186968839
01037,Coosa County,AL,NA
01039,Covington County,AL,88.81019830028329
01041,Crenshaw County,AL,NA
01043,Cullman County,AL,71.17563739376772
01045,Dale County,AL,NA
01047,Dallas County,AL,55.169971671388105
01049,DeKalb County,AL,NA
01051,Elmore County,AL,66.57223796033995
01053,Escambia County,AL,NA
01055,Etowah County,AL,1.9121813031161474
01057,Fayette County,AL,NA
01059,Franklin County,AL,NA
01061,Geneva County,AL,74.07932011331445
01063,Greene County,AL,NA
01065,Hale County,AL,NA
01067,Henry County,AL,NA
01069,Houston County,AL,18.342776203966004
01071,Jackson County,AL,94.19263456090651
01073,Jefferson County,AL,61.756373937677054
01075,Lamar County,AL,NA
01077,Lauderdale County,AL,52.69121813031161
01079,Lawrence County,AL,94.54674220963173
01081,Lee County,AL,23.158640226628897
01083,Limestone County,AL,46.95467422096317
01085,Lowndes County,AL,NA
01087,Macon County,AL,NA
01089,Madison County,AL,45.963172804532576
01091,Marengo County,AL,NA
01093,Marion County,AL,NA
01095,Marshall County,AL,28.89518413597734
01097,Mobile County,AL,34.56090651558073
01099,Monroe County,AL,83.85269121813032
01101,Montgomery County,AL,69.75920679886686
01103,Morgan County,AL,31.303116147308778
01105,Perry County,AL,NA
01107,Pickens County,AL,75.21246458923513
01109,Pike County,AL,NA
01111,Randolph County,AL,NA
01113,Russell County,AL,25.77903682719547
01115,St. Clair County,AL,73.86685552407933
01117,Shelby County,AL,30.31161473087819
01119,Sumter County,AL,NA
01121,Talladega County,AL,44.405099150141645
01123,Tallapoosa County,AL,NA
01125,Tuscaloosa County,AL,38.81019830028329
01127,Walker County,AL,8.286118980169972
01129,Washington County,AL,NA
01131,Wilcox County,AL,99.5042492917847
01133,Winston County,AL,92.56373937677054
02020,Anchorage Municipality,AK,9.98583569405099
02050,Bethel Census Area,AK,NA
02070,Dillingham Census Area,AK,NA
02090,Fairbanks North Star Borough,AK,NA
02110,Juneau City and Borough,AK,NA
02122,Kenai Peninsula Borough,AK,NA
02130,Ketchikan Gateway Borough,AK,NA
02150,Kodiak Island Borough,AK,NA
02170,Matanuska-Susitna Borough,AK,30.807365439093488
02180,Nome Census Area,AK,NA
