ZipCode,county,state,Youth,Adult,Retirement,Geriatric
35010,Tallapoosa County,AL,NA,NA,NA,23.96341463414634
35014,Talladega County,AL,NA,95.48346055979644,NA,NA
35022,Jefferson County,AL,NA,NA,61.358447488584474,NA
35023,Jefferson County,AL,NA,NA,38.29908675799087,NA
35040,Shelby County,AL,NA,43.25699745547074,NA,NA
35044,Talladega County,AL,NA,81.23409669211196,NA,NA
35116,Jefferson County,AL,NA,92.30279898218829,NA,NA
35127,Jefferson County,AL,NA,NA,48.74429223744292,NA
35160,Talladega County,AL,NA,NA,35.44520547945205,NA
35173,Jefferson County,AL,NA,NA,NA,41.15853658536585
35204,Jefferson County,AL,NA,NA,55.821917808219176,NA
35207,Jefferson County,AL,NA,NA,74.65753424657534,NA
35215,Jefferson County,AL,10.30640668523677,6.679389312977099,NA,NA
35226,Jefferson County,AL,NA,NA,NA,99.45121951219512
35228,Jefferson County,AL,NA,53.81679389312977,NA,NA
35235,Jefferson County,AL,NA,72.90076335877863,NA,NA
35244,Jefferson County,AL,NA,41.98473282442748,NA,NA
35406,Tuscaloosa County,AL,NA,64.75826972010178,NA,NA
35442,Pickens County,AL,NA,NA,NA,89.39024390243902
35462,Greene County,AL,NA,NA,89.04109589041096,NA
35475,Tuscaloosa County,AL,NA,NA,NA,69.8780487804878
35603,Morgan County,AL,NA,NA,25.91324200913242,NA
35611,Limestone County,AL,NA,NA,18.550228310502284,48.59756097560975
35630,Lauderdale County,AL,NA,26.017811704834603,NA,NA
35640,Morgan County,AL,NA,NA,28.71004566210046,NA
35661,Colbert County,AL,NA,80.1526717557252,NA,NA
35758,Madison County,AL,NA,NA,NA,59.573170731707314
35761,Madison County,AL,NA,NA,64.84018264840182,98.78048780487805
35763,Madison County,AL,NA,NA,46.34703196347032,NA
35769,Jackson County,AL,98.32869080779945,NA,NA,NA
35806,Madison County,AL,NA,68.89312977099237,NA,NA
35810,Madison County,AL,NA,26.14503816793893,NA,NA
35951,Marshall County,AL,34.26183844011142,NA,NA,NA
35952,Etowah County,AL,NA,79.77099236641222,NA,NA
35976,Marshall County,AL,NA,80.40712468193384,NA,NA
35983,Cherokee County,AL,NA,91.15776081424937,NA,NA
36010,Pike County,AL,NA,86.70483460559797,NA,NA
36027,Barbour County,AL,NA,34.35114503816794,NA,NA
36083,Macon County,AL,NA,79.19847328244275,NA,NA
36092,Elmore County,AL,NA,39.56743002544529,NA,NA
36104,Montgomery County,AL,NA,NA,66.89497716894978,NA
36109,Montgomery County,AL,NA,42.8117048346056,NA,NA
36111,Montgomery County,AL,NA,78.81679389312977,NA,NA
36203,Calhoun County,AL,NA,NA,42.29452054794521,NA
36206,Calhoun County,AL,NA,65.64885496183206,NA,NA
36264,Cleburne County,AL,73.25905292479109,NA,NA,NA
36401,Conecuh County,AL,NA,NA,74.94292237442922,NA
36420,Covington County,AL,NA,NA,NA,53.35365853658537
36467,Covington County,AL,NA,NA,NA,71.28048780487805
36502,Escambia County,AL,NA,NA,NA,82.68292682926828
36530,Baldwin County,AL,NA,91.03053435114504,NA,NA
36532,Baldwin County,AL,NA,NA,18.32191780821918,NA
36567,Baldwin County,AL,NA,56.170483460559794,NA,NA
36575,Mobile County,AL,NA,NA,91.49543378995433,NA
36607,Mobile County,AL,NA,NA,77.85388127853882,NA
36608,Mobile County,AL,NA,65.71246819338423,NA,NA
36703,Dallas County,AL,NA,NA,48.51598173515982,NA
36732,Marengo County,AL,NA,NA,83.21917808219177,NA
36767,Dallas County,AL,97.49303621169916,NA,NA,NA
36784,Clarke County,AL,NA,79.89821882951654,NA,NA
36863,Chambers County,AL,NA,NA,56.278538812785385,NA
36877,Lee County,AL,NA,NA,95.03424657534246,NA
