ZipCode,county,state,Youth,Pediatric,Adult,Retirement
35005,Jefferson County,AL,NA,NA,79.14847161572052,NA
35040,Shelby County,AL,NA,NA,45.19650655021834,NA
35045,Chilton County,AL,49.88399071925754,NA,93.77729257641921,NA
35080,Shelby County,AL,NA,89.3103448275862,NA,NA
35127,Jefferson County,AL,NA,NA,NA,59.401709401709404
35211,Jefferson County,AL,NA,58.9655172413793,NA,NA
35212,Jefferson County,AL,NA,78.27586206896552,NA,NA
35213,Jefferson County,AL,NA,NA,NA,64.1025641025641
35215,Jefferson County,AL,NA,38.96551724137931,NA,NA
35244,Jefferson County,AL,NA,NA,72.70742358078603,NA
35466,Pickens County,AL,NA,84.13793103448276,NA,NA
35504,Walker County,AL,51.04408352668214,NA,NA,NA
35555,Fayette County,AL,60.78886310904872,55.86206896551724,NA,NA
35620,Limestone County,AL,NA,NA,76.9650655021834,NA
35648,Lauderdale County,AL,91.87935034802784,NA,NA,NA
35673,Morgan County,AL,NA,NA,65.17467248908298,NA
35768,Jackson County,AL,NA,NA,55.567685589519655,NA
35801,Madison County,AL,NA,78.62068965517241,NA,NA
35811,Madison County,AL,NA,NA,68.01310043668121,NA
35901,Etowah County,AL,NA,NA,62.66375545851528,NA
35904,Etowah County,AL,NA,NA,71.2882096069869,NA
35907,Etowah County,AL,75.4060324825986,NA,NA,NA
35951,Marshall County,AL,NA,NA,60.37117903930132,88.46153846153845
35957,Marshall County,AL,NA,NA,43.01310043668122,NA
35976,Marshall County,AL,NA,60.689655172413794,NA,35.8974358974359
35980,Marshall County,AL,95.59164733178655,NA,NA,NA
35986,DeKalb County,AL,NA,NA,74.67248908296943,NA
36066,Autauga County,AL,NA,NA,NA,79.91452991452992
36116,Montgomery County,AL,NA,NA,49.78165938864629,NA
36206,Calhoun County,AL,NA,NA,70.52401746724891,NA
36272,Calhoun County,AL,NA,64.82758620689654,NA,NA
36274,Randolph County,AL,NA,76.55172413793103,NA,NA
36580,Baldwin County,AL,NA,NA,95.41484716157204,NA
36582,Mobile County,AL,NA,NA,44.54148471615721,NA
36605,Mobile County,AL,48.95591647331787,NA,NA,NA
36786,Perry County,AL,NA,NA,96.17903930131004,NA
99507,Anchorage Municipality,AK,16.70533642691415,NA,NA,NA
99701,Fairbanks North Star Borough,AK,NA,NA,32.751091703056765,NA
85016,Maricopa County,AZ,NA,NA,NA,35.47008547008547
85138,Pinal County,AZ,NA,NA,66.92139737991266,NA
85213,Maricopa County,AZ,28.770301624129928,NA,NA,NA
85301,Maricopa County,AZ,2.784222737819025,NA,22.270742358078603,NA
85305,Maricopa County,AZ,81.67053364269141,NA,NA,NA
85326,Maricopa County,AZ,NA,NA,27.62008733624454,NA
85382,Maricopa County,AZ,76.33410672853829,NA,43.995633187772924,NA
85711,Pima County,AZ,NA,NA,NA,14.957264957264957
85730,Pima County,AZ,NA,NA,25.109170305676855,NA
85739,Pinal County,AZ,NA,NA,60.58951965065502,NA
85757,Pima County,AZ,NA,NA,25.327510917030565,NA
85901,Navajo County,AZ,NA,NA,NA,27.77777777777778
85941,Apache County,AZ,NA,98.27586206896551,NA,NA
86004,Coconino County,AZ,NA,NA,6.986899563318777,NA
86314,Yavapai County,AZ,NA,NA,16.70305676855895,NA
86322,Yavapai County,AZ,NA,NA,83.4061135371179,NA
71701,Ouachita County,AR,NA,NA,NA,55.55555555555556
71832,Sevier County,AR,NA,NA,80.24017467248909,NA
72002,Saline County,AR,NA,NA,NA,68.80341880341881
72023,Lonoke County,AR,81.90255220417633,NA,NA,NA
72150,Grant County,AR,NA,NA,76.41921397379913,NA
72204,Pulaski County,AR,NA,NA,NA,29.48717948717949
72209,Pulaski County,AR,NA,NA,48.799126637554586,NA
72390,Phillips County,AR,NA,NA,NA,84.1880341880342
72472,Poinsett County,AR,95.82366589327145,NA,NA,NA
72730,Washington County,AR,85.61484918793504,NA,NA,NA
90027,Los Angeles County,CA,NA,NA,95.85152838427948,NA
90041,Los Angeles County,CA,NA,NA,86.24454148471615,NA
90744,Los Angeles County,CA,NA,NA,54.14847161572053,NA
90745,Los Angeles County,CA,NA,NA,83.9519650655022,NA
91362,Ventura County,CA,40.60324825986079,NA,NA,NA
91752,Riverside County,CA,NA,NA,NA,62.82051282051282
91766,Los Angeles County,CA,NA,NA,NA,47.008547008547005
91941,San Diego County,CA,NA,NA,86.46288209606988,NA
91977,San Diego County,CA,55.68445475638051,NA,NA,NA
92014,San Diego County,CA,NA,NA,90.72052401746726,NA
92026,San Diego County,CA,NA,NA,76.63755458515283,NA
92120,San Diego County,CA,NA,NA,74.235807860262,NA
92122,San Diego County,CA,NA,NA,68.44978165938865,NA
92154,San Diego County,CA,NA,NA,34.49781659388647,NA
92223,Riverside County,CA,NA,NA,NA,40.17094017094017
92345,San Bernardino County,CA,NA,NA,33.624454148471614,NA
92509,Riverside County,CA,NA,NA,69.32314410480349,NA
92618,Orange County,CA,NA,NA,58.29694323144105,NA
92626,Orange County,CA,NA,NA,38.1004366812227,NA
92630,Orange County,CA,59.39675174013921,NA,NA,NA
92656,Orange County,CA,NA,NA,61.46288209606987,NA
92660,Orange County,CA,NA,NA,55.786026200873366,NA
92683,Orange County,CA,NA,NA,NA,20.085470085470085
92887,Orange County,CA,NA,NA,97.27074235807859,NA
93277,Tulare County,CA,NA,NA,24.126637554585155,NA
93304,Kern County,CA,12.993039443155451,30,NA,NA
93536,Los Angeles County,CA,NA,NA,38.75545851528384,NA
93550,Los Angeles County,CA,NA,NA,13.100436681222707,NA
93636,Madera County,CA,NA,64.13793103448275,NA,NA
93701,Fresno County,CA,NA,82.06896551724138,NA,NA
93722,Fresno County,CA,NA,NA,9.170305676855897,NA
94030,San Mateo County,CA,NA,NA,NA,60.256410256410255
94066,San Mateo County,CA,NA,NA,40.28384279475983,NA
94086,Santa Clara County,CA,NA,NA,NA,73.07692307692307
94102,San Francisco County,CA,NA,NA,30.021834061135372,NA
94103,San Francisco County,CA,NA,NA,11.899563318777293,NA
94116,San Francisco County,CA,NA,NA,51.7467248908297,NA
94124,San Francisco County,CA,NA,NA,52.94759825327511,NA
94507,Contra Costa County,CA,NA,NA,94.43231441048034,NA
94542,Alameda County,CA,NA,NA,84.93449781659389,NA
94549,Contra Costa County,CA,49.651972157772626,NA,NA,NA
94553,Contra Costa County,CA,22.96983758700696,NA,NA,NA
94556,Contra Costa County,CA,NA,NA,84.49781659388647,NA
94577,Alameda County,CA,NA,NA,33.95196506550218,NA
94612,Alameda County,CA,82.5986078886311,NA,NA,NA
94925,Marin County,CA,80.04640371229699,NA,NA,NA
