fips,county,state,Under18,Over18
01003,Baldwin County,AL,NA,42.5287356321839
01073,Jefferson County,AL,NA,9.961685823754788
01095,Marshall County,AL,NA,58.23754789272031
01113,Russell County,AL,NA,81.60919540229885
04013,Maricopa County,AZ,13.537117903930133,3.4482758620689653
04017,Navajo County,AZ,NA,59.38697318007663
04019,Pima County,AZ,3.4934497816593884,NA
04023,Santa Cruz County,AZ,81.6593886462882,NA
05069,Jefferson County,AR,NA,71.26436781609196
05085,Lonoke County,AR,NA,76.62835249042146
06007,Butte County,CA,NA,31.800766283524908
06017,El Dorado County,CA,NA,45.97701149425287
06035,Lassen County,CA,NA,94.6360153256705
06037,Los Angeles County,CA,0,1.1494252873563218
06059,Orange County,CA,2.6200873362445414,0.7662835249042145
06065,Riverside County,CA,NA,2.2988505747126435
06073,San Diego County,CA,0.8733624454148471,1.532567049808429
06075,San Francisco County,CA,29.694323144104807,10.727969348659004
06081,San Mateo County,CA,NA,15.32567049808429
06097,Sonoma County,CA,47.161572052401745,NA
06099,Stanislaus County,CA,24.45414847161572,NA
06107,Tulare County,CA,NA,34.099616858237546
06111,Ventura County,CA,10.91703056768559,NA
06115,Yuba County,CA,NA,80.84291187739464
08001,Adams County,CO,NA,35.63218390804598
08005,Arapahoe County,CO,NA,37.16475095785441
08031,Denver County,CO,34.49781659388647,NA
08041,El Paso County,CO,23.580786026200872,NA
08059,Jefferson County,CO,NA,29.50191570881226
08069,Larimer County,CO,32.751091703056765,NA
08085,Montrose County,CO,89.95633187772926,NA
08123,Weld County,CO,56.76855895196506,NA
09001,Fairfield County,CT,NA,8.045977011494253
09003,Hartford County,CT,19.65065502183406,4.597701149425287
09005,Litchfield County,CT,62.882096069869,NA
09009,New Haven County,CT,7.423580786026202,4.21455938697318
09013,Tolland County,CT,65.06550218340611,70.88122605363985
09015,Windham County,CT,71.17903930131004,55.55555555555556
11001,District of Columbia,DC,16.593886462882097,32.95019157088122
12023,Columbia County,FL,66.37554585152839,NA
12031,Duval County,FL,6.11353711790393,4.980842911877394
12033,Escambia County,FL,NA,22.988505747126435
12051,Hendry County,FL,89.51965065502183,NA
12057,Hillsborough County,FL,NA,32.18390804597701
12061,Indian River County,FL,NA,44.44444444444444
12071,Lee County,FL,17.03056768558952,NA
12086,Miami-Dade County,FL,25.327510917030565,27.969348659003828
12105,Polk County,FL,9.606986899563319,NA
12107,Putnam County,FL,88.20960698689956,NA
12111,St. Lucie County,FL,NA,50.95785440613027
12115,Sarasota County,FL,40.174672489082965,NA
13015,Bartow County,GA,NA,69.73180076628353
13021,Bibb County,GA,NA,55.938697318007655
13051,Chatham County,GA,53.275109170305676,NA
13063,Clayton County,GA,45.851528384279476,NA
13075,Cook County,GA,NA,98.46743295019157
13095,Dougherty County,GA,70.3056768558952,NA
13107,Emanuel County,GA,94.75982532751091,NA
13121,Fulton County,GA,NA,37.93103448275862
13133,Greene County,GA,NA,95.40229885057471
13153,Houston County,GA,NA,57.8544061302682
13233,Polk County,GA,82.09606986899564,NA
13245,Richmond County,GA,49.34497816593886,NA
13299,Ware County,GA,86.8995633187773,NA
15001,Hawaii County,HI,64.19213973799127,NA
16001,Ada County,ID,24.890829694323145,NA
16053,Jerome County,ID,92.13973799126637,NA
17031,Cook County,IL,3.056768558951965,7.662835249042145
17037,DeKalb County,IL,NA,68.19923371647509
17043,DuPage County,IL,NA,20.306513409961685
17077,Jackson County,IL,95.63318777292577,NA
17093,Kendall County,IL,71.61572052401746,NA
17097,Lake County,IL,29.257641921397383,NA
17099,LaSalle County,IL,NA,57.08812260536399
17137,Morgan County,IL,NA,99.61685823754789
17143,Peoria County,IL,NA,54.02298850574713
17163,St. Clair County,IL,NA,43.67816091954023
17197,Will County,IL,NA,11.877394636015326
17201,Winnebago County,IL,NA,52.87356321839081
18017,Cass County,IN,NA,75.09578544061303
18033,DeKalb County,IN,NA,83.14176245210729
18037,Dubois County,IN,NA,93.10344827586206
18069,Huntington County,IN,NA,79.6934865900383
18071,Jackson County,IN,NA,82.75862068965517
18075,Jay County,IN,NA,96.93486590038314
18089,Lake County,IN,38.864628820960704,NA
18095,Madison County,IN,58.515283842794766,NA
18097,Marion County,IN,5.240174672489083,NA
18163,Vanderburgh County,IN,NA,40.229885057471265
19007,Appanoose County,IA,98.68995633187772,NA
19019,Buchanan County,IA,NA,97.31800766283524
19033,Cerro Gordo County,IA,NA,81.22605363984674
19039,Clarke County,IA,NA,99.23371647509579
19057,Des Moines County,IA,NA,75.47892720306514
19083,Hardin County,IA,NA,98.08429118773945
19103,Johnson County,IA,NA,84.2911877394636
19111,Lee County,IA,NA,78.544061302682
19113,Linn County,IA,45.414847161572055,45.21072796934866
19137,Montgomery County,IA,NA,98.85057471264368
19153,Polk County,IA,25.76419213973799,86.59003831417624
19155,Pottawattamie County,IA,57.64192139737992,NA
19163,Scott County,IA,NA,49.042145593869726
19189,Winnebago County,IA,99.12663755458514,NA
20091,Johnson County,KS,NA,21.0727969348659
21015,Boone County,KY,NA,72.79693486590038
21021,Boyle County,KY,NA,91.18773946360153
21047,Christian County,KY,NA,76.24521072796935
21083,Graves County,KY,NA,85.0574712643678
21089,Greenup County,KY,83.84279475982532,NA
21111,Jefferson County,KY,7.860262008733625,NA
21117,Kenton County,KY,NA,44.06130268199234
21185,Oldham County,KY,NA,91.57088122605363
21195,Pike County,KY,NA,70.49808429118774
21209,Scott County,KY,90.39301310043668,NA
21235,Whitley County,KY,74.67248908296943,NA
22015,Bossier Parish,LA,NA,51.724137931034484
22017,Caddo Parish,LA,27.074235807860266,NA
22033,East Baton Rouge Parish,LA,6.550218340611353,NA
22051,Jefferson Parish,LA,12.22707423580786,NA
22053,Jefferson Davis Parish,LA,NA,87.73946360153256
22055,Lafayette Parish,LA,NA,50.57471264367817
22069,Natchitoches Parish,LA,NA,78.9272030651341
22071,Orleans Parish,LA,20.087336244541483,14.942528735632186
22079,Rapides Parish,LA,NA,67.43295019157088
22089,St. Charles Parish,LA,99.56331877729258,NA
22099,St. Martin Parish,LA,NA,71.64750957854406
22101,St. Mary Parish,LA,52.838427947598255,NA
22103,St. Tammany Parish,LA,10.480349344978166,NA
22119,Webster Parish,LA,69.86899563318777,NA
23005,Cumberland County,ME,NA,29.88505747126437
23007,Franklin County,ME,94.32314410480349,NA
23011,Kennebec County,ME,NA,60.91954022988506
23019,Penobscot County,ME,NA,41.37931034482759
23025,Somerset County,ME,67.68558951965066,NA
24031,Montgomery County,MD,63.75545851528385,NA
24033,Prince George's County,MD,NA,42.911877394636015
24041,Talbot County,MD,NA,89.272030651341
24510,Baltimore city,MD,NA,13.026819923371647
25005,Bristol County,MA,NA,18.39080459770115
25009,Essex County,MA,2.1834061135371177,0
25013,Hampden County,MA,16.157205240174672,25.287356321839084
25017,Middlesex County,MA,26.637554585152838,24.137931034482758
25021,Norfolk County,MA,NA,36.7816091954023
25023,Plymouth County,MA,8.73362445414847,18.007662835249043
25025,Suffolk County,MA,37.117903930131,33.33333333333333
25027,Worcester County,MA,1.3100436681222707,47.12643678160919
26015,Barry County,MI,NA,88.50574712643679
26021,Berrien County,MI,NA,40.61302681992337
26023,Branch County,MI,80.34934497816593,NA
26029,Charlevoix County,MI,93.88646288209607,NA
26037,Clinton County,MI,NA,77.01149425287356
26073,Isabella County,MI,75.10917030567686,NA
26081,Kent County,MI,8.296943231441048,NA
26099,Macomb County,MI,3.9301310043668125,14.17624521072797
26103,Marquette County,MI,NA,64.75095785440614
26111,Midland County,MI,NA,80.45977011494253
26113,Missaukee County,MI,NA,97.70114942528735
26117,Montcalm County,MI,NA,72.03065134099617
26121,Muskegon County,MI,34.93449781659388,NA
26125,Oakland County,MI,14.847161572052403,26.81992337164751
26145,Saginaw County,MI,NA,28.35249042145594
26147,St. Clair County,MI,58.07860262008734,NA
26149,St. Joseph County,MI,82.96943231441048,NA
26161,Washtenaw County,MI,26.200873362445414,18.773946360153257
26163,Wayne County,MI,48.03493449781659,44.827586206896555
27001,Aitkin County,MN,97.37991266375546,NA
27003,Anoka County,MN,NA,37.547892720306514
27007,Beltrami County,MN,NA,64.36781609195403
27027,Clay County,MN,75.54585152838428,NA
27037,Dakota County,MN,27.510917030567683,NA
27053,Hennepin County,MN,23.144104803493452,32.56704980842912
27061,Itasca County,MN,73.7991266375546,NA
27067,Kandiyohi County,MN,93.44978165938865,NA
27113,Pennington County,MN,NA,85.44061302681992
27123,Ramsey County,MN,NA,21.455938697318008
27131,Rice County,MN,85.58951965065502,NA
27137,St. Louis County,MN,41.92139737991266,NA
27157,Wabasha County,MN,96.94323144104804,NA
28033,DeSoto County,MS,NA,59.77011494252874
28035,Forrest County,MS,85.1528384279476,NA
28047,Harrison County,MS,64.62882096069869,NA
28085,Lincoln County,MS,NA,88.12260536398468
28113,Pike County,MS,NA,77.77777777777779
28123,Scott County,MS,NA,84.67432950191571
28145,Union County,MS,NA,96.55172413793103
29013,Bates County,MO,NA,93.48659003831418
29021,Buchanan County,MO,55.021834061135365,NA
29029,Camden County,MO,91.26637554585153,NA
29047,Clay County,MO,24.017467248908297,NA
29049,Clinton County,MO,NA,95.78544061302682
29071,Franklin County,MO,83.4061135371179,NA
29077,Greene County,MO,31.877729257641924,NA
29083,Henry County,MO,NA,86.97318007662835
29091,Howell County,MO,NA,92.33716475095785
29095,Jackson County,MO,11.353711790393014,3.8314176245210727
29097,Jasper County,MO,41.04803493449782,46.74329501915709
29099,Jefferson County,MO,NA,47.89272030651341
29113,Lincoln County,MO,79.47598253275109,NA
29169,Pulaski County,MO,92.57641921397381,NA
29177,Ray County,MO,NA,85.82375478927203
29183,St. Charles County,MO,NA,23.754789272030653
29187,St. Francois County,MO,62.00873362445415,NA
29189,St. Louis County,MO,51.96506550218341,NA
29215,Texas County,MO,NA,95.01915708812261
30013,Cascade County,MT,NA,60.53639846743295
31001,Adams County,NE,96.06986899563319,NA
31037,Colfax County,NE,NA,100
31109,Lancaster County,NE,54.14847161572053,NA
32003,Clark County,NV,NA,9.195402298850574
32031,Washoe County,NV,NA,26.053639846743295
32510,Carson City,NV,88.64628820960698,NA
33009,Grafton County,NH,NA,80.07662835249042
33015,Rockingham County,NH,NA,27.586206896551722
34001,Atlantic County,NJ,NA,22.22222222222222
34003,Bergen County,NJ,61.572052401746724,NA
34005,Burlington County,NJ,37.99126637554585,NA
34007,Camden County,NJ,17.46724890829694,6.513409961685824
34009,Cape May County,NJ,NA,50.191570881226056
34015,Gloucester County,NJ,NA,30.268199233716476
34021,Mercer County,NJ,50.65502183406113,21.839080459770116
34023,Middlesex County,NJ,9.170305676855897,9.578544061302683
34025,Monmouth County,NJ,NA,11.11111111111111
34031,Passaic County,NJ,NA,13.793103448275861
34039,Union County,NJ,NA,16.091954022988507
34041,Warren County,NJ,NA,69.34865900383141
35001,Bernalillo County,NM,47.59825327510917,8.42911877394636
35055,Taos County,NM,NA,89.65517241379311
36001,Albany County,NY,46.724890829694324,35.24904214559387
36005,Bronx County,NY,15.72052401746725,5.363984674329502
36007,Broome County,NY,46.288209606986904,NA
