fips,county,state,Under18,Over18
01003,Baldwin County,AL,53.273809523809526,NA
01015,Calhoun County,AL,NA,61.93771626297578
01053,Escambia County,AL,93.15476190476191,NA
01059,Franklin County,AL,94.94047619047619,NA
01075,Lamar County,AL,86.90476190476191,NA
01095,Marshall County,AL,NA,65.05190311418684
01101,Montgomery County,AL,40.773809523809526,NA
01111,Randolph County,AL,97.02380952380952,NA
01121,Talladega County,AL,55.35714285714286,NA
04001,Apache County,AZ,NA,92.73356401384083
04005,Coconino County,AZ,NA,81.66089965397923
04007,Gila County,AZ,NA,86.159169550173
04013,Maricopa County,AZ,23.214285714285715,25.60553633217993
04015,Mohave County,AZ,41.07142857142857,NA
04017,Navajo County,AZ,NA,69.20415224913495
04019,Pima County,AZ,2.083333333333333,1.7301038062283738
04021,Pinal County,AZ,NA,33.21799307958477
04027,Yuma County,AZ,65.17857142857143,NA
05027,Columbia County,AR,NA,98.96193771626297
06001,Alameda County,CA,20.833333333333336,21.10726643598616
06013,Contra Costa County,CA,15.476190476190476,NA
06019,Fresno County,CA,29.761904761904763,12.802768166089965
06025,Imperial County,CA,NA,83.04498269896193
06029,Kern County,CA,14.583333333333334,46.71280276816609
06037,Los Angeles County,CA,18.452380952380953,13.148788927335639
06039,Madera County,CA,63.095238095238095,NA
06053,Monterey County,CA,NA,64.01384083044984
06059,Orange County,CA,27.976190476190478,28.719723183391004
06065,Riverside County,CA,36.01190476190476,7.612456747404845
06067,Sacramento County,CA,38.98809523809524,3.4602076124567476
06069,San Benito County,CA,NA,92.38754325259517
06071,San Bernardino County,CA,25.595238095238095,34.94809688581315
06073,San Diego County,CA,0.8928571428571428,4.498269896193772
06075,San Francisco County,CA,NA,39.792387543252595
06077,San Joaquin County,CA,NA,41.522491349480966
06085,Santa Clara County,CA,11.011904761904761,NA
06095,Solano County,CA,NA,37.0242214532872
06099,Stanislaus County,CA,19.642857142857142,44.636678200692046
06111,Ventura County,CA,8.333333333333332,35.294117647058826
08001,Adams County,CO,NA,36.332179930795846
08005,Arapahoe County,CO,NA,40.13840830449827
08013,Boulder County,CO,37.202380952380956,NA
08031,Denver County,CO,NA,40.830449826989614
08035,Douglas County,CO,56.845238095238095,NA
08041,El Paso County,CO,17.559523809523807,24.91349480968858
08059,Jefferson County,CO,61.60714285714286,NA
08067,La Plata County,CO,NA,91.00346020761245
08069,Larimer County,CO,NA,59.16955017301038
08101,Pueblo County,CO,NA,78.54671280276817
08123,Weld County,CO,28.273809523809522,64.70588235294117
09001,Fairfield County,CT,26.190476190476193,28.027681660899656
09003,Hartford County,CT,NA,2.0761245674740483
09005,Litchfield County,CT,58.63095238095239,NA
09007,Middlesex County,CT,NA,49.82698961937716
09009,New Haven County,CT,NA,15.22491349480969
10003,New Castle County,DE,10.119047619047619,NA
10005,Sussex County,DE,57.44047619047619,NA
11001,District of Columbia,DC,12.797619047619047,57.785467128027676
12005,Bay County,FL,NA,47.40484429065744
12009,Brevard County,FL,51.78571428571429,NA
12011,Broward County,FL,10.714285714285714,0.6920415224913495
12031,Duval County,FL,17.261904761904763,NA
12051,Hendry County,FL,NA,93.07958477508652
12053,Hernando County,FL,NA,52.595155709342556
12057,Hillsborough County,FL,3.273809523809524,3.1141868512110724
12069,Lake County,FL,38.095238095238095,27.68166089965398
12081,Manatee County,FL,34.82142857142857,NA
12083,Marion County,FL,21.726190476190478,NA
12086,Miami-Dade County,FL,25.892857142857146,33.910034602076124
12089,Nassau County,FL,NA,75.77854671280276
12095,Orange County,FL,13.095238095238097,4.844290657439446
12097,Osceola County,FL,27.083333333333332,NA
12099,Palm Beach County,FL,NA,1.384083044982699
12103,Pinellas County,FL,NA,23.875432525951556
12105,Polk County,FL,6.845238095238096,NA
12113,Santa Rosa County,FL,NA,38.4083044982699
12115,Sarasota County,FL,59.523809523809526,15.916955017301039
12127,Volusia County,FL,NA,20.069204152249135
13003,Atkinson County,GA,100,NA
13015,Bartow County,GA,75,81.31487889273356
13057,Cherokee County,GA,60.11904761904761,NA
13063,Clayton County,GA,40.17857142857143,NA
13089,DeKalb County,GA,NA,39.44636678200692
13095,Dougherty County,GA,69.34523809523809,NA
13097,Douglas County,GA,NA,74.0484429065744
13117,Forsyth County,GA,80.05952380952381,NA
13121,Fulton County,GA,8.928571428571429,NA
13139,Hall County,GA,61.30952380952381,NA
13143,Haralson County,GA,90.47619047619048,NA
13153,Houston County,GA,67.85714285714286,NA
13237,Putnam County,GA,97.32142857142857,NA
13261,Sumter County,GA,96.72619047619048,NA
13295,Walker County,GA,66.66666666666666,NA
13299,Ware County,GA,82.14285714285714,NA
15003,Honolulu County,HI,26.488095238095237,NA
15007,Kauai County,HI,86.60714285714286,NA
16001,Ada County,ID,NA,58.13148788927336
16005,Bannock County,ID,63.69047619047619,NA
16055,Kootenai County,ID,NA,79.93079584775087
17031,Cook County,IL,1.488095238095238,9.688581314878892
17043,DuPage County,IL,41.66666666666667,2.422145328719723
17063,Grundy County,IL,70.83333333333334,NA
17097,Lake County,IL,22.61904761904762,NA
17111,McHenry County,IL,42.55952380952381,NA
17113,McLean County,IL,NA,73.70242214532871
17117,Macoupin County,IL,98.51190476190477,NA
17179,Tazewell County,IL,NA,71.280276816609
17197,Will County,IL,34.226190476190474,53.63321799307958
18019,Clark County,IN,63.39285714285714,NA
18033,DeKalb County,IN,NA,89.61937716262976
18035,Delaware County,IN,72.91666666666666,NA
18039,Elkhart County,IN,NA,60.207612456747405
18063,Hendricks County,IN,NA,75.08650519031141
18069,Huntington County,IN,79.76190476190477,NA
18073,Jasper County,IN,83.63095238095238,NA
18081,Johnson County,IN,61.904761904761905,NA
18089,Lake County,IN,33.63095238095239,5.190311418685121
18091,LaPorte County,IN,NA,61.245674740484425
18097,Marion County,IN,14.285714285714285,17.99307958477509
18103,Miami County,IN,NA,94.11764705882352
18127,Porter County,IN,55.05952380952381,NA
18143,Scott County,IN,85.11904761904762,NA
18149,Starke County,IN,93.45238095238095,NA
18151,Steuben County,IN,96.13095238095238,NA
18157,Tippecanoe County,IN,NA,73.01038062283737
18167,Vigo County,IN,NA,69.8961937716263
19029,Cass County,IA,NA,98.6159169550173
19091,Humboldt County,IA,99.10714285714286,NA
19099,Jasper County,IA,92.26190476190477,NA
19145,Page County,IA,91.96428571428571,NA
19153,Polk County,IA,43.452380952380956,28.373702422145332
19169,Story County,IA,87.79761904761905,NA
19187,Webster County,IA,NA,91.34948096885813
20091,Johnson County,KS,66.96428571428571,NA
20173,Sedgwick County,KS,50,NA
21029,Bullitt County,KY,NA,82.35294117647058
21057,Cumberland County,KY,NA,95.8477508650519
21085,Grayson County,KY,NA,87.5432525951557
21111,Jefferson County,KY,4.761904761904762,4.1522491349480966
21117,Kenton County,KY,46.726190476190474,NA
21125,Laurel County,KY,NA,83.73702422145328
21145,McCracken County,KY,77.08333333333334,NA
21173,Montgomery County,KY,86.01190476190477,NA
21175,Morgan County,KY,NA,99.65397923875432
21179,Nelson County,KY,NA,87.19723183391004
21195,Pike County,KY,71.42857142857143,NA
21231,Wayne County,KY,90.77380952380952,NA
22011,Beauregard Parish,LA,84.52380952380952,NA
22015,Bossier Parish,LA,NA,80.96885813148789
22017,Caddo Parish,LA,21.13095238095238,NA
22019,Calcasieu Parish,LA,NA,56.747404844290664
22033,East Baton Rouge Parish,LA,61.011904761904766,NA
22039,Evangeline Parish,LA,62.5,NA
22045,Iberia Parish,LA,NA,70.24221453287197
22051,Jefferson Parish,LA,1.7857142857142856,7.26643598615917
22059,La Salle Parish,LA,83.92857142857143,NA
22063,Livingston Parish,LA,NA,51.903114186851205
22071,Orleans Parish,LA,25.297619047619047,47.75086505190311
22097,St. Landry Parish,LA,27.380952380952383,NA
22101,St. Mary Parish,LA,83.33333333333334,NA
22105,Tangipahoa Parish,LA,58.03571428571429,NA
22109,Terrebonne Parish,LA,NA,49.48096885813148
22117,Washington Parish,LA,NA,70.93425605536332
22125,West Feliciana Parish,LA,NA,96.88581314878893
23025,Somerset County,ME,NA,74.39446366782006
23031,York County,ME,35.41666666666667,NA
24005,Baltimore County,MD,19.345238095238095,NA
24021,Frederick County,MD,NA,66.78200692041523
24025,Harford County,MD,67.26190476190477,76.47058823529412
24027,Howard County,MD,76.78571428571429,63.667820069204154
24031,Montgomery County,MD,NA,24.567474048442904
24033,Prince George's County,MD,33.33333333333333,26.297577854671278
24510,Baltimore city,MD,15.773809523809524,NA
25003,Berkshire County,MA,NA,29.06574394463668
25005,Bristol County,MA,9.821428571428571,6.228373702422145
25009,Essex County,MA,1.1904761904761905,0
25013,Hampden County,MA,NA,33.56401384083045
25017,Middlesex County,MA,9.523809523809524,17.647058823529413
25021,Norfolk County,MA,25,37.71626297577855
25023,Plymouth County,MA,18.75,16.26297577854671
25025,Suffolk County,MA,3.571428571428571,26.989619377162633
25027,Worcester County,MA,11.904761904761903,10.034602076124568
26005,Allegan County,MI,NA,67.1280276816609
26017,Bay County,MI,NA,46.02076124567474
26021,Berrien County,MI,46.42857142857143,43.944636678200695
26035,Clare County,MI,80.35714285714286,NA
26045,Eaton County,MI,NA,51.21107266435986
26049,Genesee County,MI,NA,54.325259515570934
26055,Grand Traverse County,MI,NA,67.47404844290658
26057,Gratiot County,MI,88.39285714285714,NA
26065,Ingham County,MI,NA,32.8719723183391
26077,Kalamazoo County,MI,NA,30.44982698961938
26081,Kent County,MI,5.059523809523809,49.13494809688581
26091,Lenawee County,MI,56.547619047619044,NA
26099,Macomb County,MI,24.107142857142858,11.76470588235294
26103,Marquette County,MI,71.72619047619048,NA
