fips,county,state,Under18,Over18
01001,Autauga County,AL,71.37931034482759,33.38119167264896
01003,Baldwin County,AL,38.44827586206897,50.53840631730079
01005,Barbour County,AL,NA,67.76740847092606
01007,Bibb County,AL,NA,61.95262024407753
01009,Blount County,AL,77.41379310344828,34.02727925340991
01015,Calhoun County,AL,NA,16.15218951902369
01031,Coffee County,AL,NA,76.52548456568557
01043,Cullman County,AL,NA,47.307968413496056
01045,Dale County,AL,79.48275862068965,41.277817659727205
01047,Dallas County,AL,NA,65.6137832017229
01051,Elmore County,AL,NA,40.99066762383345
01053,Escambia County,AL,75.6896551724138,35.75017946877244
01055,Etowah County,AL,NA,47.954055994257
01059,Franklin County,AL,NA,59.2964824120603
01061,Geneva County,AL,85.86206896551725,NA
01065,Hale County,AL,NA,67.12132089016511
01069,Houston County,AL,49.6551724137931,3.5175879396984926
01073,Jefferson County,AL,1.7241379310344827,13.352476669059584
01077,Lauderdale County,AL,NA,41.564967695620965
01079,Lawrence County,AL,NA,46.6618808327351
01081,Lee County,AL,55.51724137931034,NA
01083,Limestone County,AL,66.20689655172414,34.52979181622398
01089,Madison County,AL,14.13793103448276,43.21608040201005
01093,Marion County,AL,NA,87.29361091170136
01097,Mobile County,AL,30.517241379310345,28.57142857142857
01101,Montgomery County,AL,25.689655172413794,44.651830581478826
01103,Morgan County,AL,NA,69.34673366834171
01109,Pike County,AL,NA,68.05455850681982
01115,St. Clair County,AL,NA,9.90667623833453
01117,Shelby County,AL,38.103448275862064,52.11773151471644
01121,Talladega County,AL,NA,31.299353912419235
01125,Tuscaloosa County,AL,24.310344827586206,10.122038765254846
01127,Walker County,AL,NA,12.060301507537687
02020,Anchorage Municipality,AK,53.79310344827586,14.788226848528357
02090,Fairbanks North Star Borough,AK,NA,62.88585786073223
02110,Juneau City and Borough,AK,NA,79.61234745154343
02122,Kenai Peninsula Borough,AK,NA,28.068916008614504
02130,Ketchikan Gateway Borough,AK,NA,69.99282124910266
02150,Kodiak Island Borough,AK,NA,95.19023689877962
02170,Matanuska-Susitna Borough,AK,81.37931034482759,39.842067480258436
02220,Sitka City and Borough,AK,85.6896551724138,NA
04001,Apache County,AZ,20.517241379310345,76.52548456568557
04003,Cochise County,AZ,NA,19.23905240488155
04005,Coconino County,AZ,NA,44.86719310839914
04007,Gila County,AZ,NA,94.25699928212491
04013,Maricopa County,AZ,17.24137931034483,41.92390524048816
04015,Mohave County,AZ,NA,56.64034458004307
04017,Navajo County,AZ,NA,81.6223977027997
04019,Pima County,AZ,26.20689655172414,38.40631730078966
04021,Pinal County,AZ,29.82758620689655,5.312275664034458
04023,Santa Cruz County,AZ,NA,71.35678391959799
04025,Yavapai County,AZ,38.275862068965516,60.157932519741564
04027,Yuma County,AZ,NA,28.71500358937545
05007,Benton County,AR,NA,58.07609475951184
05009,Boone County,AR,NA,53.12275664034458
05017,Chicot County,AR,NA,98.56424982053123
05023,Cleburne County,AR,NA,56.999282124910266
05029,Conway County,AR,NA,87.93969849246231
05031,Craighead County,AR,NA,10.983488872936109
05037,Cross County,AR,NA,88.37042354630294
05051,Garland County,AR,NA,6.676238334529792
05055,Greene County,AR,NA,38.908829863603735
05061,Howard County,AR,NA,90.95477386934674
05071,Johnson County,AR,NA,98.06173725771716
