fips,county,state,Under18,Over18
01001,Autauga County,AL,NA,44.354018311291966
01003,Baldwin County,AL,51.82481751824818,68.97253306205494
01005,Barbour County,AL,NA,88.70803662258393
01007,Bibb County,AL,NA,10.071210579857578
01009,Blount County,AL,NA,2.695829094608342
01011,Bullock County,AL,NA,48.98270600203459
01013,Butler County,AL,NA,75.17802644964394
01015,Calhoun County,AL,52.919708029197075,9.766022380467955
01017,Chambers County,AL,NA,93.03153611393694
01019,Cherokee County,AL,NA,15.920651068158698
01021,Chilton County,AL,NA,44.404883011190236
01025,Clarke County,AL,90.87591240875912,16.429298067141403
01027,Clay County,AL,NA,95.42217700915565
01031,Coffee County,AL,NA,4.22177009155646
01033,Colbert County,AL,NA,37.43641912512716
01035,Conecuh County,AL,NA,58.646998982706
01037,Coosa County,AL,NA,91.353001017294
01039,Covington County,AL,NA,11.698880976602238
01041,Crenshaw County,AL,NA,88.86063072227874
01043,Cullman County,AL,NA,13.936927772126145
01045,Dale County,AL,84.30656934306569,87.18209562563581
01047,Dallas County,AL,95.98540145985402,83.0620549338759
01049,DeKalb County,AL,NA,12.105798575788402
01051,Elmore County,AL,83.57664233576642,52.08545269582909
01053,Escambia County,AL,NA,31.33265513733469
01055,Etowah County,AL,56.934306569343065,28.992878942014244
01057,Fayette County,AL,NA,74.31332655137335
01059,Franklin County,AL,NA,54.476093591047814
01061,Geneva County,AL,NA,6.86673448626653
01063,Greene County,AL,NA,67.65005086469989
01065,Hale County,AL,NA,41.96337741607324
01067,Henry County,AL,NA,94.710071210579855
01069,Houston County,AL,NA,96.0325534079349
01071,Jackson County,AL,NA,41.353001017294
01073,Jefferson County,AL,33.941605839416056,62.4618514750763
01077,Lauderdale County,AL,NA,19.53204476093591
01081,Lee County,AL,NA,86.31739572736521
01083,Limestone County,AL,NA,22.88911495422177
01087,Macon County,AL,NA,98.06714140386572
01089,Madison County,AL,NA,56.307222787385555
01095,Marshall County,AL,NA,28.891149542217704
01097,Mobile County,AL,43.79562043795621,75.58494404883011
01099,Monroe County,AL,NA,40.08138351983723
01101,Montgomery County,AL,NA,85.04577822990844
01103,Morgan County,AL,NA,10.12207527975585
01105,Perry County,AL,NA,44.09969481180061
01107,Pickens County,AL,NA,63.93692777212614
01109,Pike County,AL,NA,97.25330620549339
01111,Randolph County,AL,NA,64.14038657171923
01113,Russell County,AL,79.56204379562044,57.78229908443541
01115,St. Clair County,AL,NA,17.548321464903356
01117,Shelby County,AL,NA,75.89013224821973
01121,Talladega County,AL,NA,34.68972533062055
01123,Tallapoosa County,AL,87.95620437956204,90.79348931841302
01125,Tuscaloosa County,AL,NA,71.51576805696847
01127,Walker County,AL,NA,4.832146490335707
01131,Wilcox County,AL,NA,71.21057985757884
02020,Anchorage Municipality,AK,NA,40.28484231943031
02090,Fairbanks North Star Borough,AK,NA,48.626653102746694
02110,Juneau City and Borough,AK,NA,58.240081383519836
02122,Kenai Peninsula Borough,AK,NA,91.40386571719226
02130,Ketchikan Gateway Borough,AK,NA,15.15768056968464
02170,Matanuska-Susitna Borough,AK,NA,51.11902339776195
02220,Sitka City and Borough,AK,NA,35.70701932858596
04001,Apache County,AZ,NA,12.767039674465922
04003,Cochise County,AZ,NA,39.827060020345876
04005,Coconino County,AZ,NA,80.92573753814852
04007,Gila County,AZ,NA,59.308240081383524
04009,Graham County,AZ,NA,77.97558494404882
04012,La Paz County,AZ,NA,29.145473041709053
04013,Maricopa County,AZ,6.569343065693431,72.27873855544253
04015,Mohave County,AZ,NA,57.273652085452696
04017,Navajo County,AZ,NA,37.99593082400814
04019,Pima County,AZ,9.854014598540147,45.93082400813835
04021,Pinal County,AZ,NA,77.06002034587996
04023,Santa Cruz County,AZ,NA,58.74872838250255
04025,Yavapai County,AZ,NA,71.00712105798576
04027,Yuma County,AZ,NA,43.03153611393693
05001,Arkansas County,AR,NA,66.2767039674466
05005,Baxter County,AR,NA,18.056968463886065
05007,Benton County,AR,NA,41.759918616480164
05009,Boone County,AR,NA,27.77212614445575
05011,Bradley County,AR,NA,56.20549338758901
05015,Carroll County,AR,NA,14.598168870803663
05019,Clark County,AR,NA,83.11291963377417
05023,Cleburne County,AR,NA,30.722278738555442
05029,Conway County,AR,NA,77.77212614445574
05031,Craighead County,AR,NA,45.473041709053916
05033,Crawford County,AR,NA,2.8484231943031535
05035,Crittenden County,AR,NA,21.26144455747711
05039,Dallas County,AR,NA,82.40081383519838
05041,Desha County,AR,NA,47.76195320447609
05043,Drew County,AR,NA,72.53306205493388
05045,Faulkner County,AR,NA,65.46286876907426
05051,Garland County,AR,NA,2.034587995930824
05055,Greene County,AR,NA,34.89318413021363
05057,Hempstead County,AR,NA,40.590030518819944
05059,Hot Spring County,AR,NA,43.641912512716175
05063,Independence County,AR,NA,5.90030518819939
05069,Jefferson County,AR,NA,70.39674465920652
05077,Lee County,AR,NA,92.7263479145473
05085,Lonoke County,AR,NA,33.46897253306205
05087,Madison County,AR,NA,99.28789420142421
05089,Marion County,AR,NA,39.77619532044761
05091,Miller County,AR,NA,88.50457782299085
05093,Mississippi County,AR,NA,34.23194303153612
05097,Montgomery County,AR,NA,96.08341810783317
05103,Ouachita County,AR,NA,96.13428280773142
05113,Polk County,AR,NA,18.61648016276704
05115,Pope County,AR,NA,49.593082400813834
05119,Pulaski County,AR,NA,56.45981688708036
05121,Randolph County,AR,NA,77.21261444557477
05125,Saline County,AR,NA,34.74059003051882
05131,Sebastian County,AR,NA,15.971515768056967
05133,Sevier County,AR,NA,87.029501525941
05137,Stone County,AR,NA,32.55340793489319
05143,Washington County,AR,NA,80.67141403865718
05145,White County,AR,NA,20.752797558494404
05149,Yell County,AR,NA,90.89521871820956
06001,Alameda County,CA,41.24087591240876,87.33468972533062
06005,Amador County,CA,NA,53.40793489318413
06007,Butte County,CA,NA,56.66327568667345
06009,Calaveras County,CA,NA,13.73346897253306
06011,Colusa County,CA,NA,97.30417090539166
06013,Contra Costa County,CA,15.693430656934307,72.93997965412004
06015,Del Norte County,CA,NA,43.13326551373347
06017,El Dorado County,CA,NA,44.557477110885046
06019,Fresno County,CA,2.18978102189781,86.41912512716175
06021,Glenn County,CA,NA,70.34587995930825
06023,Humboldt County,CA,NA,6.714140386571719
06025,Imperial County,CA,47.44525547445255,59.20651068158698
06029,Kern County,CA,NA,73.04170905391658
06031,Kings County,CA,NA,31.58697863682604
06033,Lake County,CA,NA,49.440488301119025
06037,Los Angeles County,CA,52.18978102189781,87.74160732451679
06039,Madera County,CA,38.32116788321168,77.46693794506612
06041,Marin County,CA,NA,86.01220752797558
06043,Mariposa County,CA,NA,86.1648016276704
06045,Mendocino County,CA,78.83211678832117,25.279755849440487
06047,Merced County,CA,NA,37.639877924720246
06051,Mono County,CA,NA,99.44048830111902
06053,Monterey County,CA,NA,74.82197355035606
06055,Napa County,CA,NA,83.92675483214649
06057,Nevada County,CA,NA,8.59613428280773
06059,Orange County,CA,0.7299270072992701,91.60732451678535
06061,Placer County,CA,NA,61.69888097660223
06065,Riverside County,CA,1.824817518248175,86.36826042726348
06067,Sacramento County,CA,36.13138686131387,58.08748728382503
06069,San Benito County,CA,NA,63.021363173957276
06071,San Bernardino County,CA,26.642335766423358,94.15055951169889
06073,San Diego County,CA,4.37956204379562,82.55340793489319
06075,San Francisco County,CA,NA,66.07324516785351
06077,San Joaquin County,CA,51.45985401459854,72.88911495422177
06079,San Luis Obispo County,CA,NA,61.13936927772126
06081,San Mateo County,CA,NA,68.92166836215667
06083,Santa Barbara County,CA,NA,59.05391658189216
06085,Santa Clara County,CA,29.56204379562044,90.18311291963379
06087,Santa Cruz County,CA,NA,84.89318413021363
06089,Shasta County,CA,67.88321167883211,44.506612410986776
06093,Siskiyou County,CA,NA,39.31841302136318
06095,Solano County,CA,73.35766423357664,58.18921668362157
06097,Sonoma County,CA,NA,71.66836215666328
06099,Stanislaus County,CA,56.20437956204379,69.58290946083419
06101,Sutter County,CA,NA,59.71515768056969
06103,Tehama County,CA,NA,55.95116988809766
06107,Tulare County,CA,NA,71.92268565615463
06109,Tuolumne County,CA,NA,2.5940996948118005
06111,Ventura County,CA,NA,63.68260427263479
06113,Yolo County,CA,NA,86.72431332655137
06115,Yuba County,CA,NA,13.987792472024415
08001,Adams County,CO,NA,67.90437436419126
08003,Alamosa County,CO,NA,16.734486266531025
08005,Arapahoe County,CO,59.12408759124088,78.43336724313326
08007,Archuleta County,CO,NA,68.61648016276703
08013,Boulder County,CO,NA,74.61851475076297
08014,Broomfield County,CO,NA,85.50356052899288
08029,Delta County,CO,NA,14.038657171922686
08031,Denver County,CO,NA,52.441505595116986
08035,Douglas County,CO,NA,67.293997965412
08037,Eagle County,CO,NA,76.19532044760936
08041,El Paso County,CO,NA,57.88402848423194
