ZipCode,county,state,Adult,Retirement
35125,St. Clair County,AL,88.16326530612245,NA
35207,Jefferson County,AL,71.42857142857143,NA
35473,Tuscaloosa County,AL,NA,61.13207547169811
35601,Morgan County,AL,47.3469387755102,NA
35805,Madison County,AL,NA,70.56603773584905
36532,Baldwin County,AL,NA,28.30188679245283
36535,Baldwin County,AL,NA,26.41509433962264
36874,Lee County,AL,86.12244897959184,NA
99705,Fairbanks North Star Borough,AK,75.51020408163265,NA
99709,Fairbanks North Star Borough,AK,NA,61.886792452830186
99835,Sitka City and Borough,AK,64.89795918367346,NA
85048,Maricopa County,AZ,54.69387755102041,NA
85120,Pinal County,AZ,44.89795918367347,NA
85215,Maricopa County,AZ,NA,77.73584905660378
85301,Maricopa County,AZ,44.48979591836735,NA
85302,Maricopa County,AZ,NA,33.58490566037736
86047,Navajo County,AZ,NA,38.86792452830189
86322,Yavapai County,AZ,55.51020408163265,NA
86514,Apache County,AZ,98.36734693877551,NA
72830,Johnson County,AR,80,NA
90024,Los Angeles County,CA,NA,63.0188679245283
90048,Los Angeles County,CA,90.20408163265307,NA
90220,Los Angeles County,CA,NA,62.64150943396226
90250,Los Angeles County,CA,NA,29.433962264150942
90277,Los Angeles County,CA,NA,72.0754716981132
90501,Los Angeles County,CA,NA,85.66037735849056
90503,Los Angeles County,CA,NA,51.698113207547166
90505,Los Angeles County,CA,NA,48.301886792452834
90638,Los Angeles County,CA,NA,45.660377358490564
90715,Los Angeles County,CA,94.6938775510204,NA
91316,Los Angeles County,CA,NA,96.98113207547169
91355,Los Angeles County,CA,72.6530612244898,NA
92103,San Diego County,CA,48.97959183673469,NA
92225,Riverside County,CA,95.10204081632652,83.77358490566039
92231,Imperial County,CA,NA,55.84905660377358
92532,Riverside County,CA,NA,83.01886792452831
92586,Riverside County,CA,78.77551020408163,NA
92677,Orange County,CA,NA,11.69811320754717
92866,Orange County,CA,80.40816326530611,NA
93636,Madera County,CA,NA,82.64150943396227
93662,Fresno County,CA,NA,91.32075471698113
93924,Monterey County,CA,NA,80
94117,San Francisco County,CA,NA,51.320754716981135
94121,San Francisco County,CA,73.06122448979592,NA
94541,Alameda County,CA,NA,22.264150943396228
94558,Napa County,CA,36.734693877551024,NA
94931,Sonoma County,CA,97.55102040816327,NA
94949,Marin County,CA,79.59183673469387,NA
95066,Santa Cruz County,CA,NA,93.9622641509434
95122,Santa Clara County,CA,NA,81.50943396226415
95476,Sonoma County,CA,NA,40.37735849056604
95531,Del Norte County,CA,NA,58.490566037735846
95693,Sacramento County,CA,99.59183673469387,NA
96007,Shasta County,CA,NA,87.54716981132076
80020,Broomfield County,CO,NA,84.15094339622642
80031,Adams County,CO,90.61224489795919,NA
80104,Douglas County,CO,60.816326530612244,NA
80122,Arapahoe County,CO,NA,59.62264150943396
80124,Douglas County,CO,68.16326530612244,NA
80227,Jefferson County,CO,NA,71.69811320754717
80260,Adams County,CO,NA,66.79245283018868
80734,Phillips County,CO,95.51020408163265,NA
81650,Garfield County,CO,NA,69.43396226415094
06051,Hartford County,CT,NA,21.88679245283019
06052,Hartford County,CT,NA,89.43396226415095
06255,Windham County,CT,76.73469387755102,NA
06281,Windham County,CT,68.9795918367347,NA
06451,New Haven County,CT,31.020408163265305,NA
06488,New Haven County,CT,NA,44.528301886792455
06492,New Haven County,CT,NA,14.339622641509434
06513,New Haven County,CT,8.16326530612245,10.18867924528302
06516,New Haven County,CT,NA,5.660377358490567
06759,Litchfield County,CT,NA,89.81132075471699
06810,Fairfield County,CT,NA,24.90566037735849
06903,Fairfield County,CT,NA,65.66037735849056
19702,New Castle County,DE,NA,60.37735849056604
19808,New Castle County,DE,59.591836734693885,NA
19950,Sussex County,DE,82.0408163265306,NA
32308,Leon County,FL,NA,69.81132075471697
32424,Calhoun County,FL,NA,81.13207547169812
32446,Jackson County,FL,91.42857142857143,NA
32455,Walton County,FL,NA,88.67924528301887
32506,Escambia County,FL,NA,20.37735849056604
32561,Santa Rosa County,FL,NA,81.88679245283019
32656,Clay County,FL,NA,65.28301886792453
33176,Miami-Dade County,FL,84.89795918367346,NA
33189,Miami-Dade County,FL,84.48979591836735,NA
33702,Pinellas County,FL,NA,67.9245283018868
34102,Collier County,FL,NA,86.41509433962264
34202,Manatee County,FL,NA,46.79245283018868
34602,Hernando County,FL,91.02040816326532,NA
34711,Lake County,FL,NA,7.547169811320755
34714,Lake County,FL,74.28571428571429,NA
34953,St. Lucie County,FL,10.612244897959183,NA
30005,Fulton County,GA,71.83673469387755,NA
30047,Gwinnett County,GA,NA,33.20754716981132
30215,Fayette County,GA,NA,39.24528301886793
30328,Fulton County,GA,69.38775510204081,NA
30518,Gwinnett County,GA,41.63265306122449,NA
30606,Clarke County,GA,42.04081632653061,NA
30646,Madison County,GA,NA,89.05660377358491
96706,Honolulu County,HI,16.73469387755102,NA
96818,Honolulu County,HI,57.14285714285714,NA
83201,Bannock County,ID,29.38775510204082,NA
83221,Bingham County,ID,NA,21.132075471698116
83338,Jerome County,ID,NA,30.566037735849054
83402,Bonneville County,ID,NA,53.58490566037736
