fips,county,state,Under18,Over18
01003,Baldwin County,AL,38.95486935866984,NA
01005,Barbour County,AL,NA,93.0939226519337
01011,Bullock County,AL,97.38717339667458,NA
01015,Calhoun County,AL,NA,20.58011049723757
01031,Coffee County,AL,NA,66.57458563535911
01053,Escambia County,AL,77.43467933491686,NA
01055,Etowah County,AL,79.09738717339667,NA
01067,Henry County,AL,97.62470308788599,NA
01073,Jefferson County,AL,1.4251781472684086,37.569060773480665
01077,Lauderdale County,AL,NA,42.12707182320442
01081,Lee County,AL,56.057007125890735,73.48066298342542
01083,Limestone County,AL,68.40855106888361,38.12154696132597
01089,Madison County,AL,16.864608076009503,27.486187845303867
01095,Marshall County,AL,47.980997624703086,24.03314917127072
01097,Mobile County,AL,12.589073634204276,NA
01101,Montgomery County,AL,NA,51.79558011049724
01103,Morgan County,AL,71.97149643705463,15.607734806629834
01115,St. Clair County,AL,NA,40.74585635359116
01121,Talladega County,AL,66.0332541567696,NA
01123,Tallapoosa County,AL,NA,84.5303867403315
01125,Tuscaloosa County,AL,51.06888361045131,NA
01127,Walker County,AL,NA,67.67955801104972
02020,Anchorage Municipality,AK,53.681710213776725,56.9060773480663
02090,Fairbanks North Star Borough,AK,84.56057007125891,NA
02122,Kenai Peninsula Borough,AK,89.78622327790974,NA
02170,Matanuska-Susitna Borough,AK,62.70783847980997,65.33149171270718
02270,Wade Hampton Census Area,AK,NA,100
04001,Apache County,AZ,22.090261282660332,34.25414364640884
04005,Coconino County,AZ,NA,75.82872928176796
04013,Maricopa County,AZ,16.152019002375297,26.381215469613263
04015,Mohave County,AZ,NA,71.68508287292818
04017,Navajo County,AZ,NA,26.65745856353591
04019,Pima County,AZ,39.19239904988123,54.55801104972375
04025,Yavapai County,AZ,38.71733966745843,19.88950276243094
04027,Yuma County,AZ,31.353919239904986,33.011049723756905
05003,Ashley County,AR,NA,84.39226519337016
05005,Baxter County,AR,NA,64.77900552486187
05143,Washington County,AR,NA,30.662983425414364
06001,Alameda County,CA,38.242280285035626,43.784530386740336
06007,Butte County,CA,NA,52.48618784530387
06013,Contra Costa County,CA,6.413301662707839,23.204419889502763
06019,Fresno County,CA,2.8503562945368173,0.8287292817679558
06029,Kern County,CA,54.39429928741093,66.29834254143645
06037,Los Angeles County,CA,55.819477434679335,37.84530386740331
06039,Madera County,CA,NA,81.9060773480663
06041,Marin County,CA,NA,12.01657458563536
06043,Mariposa County,CA,NA,90.19337016574586
06047,Merced County,CA,NA,44.889502762430936
06053,Monterey County,CA,60.57007125890736,21.96132596685083
06055,Napa County,CA,NA,55.80110497237569
06059,Orange County,CA,64.60807600950119,19.751381215469614
06061,Placer County,CA,NA,26.519337016574585
06063,Plumas County,CA,NA,98.20441988950276
06065,Riverside County,CA,48.69358669833729,44.47513812154696
06067,Sacramento County,CA,25.17814726840855,23.756906077348066
06071,San Bernardino County,CA,41.09263657957244,14.088397790055248
06073,San Diego County,CA,37.29216152019003,11.464088397790055
06075,San Francisco County,CA,70.78384798099762,55.66298342541437
06077,San Joaquin County,CA,57.00712589073634,44.06077348066299
06079,San Luis Obispo County,CA,56.76959619952494,36.60220994475138
06081,San Mateo County,CA,14.489311163895488,35.49723756906077
06083,Santa Barbara County,CA,14.726840855106888,NA
06085,Santa Clara County,CA,39.90498812351544,64.64088397790056
06087,Santa Cruz County,CA,NA,48.61878453038674
06089,Shasta County,CA,NA,23.480662983425415
06095,Solano County,CA,NA,22.099447513812155
06097,Sonoma County,CA,NA,40.88397790055249
06099,Stanislaus County,CA,9.026128266033254,40.331491712707184
06103,Tehama County,CA,81.23515439429929,NA
06107,Tulare County,CA,27.315914489311165,6.2154696132596685
06111,Ventura County,CA,NA,0.9668508287292817
06113,Yolo County,CA,NA,77.34806629834254
06115,Yuba County,CA,98.09976247030879,NA
08001,Adams County,CO,71.02137767220903,62.29281767955801
08005,Arapahoe County,CO,76.72209026128266,26.243093922651934
08011,Bent County,CO,NA,99.72375690607734
08013,Boulder County,CO,24.70308788598575,12.430939226519337
08014,Broomfield County,CO,67.45843230403801,NA
08015,Chaffee County,CO,NA,95.30386740331491
08031,Denver County,CO,75.53444180522565,1.3812154696132597
08035,Douglas County,CO,69.12114014251782,89.64088397790056
08041,El Paso County,CO,50.3562945368171,58.70165745856354
08043,Fremont County,CO,NA,66.85082872928176
08045,Garfield County,CO,NA,66.02209944751381
08059,Jefferson County,CO,69.35866983372921,11.878453038674033
08067,La Plata County,CO,NA,86.74033149171271
08069,Larimer County,CO,17.577197149643705,NA
08075,Logan County,CO,NA,84.94475138121547
08077,Mesa County,CO,NA,50.27624309392266
08085,Montrose County,CO,NA,63.812154696132595
08087,Morgan County,CO,NA,83.14917127071824
08101,Pueblo County,CO,NA,14.226519337016574
08123,Weld County,CO,40.85510688836104,40.055248618784525
09001,Fairfield County,CT,1.9002375296912115,50
09003,Hartford County,CT,19.95249406175772,23.895027624309392
09005,Litchfield County,CT,47.50593824228028,29.2817679558011
09009,New Haven County,CT,17.102137767220903,25.828729281767952
09013,Tolland County,CT,50.83135391923991,18.23204419889503
10001,Kent County,DE,NA,86.60220994475138
10003,New Castle County,DE,15.201900237529692,10.6353591160221
10005,Sussex County,DE,45.13064133016627,11.740331491712707
11001,District of Columbia,DC,NA,5.801104972375691
12001,Alachua County,FL,NA,4.558011049723757
12005,Bay County,FL,NA,33.97790055248619
12009,Brevard County,FL,52.01900237529691,5.524861878453039
12011,Broward County,FL,9.501187648456057,5.386740331491713
12015,Charlotte County,FL,NA,49.447513812154696
12017,Citrus County,FL,NA,16.16022099447514
12019,Clay County,FL,99.04988123515439,NA
12023,Columbia County,FL,NA,81.353591160221
12031,Duval County,FL,7.8384798099762465,6.906077348066299
12033,Escambia County,FL,8.551068883610451,18.370165745856355
12035,Flagler County,FL,NA,67.5414364640884
12045,Gulf County,FL,NA,84.11602209944752
12049,Hardee County,FL,NA,86.1878453038674
12057,Hillsborough County,FL,NA,1.7955801104972375
12061,Indian River County,FL,NA,11.187845303867404
12069,Lake County,FL,NA,3.0386740331491713
12071,Lee County,FL,NA,0.4143646408839779
12075,Levy County,FL,77.67220902612827,65.19337016574586
12081,Manatee County,FL,NA,4.281767955801105
12083,Marion County,FL,46.318289786223275,3.7292817679558015
12085,Martin County,FL,NA,45.85635359116022
12086,Miami-Dade County,FL,17.81472684085511,9.116022099447514
12089,Nassau County,FL,NA,60.22099447513812
12091,Okaloosa County,FL,NA,33.56353591160221
12095,Orange County,FL,0.4750593824228029,6.353591160220995
12097,Osceola County,FL,14.964370546318289,46.8232044198895
12099,Palm Beach County,FL,10.688836104513063,NA
12101,Pasco County,FL,65.32066508313538,9.392265193370166
12103,Pinellas County,FL,NA,31.906077348066297
12105,Polk County,FL,NA,6.077348066298343
12107,Putnam County,FL,60.09501187648456,39.64088397790056
12111,St. Lucie County,FL,NA,5.110497237569061
12113,Santa Rosa County,FL,NA,41.85082872928177
12115,Sarasota County,FL,NA,13.259668508287293
12123,Taylor County,FL,NA,85.35911602209944
12127,Volusia County,FL,13.77672209026128,8.287292817679557
13009,Baldwin County,GA,86.69833729216153,NA
13013,Barrow County,GA,NA,46.2707182320442
13047,Catoosa County,GA,74.34679334916865,NA
13063,Clayton County,GA,26.60332541567696,NA
13065,Clinch County,GA,NA,96.40883977900553
13067,Cobb County,GA,26.840855106888363,2.9005524861878453
13073,Columbia County,GA,NA,22.23756906077348
13077,Coweta County,GA,NA,30.52486187845304
13083,Dade County,GA,98.33729216152018,NA
13089,DeKalb County,GA,5.225653206650831,26.10497237569061
13095,Dougherty County,GA,60.80760095011877,NA
13097,Douglas County,GA,NA,57.4585635359116
13105,Elbert County,GA,94.53681710213777,NA
13107,Emanuel County,GA,NA,88.39779005524862
13113,Fayette County,GA,79.80997624703087,NA
13117,Forsyth County,GA,NA,30.386740331491712
