fips,county,state,Under18,Over18
01001,Autauga County,AL,NA,75.11961722488039
01003,Baldwin County,AL,53.86996904024768,10.446570972886763
01013,Butler County,AL,NA,80.46251993620415
01015,Calhoun County,AL,NA,4.385964912280701
01019,Cherokee County,AL,NA,76.47527910685805
01031,Coffee County,AL,NA,49.84051036682616
01035,Conecuh County,AL,NA,94.65709728867624
01043,Cullman County,AL,NA,54.78468899521531
01045,Dale County,AL,NA,49.36204146730462
01049,DeKalb County,AL,66.56346749226006,36.921850079744814
01051,Elmore County,AL,67.49226006191951,67.86283891547049
01053,Escambia County,AL,NA,43.22169059011164
01055,Etowah County,AL,75.85139318885449,20.015948963317385
01069,Houston County,AL,NA,76.6347687400319
01073,Jefferson County,AL,6.811145510835913,18.580542264752793
01077,Lauderdale County,AL,78.328173374613,16.188197767145134
01079,Lawrence County,AL,NA,82.69537480063795
01081,Lee County,AL,NA,11.802232854864434
01083,Limestone County,AL,NA,62.599681020733655
01089,Madison County,AL,NA,0
01095,Marshall County,AL,NA,82.77511961722487
01097,Mobile County,AL,22.291021671826623,0.23923444976076555
01101,Montgomery County,AL,NA,53.2695374800638
01103,Morgan County,AL,47.6780185758514,3.110047846889952
01111,Randolph County,AL,NA,85.725677830941
01117,Shelby County,AL,53.56037151702786,14.832535885167463
01121,Talladega County,AL,NA,39.07496012759171
01123,Tallapoosa County,AL,NA,77.11323763955343
01125,Tuscaloosa County,AL,41.17647058823529,55.26315789473685
01131,Wilcox County,AL,NA,99.12280701754386
02020,Anchorage Municipality,AK,28.792569659442723,45.21531100478469
02070,Dillingham Census Area,AK,97.21362229102168,NA
02090,Fairbanks North Star Borough,AK,NA,67.78309409888357
02122,Kenai Peninsula Borough,AK,NA,83.97129186602871
04001,Apache County,AZ,NA,81.0207336523126
04003,Cochise County,AZ,NA,78.62838915470495
04005,Coconino County,AZ,NA,71.77033492822966
04007,Gila County,AZ,85.75851393188854,NA
04009,Graham County,AZ,NA,81.41945773524722
04013,Maricopa County,AZ,0,13.875598086124402
04015,Mohave County,AZ,63.77708978328174,58.69218500797449
04017,Navajo County,AZ,NA,7.017543859649122
04019,Pima County,AZ,27.86377708978328,33.17384370015949
04021,Pinal County,AZ,NA,9.808612440191387
04023,Santa Cruz County,AZ,NA,76.39553429027113
04025,Yavapai County,AZ,NA,80.3030303030303
04027,Yuma County,AZ,45.20123839009288,22.00956937799043
05007,Benton County,AR,NA,3.6682615629984054
05009,Boone County,AR,NA,92.74322169059012
05025,Cleveland County,AR,NA,97.7671451355662
05031,Craighead County,AR,NA,49.52153110047847
05045,Faulkner County,AR,NA,49.20255183413078
05051,Garland County,AR,NA,72.40829346092504
05053,Grant County,AR,NA,93.77990430622009
05059,Hot Spring County,AR,NA,96.25199362041468
05063,Independence County,AR,NA,55.661881977671456
05083,Logan County,AR,NA,83.41307814992025
05111,Poinsett County,AR,NA,85.24720893141946
05115,Pope County,AR,NA,46.25199362041467
05119,Pulaski County,AR,NA,7.73524720893142
05121,Randolph County,AR,NA,89.87240829346092
05131,Sebastian County,AR,NA,13.397129186602871
05135,Sharp County,AR,NA,96.81020733652312
05139,Union County,AR,NA,96.33173843700159
05143,Washington County,AR,NA,34.13078149920255
06001,Alameda County,CA,4.953560371517028,21.291866028708135
06007,Butte County,CA,33.43653250773993,NA
06013,Contra Costa County,CA,NA,8.692185007974482
06017,El Dorado County,CA,NA,68.42105263157895
06019,Fresno County,CA,31.88854489164087,57.25677830940988
06023,Humboldt County,CA,NA,37.719298245614034
06029,Kern County,CA,14.241486068111456,23.125996810207337
06031,Kings County,CA,NA,90.43062200956938
06033,Lake County,CA,99.07120743034056,NA
06037,Los Angeles County,CA,26.006191950464398,35.72567783094099
06041,Marin County,CA,62.538699690402474,62.121212121212125
06045,Mendocino County,CA,NA,90.5103668261563
06047,Merced County,CA,56.965944272445824,72.96650717703349
06053,Monterey County,CA,36.53250773993808,24.16267942583732
