ZipCode,county,state,Adult,Retirement,Geriatric
35022,Jefferson County,AL,NA,14.794520547945206,NA
35031,Blount County,AL,92.89617486338798,NA,NA
35601,Morgan County,AL,11.839708561020036,NA,NA
35640,Morgan County,AL,NA,66.57534246575342,NA
35801,Madison County,AL,84.15300546448088,NA,NA
35956,Etowah County,AL,69.58105646630237,NA,NA
36265,Calhoun County,AL,NA,53.97260273972603,NA
36571,Mobile County,AL,62.11293260473588,NA,NA
36804,Lee County,AL,NA,NA,97.91666666666666
99501,Anchorage Municipality,AK,20.036429872495447,NA,NA
99504,Anchorage Municipality,AK,19.672131147540984,NA,NA
99901,Ketchikan Gateway Borough,AK,78.32422586520947,NA,NA
85004,Maricopa County,AZ,NA,84.93150684931507,NA
85142,Maricopa County,AZ,NA,91.78082191780823,NA
85205,Maricopa County,AZ,95.81056466302368,56.43835616438356,NA
85225,Maricopa County,AZ,NA,28.767123287671232,NA
85248,Maricopa County,AZ,NA,NA,4.6875
85257,Maricopa County,AZ,NA,NA,42.1875
85260,Maricopa County,AZ,NA,40,NA
85286,Maricopa County,AZ,NA,72.6027397260274,NA
85303,Maricopa County,AZ,NA,NA,87.5
85345,Maricopa County,AZ,NA,10.95890410958904,NA
85351,Maricopa County,AZ,NA,NA,7.8125
85365,Yuma County,AZ,NA,18.63013698630137,NA
85614,Pima County,AZ,NA,NA,26.041666666666668
85621,Santa Cruz County,AZ,NA,71.78082191780823,NA
85718,Pima County,AZ,NA,17.534246575342465,NA
85719,Pima County,AZ,74.31693989071039,NA,NA
85743,Pima County,AZ,NA,28.493150684931507,NA
85749,Pima County,AZ,NA,NA,71.35416666666666
71603,Jefferson County,AR,NA,NA,72.91666666666666
71667,Lincoln County,AR,NA,NA,64.58333333333334
72103,Saline County,AR,NA,61.917808219178085,NA
72560,Stone County,AR,67.75956284153006,NA,NA
72712,Benton County,AR,44.626593806921676,NA,NA
90005,Los Angeles County,CA,NA,70.68493150684931,NA
90008,Los Angeles County,CA,NA,82.73972602739727,NA
90019,Los Angeles County,CA,37.704918032786885,NA,NA
90047,Los Angeles County,CA,14.389799635701275,NA,NA
90242,Los Angeles County,CA,64.84517304189436,NA,NA
90248,Los Angeles County,CA,NA,88.4931506849315,NA
90255,Los Angeles County,CA,NA,58.9041095890411,NA
90275,Los Angeles County,CA,NA,NA,7.291666666666667
90605,Los Angeles County,CA,NA,NA,60.9375
90638,Los Angeles County,CA,NA,NA,28.125
90706,Los Angeles County,CA,NA,66.02739726027397,NA
90713,Los Angeles County,CA,82.69581056466302,NA,NA
91202,Los Angeles County,CA,92.34972677595628,NA,NA
91214,Los Angeles County,CA,NA,NA,50
91306,Los Angeles County,CA,37.52276867030965,NA,NA
91311,Los Angeles County,CA,NA,NA,58.854166666666664
91326,Los Angeles County,CA,58.28779599271403,NA,NA
91331,Los Angeles County,CA,37.15846994535519,15.890410958904111,NA
91343,Los Angeles County,CA,NA,47.397260273972606,NA
91351,Los Angeles County,CA,NA,70.13698630136986,NA
91360,Ventura County,CA,80.14571948998179,NA,NA
91423,Los Angeles County,CA,NA,NA,53.125
91710,San Bernardino County,CA,34.244080145719494,NA,48.4375
91732,Los Angeles County,CA,78.68852459016394,NA,NA
91741,Los Angeles County,CA,72.6775956284153,NA,NA
91761,San Bernardino County,CA,NA,32.602739726027394,NA
91762,San Bernardino County,CA,NA,NA,54.166666666666664
91776,Los Angeles County,CA,NA,57.80821917808219,NA
91911,San Diego County,CA,22.950819672131146,NA,NA
91941,San Diego County,CA,51.91256830601093,NA,NA
92011,San Diego County,CA,77.04918032786885,NA,NA
92027,San Diego County,CA,67.39526411657559,NA,NA
92040,San Diego County,CA,NA,57.26027397260274,NA
92102,San Diego County,CA,83.7887067395264,NA,NA
92223,Riverside County,CA,28.415300546448087,NA,NA
92252,San Bernardino County,CA,85.79234972677595,NA,NA
92253,Riverside County,CA,80.51001821493625,NA,NA
92270,Riverside County,CA,NA,7.9452054794520555,NA
92284,San Bernardino County,CA,91.62112932604735,NA,NA
92373,San Bernardino County,CA,NA,60,NA
92391,San Bernardino County,CA,97.99635701275045,NA,NA
92399,San Bernardino County,CA,80.32786885245902,NA,NA
92503,Riverside County,CA,17.850637522768668,NA,NA
92562,Riverside County,CA,NA,78.63013698630137,NA
92584,Riverside County,CA,65.39162112932605,NA,NA
92604,Orange County,CA,NA,58.9041095890411,NA
92614,Orange County,CA,NA,58.35616438356165,NA
92618,Orange County,CA,55.73770491803278,NA,NA
92656,Orange County,CA,NA,NA,78.125
92705,Orange County,CA,NA,51.23287671232877,NA
92780,Orange County,CA,NA,NA,39.58333333333333
92868,Orange County,CA,57.377049180327866,NA,NA
93033,Ventura County,CA,NA,8.767123287671232,NA
93065,Ventura County,CA,NA,18.904109589041095,NA
93277,Tulare County,CA,24.59016393442623,NA,NA
93292,Tulare County,CA,NA,78.35616438356165,NA
93311,Kern County,CA,NA,90.68493150684932,NA
93465,San Luis Obispo County,CA,72.31329690346084,NA,NA
93550,Los Angeles County,CA,NA,NA,54.6875
93551,Los Angeles County,CA,48.998178506375226,NA,NA
93552,Los Angeles County,CA,NA,72.6027397260274,NA
93619,Fresno County,CA,NA,41.917808219178085,NA
94109,San Francisco County,CA,26.775956284153008,NA,NA
94111,San Francisco County,CA,NA,99.72602739726028,NA
94121,San Francisco County,CA,NA,NA,44.27083333333333
94123,San Francisco County,CA,88.52459016393442,NA,NA
94507,Contra Costa County,CA,NA,86.02739726027397,NA
94541,Alameda County,CA,23.861566484517304,NA,NA
94559,Napa County,CA,NA,NA,51.5625
94577,Alameda County,CA,NA,NA,35.9375
94803,Contra Costa County,CA,83.24225865209472,NA,NA
94954,Sonoma County,CA,NA,34.24657534246575,30.729166666666668
94965,Marin County,CA,NA,88.76712328767124,NA
95030,Santa Clara County,CA,93.44262295081968,NA,NA
95051,Santa Clara County,CA,66.3023679417122,NA,NA
95076,Santa Cruz County,CA,NA,15.068493150684931,NA
95116,Santa Clara County,CA,39.708561020036434,NA,NA
95124,Santa Clara County,CA,NA,NA,41.14583333333333
95212,San Joaquin County,CA,95.44626593806922,NA,NA
95219,San Joaquin County,CA,NA,NA,93.22916666666666
95340,Merced County,CA,75.22768670309654,NA,NA
95351,Stanislaus County,CA,18.94353369763206,NA,NA
95360,Stanislaus County,CA,75.95628415300546,NA,NA
95367,Stanislaus County,CA,NA,97.80821917808218,NA
95403,Sonoma County,CA,NA,NA,14.0625
95405,Sonoma County,CA,NA,52.32876712328767,NA
95482,Mendocino County,CA,34.60837887067395,NA,NA
95519,Humboldt County,CA,NA,49.31506849315068,NA
95688,Solano County,CA,NA,NA,47.39583333333333
95842,Sacramento County,CA,41.34790528233151,NA,NA
95901,Yuba County,CA,22.768670309653917,NA,NA
96130,Lassen County,CA,NA,89.31506849315069,NA
80005,Jefferson County,CO,NA,83.83561643835617,NA
80016,Arapahoe County,CO,21.129326047358834,NA,NA
80022,Adams County,CO,15.300546448087433,NA,NA
80031,Adams County,CO,35.701275045537336,NA,NA
80108,Douglas County,CO,46.083788706739526,NA,NA
80123,Jefferson County,CO,NA,NA,66.66666666666666
80134,Douglas County,CO,52.64116575591985,NA,NA
80204,Denver County,CO,19.489981785063755,NA,NA
80211,Denver County,CO,61.20218579234973,NA,NA
80224,Denver County,CO,56.284153005464475,NA,NA
80226,Jefferson County,CO,45.537340619307834,NA,NA
80227,Jefferson County,CO,NA,NA,79.16666666666666
80247,Arapahoe County,CO,36.42987249544626,NA,NA
80433,Jefferson County,CO,NA,87.12328767123287,NA
80538,Larimer County,CO,NA,7.397260273972603,26.5625
80550,Weld County,CO,NA,NA,52.604166666666664
80602,Adams County,CO,42.98724954462659,79.17808219178082,NA
80621,Weld County,CO,93.26047358834244,NA,NA
80645,Weld County,CO,91.43897996357013,NA,NA
80723,Morgan County,CO,NA,99.17808219178083,NA
81003,Pueblo County,CO,33.1511839708561,NA,NA
81005,Pueblo County,CO,NA,23.56164383561644,36.97916666666667
81007,Pueblo County,CO,NA,41.64383561643836,NA
81082,Las Animas County,CO,NA,NA,55.208333333333336
81137,San Juan County,CO,97.81420765027322,NA,NA
06010,Hartford County,CT,NA,NA,2.604166666666667
06037,Hartford County,CT,NA,NA,42.70833333333333
06098,Litchfield County,CT,NA,NA,41.14583333333333
06120,Hartford County,CT,70.85610200364299,NA,NA
06447,Hartford County,CT,92.16757741347905,NA,NA
06451,New Haven County,CT,NA,86.84931506849315,NA
06457,Middlesex County,CT,NA,38.082191780821915,NA
06475,Middlesex County,CT,NA,NA,49.47916666666667
06478,New Haven County,CT,87.97814207650273,NA,NA
06484,Fairfield County,CT,33.697632058287795,NA,NA
06498,Middlesex County,CT,NA,NA,89.58333333333334
06770,New Haven County,CT,NA,25.205479452054796,NA
06795,Litchfield County,CT,NA,98.08219178082192,NA
06801,Fairfield County,CT,NA,52.87671232876713,NA
06811,Fairfield County,CT,NA,27.945205479452056,NA
06812,Fairfield County,CT,NA,73.6986301369863,NA
06897,Fairfield County,CT,NA,NA,57.8125
19702,New Castle County,DE,41.8943533697632,NA,NA
19709,New Castle County,DE,NA,52.602739726027394,NA
19802,New Castle County,DE,13.843351548269581,NA,NA
32084,St. Johns County,FL,79.59927140255009,NA,NA
32131,Putnam County,FL,NA,85.47945205479452,NA
32162,Sumter County,FL,NA,NA,1.5625
32202,Duval County,FL,NA,92.6027397260274,NA
32208,Duval County,FL,NA,5.205479452054795,NA
32258,Duval County,FL,NA,34.52054794520548,NA
32408,Bay County,FL,NA,61.64383561643836,NA
32433,Walton County,FL,52.82331511839708,NA,NA
32547,Okaloosa County,FL,NA,76.98630136986301,NA
32605,Alachua County,FL,NA,NA,21.354166666666664
32618,Alachua County,FL,NA,80,NA
32640,Putnam County,FL,52.27686703096539,NA,NA
32725,Volusia County,FL,NA,39.178082191780824,NA
32812,Orange County,FL,NA,NA,21.875
32824,Orange County,FL,39.526411657559194,NA,NA
32903,Brevard County,FL,89.07103825136612,NA,NA
32934,Brevard County,FL,NA,NA,72.39583333333334
32953,Brevard County,FL,NA,19.17808219178082,NA
32955,Brevard County,FL,NA,NA,9.895833333333332
32962,Indian River County,FL,NA,NA,22.916666666666664
32967,Indian River County,FL,NA,NA,44.79166666666667
33030,Miami-Dade County,FL,NA,74.52054794520548,NA
33040,Monroe County,FL,41.16575591985428,NA,NA
33063,Broward County,FL,NA,29.863013698630137,NA
33130,Miami-Dade County,FL,76.50273224043715,NA,NA
33142,Miami-Dade County,FL,16.57559198542805,NA,NA
33308,Broward County,FL,NA,48.76712328767123,NA
33334,Broward County,FL,NA,NA,67.70833333333334
