ZipCode,county,state,Adult
35121,Blount County,AL,43.97972116603295
35212,Jefferson County,AL,58.681875792141945
35475,Tuscaloosa County,AL,33.58681875792142
35611,Limestone County,AL,14.955640050697086
35802,Madison County,AL,47.40177439797212
36109,Montgomery County,AL,32.44613434727503
36420,Covington County,AL,36.37515842839037
36426,Escambia County,AL,39.036755386565275
36832,Lee County,AL,58.174904942965775
36854,Chambers County,AL,43.09252217997465
99518,Anchorage Municipality,AK,57.54119138149556
99669,Kenai Peninsula Borough,AK,52.97845373891001
99701,Fairbanks North Star Borough,AK,22.0532319391635
85029,Maricopa County,AZ,53.73891001267427
85035,Maricopa County,AZ,9.252217997465145
85142,Maricopa County,AZ,4.942965779467681
85201,Maricopa County,AZ,7.477820025348543
85204,Maricopa County,AZ,7.731305449936629
85225,Maricopa County,AZ,25.602027883396705
85234,Maricopa County,AZ,84.53738910012675
85257,Maricopa County,AZ,48.03548795944233
85281,Maricopa County,AZ,22.686945500633712
85295,Maricopa County,AZ,24.841571609632446
85353,Maricopa County,AZ,46.00760456273764
85742,Pima County,AZ,33.96704689480355
85746,Pima County,AZ,6.2103929024081115
86406,Mohave County,AZ,32.19264892268694
72143,White County,AR,66.03295310519644
72401,Craighead County,AR,8.491761723700888
90004,Los Angeles County,CA,56.020278833967055
90015,Los Angeles County,CA,81.36882129277566
90022,Los Angeles County,CA,96.57794676806084
90035,Los Angeles County,CA,79.21419518377694
90044,Los Angeles County,CA,2.5348542458808616
90048,Los Angeles County,CA,59.442332065906214
90247,Los Angeles County,CA,61.59695817490495
90277,Los Angeles County,CA,73.76425855513308
90605,Los Angeles County,CA,38.5297845373891
90712,Los Angeles County,CA,66.53992395437263
90744,Los Angeles County,CA,40.68441064638783
90810,Los Angeles County,CA,40.17743979721166
91206,Los Angeles County,CA,76.1723700887199
91307,Los Angeles County,CA,86.05830164765526
91320,Ventura County,CA,70.72243346007605
91342,Los Angeles County,CA,69.20152091254754
91360,Ventura County,CA,77.69328263624841
91602,Los Angeles County,CA,63.37135614702155
91706,Los Angeles County,CA,83.77693282636248
91708,San Bernardino County,CA,93.15589353612167
91750,Los Angeles County,CA,70.595690747782
91775,Los Angeles County,CA,71.10266159695817
91901,San Diego County,CA,77.9467680608365
91911,San Diego County,CA,95.31051964512041
91914,San Diego County,CA,93.40937896070976
91941,San Diego County,CA,40.3041825095057
91942,San Diego County,CA,44.740177439797215
92115,San Diego County,CA,61.4702154626109
92127,San Diego County,CA,47.52851711026616
92154,San Diego County,CA,23.954372623574145
92335,San Bernardino County,CA,72.49683143219265
92395,San Bernardino County,CA,16.603295310519645
92506,Riverside County,CA,91.88846641318125
92612,Orange County,CA,52.59822560202788
92629,Orange County,CA,54.752851711026615
92648,Orange County,CA,73.63751584283904
92649,Orange County,CA,37.38910012674271
92679,Orange County,CA,42.458808618504435
92688,Orange County,CA,91.25475285171103
92692,Orange County,CA,25.34854245880862
92708,Orange County,CA,23.193916349809886
92801,Orange County,CA,21.546261089987325
