ZipCode,county,state,Adult,Retirement,Geriatric
35004,St. Clair County,AL,NA,76.6773162939297,NA
35023,Jefferson County,AL,NA,33.33333333333333,NA
35080,Shelby County,AL,NA,83.91906283280085,NA
35127,Jefferson County,AL,77.40213523131672,NA,NA
35150,Talladega County,AL,26.156583629893237,NA,NA
35180,Jefferson County,AL,NA,NA,68.05555555555556
35211,Jefferson County,AL,9.252669039145907,NA,NA
35213,Jefferson County,AL,NA,45.68690095846645,NA
35217,Jefferson County,AL,NA,70.50053248136315,NA
35226,Jefferson County,AL,57.82918149466192,NA,NA
35243,Jefferson County,AL,NA,40.04259850905218,NA
35244,Jefferson County,AL,NA,52.822151224707135,NA
35546,Fayette County,AL,NA,99.04153354632588,NA
35549,Walker County,AL,NA,87.64643237486688,NA
35654,Franklin County,AL,66.37010676156584,NA,NA
35674,Colbert County,AL,NA,33.12034078807242,51.157407407407405
35905,Etowah County,AL,67.61565836298932,NA,NA
35957,Marshall County,AL,NA,NA,80.32407407407408
36117,Montgomery County,AL,NA,25.026624068157616,NA
36206,Calhoun County,AL,NA,NA,64.35185185185185
36360,Dale County,AL,NA,NA,40.74074074074074
36420,Covington County,AL,81.67259786476868,NA,NA
36526,Baldwin County,AL,NA,NA,48.842592592592595
36535,Baldwin County,AL,NA,14.696485623003195,NA
36551,Baldwin County,AL,73.13167259786478,NA,NA
36567,Baldwin County,AL,NA,NA,46.99074074074074
36610,Mobile County,AL,NA,63.47177848775293,NA
36744,Hale County,AL,71.17437722419929,NA,NA
36853,Tallapoosa County,AL,NA,93.39723109691161,NA
36877,Lee County,AL,NA,NA,66.66666666666666
85018,Maricopa County,AZ,NA,26.624068157614484,NA
85041,Maricopa County,AZ,NA,16.719914802981894,NA
85132,Pinal County,AZ,NA,91.16080937167199,NA
85138,Pinal County,AZ,25.088967971530252,NA,NA
85204,Maricopa County,AZ,61.56583629893239,NA,NA
85205,Maricopa County,AZ,NA,17.145899893503728,NA
85206,Maricopa County,AZ,NA,60.91586794462194,NA
85207,Maricopa County,AZ,NA,44.515441959531415,NA
85209,Maricopa County,AZ,NA,78.06176783812566,NA
85224,Maricopa County,AZ,NA,55.05857294994675,NA
85248,Maricopa County,AZ,39.679715302491104,NA,NA
85282,Maricopa County,AZ,NA,56.01703940362087,NA
85286,Maricopa County,AZ,NA,55.6975505857295,NA
85344,La Paz County,AZ,50.355871886120994,NA,NA
85351,Maricopa County,AZ,NA,42.81150159744409,NA
85373,Maricopa County,AZ,NA,NA,15.50925925925926
85382,Maricopa County,AZ,NA,NA,12.5
85392,Maricopa County,AZ,NA,59.21192758253461,NA
85705,Pima County,AZ,NA,4.579339723109691,NA
85718,Pima County,AZ,NA,NA,40.27777777777778
85730,Pima County,AZ,17.259786476868328,NA,NA
85757,Pima County,AZ,17.437722419928825,NA,NA
86403,Mohave County,AZ,NA,NA,58.56481481481482
86406,Mohave County,AZ,NA,NA,22.916666666666664
71901,Garland County,AR,32.20640569395018,NA,29.166666666666668
72335,St. Francis County,AR,NA,55.27156549520767,NA
72370,Mississippi County,AR,NA,NA,79.86111111111111
72653,Baxter County,AR,NA,13.951011714589988,NA
72687,Marion County,AR,NA,63.897763578274756,NA
72801,Pope County,AR,NA,96.59211927582535,NA
72901,Sebastian County,AR,NA,49.6272630457934,NA
90004,Los Angeles County,CA,NA,25.66560170394036,NA
90019,Los Angeles County,CA,26.690391459074732,NA,NA
90022,Los Angeles County,CA,NA,NA,44.21296296296296
90024,Los Angeles County,CA,NA,NA,4.861111111111112
90025,Los Angeles County,CA,NA,23.322683706070286,NA
90033,Los Angeles County,CA,NA,33.86581469648562,NA
90036,Los Angeles County,CA,NA,32.16187433439829,NA
90037,Los Angeles County,CA,NA,NA,71.75925925925925
90201,Los Angeles County,CA,NA,24.38764643237487,NA
90230,Los Angeles County,CA,NA,33.65282215122471,NA
90240,Los Angeles County,CA,NA,81.78913738019169,NA
90242,Los Angeles County,CA,NA,90.6283280085197,NA
90266,Los Angeles County,CA,NA,93.61022364217251,22.22222222222222
90274,Los Angeles County,CA,67.08185053380782,NA,NA
90275,Los Angeles County,CA,39.8576512455516,27.05005324813631,NA
90277,Los Angeles County,CA,36.654804270462634,NA,NA
90278,Los Angeles County,CA,43.594306049822066,NA,NA
90606,Los Angeles County,CA,80.42704626334519,NA,NA
90630,Orange County,CA,NA,14.589989350372736,NA
90631,Orange County,CA,22.95373665480427,NA,18.75
90638,Los Angeles County,CA,61.74377224199288,NA,NA
90660,Los Angeles County,CA,NA,NA,43.75
90701,Los Angeles County,CA,NA,67.8381256656017,NA
90712,Los Angeles County,CA,41.10320284697509,NA,NA
90720,Orange County,CA,NA,41.853035143769965,NA
90807,Los Angeles County,CA,34.87544483985765,NA,NA
91006,Los Angeles County,CA,64.94661921708185,NA,NA
91107,Los Angeles County,CA,NA,NA,28.703703703703702
91214,Los Angeles County,CA,75.26690391459074,NA,NA
91342,Los Angeles County,CA,NA,64.85623003194888,NA
91344,Los Angeles County,CA,NA,89.98935037273695,NA
91356,Los Angeles County,CA,NA,NA,20.37037037037037
91367,Los Angeles County,CA,NA,33.65282215122471,NA
91405,Los Angeles County,CA,29.715302491103202,NA,NA
91710,San Bernardino County,CA,NA,36.74121405750799,NA
91711,Los Angeles County,CA,NA,20.766773162939298,NA
91723,Los Angeles County,CA,59.60854092526691,83.59957401490948,NA
91732,Los Angeles County,CA,74.73309608540926,60.70287539936102,NA
91746,Los Angeles County,CA,92.17081850533808,NA,NA
91748,Los Angeles County,CA,49.28825622775801,NA,NA
91754,Los Angeles County,CA,NA,93.50372736954206,NA
91767,Los Angeles County,CA,77.75800711743773,NA,NA
91784,San Bernardino County,CA,52.49110320284698,NA,NA
91786,San Bernardino County,CA,21.352313167259787,NA,NA
91790,Los Angeles County,CA,NA,34.398296059637914,NA
91935,San Diego County,CA,93.06049822064057,NA,NA
92007,San Diego County,CA,NA,96.27263045793397,NA
92019,San Diego County,CA,NA,NA,82.87037037037037
92029,San Diego County,CA,NA,NA,50.69444444444444
92054,San Diego County,CA,NA,94.24920127795528,NA
92064,San Diego County,CA,NA,24.920127795527154,NA
92075,San Diego County,CA,NA,77.52928647497338,NA
92111,San Diego County,CA,NA,35.03727369542066,NA
92119,San Diego County,CA,NA,84.34504792332268,NA
92127,San Diego County,CA,NA,48.77529286474974,NA
92131,San Diego County,CA,51.42348754448398,NA,NA
92253,Riverside County,CA,NA,6.602768903088392,NA
92262,Riverside County,CA,NA,7.348242811501597,NA
92284,San Bernardino County,CA,NA,18.210862619808307,42.36111111111111
92308,San Bernardino County,CA,NA,NA,29.86111111111111
92325,San Bernardino County,CA,64.05693950177937,NA,NA
92543,Riverside County,CA,51.779359430604984,NA,NA
92562,Riverside County,CA,16.90391459074733,NA,NA
92587,Riverside County,CA,84.34163701067615,64.74973375931843,NA
92625,Orange County,CA,NA,80.61767838125665,NA
92626,Orange County,CA,NA,31.416400425985092,NA
92630,Orange County,CA,NA,50.69222577209798,NA
92637,Orange County,CA,NA,47.07135250266241,NA
92646,Orange County,CA,NA,NA,41.898148148148145
92649,Orange County,CA,NA,NA,53.70370370370371
92660,Orange County,CA,NA,94.03620873269436,11.11111111111111
92672,Orange County,CA,NA,NA,30.555555555555557
92677,Orange County,CA,22.24199288256228,6.922257720979766,NA
92692,Orange County,CA,NA,41.640042598509055,NA
92706,Orange County,CA,NA,NA,81.71296296296296
92708,Orange County,CA,NA,10.649627263045794,NA
92845,Orange County,CA,72.95373665480427,68.15761448349308,NA
92867,Orange County,CA,63.52313167259786,NA,NA
92869,Orange County,CA,NA,32.9073482428115,NA
92882,Riverside County,CA,NA,NA,45.13888888888889
93033,Ventura County,CA,NA,43.13099041533546,NA
93257,Tulare County,CA,NA,NA,75
93274,Tulare County,CA,NA,36.63471778487753,NA
93292,Tulare County,CA,NA,NA,40.0462962962963
93304,Kern County,CA,NA,57.082002129925456,NA
93305,Kern County,CA,28.11387900355872,NA,NA
93311,Kern County,CA,NA,82.53461128860489,NA
93401,San Luis Obispo County,CA,38.79003558718861,NA,NA
93402,San Luis Obispo County,CA,NA,NA,68.75
94025,San Mateo County,CA,NA,23.74866879659212,NA
94043,Santa Clara County,CA,97.15302491103202,NA,NA
94062,San Mateo County,CA,NA,34.291799787007456,NA
94066,San Mateo County,CA,75.62277580071174,NA,NA
94087,Santa Clara County,CA,83.45195729537367,NA,NA
94107,San Francisco County,CA,NA,85.41001064962727,NA
94109,San Francisco County,CA,NA,NA,56.71296296296296
94114,San Francisco County,CA,NA,36.102236421725244,NA
94116,San Francisco County,CA,62.45551601423488,64.00425985090521,NA
94117,San Francisco County,CA,76.33451957295374,NA,NA
94121,San Francisco County,CA,NA,86.36847710330139,NA
94133,San Francisco County,CA,71.53024911032028,NA,NA
94403,San Mateo County,CA,35.05338078291815,NA,NA
94509,Contra Costa County,CA,NA,31.842385516506923,37.73148148148148
94520,Contra Costa County,CA,46.97508896797153,NA,NA
94521,Contra Costa County,CA,76.51245551601423,NA,NA
94545,Alameda County,CA,NA,NA,91.20370370370371
94550,Alameda County,CA,NA,NA,65.97222222222221
94559,Napa County,CA,NA,NA,34.9537037037037
94571,Solano County,CA,NA,NA,99.30555555555556
94572,Contra Costa County,CA,84.51957295373666,NA,NA
94595,Contra Costa County,CA,NA,NA,6.712962962962964
94598,Contra Costa County,CA,60.14234875444839,NA,NA
94605,Alameda County,CA,54.62633451957295,NA,NA
94607,Alameda County,CA,85.05338078291815,78.27476038338658,NA
94608,Alameda County,CA,75.08896797153025,NA,NA
94612,Alameda County,CA,56.405693950177934,NA,NA
94618,Alameda County,CA,NA,NA,52.31481481481482
94619,Alameda County,CA,NA,NA,61.80555555555556
94704,Alameda County,CA,89.85765124555161,NA,NA
94901,Marin County,CA,NA,26.411075612353567,NA
94904,Marin County,CA,95.19572953736655,72.20447284345049,NA
94941,Marin County,CA,NA,28.8604898828541,NA
94954,Sonoma County,CA,33.27402135231316,NA,NA
95020,Santa Clara County,CA,NA,20.979765708200212,NA
95035,Santa Clara County,CA,33.45195729537366,58.04046858359957,NA
95037,Santa Clara County,CA,NA,47.71033013844516,NA
95112,Santa Clara County,CA,50.71174377224199,96.48562300319489,NA
95118,Santa Clara County,CA,73.30960854092527,NA,71.29629629629629
95123,Santa Clara County,CA,23.843416370106763,NA,NA
95127,Santa Clara County,CA,NA,31.52289669861555,NA
95129,Santa Clara County,CA,NA,NA,62.03703703703704
95134,Santa Clara County,CA,58.718861209964416,NA,NA
95324,Merced County,CA,NA,NA,77.77777777777779
95336,San Joaquin County,CA,NA,NA,20.833333333333336
95340,Merced County,CA,NA,92.43876464323749,NA
95389,Mariposa County,CA,NA,98.61554845580405,NA
95405,Sonoma County,CA,NA,75.07987220447284,NA
95531,Del Norte County,CA,NA,NA,25.462962962962965
95616,Yolo County,CA,NA,NA,99.53703703703704
95667,El Dorado County,CA,21.17437722419929,NA,NA
95726,El Dorado County,CA,NA,34.93077742279021,NA
95747,Placer County,CA,NA,NA,8.796296296296296
95816,Sacramento County,CA,NA,49.30777422790202,NA
95822,Sacramento County,CA,NA,29.925452609158683,NA
95835,Sacramento County,CA,NA,71.03301384451545,NA
95959,Nevada County,CA,NA,59.105431309904155,NA
95963,Glenn County,CA,NA,98.93503727369543,NA
96022,Tehama County,CA,60.854092526690394,NA,NA
96080,Tehama County,CA,NA,NA,29.629629629629626
96161,Nevada County,CA,NA,88.604898828541,NA
80004,Jefferson County,CO,NA,NA,28.47222222222222
80014,Arapahoe County,CO,NA,43.76996805111821,NA
80026,Boulder County,CO,NA,NA,50.92592592592593
80122,Arapahoe County,CO,NA,35.56975505857295,37.03703703703704
80123,Jefferson County,CO,NA,60.27689030883919,67.5925925925926
80127,Jefferson County,CO,32.028469750889684,NA,NA
80214,Jefferson County,CO,NA,48.45580404685836,NA
80219,Denver County,CO,3.7366548042704624,NA,NA
80521,Larimer County,CO,91.28113879003558,NA,NA
80525,Larimer County,CO,62.811387900355875,NA,NA
80549,Larimer County,CO,NA,76.78381256656017,NA
80550,Weld County,CO,NA,87.8594249201278,NA
80634,Weld County,CO,NA,10.75612353567625,NA
80723,Morgan County,CO,71.53024911032028,NA,NA
80751,Logan County,CO,54.092526690391466,NA,NA
80906,El Paso County,CO,NA,27.36954206602769,NA
81001,Pueblo County,CO,NA,30.031948881789138,NA
81005,Pueblo County,CO,NA,87.11395101171459,NA
81122,La Plata County,CO,NA,72.94994675186368,NA
06002,Hartford County,CT,NA,59.7444089456869,NA
06010,Hartford County,CT,NA,NA,1.6203703703703702
06070,Hartford County,CT,74.37722419928826,NA,NA
