ZipCode,county,state,Retirement
35592,Lamar County,AL,97.5609756097561
35806,Madison County,AL,46.95121951219512
35976,Marshall County,AL,23.170731707317074
36756,Perry County,AL,78.04878048780488
36867,Russell County,AL,56.70731707317073
85004,Maricopa County,AZ,81.09756097560977
85234,Maricopa County,AZ,43.292682926829265
85365,Yuma County,AZ,12.195121951219512
85736,Pima County,AZ,95.73170731707317
86301,Yavapai County,AZ,61.58536585365854
71743,Clark County,AR,92.6829268292683
90037,Los Angeles County,CA,26.82926829268293
91344,Los Angeles County,CA,18.29268292682927
91362,Ventura County,CA,27.439024390243905
91911,San Diego County,CA,10.365853658536585
92563,Riverside County,CA,28.04878048780488
93274,Tulare County,CA,10.975609756097562
93555,Kern County,CA,13.414634146341465
95382,Stanislaus County,CA,49.390243902439025
95404,Sonoma County,CA,48.78048780487805
95409,Sonoma County,CA,36.58536585365854
95602,Placer County,CA,37.80487804878049
96067,Siskiyou County,CA,65.2439024390244
80642,Weld County,CO,87.8048780487805
81005,Pueblo County,CO,16.463414634146343
06795,Litchfield County,CT,45.1219512195122
06831,Fairfield County,CT,51.21951219512195
06880,Fairfield County,CT,91.46341463414635
19711,New Castle County,DE,63.41463414634146
19904,Kent County,DE,96.34146341463415
19934,Kent County,DE,98.78048780487805
32244,Duval County,FL,3.6585365853658534
32408,Bay County,FL,50.609756097560975
33023,Broward County,FL,31.097560975609756
33139,Miami-Dade County,FL,61.58536585365854
33647,Hillsborough County,FL,31.70731707317073
33837,Polk County,FL,35.97560975609756
34209,Manatee County,FL,80.48780487804879
30075,Fulton County,GA,42.68292682926829
30092,Gwinnett County,GA,90.85365853658537
30281,Henry County,GA,93.29268292682927
30324,Fulton County,GA,78.65853658536585
30809,Columbia County,GA,75
30815,Richmond County,GA,34.756097560975604
31794,Tift County,GA,40.243902439024396
83704,Ada County,ID,82.3170731707317
83835,Kootenai County,ID,23.78048780487805
60010,Lake County,IL,7.317073170731707
60136,Kane County,IL,86.58536585365853
60172,DuPage County,IL,55.487804878048784
