ZipCode,county,state,Adult,Retirement,Geriatric
35005,Jefferson County,AL,NA,92.80104712041884,NA
35007,Shelby County,AL,97.10144927536231,NA,NA
35010,Tallapoosa County,AL,46.599777034559644,NA,NA
35014,Talladega County,AL,NA,75.49083769633508,NA
35016,Marshall County,AL,36.12040133779264,NA,NA
35031,Blount County,AL,NA,NA,83.51893095768375
35040,Shelby County,AL,NA,43.03010471204188,59.198218262806236
35044,Talladega County,AL,NA,50.883507853403145,NA
35046,Chilton County,AL,NA,86.78010471204189,NA
35071,Jefferson County,AL,NA,72.15314136125654,NA
35077,Cullman County,AL,61.76142697881828,91.39397905759162,NA
35079,Blount County,AL,NA,51.96335078534031,NA
35080,Shelby County,AL,NA,45.22251308900523,NA
35085,Chilton County,AL,NA,63.678010471204196,NA
35094,Jefferson County,AL,NA,NA,49.39866369710468
35115,Shelby County,AL,NA,73.42931937172776,NA
35125,St. Clair County,AL,NA,40.510471204188484,NA
35133,Blount County,AL,NA,97.15314136125654,NA
35150,Talladega County,AL,NA,NA,99.6881959910913
35151,Talladega County,AL,69.89966555183946,NA,NA
35160,Talladega County,AL,NA,21.00785340314136,NA
35179,Cullman County,AL,NA,83.7369109947644,NA
35204,Jefferson County,AL,NA,37.074607329842934,66.5033407572383
35210,Jefferson County,AL,68.45039018952063,37.925392670157066,NA
35211,Jefferson County,AL,NA,9.55497382198953,NA
35215,Jefferson County,AL,NA,73.23298429319371,NA
35216,Jefferson County,AL,NA,85.11125654450262,NA
35217,Jefferson County,AL,NA,22.873036649214658,NA
35226,Jefferson County,AL,NA,46.49869109947644,NA
35244,Jefferson County,AL,NA,18.1282722513089,NA
35401,Tuscaloosa County,AL,NA,28.501308900523558,97.46102449888642
35404,Tuscaloosa County,AL,NA,14.103403141361257,NA
35405,Tuscaloosa County,AL,NA,4.679319371727749,NA
35406,Tuscaloosa County,AL,NA,NA,49.04231625835189
35442,Pickens County,AL,NA,NA,77.55011135857461
35475,Tuscaloosa County,AL,NA,23.69109947643979,NA
35476,Tuscaloosa County,AL,NA,76.8651832460733,38.084632516703785
35504,Walker County,AL,NA,NA,33.4075723830735
35546,Fayette County,AL,NA,62.20549738219895,NA
35563,Marion County,AL,70.68004459308807,NA,NA
35578,Walker County,AL,NA,97.15314136125654,NA
35581,Franklin County,AL,NA,75.35994764397905,NA
35586,Lamar County,AL,99.77703455964325,NA,98.70824053452117
35640,Morgan County,AL,NA,NA,29.93318485523385
35654,Franklin County,AL,NA,63.28534031413613,NA
35660,Colbert County,AL,NA,85.6020942408377,NA
35674,Colbert County,AL,NA,22.774869109947645,44.00890868596882
35749,Madison County,AL,NA,67.76832460732984,NA
35811,Madison County,AL,NA,NA,21.29175946547884
35816,Madison County,AL,NA,75.6217277486911,NA
35904,Etowah County,AL,NA,NA,48.01781737193764
35960,Cherokee County,AL,NA,50.752617801047116,NA
35967,DeKalb County,AL,NA,NA,45.30066815144766
