ZipCode,county,state,Adult,Retirement,Geriatric
35004,St. Clair County,AL,NA,NA,89.13328096360303
35005,Jefferson County,AL,NA,NA,78.05708300602252
35007,Shelby County,AL,51.26660488106272,NA,47.813563760146636
35010,Tallapoosa County,AL,56.00864998455361,6.517571884984026,15.841843414506416
35014,Talladega County,AL,NA,76.2555910543131,NA
35016,Marshall County,AL,NA,8.792332268370608,NA
35020,Jefferson County,AL,NA,25.073482428115017,54.43833464257659
35022,Jefferson County,AL,69.41612604263206,14.70926517571885,69.54700183294055
35023,Jefferson County,AL,63.0367624343528,1.7380191693290734,11.25949201361613
35033,Cullman County,AL,93.60518999073216,NA,NA
35040,Shelby County,AL,20.373802903923384,NA,NA
35043,Shelby County,AL,79.45628668520234,83.2076677316294,NA
35045,Chilton County,AL,62.12542477602718,62.55591054313099,61.53443309766955
35046,Chilton County,AL,NA,54.27476038338658,NA
35054,St. Clair County,AL,NA,56.63897763578275,74.3388321550144
35055,Cullman County,AL,24.992276799505714,55.52715654952076,NA
35057,Cullman County,AL,45.242508495520546,43.757188498402556,NA
35058,Cullman County,AL,44.25393883225209,35.45047923322684,97.51243781094527
35062,Jefferson County,AL,NA,77.73801916932908,NA
35064,Jefferson County,AL,NA,68.6261980830671,NA
35071,Jefferson County,AL,83.5032437442076,70.10862619808307,NA
35072,Coosa County,AL,NA,42.862619808306704,NA
35077,Cullman County,AL,29.502625888168055,26.5814696485623,52.317360565593084
35079,Blount County,AL,NA,41.04792332268371,NA
35080,Shelby County,AL,28.26691380908248,33.44408945686901,NA
35085,Chilton County,AL,62.511584800741424,91.4888178913738,NA
35094,Jefferson County,AL,74.62156317578005,NA,NA
35096,Talladega County,AL,NA,70.17252396166134,NA
35111,Tuscaloosa County,AL,17.964164349706518,NA,NA
35114,Shelby County,AL,90.34599938214396,NA,NA
35115,Shelby County,AL,NA,23.463258785942493,NA
35116,Jefferson County,AL,85.52672227371022,NA,NA
35124,Shelby County,AL,77.57182576459685,7.910543130990415,50.45823514008902
35125,St. Clair County,AL,26.675934507259807,NA,NA
35126,Jefferson County,AL,NA,42.01916932907348,NA
35127,Jefferson County,AL,NA,50.4408945686901,NA
35128,St. Clair County,AL,NA,28.83067092651757,83.73919874312648
35147,Shelby County,AL,97.34321902996602,NA,NA
35150,Talladega County,AL,41.241890639481,NA,31.055250065462165
35151,Talladega County,AL,NA,55.05431309904153,NA
35160,Talladega County,AL,NA,NA,18.093741817229642
35173,Jefferson County,AL,50.18535681186284,74.8626198083067,NA
35179,Cullman County,AL,63.09854803830708,45.06070287539936,NA
35180,Jefferson County,AL,NA,77.34185303514377,NA
35184,Bibb County,AL,NA,72.94568690095846,75.67426027755957
35204,Jefferson County,AL,39.68180413963546,NA,NA
35205,Jefferson County,AL,NA,78.88817891373802,60.40848389630793
35206,Jefferson County,AL,31.464318813716403,NA,NA
35207,Jefferson County,AL,NA,46.939297124600635,69.25896831631317
35208,Jefferson County,AL,NA,NA,64.93846556690232
35209,Jefferson County,AL,96.13839975285758,83.8849840255591,NA
35210,Jefferson County,AL,NA,84.21725239616613,NA
35211,Jefferson County,AL,33.982082174853254,69.53354632587859,50.8510081173082
35212,Jefferson County,AL,48.76428792091443,58.12140575079873,NA
35213,Jefferson County,AL,NA,74.27476038338658,73.97224404294317
35214,Jefferson County,AL,33.90485016991041,NA,NA
