fips,county,state,Over18
01001,Autauga County,AL,NA
01003,Baldwin County,AL,35.25963149078727
01005,Barbour County,AL,NA
01007,Bibb County,AL,NA
01009,Blount County,AL,40.95477386934673
01011,Bullock County,AL,NA
01013,Butler County,AL,NA
01015,Calhoun County,AL,41.20603015075377
01017,Chambers County,AL,NA
01019,Cherokee County,AL,NA
01021,Chilton County,AL,NA
01025,Clarke County,AL,79.39698492462311
01027,Clay County,AL,NA
01029,Cleburne County,AL,NA
01031,Coffee County,AL,NA
01033,Colbert County,AL,59.463986599664985
01035,Conecuh County,AL,96.39865996649917
01037,Coosa County,AL,NA
01039,Covington County,AL,91.12227805695142
01041,Crenshaw County,AL,NA
01043,Cullman County,AL,20.268006700167504
01045,Dale County,AL,NA
01047,Dallas County,AL,NA
01049,DeKalb County,AL,35.175879396984925
01051,Elmore County,AL,68.50921273031825
01053,Escambia County,AL,43.551088777219434
01055,Etowah County,AL,39.61474036850921
01057,Fayette County,AL,NA
01059,Franklin County,AL,65.15912897822446
01061,Geneva County,AL,NA
01063,Greene County,AL,NA
01065,Hale County,AL,NA
01067,Henry County,AL,NA
01069,Houston County,AL,NA
01071,Jackson County,AL,NA
01073,Jefferson County,AL,26.633165829145728
01075,Lamar County,AL,NA
01077,Lauderdale County,AL,17.001675041876048
01079,Lawrence County,AL,NA
01081,Lee County,AL,38.358458961474035
01083,Limestone County,AL,NA
01085,Lowndes County,AL,NA
01087,Macon County,AL,NA
01089,Madison County,AL,14.154103852596315
01091,Marengo County,AL,NA
01093,Marion County,AL,49.246231155778894
01095,Marshall County,AL,80.82077051926298
01097,Mobile County,AL,26.214405360134002
01099,Monroe County,AL,NA
01101,Montgomery County,AL,40.20100502512563
01103,Morgan County,AL,47.98994974874372
01105,Perry County,AL,NA
01107,Pickens County,AL,NA
01109,Pike County,AL,NA
01111,Randolph County,AL,NA
01113,Russell County,AL,41.45728643216081
01115,St. Clair County,AL,NA
01117,Shelby County,AL,2.763819095477387
01119,Sumter County,AL,NA
01121,Talladega County,AL,10.552763819095476
01123,Tallapoosa County,AL,NA
01125,Tuscaloosa County,AL,15.41038525963149
01127,Walker County,AL,NA
01129,Washington County,AL,NA
01131,Wilcox County,AL,NA
01133,Winston County,AL,NA
02020,Anchorage Municipality,AK,62.981574539363486
02050,Bethel Census Area,AK,NA
02070,Dillingham Census Area,AK,NA
02090,Fairbanks North Star Borough,AK,68.25795644891123
02110,Juneau City and Borough,AK,84.0033500837521
02122,Kenai Peninsula Borough,AK,91.20603015075378
02130,Ketchikan Gateway Borough,AK,NA
02150,Kodiak Island Borough,AK,96.90117252931323
02170,Matanuska-Susitna Borough,AK,NA
02180,Nome Census Area,AK,NA
02220,Sitka City and Borough,AK,90.11725293132329
02240,Southeast Fairbanks Census Area,AK,NA
02261,Valdez-Cordova Census Area,AK,NA
02270,Wade Hampton Census Area,AK,NA
04001,Apache County,AZ,NA
04003,Cochise County,AZ,24.79061976549414
04005,Coconino County,AZ,83.50083752093802
04007,Gila County,AZ,NA
04009,Graham County,AZ,91.4572864321608
04012,La Paz County,AZ,61.725293132328304
04013,Maricopa County,AZ,37.52093802345058
04015,Mohave County,AZ,0.5025125628140703
04017,Navajo County,AZ,6.61641541038526
04019,Pima County,AZ,13.735343383584588
04021,Pinal County,AZ,9.547738693467336
04023,Santa Cruz County,AZ,43.21608040201005
04025,Yavapai County,AZ,4.103852596314908
04027,Yuma County,AZ,22.110552763819097
05001,Arkansas County,AR,NA
05003,Ashley County,AR,NA
05005,Baxter County,AR,NA
05007,Benton County,AR,37.10217755443886
05009,Boone County,AR,NA
05011,Bradley County,AR,NA
05015,Carroll County,AR,NA
05017,Chicot County,AR,NA
05019,Clark County,AR,NA
05021,Clay County,AR,NA
05023,Cleburne County,AR,NA
05025,Cleveland County,AR,NA
05027,Columbia County,AR,NA
05029,Conway County,AR,NA
05031,Craighead County,AR,16.834170854271356
05033,Crawford County,AR,42.12730318257956
05035,Crittenden County,AR,NA
05037,Cross County,AR,NA
05039,Dallas County,AR,NA
05041,Desha County,AR,NA
05043,Drew County,AR,NA
05045,Faulkner County,AR,NA
05047,Franklin County,AR,NA
05049,Fulton County,AR,NA
05051,Garland County,AR,NA
05053,Grant County,AR,NA
05055,Greene County,AR,NA
05057,Hempstead County,AR,NA
05059,Hot Spring County,AR,NA
05061,Howard County,AR,NA
05063,Independence County,AR,NA
05067,Jackson County,AR,NA
05069,Jefferson County,AR,NA
05071,Johnson County,AR,NA
05075,Lawrence County,AR,NA
05077,Lee County,AR,NA
05079,Lincoln County,AR,NA
05081,Little River County,AR,NA
05083,Logan County,AR,NA
05085,Lonoke County,AR,NA
05087,Madison County,AR,NA
05089,Marion County,AR,NA
05091,Miller County,AR,NA
05093,Mississippi County,AR,66.24790619765494
05095,Monroe County,AR,NA
05097,Montgomery County,AR,NA
05099,Nevada County,AR,NA
05103,Ouachita County,AR,NA
05105,Perry County,AR,NA
05107,Phillips County,AR,NA
05109,Pike County,AR,NA
05111,Poinsett County,AR,NA
05113,Polk County,AR,81.57453936348409
05115,Pope County,AR,NA
05119,Pulaski County,AR,0.08375209380234507
05121,Randolph County,AR,NA
05123,St. Francis County,AR,NA
05125,Saline County,AR,60.2177554438861
05127,Scott County,AR,NA
05129,Searcy County,AR,NA
05131,Sebastian County,AR,12.897822445561138
05133,Sevier County,AR,NA
05135,Sharp County,AR,NA
05137,Stone County,AR,NA
05139,Union County,AR,NA
05141,Van Buren County,AR,NA
05143,Washington County,AR,32.077051926298154
05145,White County,AR,NA
05149,Yell County,AR,NA
06001,Alameda County,CA,27.889447236180903
06005,Amador County,CA,94.72361809045226
06007,Butte County,CA,95.30988274706867
06009,Calaveras County,CA,NA
06011,Colusa County,CA,94.0536013400335
06013,Contra Costa County,CA,57.20268006700168
06015,Del Norte County,CA,74.87437185929649
06017,El Dorado County,CA,25.795644891122276
06019,Fresno County,CA,76.21440536013401
06021,Glenn County,CA,64.4891122278057
06023,Humboldt County,CA,NA
06025,Imperial County,CA,89.44723618090453
06027,Inyo County,CA,NA
06029,Kern County,CA,42.88107202680067
06031,Kings County,CA,52.428810720268004
06033,Lake County,CA,NA
06035,Lassen County,CA,NA
06037,Los Angeles County,CA,57.6214405360134
06039,Madera County,CA,73.95309882747068
06041,Marin County,CA,25.879396984924625
06043,Mariposa County,CA,NA
06045,Mendocino County,CA,14.40536013400335
06047,Merced County,CA,38.60971524288107
06049,Modoc County,CA,NA
06051,Mono County,CA,NA
06053,Monterey County,CA,84.50586264656617
06055,Napa County,CA,NA
06057,Nevada County,CA,NA
06059,Orange County,CA,61.222780569514235
06061,Placer County,CA,39.44723618090452
06063,Plumas County,CA,NA
06065,Riverside County,CA,47.06867671691792
06067,Sacramento County,CA,89.7822445561139
06069,San Benito County,CA,86.18090452261306
06071,San Bernardino County,CA,77.21943048576215
06073,San Diego County,CA,68.76046901172529
06075,San Francisco County,CA,31.155778894472363
06077,San Joaquin County,CA,48.24120603015075
06079,San Luis Obispo County,CA,62.06030150753769
06081,San Mateo County,CA,70.18425460636516
06083,Santa Barbara County,CA,79.5644891122278
06085,Santa Clara County,CA,53.015075376884425
06087,Santa Cruz County,CA,78.39195979899498
06089,Shasta County,CA,60.971524288107204
06093,Siskiyou County,CA,NA
06095,Solano County,CA,44.388609715242886
06097,Sonoma County,CA,30.485762144053602
06099,Stanislaus County,CA,70.35175879396985
