ZipCode,county,state,Adult,Retirement,Geriatric
35051,Shelby County,AL,NA,83.15972222222221,NA
35054,St. Clair County,AL,NA,NA,85.79175704989154
35057,Cullman County,AL,NA,NA,87.31019522776573
35118,Jefferson County,AL,NA,96.61458333333334,NA
35124,Shelby County,AL,NA,90.10416666666666,NA
35127,Jefferson County,AL,NA,83.50694444444444,NA
35226,Jefferson County,AL,NA,72.04861111111111,NA
35474,Hale County,AL,65.04424778761062,NA,NA
35476,Tuscaloosa County,AL,NA,82.11805555555556,NA
35555,Fayette County,AL,NA,54.947916666666664,NA
35619,Morgan County,AL,NA,NA,95.44468546637745
35620,Limestone County,AL,93.36283185840708,NA,NA
35633,Lauderdale County,AL,57.52212389380531,NA,NA
35640,Morgan County,AL,NA,33.15972222222222,NA
35654,Franklin County,AL,85.84070796460178,NA,NA
35747,Marshall County,AL,NA,81.85763888888889,NA
35801,Madison County,AL,NA,30.03472222222222,NA
35805,Madison County,AL,NA,63.19444444444444,NA
35810,Madison County,AL,NA,19.618055555555554,NA
35901,Etowah County,AL,36.283185840707965,NA,NA
35907,Etowah County,AL,NA,81.68402777777779,NA
35951,Marshall County,AL,NA,75.60763888888889,NA
35959,Cherokee County,AL,NA,NA,96.74620390455532
36079,Pike County,AL,NA,NA,98.2646420824295
36108,Montgomery County,AL,45.42772861356932,NA,NA
36266,Clay County,AL,NA,88.62847222222221,NA
36268,Talladega County,AL,NA,95.48611111111111,NA
36301,Houston County,AL,NA,NA,22.234273318872017
36330,Coffee County,AL,NA,NA,48.37310195227766
36340,Geneva County,AL,NA,85.32986111111111,NA
36527,Baldwin County,AL,92.62536873156341,NA,NA
36567,Baldwin County,AL,NA,NA,65.29284164859001
36604,Mobile County,AL,NA,97.48263888888889,NA
36870,Lee County,AL,NA,NA,98.15618221258134
99502,Anchorage Municipality,AK,78.61356932153393,NA,NA
99503,Anchorage Municipality,AK,75.51622418879056,NA,NA
99504,Anchorage Municipality,AK,NA,39.0625,NA
99645,Matanuska-Susitna Borough,AK,56.342182890855455,NA,NA
99801,Juneau City and Borough,AK,50.442477876106196,NA,NA
85015,Maricopa County,AZ,19.174041297935105,NA,NA
