ZipCode,county,state,Youth,Pediatric,Adult,Retirement,Geriatric
35004,St. Clair County,AL,71.70158405723045,NA,61.609230073146826,20.289044289044288,NA
35005,Jefferson County,AL,NA,NA,64.01478018249,73.9020979020979,NA
35007,Shelby County,AL,62.41185487991824,NA,60.25940728451852,16.606060606060606,25.83532219570406
35010,Tallapoosa County,AL,63.20899335717935,33.31332533013205,78.8326672196667,87.86946386946387,84.98806682577566
35014,Talladega County,AL,NA,99.39975990396158,94.33677701530804,NA,NA
35016,Marshall County,AL,12.692897291773123,58.34333733493398,36.701606213709375,49.696969696969695,NA
35020,Jefferson County,AL,31.25191619826265,NA,22.909282859512857,1.7062937062937062,7.24343675417661
35022,Jefferson County,AL,67.16402657128258,NA,95.2643088756504,62.069930069930066,34.96420047732697
35023,Jefferson County,AL,1.8804292284108328,NA,6.221250282784103,14.079254079254081,2.6730310262529833
35031,Blount County,AL,85.3551354113439,NA,27.607269436694065,72.90442890442891,53.40095465393795
35033,Cullman County,AL,NA,NA,60.04826182037554,NA,NA
35034,Bibb County,AL,74.82881962187021,NA,27.320714878214314,NA,NA
35040,Shelby County,AL,58.81451200817578,47.47899159663865,57.82369353744061,69.66899766899766,NA
35042,Bibb County,AL,NA,NA,21.732900987859136,80.23310023310023,NA
35043,Shelby County,AL,30.45477772100153,NA,85.75522207978283,39.5990675990676,NA
35044,Talladega County,AL,4.987225344915687,56.6826730692277,89.20141769097353,86.66666666666667,99.8090692124105
35045,Chilton County,AL,NA,40.176070428171265,26.325314832968854,79.95337995337995,89.80906921241049
35046,Chilton County,AL,55.89167092488503,NA,95.91282708694668,37.34265734265734,93.99761336515513
35049,Blount County,AL,82.2176801226367,NA,36.15866073448458,NA,NA
35051,Shelby County,AL,72.72355646397547,92.65706282513005,69.41407133700325,69.03496503496504,96.92124105011933
35054,St. Clair County,AL,NA,NA,71.9327350878516,88.12121212121212,NA
35055,Cullman County,AL,57.00562084823709,NA,58.29877083176231,38.54545454545455,NA
35057,Cullman County,AL,NA,NA,58.66073448457884,NA,NA
35058,Cullman County,AL,62.115482881962194,44.49779911964786,57.25812532991479,NA,NA
35062,Jefferson County,AL,NA,NA,NA,30.983682983682986,95
35063,Walker County,AL,95.61573837506387,NA,37.80257899102632,NA,NA
35064,Jefferson County,AL,14.174757281553399,43.87755102040816,5.059950229997737,54.19114219114219,79.35560859188544
35068,Jefferson County,AL,NA,NA,91.47123143051053,81.41724941724942,83.43675417661099
35071,Jefferson County,AL,81.46142054164538,NA,66.38262574466481,56.205128205128204,73.68735083532219
35072,Coosa County,AL,NA,NA,96.5160998416409,99.12354312354313,87.39856801909308
35077,Cullman County,AL,18.14001021972407,83.1532613045218,23.957469270794057,42.40559440559441,67.17183770883055
35079,Blount County,AL,55.68727644353603,NA,93.34891787949627,59.74825174825175,NA
35080,Shelby County,AL,53.82728666326009,NA,70.2058668275394,71.76689976689977,NA
35083,Cullman County,AL,98.95758814512008,NA,NA,NA,NA
35085,Chilton County,AL,71.37455288707206,NA,86.7129175778599,93.02564102564102,NA
35091,Jefferson County,AL,NA,NA,97.99411809064173,NA,NA
35094,Jefferson County,AL,20.510986203372507,NA,72.04584872935676,NA,NA
35096,Talladega County,AL,50.383239652529376,NA,95.66397707563532,NA,NA
35111,Tuscaloosa County,AL,10.27082268778743,NA,37.304878968403585,63.38461538461539,57.673031026252985
35114,Shelby County,AL,62.5855901890649,NA,43.48088379458563,82.13519813519814,NA
35115,Shelby County,AL,12.386305569749616,NA,92.68531784933262,95.22610722610723,91.51551312649164
35116,Jefferson County,AL,96.80122636688809,NA,71.42749415579519,NA,NA
35117,Jefferson County,AL,NA,NA,65.18362114471005,NA,77.39856801909309
35118,Jefferson County,AL,NA,NA,91.63713143805143,NA,NA
35120,St. Clair County,AL,81.19570771589167,NA,65.58328934469498,NA,NA
35121,Blount County,AL,58.01737353091466,27.2108843537415,86.81849030993138,93.35198135198135,65.5727923627685
35124,Shelby County,AL,8.635666836995401,NA,62.83839831083628,32.298368298368295,28.43675417661098
35125,St. Clair County,AL,78.71231476750128,NA,67.89080763140035,66.42424242424242,92.49403341288783
35126,Jefferson County,AL,11.568727644353602,NA,62.40102556368298,60.67132867132867,66.82577565632458
35127,Jefferson County,AL,NA,NA,NA,9.435897435897436,72.76849642004774
35128,St. Clair County,AL,49.58610117526827,NA,92.44400874745494,79.42191142191142,NA
35131,St. Clair County,AL,NA,NA,43.6920292587286,99.44055944055944,NA
35133,Blount County,AL,9.984670413898824,NA,92.83613603800617,NA,NA
35146,St. Clair County,AL,39.78538579458355,NA,36.754392579745115,86.24708624708624,92.4582338902148
35150,Talladega County,AL,84.37404190086868,24.18967587034814,53.20865696402986,54.74125874125873,99.08114558472553
35151,Talladega County,AL,98.28308635666836,NA,10.451700475077294,98.37762237762237,98.10262529832936
35160,Talladega County,AL,61.798671435871235,26.53061224489796,30.14101500640977,56.25174825174825,27.21957040572792
35172,Blount County,AL,NA,NA,NA,99.28205128205128,NA
35173,Jefferson County,AL,5.682166581502299,NA,58.65319357514516,18.48951048951049,11.348448687350835
35175,Marshall County,AL,99.4685743484926,NA,NA,NA,NA
35179,Cullman County,AL,NA,73.68947579031612,51.3008068773094,NA,NA
35180,Jefferson County,AL,NA,63.76550620248099,85.70997662318075,44.81118881118881,NA
35184,Bibb County,AL,93.04036791006642,NA,30.01281954603725,24.895104895104893,NA
35186,Shelby County,AL,NA,NA,78.57627629892166,99.76689976689977,NA
35203,Jefferson County,AL,99.4685743484926,NA,83.61360380061835,NA,NA
35204,Jefferson County,AL,86.90853346959632,NA,9.509086795867582,12.634032634032636,21.062052505966587
35205,Jefferson County,AL,NA,NA,17.62310534650479,47.31002331002331,NA
35206,Jefferson County,AL,51.95707715891671,49.419767907162864,67.97375763517081,69.4079254079254,21.778042959427207
35207,Jefferson County,AL,32.02861522738886,NA,34.70326521378478,65.95804195804196,NA
35208,Jefferson County,AL,NA,NA,72.08355327652515,19.403263403263406,44.52267303102626
35209,Jefferson County,AL,NA,NA,82.1129628233165,88.53146853146853,81.84964200477327
35210,Jefferson County,AL,NA,42.45698279311725,21.29552824070583,63.030303030303024,96.44391408114559
35211,Jefferson County,AL,5.825242718446602,49.47979191676671,29.070205866827543,33.9020979020979,83.21002386634845
35212,Jefferson County,AL,NA,37.81512605042017,31.52854234220647,41.06293706293706,NA
35213,Jefferson County,AL,29.115993868165557,NA,75.64286252922102,40.18648018648019,86.81384248210023
35214,Jefferson County,AL,72.61113949923353,NA,58.69089812231355,49.98601398601399,91.5871121718377
35215,Jefferson County,AL,16.63771078180889,4.621848739495799,58.53253902420632,87.0955710955711,30.704057279236274
35216,Jefferson County,AL,17.53704649974451,NA,10.00678681849031,44.37296037296037,10.214797136038186
35217,Jefferson County,AL,NA,NA,57.469270794057756,NA,37.828162291169456
