fips,county,state,Under18,Over18
01001,Autauga County,AL,NA,27.224513847967003
01003,Baldwin County,AL,12.368421052631579,13.671184443134942
01005,Barbour County,AL,NA,25.57454331172658
01007,Bibb County,AL,83.8157894736842,19.563936358279317
01009,Blount County,AL,NA,27.87271655863288
01013,Butler County,AL,NA,71.12551561579258
01015,Calhoun County,AL,32.36842105263158,90.51266941661757
01017,Chambers County,AL,NA,10.312315851502651
01019,Cherokee County,AL,NA,66.23453152622275
01021,Chilton County,AL,NA,63.877430760165
01025,Clarke County,AL,NA,89.39304655274013
01033,Colbert County,AL,NA,30.053034767236298
01039,Covington County,AL,NA,22.392457277548615
01043,Cullman County,AL,33.81578947368421,51.91514437242192
01047,Dallas County,AL,NA,6.1284619917501475
01049,DeKalb County,AL,NA,23.27637006482027
01051,Elmore County,AL,27.105263157894736,1.8267530936947556
01053,Escambia County,AL,NA,50.265173836181496
01055,Etowah County,AL,37.76315789473684,40.95462581025339
01061,Geneva County,AL,NA,43.959929286977015
01065,Hale County,AL,NA,60.695344725987034
01067,Henry County,AL,NA,41.95639363582793
01069,Houston County,AL,NA,53.506187389510906
01071,Jackson County,AL,NA,11.431938715380083
01073,Jefferson County,AL,29.47368421052631,45.19740718915733
01075,Lamar County,AL,NA,61.402474955804365
01077,Lauderdale County,AL,NA,84.73777253977607
01079,Lawrence County,AL,NA,40.36535061873895
01081,Lee County,AL,NA,37.0654095462581
01083,Limestone County,AL,37.368421052631575,1.1785503830288746
01087,Macon County,AL,NA,89.03948143783147
01089,Madison County,AL,53.55263157894738,41.838538597525044
01091,Marengo County,AL,NA,52.268709487330575
01093,Marion County,AL,NA,10.13553329404832
01095,Marshall County,AL,42.10526315789473,3.653506187389511
01097,Mobile County,AL,46.973684210526315,33.23512080141426
01099,Monroe County,AL,NA,59.04537418974661
01101,Montgomery County,AL,7.5,43.13494401885681
01103,Morgan County,AL,NA,72.71655863288156
01107,Pickens County,AL,96.84210526315789,78.90394814378314
01109,Pike County,AL,58.15789473684211,25.81025338833235
01111,Randolph County,AL,85.52631578947368,45.315262227460224
01113,Russell County,AL,NA,64.99705362404242
01115,St. Clair County,AL,25.657894736842106,NA
01117,Shelby County,AL,12.23684210526316,26.458456098998234
01121,Talladega County,AL,NA,14.555097230406599
01125,Tuscaloosa County,AL,NA,18.97466116676488
01127,Walker County,AL,NA,2.239245727754861
01133,Winston County,AL,NA,28.99233942251031
02020,Anchorage Municipality,AK,63.81578947368421,62.28638774307602
02090,Fairbanks North Star Borough,AK,37.23684210526316,5.244549204478491
02110,Juneau City and Borough,AK,NA,92.4572775486152
02122,Kenai Peninsula Borough,AK,87.10526315789474,77.60754272245138
02130,Ketchikan Gateway Borough,AK,NA,27.813789039481442
02170,Matanuska-Susitna Borough,AK,84.86842105263158,NA
02220,Sitka City and Borough,AK,NA,54.44902769593401
02240,Southeast Fairbanks Census Area,AK,NA,99.88214496169712
04001,Apache County,AZ,49.21052631578947,75.60400707130229
04003,Cochise County,AZ,NA,32.17442545668827
04005,Coconino County,AZ,2.8947368421052633,2.357100766057749
04007,Gila County,AZ,NA,56.040070713022985
