ZipCode,county,state,Youth
35124,Shelby County,AL,76.72413793103449
35226,Jefferson County,AL,56.46551724137932
35613,Limestone County,AL,34.48275862068966
99507,Anchorage Municipality,AK,24.137931034482758
99801,Juneau City and Borough,AK,62.93103448275862
85748,Pima County,AZ,90.51724137931035
86004,Coconino County,AZ,1.293103448275862
72315,Mississippi County,AR,50.43103448275862
72956,Crawford County,AR,48.706896551724135
90274,Los Angeles County,CA,87.06896551724138
90706,Los Angeles County,CA,16.379310344827587
91607,Los Angeles County,CA,71.98275862068965
91730,San Bernardino County,CA,31.896551724137932
91913,San Diego County,CA,77.15517241379311
92223,Riverside County,CA,68.96551724137932
92562,Riverside County,CA,57.758620689655174
92649,Orange County,CA,80.60344827586206
92691,Orange County,CA,74.56896551724138
92835,Orange County,CA,97.41379310344827
92843,Orange County,CA,52.1551724137931
93247,Tulare County,CA,92.67241379310344
93291,Tulare County,CA,35.3448275862069
93314,Kern County,CA,79.74137931034483
93720,Fresno County,CA,25
94563,Contra Costa County,CA,71.98275862068965
94583,Contra Costa County,CA,56.896551724137936
95023,San Benito County,CA,33.62068965517241
95367,Stanislaus County,CA,55.603448275862064
80220,Denver County,CO,39.224137931034484
80530,Weld County,CO,92.24137931034483
80631,Weld County,CO,11.206896551724139
80701,Morgan County,CO,22.413793103448278
80734,Phillips County,CO,87.5
06035,Hartford County,CT,98.27586206896551
06060,Hartford County,CT,98.70689655172413
06073,Hartford County,CT,93.96551724137932
06614,Fairfield County,CT,83.62068965517241
06854,Fairfield County,CT,93.53448275862068
19707,New Castle County,DE,89.65517241379311
19953,Kent County,DE,95.25862068965517
32526,Escambia County,FL,42.241379310344826
32606,Alachua County,FL,40.94827586206897
32608,Alachua County,FL,5.603448275862069
32907,Brevard County,FL,63.36206896551724
32940,Brevard County,FL,62.5
33014,Miami-Dade County,FL,44.396551724137936
33782,Pinellas County,FL,37.06896551724138
33830,Polk County,FL,27.155172413793103
30022,Fulton County,GA,47.41379310344828
30101,Cobb County,GA,29.310344827586203
30179,Carroll County,GA,70.6896551724138
30725,Walker County,GA,91.37931034482759
30736,Catoosa County,GA,18.53448275862069
96707,Honolulu County,HI,56.03448275862068
60044,Lake County,IL,86.63793103448276
60061,Lake County,IL,57.327586206896555
60062,Cook County,IL,58.620689655172406
60423,Will County,IL,31.03448275862069
60426,Cook County,IL,68.53448275862068
60467,Cook County,IL,61.63793103448276
60616,Cook County,IL,27.586206896551722
60646,Cook County,IL,77.58620689655173
61115,Winnebago County,IL,67.67241379310344
61705,McLean County,IL,61.206896551724135
61802,Champaign County,IL,75
62801,Marion County,IL,75
46158,Morgan County,IN,74.13793103448276
46902,Howard County,IN,4.310344827586207
47274,Jackson County,IN,27.586206896551722
47665,Gibson County,IN,99.56896551724138
51534,Mills County,IA,59.91379310344828
52352,Linn County,IA,100
66030,Johnson County,KS,38.362068965517246
66204,Johnson County,KS,93.10344827586206
40033,Marion County,KY,85.77586206896551
40351,Rowan County,KY,45.258620689655174
41011,Kenton County,KY,50
41042,Boone County,KY,73.70689655172413
42701,Hardin County,KY,16.379310344827587
70454,Tangipahoa Parish,LA,6.896551724137931
70538,St. Mary Parish,LA,33.62068965517241
70737,Ascension Parish,LA,0.8620689655172413
70805,East Baton Rouge Parish,LA,6.0344827586206895
70817,East Baton Rouge Parish,LA,9.051724137931034
04769,Aroostook County,ME,45.258620689655174
04901,Kennebec County,ME,25.43103448275862
21771,Frederick County,MD,54.741379310344826
01040,Hampden County,MA,0.43103448275862066
01432,Middlesex County,MA,65.51724137931035
01463,Middlesex County,MA,79.3103448275862
01803,Middlesex County,MA,52.58620689655172
01821,Middlesex County,MA,30.603448275862068
01852,Middlesex County,MA,33.189655172413794
01854,Middlesex County,MA,23.275862068965516
02176,Middlesex County,MA,32.327586206896555
02715,Bristol County,MA,83.1896551724138
02726,Bristol County,MA,81.89655172413794
48035,Macomb County,MI,43.96551724137931
48101,Wayne County,MI,15.948275862068966
48116,Livingston County,MI,23.70689655172414
48141,Wayne County,MI,17.24137931034483
48178,Oakland County,MI,13.36206896551724
48315,Macomb County,MI,42.672413793103445
48386,Oakland County,MI,65.08620689655173
48430,Genesee County,MI,34.91379310344828
55336,McLeod County,MN,67.24137931034483
55345,Hennepin County,MN,94.82758620689656
55378,Scott County,MN,64.22413793103449
38652,Union County,MS,51.293103448275865
64156,Clay County,MO,85.34482758620689
64429,Clinton County,MO,19.396551724137932
64468,Nodaway County,MO,66.37931034482759
07442,Passaic County,NJ,71.55172413793103
08033,Camden County,NJ,95.25862068965517
08062,Gloucester County,NJ,24.568965517241377
08230,Cape May County,NJ,96.12068965517241
08742,Ocean County,NJ,37.5
08753,Ocean County,NJ,10.344827586206897
87112,Bernalillo County,NM,18.103448275862068
11233,Kings County,NY,4.741379310344827
11716,Suffolk County,NY,87.5
12118,Saratoga County,NY,41.810344827586206
