fips,county,state,Under18,Over18
01001,Autauga County,AL,89.75526465566305,92.25563909774436
01003,Baldwin County,AL,42.857142857142854,76.2781954887218
01005,Barbour County,AL,38.53158793397837,81.2781954887218
01007,Bibb County,AL,72.11155378486056,62.93233082706767
01009,Blount County,AL,56.91519635742743,73.49624060150376
01011,Bullock County,AL,54.24018212862835,59.66165413533835
01013,Butler County,AL,16.789982925441095,75.18796992481202
01015,Calhoun County,AL,80.87649402390437,92.36842105263158
01017,Chambers County,AL,NA,68.30827067669173
01019,Cherokee County,AL,97.55264655663062,98.19548872180451
01021,Chilton County,AL,57.085941946499716,95.67669172932331
01025,Clarke County,AL,NA,32.70676691729324
01027,Clay County,AL,38.076266363118954,53.64661654135339
01029,Cleburne County,AL,96.64200341491178,94.02255639097744
01031,Coffee County,AL,34.03528742174161,93.49624060150376
01033,Colbert County,AL,60.1593625498008,84.09774436090225
01035,Conecuh County,AL,NA,31.992481203007518
01037,Coosa County,AL,81.10415480933409,70.03759398496241
01039,Covington County,AL,26.522481502561185,65.6390977443609
01041,Crenshaw County,AL,53.78486055776892,79.81203007518796
01043,Cullman County,AL,60.614684120660215,93.19548872180451
01045,Dale County,AL,61.12692088787707,92.59398496240601
01047,Dallas County,AL,9.220261809903244,40.41353383458647
01049,DeKalb County,AL,87.02333523050655,98.38345864661655
01051,Elmore County,AL,7.854297097324986,76.39097744360902
01053,Escambia County,AL,88.56004553215709,80.97744360902256
01055,Etowah County,AL,86.22652248150257,94.4360902255639
01057,Fayette County,AL,99.08935685828116,91.57894736842105
01059,Franklin County,AL,32.27091633466135,94.69924812030075
01061,Geneva County,AL,87.47865680136596,80.78947368421052
01063,Greene County,AL,NA,22.518796992481203
01065,Hale County,AL,90.60899260102447,77.63157894736842
01067,Henry County,AL,NA,73.796992481203
01069,Houston County,AL,70.46101309049516,90.93984962406016
01071,Jackson County,AL,80.02276607854297,98.42105263157895
01073,Jefferson County,AL,62.77746158224245,59.73684210526316
01075,Lamar County,AL,86.96642003414911,90.07518796992481
01077,Lauderdale County,AL,6.089926010244735,60.338345864661655
01079,Lawrence County,AL,61.24075128059192,68.87218045112782
01081,Lee County,AL,11.26920887877063,50.97744360902256
01083,Limestone County,AL,63.6881047239613,71.203007518797
01085,Lowndes County,AL,NA,96.2406015037594
01087,Macon County,AL,NA,33.83458646616541
01089,Madison County,AL,42.68639726807058,49.3609022556391
01091,Marengo County,AL,NA,16.390977443609025
01093,Marion County,AL,29.2544109277177,41.578947368421055
01095,Marshall County,AL,32.612407512805916,84.21052631578947
01097,Mobile County,AL,68.07057484348321,72.85714285714285
01099,Monroe County,AL,15.31018782014798,34.962406015037594
01101,Montgomery County,AL,14.911781445645989,78.30827067669173
01103,Morgan County,AL,82.9823562891292,90.78947368421053
01105,Perry County,AL,NA,13.684210526315791
01107,Pickens County,AL,40.18212862834377,83.30827067669173
01109,Pike County,AL,4.496300512236767,8.233082706766917
01111,Randolph County,AL,NA,51.35338345864662
01113,Russell County,AL,92.25953329538987,72.78195488721805
01115,St. Clair County,AL,19.180421172453045,74.28571428571429
01117,Shelby County,AL,45.58907228229938,65.18796992481202
01119,Sumter County,AL,82.58394991462721,22.18045112781955
01121,Talladega County,AL,55.43540125213432,88.64661654135338
01123,Tallapoosa County,AL,22.652248150256117,55.45112781954887
01125,Tuscaloosa County,AL,57.598178713716564,82.89473684210526
01127,Walker County,AL,86.79567444507683,97.78195488721805
01129,Washington County,AL,NA,77.78195488721803
01131,Wilcox County,AL,NA,40.26315789473684
01133,Winston County,AL,75.81104154809334,93.87218045112782
02020,Anchorage Municipality,AK,63.46044393853158,60.45112781954888
02050,Bethel Census Area,AK,NA,35
02070,Dillingham Census Area,AK,NA,43.19548872180451
02090,Fairbanks North Star Borough,AK,96.52817302219692,61.35338345864662
