ZipCode,county,state,Adult,Retirement,Geriatric
35016,Marshall County,AL,NA,39.51456310679612,NA
35023,Jefferson County,AL,NA,48.932038834951456,NA
35043,Shelby County,AL,NA,89.32038834951457,NA
35057,Cullman County,AL,NA,83.59223300970874,NA
35058,Cullman County,AL,NA,77.86407766990291,NA
35210,Jefferson County,AL,NA,69.2233009708738,NA
35216,Jefferson County,AL,NA,50.48543689320388,NA
35217,Jefferson County,AL,NA,49.029126213592235,NA
35223,Jefferson County,AL,NA,NA,75.14124293785311
35242,Shelby County,AL,NA,NA,61.016949152542374
35243,Jefferson County,AL,NA,NA,61.15819209039548
35466,Pickens County,AL,90.95744680851064,NA,NA
35565,Winston County,AL,NA,NA,88.13559322033898
35601,Morgan County,AL,NA,NA,33.61581920903955
35650,Lawrence County,AL,NA,43.49514563106796,NA
35749,Madison County,AL,NA,54.07766990291262,NA
35757,Madison County,AL,NA,78.93203883495146,NA
35801,Madison County,AL,74.46808510638297,NA,NA
35802,Madison County,AL,NA,67.08737864077669,NA
35803,Madison County,AL,NA,36.213592233009706,33.05084745762712
35811,Madison County,AL,NA,43.00970873786408,NA
35901,Etowah County,AL,NA,NA,66.80790960451978
35951,Marshall County,AL,NA,NA,78.10734463276836
35953,St. Clair County,AL,NA,91.74757281553399,NA
35957,Marshall County,AL,NA,58.64077669902913,NA
35976,Marshall County,AL,NA,35.92233009708738,NA
36078,Elmore County,AL,83.51063829787235,NA,NA
36117,Montgomery County,AL,NA,38.25242718446602,NA
36203,Calhoun County,AL,NA,NA,78.38983050847457
36207,Calhoun County,AL,NA,NA,69.91525423728814
36264,Cleburne County,AL,NA,96.60194174757282,NA
36303,Houston County,AL,NA,40.3883495145631,NA
36426,Escambia County,AL,NA,NA,72.03389830508475
36507,Baldwin County,AL,NA,89.80582524271846,NA
36535,Baldwin County,AL,NA,57.96116504854369,NA
36542,Baldwin County,AL,NA,NA,65.96045197740112
36606,Mobile County,AL,70.74468085106383,NA,NA
36853,Tallapoosa County,AL,NA,83.88349514563107,NA
36869,Russell County,AL,NA,63.00970873786408,NA
99654,Matanuska-Susitna Borough,AK,NA,76.89320388349515,NA
99801,Juneau City and Borough,AK,NA,70.19417475728156,NA
85009,Maricopa County,AZ,NA,27.96116504854369,NA
85018,Maricopa County,AZ,NA,NA,55.08474576271186
85020,Maricopa County,AZ,NA,34.46601941747573,NA
85021,Maricopa County,AZ,NA,34.077669902912625,NA
85022,Maricopa County,AZ,NA,29.61165048543689,NA
85023,Maricopa County,AZ,34.04255319148936,NA,NA
85024,Maricopa County,AZ,NA,81.35922330097087,NA
85132,Pinal County,AZ,NA,90.67961165048544,NA
85206,Maricopa County,AZ,NA,NA,13.841807909604519
85215,Maricopa County,AZ,NA,76.79611650485437,NA
85249,Maricopa County,AZ,NA,85.8252427184466,NA
85302,Maricopa County,AZ,NA,27.47572815533981,NA
85338,Maricopa County,AZ,NA,44.85436893203884,NA
85364,Yuma County,AZ,NA,NA,4.661016949152542
85365,Yuma County,AZ,NA,21.650485436893206,NA
85374,Maricopa County,AZ,NA,NA,7.4858757062146895
85382,Maricopa County,AZ,NA,NA,18.64406779661017
85614,Pima County,AZ,NA,21.553398058252426,NA
85621,Santa Cruz County,AZ,NA,44.46601941747573,NA
85622,Pima County,AZ,NA,NA,56.07344632768362
85623,Pinal County,AZ,NA,96.40776699029126,NA
85648,Santa Cruz County,AZ,NA,69.70873786407768,NA
85710,Pima County,AZ,42.5531914893617,18.932038834951456,NA
85713,Pima County,AZ,NA,82.91262135922331,60.31073446327684
85718,Pima County,AZ,NA,75.8252427184466,NA
85743,Pima County,AZ,NA,NA,93.50282485875707
85755,Pima County,AZ,NA,49.80582524271845,71.1864406779661
86324,Yavapai County,AZ,NA,NA,95.33898305084746
71603,Jefferson County,AR,NA,22.9126213592233,NA
71730,Union County,AR,NA,66.69902912621359,NA
71753,Columbia County,AR,NA,90,NA
71913,Garland County,AR,NA,NA,15.3954802259887
72058,Faulkner County,AR,NA,NA,88.84180790960453
72143,White County,AR,NA,NA,79.51977401129943
72210,Pulaski County,AR,94.14893617021278,NA,NA
72223,Pulaski County,AR,NA,NA,90.11299435028248
72450,Greene County,AR,NA,26.699029126213592,NA
72454,Clay County,AR,NA,NA,79.37853107344633
72543,Cleburne County,AR,71.27659574468085,NA,NA
72560,Stone County,AR,NA,61.55339805825243,NA
90013,Los Angeles County,CA,NA,67.76699029126215,NA
90019,Los Angeles County,CA,NA,63.49514563106796,NA
90067,Los Angeles County,CA,NA,NA,77.54237288135593
90077,Los Angeles County,CA,NA,94.85436893203884,NA
90210,Los Angeles County,CA,NA,NA,22.598870056497177
90222,Los Angeles County,CA,NA,NA,89.26553672316385
90240,Los Angeles County,CA,NA,NA,83.19209039548022
90262,Los Angeles County,CA,NA,84.36893203883496,NA
90403,Los Angeles County,CA,NA,91.55339805825243,NA
90603,Los Angeles County,CA,NA,53.786407766990294,NA
90620,Orange County,CA,NA,NA,28.954802259887007
90630,Orange County,CA,NA,57.66990291262136,NA
90744,Los Angeles County,CA,NA,NA,66.80790960451978
90807,Los Angeles County,CA,58.51063829787234,NA,NA
91011,Los Angeles County,CA,NA,NA,69.0677966101695
91107,Los Angeles County,CA,NA,49.61165048543689,NA
91311,Los Angeles County,CA,NA,52.23300970873787,NA
91326,Los Angeles County,CA,NA,NA,42.79661016949153
91342,Los Angeles County,CA,NA,15.242718446601941,NA
91343,Los Angeles County,CA,94.68085106382979,NA,NA
91344,Los Angeles County,CA,NA,26.50485436893204,NA
91360,Ventura County,CA,NA,50.09708737864078,NA
91361,Ventura County,CA,NA,64.66019417475728,NA
91362,Ventura County,CA,NA,NA,58.05084745762712
91387,Los Angeles County,CA,NA,41.456310679611654,NA
91423,Los Angeles County,CA,NA,63.10679611650486,NA
91709,San Bernardino County,CA,NA,NA,77.68361581920904
91711,Los Angeles County,CA,NA,NA,85.02824858757062
91722,Los Angeles County,CA,NA,58.15533980582524,NA
91762,San Bernardino County,CA,NA,NA,53.672316384180796
91767,Los Angeles County,CA,NA,NA,51.41242937853108
91784,San Bernardino County,CA,NA,47.57281553398058,NA
91913,San Diego County,CA,NA,83.20388349514563,NA
92021,San Diego County,CA,NA,15.339805825242719,27.54237288135593
92024,San Diego County,CA,NA,NA,68.78531073446328
92040,San Diego County,CA,54.78723404255319,NA,NA
92223,Riverside County,CA,NA,41.74757281553398,NA
92231,Imperial County,CA,38.82978723404255,NA,NA
92253,Riverside County,CA,NA,NA,42.090395480225986
92262,Riverside County,CA,NA,11.067961165048544,NA
92270,Riverside County,CA,NA,8.54368932038835,NA
92335,San Bernardino County,CA,NA,17.864077669902912,NA
92336,San Bernardino County,CA,NA,NA,43.36158192090395
92345,San Bernardino County,CA,NA,NA,27.11864406779661
92376,San Bernardino County,CA,NA,NA,55.367231638418076
92405,San Bernardino County,CA,NA,NA,89.97175141242938
92612,Orange County,CA,NA,NA,53.38983050847458
92637,Orange County,CA,NA,70.3883495145631,NA
92647,Orange County,CA,NA,NA,50.56497175141242
92805,Orange County,CA,NA,43.10679611650485,NA
92807,Orange County,CA,NA,40.48543689320388,NA
92821,Orange County,CA,NA,49.70873786407767,NA
92867,Orange County,CA,NA,NA,90.2542372881356
92882,Riverside County,CA,NA,37.28155339805825,NA
92883,Riverside County,CA,NA,88.54368932038835,NA
92886,Orange County,CA,NA,19.41747572815534,NA
93015,Ventura County,CA,NA,82.52427184466019,NA
93023,Ventura County,CA,NA,NA,56.49717514124294
93033,Ventura County,CA,NA,10.485436893203884,NA
93065,Ventura County,CA,NA,57.18446601941748,NA
93230,Kings County,CA,NA,17.37864077669903,NA
93304,Kern County,CA,65.42553191489363,NA,NA
93307,Kern County,CA,NA,NA,52.68361581920904
93312,Kern County,CA,48.40425531914894,NA,60.02824858757062
93454,Santa Barbara County,CA,NA,NA,42.51412429378531
93455,Santa Barbara County,CA,NA,31.359223300970875,NA
