ZipCode,county,state,Adult,Retirement,Geriatric
35150,Talladega County,AL,NA,40.06024096385542,NA
35633,Lauderdale County,AL,NA,40.66265060240964,NA
35805,Madison County,AL,NA,93.97590361445783,NA
35954,Etowah County,AL,46.75324675324675,NA,NA
36022,Elmore County,AL,NA,NA,90.48991354466858
36345,Henry County,AL,66.23376623376623,NA,NA
36608,Mobile County,AL,NA,NA,42.07492795389049
36695,Mobile County,AL,51.94805194805194,NA,NA
36863,Chambers County,AL,65.36796536796537,NA,NA
85014,Maricopa County,AZ,NA,63.85542168674698,NA
85016,Maricopa County,AZ,58.87445887445888,NA,NA
85020,Maricopa County,AZ,NA,NA,59.0778097982709
85044,Maricopa County,AZ,NA,NA,48.126801152737755
85085,Maricopa County,AZ,NA,NA,80.69164265129683
85205,Maricopa County,AZ,NA,13.55421686746988,NA
85253,Maricopa County,AZ,NA,NA,74.63976945244957
85255,Maricopa County,AZ,NA,NA,16.714697406340058
85257,Maricopa County,AZ,77.05627705627705,NA,NA
85263,Maricopa County,AZ,NA,NA,91.35446685878964
85283,Maricopa County,AZ,NA,14.156626506024098,NA
85304,Maricopa County,AZ,NA,NA,47.83861671469741
85323,Maricopa County,AZ,NA,34.63855421686747,NA
85339,Maricopa County,AZ,41.99134199134199,NA,NA
85351,Maricopa County,AZ,NA,NA,44.95677233429395
85364,Yuma County,AZ,NA,79.51807228915662,NA
85375,Maricopa County,AZ,NA,NA,7.492795389048991
85607,Cochise County,AZ,NA,NA,42.93948126801153
85650,Cochise County,AZ,NA,39.1566265060241,NA
85715,Pima County,AZ,95.23809523809523,NA,NA
85743,Pima County,AZ,NA,NA,68.01152737752162
86040,Coconino County,AZ,NA,96.6867469879518,NA
86047,Navajo County,AZ,NA,91.26506024096386,NA
86404,Mohave County,AZ,NA,NA,26.22478386167147
86409,Mohave County,AZ,NA,2.108433734939759,NA
72034,Faulkner County,AR,65.80086580086581,NA,NA
72432,Poinsett County,AR,94.8051948051948,NA,NA
72450,Greene County,AR,NA,NA,47.55043227665706
72751,Benton County,AR,NA,81.02409638554217,NA
72958,Scott County,AR,56.709956709956714,NA,NA
90018,Los Angeles County,CA,NA,17.16867469879518,NA
90068,Los Angeles County,CA,NA,94.27710843373494,NA
90201,Los Angeles County,CA,26.406926406926406,NA,NA
90247,Los Angeles County,CA,NA,NA,35.158501440922194
90260,Los Angeles County,CA,NA,71.6867469879518,NA
90266,Los Angeles County,CA,NA,NA,61.09510086455331
90640,Los Angeles County,CA,87.44588744588745,NA,20.172910662824208
90746,Los Angeles County,CA,NA,35.8433734939759,NA
91040,Los Angeles County,CA,NA,68.97590361445783,NA
91203,Los Angeles County,CA,NA,NA,93.0835734870317
91331,Los Angeles County,CA,NA,35.54216867469879,NA
91367,Los Angeles County,CA,NA,31.626506024096386,NA
91384,Los Angeles County,CA,NA,83.73493975903614,NA
91387,Los Angeles County,CA,NA,NA,75.21613832853026
91770,Los Angeles County,CA,NA,NA,51.29682997118156
91789,Los Angeles County,CA,NA,NA,36.59942363112392
92071,San Diego County,CA,NA,84.33734939759037,NA
92101,San Diego County,CA,NA,5.72289156626506,NA
92114,San Diego County,CA,NA,NA,19.88472622478386
92211,Riverside County,CA,NA,NA,7.780979827089338
92225,Riverside County,CA,NA,NA,75.50432276657061
92253,Riverside County,CA,NA,NA,6.628242074927954
92359,San Bernardino County,CA,86.58008658008657,NA,NA
92399,San Bernardino County,CA,NA,NA,17.29106628242075
92557,Riverside County,CA,NA,NA,92.507204610951
92647,Orange County,CA,NA,NA,32.85302593659942
92675,Orange County,CA,NA,NA,91.93083573487031
92840,Orange County,CA,NA,50.30120481927711,NA
92870,Orange County,CA,NA,NA,71.46974063400576
93021,Ventura County,CA,NA,NA,84.14985590778097
93105,Santa Barbara County,CA,NA,NA,43.51585014409222
93111,Santa Barbara County,CA,NA,NA,46.97406340057637
93117,Santa Barbara County,CA,NA,NA,96.25360230547551
93280,Kern County,CA,NA,81.62650602409639,NA
93311,Kern County,CA,NA,38.25301204819277,NA
93436,Santa Barbara County,CA,NA,NA,31.412103746397698
93458,Santa Barbara County,CA,NA,75.30120481927712,NA
93710,Fresno County,CA,NA,NA,30.25936599423631
93725,Fresno County,CA,NA,55.12048192771084,NA
93906,Monterey County,CA,NA,NA,57.925072046109506
94014,San Mateo County,CA,NA,NA,94.81268011527378
94025,San Mateo County,CA,NA,NA,18.155619596541786
94061,San Mateo County,CA,NA,NA,10.086455331412104
94103,San Francisco County,CA,10.822510822510822,NA,NA
94124,San Francisco County,CA,22.07792207792208,NA,NA
94521,Contra Costa County,CA,NA,NA,12.39193083573487
94560,Alameda County,CA,NA,NA,56.48414985590778
94603,Alameda County,CA,38.52813852813853,NA,NA
94606,Alameda County,CA,NA,40.36144578313253,NA
95037,Santa Clara County,CA,89.6103896103896,NA,NA
95121,Santa Clara County,CA,57.57575757575758,NA,NA
95126,Santa Clara County,CA,83.54978354978356,NA,NA
95687,Solano County,CA,84.84848484848484,NA,NA
95816,Sacramento County,CA,78.35497835497836,NA,NA
95819,Sacramento County,CA,NA,NA,95.10086455331412
95966,Butte County,CA,NA,4.518072289156627,NA
96001,Shasta County,CA,19.480519480519483,NA,NA
96003,Shasta County,CA,NA,NA,17.579250720461097
96021,Tehama County,CA,NA,90.36144578313254,NA
96055,Tehama County,CA,88.74458874458875,NA,NA
96093,Trinity County,CA,NA,NA,73.77521613832853
80011,Arapahoe County,CO,5.627705627705628,NA,70.60518731988472
80104,Douglas County,CO,NA,45.18072289156627,NA
80127,Jefferson County,CO,NA,NA,42.65129682997118
80214,Jefferson County,CO,NA,80.12048192771084,NA
80465,Jefferson County,CO,NA,71.3855421686747,NA
80521,Larimer County,CO,NA,NA,57.34870317002881
80550,Weld County,CO,NA,NA,33.71757925072046
80911,El Paso County,CO,NA,NA,90.20172910662824
80917,El Paso County,CO,NA,NA,74.06340057636888
81001,Pueblo County,CO,NA,NA,38.04034582132565
81321,Montezuma County,CO,84.4155844155844,NA,33.14121037463977
06062,Hartford County,CT,85.28138528138528,NA,NA
06082,Hartford County,CT,72.72727272727273,NA,NA
06226,Windham County,CT,15.584415584415584,NA,NA
06450,New Haven County,CT,NA,27.710843373493976,15.561959654178676
06492,New Haven County,CT,NA,6.325301204819277,NA
06702,New Haven County,CT,NA,NA,78.6743515850144
06787,Litchfield County,CT,NA,78.6144578313253,NA
06790,Litchfield County,CT,NA,10.542168674698797,NA
06811,Fairfield County,CT,NA,15.66265060240964,NA
06902,Fairfield County,CT,NA,NA,4.322766570605188
19810,New Castle County,DE,NA,NA,21.902017291066283
19901,Kent County,DE,NA,NA,12.968299711815561
19930,Sussex County,DE,NA,89.7590361445783,NA
19939,Sussex County,DE,NA,NA,65.70605187319885
19958,Sussex County,DE,NA,NA,46.68587896253602
19973,Sussex County,DE,14.71861471861472,NA,NA
32003,Clay County,FL,NA,NA,43.22766570605187
32065,Clay County,FL,NA,NA,56.77233429394812
32068,Clay County,FL,10.38961038961039,NA,NA
32086,St. Johns County,FL,NA,10.240963855421686,NA
32128,Volusia County,FL,NA,NA,27.6657060518732
32169,Volusia County,FL,97.40259740259741,NA,NA
32225,Duval County,FL,NA,NA,33.14121037463977
32303,Leon County,FL,NA,29.21686746987952,NA
32448,Jackson County,FL,69.6969696969697,NA,NA
32533,Escambia County,FL,25.108225108225106,NA,NA
32534,Escambia County,FL,NA,NA,58.21325648414985
32550,Walton County,FL,NA,NA,44.09221902017291
32754,Brevard County,FL,NA,55.42168674698795,NA
32763,Volusia County,FL,NA,NA,16.42651296829971
32779,Seminole County,FL,NA,52.71084337349398,NA
32811,Orange County,FL,NA,67.46987951807229,NA
32958,Indian River County,FL,NA,NA,4.899135446685879
33012,Miami-Dade County,FL,NA,NA,16.138328530259365
33055,Miami-Dade County,FL,NA,NA,85.5907780979827
33062,Broward County,FL,NA,NA,53.89048991354467
33135,Miami-Dade County,FL,NA,NA,71.75792507204612
33155,Miami-Dade County,FL,NA,18.67469879518072,NA
33165,Miami-Dade County,FL,NA,NA,2.3054755043227666
33176,Miami-Dade County,FL,NA,NA,45.24495677233429
33185,Miami-Dade County,FL,NA,NA,52.73775216138329
33308,Broward County,FL,NA,NA,2.5936599423631126
33315,Broward County,FL,NA,65.66265060240963,NA
33324,Broward County,FL,NA,NA,35.44668587896253
33325,Broward County,FL,NA,NA,75.79250720461094
33467,Palm Beach County,FL,NA,NA,8.93371757925072
33498,Palm Beach County,FL,83.11688311688312,NA,NA
33541,Pasco County,FL,NA,NA,80.403458213256485
33759,Pinellas County,FL,NA,76.50602409638554,NA
33774,Pinellas County,FL,NA,NA,67.14697406340058
33810,Polk County,FL,NA,19.879518072289155,NA
33811,Polk County,FL,NA,49.6987951807229,NA
33813,Polk County,FL,NA,30.120481927710845,NA
33823,Polk County,FL,NA,NA,40.345821325648416
33844,Polk County,FL,NA,NA,88.76080691642652
33852,Highlands County,FL,NA,NA,5.187319884726225
33860,Polk County,FL,NA,44.57831325301205,NA
33917,Lee County,FL,NA,NA,32.27665706051873
33919,Lee County,FL,NA,NA,3.170028818443804
33928,Lee County,FL,NA,81.92771084337349,NA
33982,Charlotte County,FL,NA,NA,99.71181556195965
34203,Manatee County,FL,NA,NA,9.221902017291066
34209,Manatee County,FL,NA,NA,11.815561959654179
34233,Sarasota County,FL,NA,29.819277108433734,NA
34275,Sarasota County,FL,96.1038961038961,NA,NA
34287,Sarasota County,FL,NA,45.48192771084337,NA
34292,Sarasota County,FL,NA,NA,65.99423631123919
34434,Citrus County,FL,NA,NA,74.92795389048992
34484,Sumter County,FL,NA,NA,72.3342939481268
34652,Pasco County,FL,NA,34.93975903614458,NA
34667,Pasco County,FL,75.32467532467533,NA,NA
34684,Pinellas County,FL,NA,NA,58.501440922190206
34974,Okeechobee County,FL,NA,24.096385542168676,NA
30016,Newton County,GA,58.00865800865801,NA,NA
30032,DeKalb County,GA,11.688311688311687,NA,NA
30034,DeKalb County,GA,NA,NA,83.28530259365994
30039,Gwinnett County,GA,NA,NA,85.30259365994236
30071,Gwinnett County,GA,74.02597402597402,NA,NA
30082,Cobb County,GA,NA,62.951807228915655,NA
30087,DeKalb County,GA,NA,12.349397590361445,NA
30101,Cobb County,GA,NA,14.457831325301203,NA
30132,Paulding County,GA,NA,21.686746987951807,NA
30315,Fulton County,GA,98.7012987012987,NA,NA
30317,DeKalb County,GA,NA,96.3855421686747,NA
30319,DeKalb County,GA,NA,NA,17.86743515850144
30331,Fulton County,GA,NA,83.43373493975903,NA
30533,Lumpkin County,GA,NA,56.92771084337349,NA
30577,Stephens County,GA,NA,98.79518072289156,NA
30824,McDuffie County,GA,NA,NA,60.51873198847262
30904,Richmond County,GA,67.96536796536796,NA,NA
31021,Laurens County,GA,NA,NA,34.00576368876081
31069,Houston County,GA,33.76623376623377,NA,NA
31206,Bibb County,GA,NA,33.734939759036145,NA
31210,Bibb County,GA,NA,NA,29.106628242074926
31217,Bibb County,GA,NA,32.831325301204814,NA
31401,Chatham County,GA,51.515151515151516,NA,NA
31404,Chatham County,GA,NA,NA,70.89337175792507
31601,Lowndes County,GA,23.376623376623375,NA,NA
96712,Honolulu County,HI,NA,NA,91.06628242074927
83201,Bannock County,ID,NA,50.903614457831324,NA
83263,Franklin County,ID,NA,83.13253012048193,NA
83617,Gem County,ID,55.84415584415584,NA,NA
83634,Ada County,ID,71.86147186147186,NA,NA
83660,Canyon County,ID,74.45887445887446,NA,NA
83672,Washington County,ID,NA,NA,44.668587896253605
83704,Ada County,ID,NA,NA,1.440922190201729
83705,Ada County,ID,NA,8.433734939759036,NA
83709,Ada County,ID,NA,NA,18.73198847262248
83860,Bonner County,ID,NA,65.96385542168674,NA
60013,McHenry County,IL,44.15584415584416,NA,NA
60014,McHenry County,IL,NA,NA,66.85878962536023
60093,Cook County,IL,NA,NA,15.273775216138327
60096,Lake County,IL,NA,94.57831325301204,NA
60103,DuPage County,IL,24.675324675324674,NA,26.512968299711815
60104,Cook County,IL,71.42857142857143,NA,NA
60137,DuPage County,IL,NA,16.867469879518072,NA
60143,DuPage County,IL,NA,51.50602409638554,NA
60173,Cook County,IL,NA,71.98795180722891,NA
60304,Cook County,IL,NA,NA,54.7550432276657
60451,Will County,IL,19.047619047619047,NA,NA
60608,Cook County,IL,9.956709956709958,NA,NA
60609,Cook County,IL,9.090909090909092,NA,NA
60612,Cook County,IL,NA,17.771084337349397,NA
60613,Cook County,IL,NA,NA,25.360230547550433
60617,Cook County,IL,NA,NA,23.34293948126801
60623,Cook County,IL,49.78354978354979,27.40963855421687,NA
60628,Cook County,IL,NA,NA,2.0172910662824206
60636,Cook County,IL,NA,14.759036144578314,NA
60638,Cook County,IL,8.225108225108226,NA,NA
60651,Cook County,IL,NA,4.216867469879518,NA
60707,Cook County,IL,NA,NA,85.01440922190201
60950,Kankakee County,IL,NA,46.3855421686747,NA
61016,Winnebago County,IL,NA,99.09638554216868,NA
61115,Winnebago County,IL,NA,15.963855421686745,NA
61201,Rock Island County,IL,NA,NA,78.6743515850144
61241,Henry County,IL,NA,96.08433734939759,NA
61520,Fulton County,IL,NA,NA,83.5734870317003
61523,Peoria County,IL,NA,NA,51.5850144092219
61604,Peoria County,IL,NA,NA,9.798270893371757
61611,Tazewell County,IL,NA,NA,29.68299711815562
62052,Jersey County,IL,55.41125541125541,NA,29.971181556195965
62401,Effingham County,IL,NA,36.144578313253014,NA
62450,Richland County,IL,NA,73.79518072289156,NA
62521,Macon County,IL,NA,38.855421686746986,NA
62812,Franklin County,IL,90.04329004329004,NA,NA
62864,Jefferson County,IL,NA,NA,66.57060518731988
62881,Marion County,IL,NA,NA,27.37752161383285
62896,Franklin County,IL,60.17316017316018,NA,NA
62948,Williamson County,IL,NA,NA,70.31700288184439
46012,Madison County,IN,NA,12.048192771084338,NA
46140,Hancock County,IN,NA,NA,10.37463976945245
46184,Johnson County,IN,NA,51.80722891566265,NA
46204,Marion County,IN,73.16017316017316,NA,NA
46217,Marion County,IN,NA,17.46987951807229,NA
46256,Marion County,IN,NA,26.506024096385545,NA
46322,Lake County,IN,NA,NA,28.818443804034583
46375,Lake County,IN,NA,NA,12.680115273775217
46404,Lake County,IN,NA,NA,61.95965417867435
46516,Elkhart County,IN,62.77056277056276,NA,NA
46544,St. Joseph County,IN,NA,62.048192771084345,NA
46545,St. Joseph County,IN,NA,NA,79.2507204610951
46733,Adams County,IN,35.064935064935064,NA,NA
46806,Allen County,IN,23.809523809523807,NA,NA
46825,Allen County,IN,NA,NA,49.85590778097983
46933,Grant County,IN,80.51948051948052,NA,NA
47025,Dearborn County,IN,34.1991341991342,NA,NA
47203,Bartholomew County,IN,NA,NA,48.99135446685879
47274,Jackson County,IN,NA,18.97590361445783,NA
47374,Wayne County,IN,NA,NA,87.60806916426513
47635,Spencer County,IN,NA,NA,82.42074927953891
47712,Vanderburgh County,IN,NA,76.20481927710844,NA
47807,Vigo County,IN,NA,93.07228915662651,NA
47906,Tippecanoe County,IN,NA,NA,50.720461095100866
47933,Montgomery County,IN,NA,28.614457831325304,NA
50023,Polk County,IA,94.37229437229438,NA,NA
50138,Marion County,IA,39.82683982683983,NA,NA
50158,Marshall County,IA,46.320346320346324,NA,81.26801152737752
50213,Clarke County,IA,NA,99.3975903614458,NA
50327,Polk County,IA,90.9090909090909,NA,NA
50703,Black Hawk County,IA,NA,69.57831325301204,NA
52402,Linn County,IA,NA,NA,90.77809798270894
52404,Linn County,IA,NA,34.036144578313255,NA
52405,Linn County,IA,NA,NA,82.9971181556196
52577,Mahaska County,IA,32.03463203463203,NA,NA
52601,Des Moines County,IA,NA,NA,67.43515850144092
52761,Muscatine County,IA,NA,6.626506024096386,NA
66106,Wyandotte County,KS,76.62337662337663,NA,NA
66203,Johnson County,KS,NA,48.19277108433735,NA
66207,Johnson County,KS,NA,82.53012048192771,80.11527377521614
66214,Johnson County,KS,NA,60.54216867469879,NA
66713,Cherokee County,KS,NA,NA,93.65994236311239
67401,Saline County,KS,41.125541125541126,NA,NA
40069,Washington County,KY,53.246753246753244,NA,NA
40165,Bullitt County,KY,NA,NA,31.412103746397698
40175,Hardin County,KY,NA,NA,86.74351585014409
40211,Jefferson County,KY,NA,21.987951807228914,NA
40218,Jefferson County,KY,NA,NA,40.92219020172911
40222,Jefferson County,KY,NA,68.07228915662651,NA
41014,Kenton County,KY,NA,NA,94.23631123919309
41017,Kenton County,KY,NA,37.04819277108434,NA
41030,Grant County,KY,NA,98.19277108433735,NA
41051,Kenton County,KY,NA,NA,89.33717579250721
41076,Campbell County,KY,NA,NA,82.70893371757924
41139,Greenup County,KY,NA,76.80722891566265,NA
41858,Letcher County,KY,NA,41.265060240963855,NA
42001,McCracken County,KY,NA,74.69879518072288,NA
42003,McCracken County,KY,NA,48.795180722891565,NA
42053,McCracken County,KY,NA,85.2409638554217,NA
42501,Pulaski County,KY,NA,NA,23.919308357348704
