ZipCode,county,state,Adult,Retirement,Geriatric
35010,Tallapoosa County,AL,NA,NA,47.69230769230769
35077,Cullman County,AL,67.44186046511628,NA,NA
35120,St. Clair County,AL,43.41085271317829,NA,NA
35630,Lauderdale County,AL,46.51162790697674,NA,NA
35983,Cherokee County,AL,NA,91.10512129380054,NA
36091,Chilton County,AL,93.7984496124031,NA,NA
36093,Elmore County,AL,59.68992248062015,NA,NA
36117,Montgomery County,AL,NA,NA,40.51282051282051
36350,Dale County,AL,NA,NA,84.87179487179488
36609,Mobile County,AL,NA,70.35040431266847,NA
36701,Dallas County,AL,NA,21.024258760107816,NA
36801,Lee County,AL,NA,70.08086253369272,NA
36832,Lee County,AL,NA,84.09703504043127,NA
99516,Anchorage Municipality,AK,76.74418604651163,NA,NA
85007,Maricopa County,AZ,NA,52.83018867924528,NA
85021,Maricopa County,AZ,NA,23.71967654986523,NA
85051,Maricopa County,AZ,62.4031007751938,NA,NA
85085,Maricopa County,AZ,NA,88.94878706199461,64.61538461538461
85208,Maricopa County,AZ,NA,NA,44.35897435897436
85226,Maricopa County,AZ,36.434108527131784,NA,NA
85249,Maricopa County,AZ,NA,26.1455525606469,NA
85257,Maricopa County,AZ,NA,NA,29.230769230769234
85282,Maricopa County,AZ,NA,33.42318059299191,NA
85283,Maricopa County,AZ,NA,61.725067385444746,NA
85306,Maricopa County,AZ,NA,46.36118598382749,NA
85344,La Paz County,AZ,NA,92.45283018867924,NA
85374,Maricopa County,AZ,NA,NA,4.615384615384616
85382,Maricopa County,AZ,NA,NA,9.230769230769232
85701,Pima County,AZ,NA,NA,78.2051282051282
85710,Pima County,AZ,NA,37.735849056603776,NA
85712,Pima County,AZ,NA,NA,31.28205128205128
85901,Navajo County,AZ,NA,19.946091644204852,41.53846153846154
86406,Mohave County,AZ,32.945736434108525,NA,NA
71603,Jefferson County,AR,NA,43.93530997304582,NA
71909,Garland County,AR,NA,NA,87.17948717948718
72034,Faulkner County,AR,97.28682170542635,NA,NA
72116,Pulaski County,AR,NA,59.299191374663074,NA
72160,Arkansas County,AR,NA,NA,91.28205128205128
72401,Craighead County,AR,NA,NA,10.512820512820513
72432,Poinsett County,AR,NA,NA,80.25641025641026
72601,Boone County,AR,NA,NA,79.74358974358975
72941,Sebastian County,AR,88.37209302325581,NA,NA
90032,Los Angeles County,CA,NA,44.20485175202156,NA
90040,Los Angeles County,CA,NA,NA,93.33333333333333
90063,Los Angeles County,CA,NA,32.88409703504043,NA
90065,Los Angeles County,CA,NA,25.336927223719673,NA
90602,Los Angeles County,CA,NA,NA,98.46153846153847
90604,Los Angeles County,CA,NA,41.77897574123989,NA
90720,Orange County,CA,NA,NA,49.48717948717949
90744,Los Angeles County,CA,NA,45.28301886792453,NA
91016,Los Angeles County,CA,NA,67.11590296495957,NA
91214,Los Angeles County,CA,91.08527131782945,NA,NA
91316,Los Angeles County,CA,NA,NA,16.153846153846153
91342,Los Angeles County,CA,NA,NA,66.66666666666666
91405,Los Angeles County,CA,NA,32.075471698113205,NA
91501,Los Angeles County,CA,NA,65.22911051212938,NA
91604,Los Angeles County,CA,NA,45.82210242587601,NA
91606,Los Angeles County,CA,NA,NA,56.92307692307692
91763,San Bernardino County,CA,NA,NA,42.82051282051282
91773,Los Angeles County,CA,NA,74.39353099730458,NA
92021,San Diego County,CA,NA,NA,60
92026,San Diego County,CA,NA,NA,21.794871794871796
92056,San Diego County,CA,NA,NA,7.948717948717948
92071,San Diego County,CA,NA,28.03234501347709,NA
92084,San Diego County,CA,NA,NA,30.256410256410255
92105,San Diego County,CA,NA,50.673854447439346,NA
92118,San Diego County,CA,NA,NA,25.64102564102564
92252,San Bernardino County,CA,NA,NA,86.15384615384616
