fips,county,state,Over18
01001,Autauga County,AL,NA
01003,Baldwin County,AL,65.44595392793858
01005,Barbour County,AL,NA
01007,Bibb County,AL,21.08682811577082
01009,Blount County,AL,62.43354991139988
01011,Bullock County,AL,NA
01013,Butler County,AL,80.09450679267573
01015,Calhoun County,AL,84.93797991730656
01017,Chambers County,AL,85.4695806261075
01019,Cherokee County,AL,30.3603071470762
01021,Chilton County,AL,79.09037212049616
01025,Clarke County,AL,NA
01027,Clay County,AL,NA
01029,Cleburne County,AL,NA
01031,Coffee County,AL,10.86828115770821
01033,Colbert County,AL,30.950974601299468
01035,Conecuh County,AL,NA
01037,Coosa County,AL,NA
01039,Covington County,AL,6.438275251033668
01041,Crenshaw County,AL,NA
01043,Cullman County,AL,39.6928529238039
01045,Dale County,AL,NA
01047,Dallas County,AL,78.61783815711755
01049,DeKalb County,AL,23.626698168930893
01051,Elmore County,AL,44.94979326639102
01053,Escambia County,AL,NA
01055,Etowah County,AL,86.41464855286473
01057,Fayette County,AL,21.382161842882457
01059,Franklin County,AL,NA
01061,Geneva County,AL,NA
01063,Greene County,AL,NA
01065,Hale County,AL,NA
01067,Henry County,AL,41.701122268163026
01069,Houston County,AL,79.14943886591848
01071,Jackson County,AL,77.96810395747194
01073,Jefferson County,AL,42.350856467808626
01075,Lamar County,AL,NA
01077,Lauderdale County,AL,55.34554046072061
01079,Lawrence County,AL,59.83461311281748
01081,Lee County,AL,25.812167749557
01083,Limestone County,AL,18.192557590076785
01085,Lowndes County,AL,100
01087,Macon County,AL,96.92852923803899
01089,Madison County,AL,14.766686355581808
01091,Marengo County,AL,NA
01093,Marion County,AL,68.87182516243355
01095,Marshall County,AL,65.97755463673951
01097,Mobile County,AL,75.13290017720024
01099,Monroe County,AL,NA
01101,Montgomery County,AL,38.098050797401065
01103,Morgan County,AL,39.515652687536914
01105,Perry County,AL,61.547548730064975
01107,Pickens County,AL,44.418192557590075
01109,Pike County,AL,NA
01111,Randolph County,AL,NA
01113,Russell County,AL,29.119905493207327
01115,St. Clair County,AL,1.7720023626698171
01117,Shelby County,AL,53.5735380980508
01119,Sumter County,AL,NA
01121,Talladega County,AL,92.91199054932073
01123,Tallapoosa County,AL,9.037212049616066
01125,Tuscaloosa County,AL,90.84465445953927
01127,Walker County,AL,NA
01129,Washington County,AL,NA
01131,Wilcox County,AL,NA
01133,Winston County,AL,NA
02020,Anchorage Municipality,AK,93.44359125812167
02050,Bethel Census Area,AK,NA
02070,Dillingham Census Area,AK,NA
02090,Fairbanks North Star Borough,AK,NA
02110,Juneau City and Borough,AK,39.16125221500295
02122,Kenai Peninsula Borough,AK,6.497341996455995
02130,Ketchikan Gateway Borough,AK,28.4111045481394
02150,Kodiak Island Borough,AK,NA
02170,Matanuska-Susitna Borough,AK,53.987005316007085
02180,Nome Census Area,AK,NA
02220,Sitka City and Borough,AK,NA
02240,Southeast Fairbanks Census Area,AK,NA
02261,Valdez-Cordova Census Area,AK,NA
02270,Wade Hampton Census Area,AK,NA
04001,Apache County,AZ,44.12285883047844
04003,Cochise County,AZ,17.424689899586532
04005,Coconino County,AZ,32.19137625516834
04007,Gila County,AZ,5.788541051388068
04009,Graham County,AZ,11.399881866509155
04012,La Paz County,AZ,99.35026580035439
04013,Maricopa County,AZ,71.94329592439456
04015,Mohave County,AZ,34.435912581216776
04017,Navajo County,AZ,27.170702894270526
04019,Pima County,AZ,62.66981689308919
04021,Pinal County,AZ,58.41701122268162
04023,Santa Cruz County,AZ,8.860011813349084
04025,Yavapai County,AZ,51.97873597164796
04027,Yuma County,AZ,83.75664500886
05001,Arkansas County,AR,NA
05003,Ashley County,AR,NA
05005,Baxter County,AR,53.278204370939164
05007,Benton County,AR,91.73065564087419
05009,Boone County,AR,95.80626107501476
05011,Bradley County,AR,NA
05015,Carroll County,AR,NA
05017,Chicot County,AR,NA
05019,Clark County,AR,NA
05021,Clay County,AR,99.23213230950975
05023,Cleburne County,AR,48.55286473715299
05025,Cleveland County,AR,NA
05027,Columbia County,AR,38.57058476077968
05029,Conway County,AR,NA
05031,Craighead County,AR,45.5404607206143
05033,Crawford County,AR,98.34613112817485
05035,Crittenden County,AR,69.87595983461311
05037,Cross County,AR,NA
05039,Dallas County,AR,NA
05041,Desha County,AR,NA
05043,Drew County,AR,NA
05045,Faulkner County,AR,34.849379799173064
05047,Franklin County,AR,96.39692852923804
05049,Fulton County,AR,99.52746603662138
05051,Garland County,AR,16.597755463673952
05053,Grant County,AR,88.0685174246899
05055,Greene County,AR,98.2870643827525
05057,Hempstead County,AR,58.3579444772593
05059,Hot Spring County,AR,NA
05061,Howard County,AR,NA
05063,Independence County,AR,93.73892498523333
05067,Jackson County,AR,NA
05069,Jefferson County,AR,NA
05071,Johnson County,AR,NA
05075,Lawrence County,AR,NA
05077,Lee County,AR,92.20318960425281
05079,Lincoln County,AR,NA
05081,Little River County,AR,99.05493207324277
05083,Logan County,AR,NA
05085,Lonoke County,AR,20.200826934435913
05087,Madison County,AR,NA
05089,Marion County,AR,NA
05091,Miller County,AR,43.000590667454226
05093,Mississippi County,AR,96.63319551092735
05095,Monroe County,AR,NA
05097,Montgomery County,AR,NA
05099,Nevada County,AR,NA
05103,Ouachita County,AR,NA
05105,Perry County,AR,NA
05107,Phillips County,AR,NA
05109,Pike County,AR,NA
05111,Poinsett County,AR,NA
05113,Polk County,AR,79.50383933845245
05115,Pope County,AR,NA
05119,Pulaski County,AR,20.023626698168933
05121,Randolph County,AR,97.10572947430597
05123,St. Francis County,AR,65.5050206733609
05125,Saline County,AR,75.01476668635559
05127,Scott County,AR,66.86355581807443
05129,Searcy County,AR,NA
05131,Sebastian County,AR,85.64678086237448
05133,Sevier County,AR,68.51742468989958
05135,Sharp County,AR,NA
05137,Stone County,AR,NA
05139,Union County,AR,46.012994683992915
05141,Van Buren County,AR,NA
05143,Washington County,AR,97.93266391021854
05145,White County,AR,53.8098050797401
05149,Yell County,AR,80.86237448316598
06001,Alameda County,CA,37.802717070289425
06005,Amador County,CA,49.85233313644418
06007,Butte County,CA,6.61547548730065
06009,Calaveras County,CA,NA
06011,Colusa County,CA,NA
06013,Contra Costa County,CA,28.115770821027763
06015,Del Norte County,CA,75.4873006497342
06017,El Dorado County,CA,55.16834022445364
06019,Fresno County,CA,19.551092734790313
06021,Glenn County,CA,50.14766686355582
06023,Humboldt County,CA,6.733608978145305
06025,Imperial County,CA,33.96337861783816
06027,Inyo County,CA,NA
06029,Kern County,CA,46.83992911990549
06031,Kings County,CA,25.044300059066742
06033,Lake County,CA,24.808033077377438
06035,Lassen County,CA,97.51919669226226
06037,Los Angeles County,CA,52.98287064382753
06039,Madera County,CA,NA
06041,Marin County,CA,33.31364441819255
06043,Mariposa County,CA,47.19432959243945
06045,Mendocino County,CA,70.11222681630242
06047,Merced County,CA,33.25457767277023
06049,Modoc County,CA,NA
06051,Mono County,CA,NA
06053,Monterey County,CA,37.50738334317779
06055,Napa County,CA,5.256940342587123
06057,Nevada County,CA,NA
06059,Orange County,CA,21.97282929710573
06061,Placer County,CA,15.35735380980508
06063,Plumas County,CA,59.539279385705846
06065,Riverside County,CA,36.68044890726521
06067,Sacramento County,CA,40.106320141760186
06069,San Benito County,CA,85.76491435321914
06071,San Bernardino County,CA,38.21618428824572
06073,San Diego County,CA,51.565268753691676
06075,San Francisco County,CA,47.90313053750738
06077,San Joaquin County,CA,49.20259893679858
06079,San Luis Obispo County,CA,4.075605434140579
06081,San Mateo County,CA,82.98877731836976
06083,Santa Barbara County,CA,73.5380980507974
06085,Santa Clara County,CA,49.08446544595393
06087,Santa Cruz County,CA,30.301240401653867
06089,Shasta County,CA,77.14116952155936
06093,Siskiyou County,CA,11.636148848198465
06095,Solano County,CA,26.580035440047254
06097,Sonoma County,CA,1.831069108092144
06099,Stanislaus County,CA,22.445363260484346
06101,Sutter County,CA,40.815121086828114
06103,Tehama County,CA,31.06910809214412
06105,Trinity County,CA,NA
06107,Tulare County,CA,60.0708800945068
06109,Tuolumne County,CA,8.151210868281158
06111,Ventura County,CA,43.88659184878913
06113,Yolo County,CA,19.964559952746605
06115,Yuba County,CA,45.83579444772593
08001,Adams County,CO,18.84229178972239
08003,Alamosa County,CO,NA
08005,Arapahoe County,CO,37.03484937979917
08007,Archuleta County,CO,NA
08011,Bent County,CO,NA
08013,Boulder County,CO,18.074424099232132
08014,Broomfield County,CO,NA
08015,Chaffee County,CO,NA
08021,Conejos County,CO,NA
08027,Custer County,CO,NA
08029,Delta County,CO,92.43945658594211
08031,Denver County,CO,73.65623154164206
08035,Douglas County,CO,1.6538688718251624
08037,Eagle County,CO,NA
08039,Elbert County,CO,NA
08041,El Paso County,CO,62.96515062020083
08043,Fremont County,CO,80.80330773774365
08045,Garfield County,CO,95.51092734790313
08051,Gunnison County,CO,NA
08055,Huerfano County,CO,NA
08059,Jefferson County,CO,35.735380980507976
08063,Kit Carson County,CO,NA
08065,Lake County,CO,NA
08067,La Plata County,CO,NA
08069,Larimer County,CO,44.59539279385706
08071,Las Animas County,CO,40.28352037802717
08075,Logan County,CO,31.482575310100415
08077,Mesa County,CO,23.567631423508566
08081,Moffat County,CO,NA
08083,Montezuma County,CO,83.81571175428235
08085,Montrose County,CO,NA
08087,Morgan County,CO,NA
08089,Otero County,CO,NA
08093,Park County,CO,NA
08095,Phillips County,CO,NA
08097,Pitkin County,CO,NA
08099,Prowers County,CO,NA
08101,Pueblo County,CO,59.657412876550495
08105,Rio Grande County,CO,NA
08107,Routt County,CO,NA
08109,Saguache County,CO,NA
08111,San Juan County,CO,NA
08113,San Miguel County,CO,NA
08117,Summit County,CO,NA
08119,Teller County,CO,52.2740696987596
08123,Weld County,CO,48.90726520968695
08125,Yuma County,CO,NA
09001,Fairfield County,CT,59.18487891317188
09003,Hartford County,CT,31.777909037212048
09005,Litchfield County,CT,25.162433549911402
09007,Middlesex County,CT,42.17365623154164
09009,New Haven County,CT,64.38275251033669
09011,New London County,CT,NA
09013,Tolland County,CT,54.51860602480804
09015,Windham County,CT,0.29533372711163614
10001,Kent County,DE,65.15062020082694
10003,New Castle County,DE,53.21913762551683
10005,Sussex County,DE,61.72474896633196
11001,District of Columbia,DC,70.28942705256941
12001,Alachua County,FL,19.373892498523333
12003,Baker County,FL,60.18901358535145
12005,Bay County,FL,15.948021264028354
12007,Bradford County,FL,NA
