ZipCode,county,state,Adult,Retirement,Geriatric
35040,Shelby County,AL,NA,63.965623081645184,NA
35062,Jefferson County,AL,NA,NA,81.22212310437111
35068,Jefferson County,AL,NA,85.88090853284224,NA
35071,Jefferson County,AL,NA,NA,47.145405887600354
35085,Chilton County,AL,NA,81.89073050951504,NA
35094,Jefferson County,AL,NA,NA,86.26226583407671
35120,St. Clair County,AL,NA,68.44689993861265,94.11239964317573
35121,Blount County,AL,61.30653266331658,NA,59.00981266726137
35125,St. Clair County,AL,NA,61.6329036218539,NA
35127,Jefferson County,AL,NA,51.13566605279313,NA
35150,Talladega County,AL,NA,50.890116635972994,39.33987511150758
35160,Talladega County,AL,NA,NA,24.843889384478143
35173,Jefferson County,AL,NA,98.83364027010437,NA
35206,Jefferson County,AL,NA,39.103744628606506,NA
35208,Jefferson County,AL,NA,NA,90.27653880463872
35213,Jefferson County,AL,NA,NA,50.66904549509367
35215,Jefferson County,AL,NA,63.16758747697975,NA
35216,Jefferson County,AL,NA,NA,35.013380909901876
35223,Jefferson County,AL,NA,NA,85.81623550401427
35226,Jefferson County,AL,NA,15.408225905463475,17.93041926851026
35242,Shelby County,AL,NA,37.38489871086556,27.475468331846564
35243,Jefferson County,AL,78.89447236180904,NA,NA
35404,Tuscaloosa County,AL,NA,NA,63.2471008028546
35406,Tuscaloosa County,AL,70.01675041876047,39.226519337016576,78.50133809099019
35475,Tuscaloosa County,AL,50.25125628140703,NA,NA
35501,Walker County,AL,NA,NA,87.51115075825156
35553,Winston County,AL,NA,NA,98.43889384478145
35633,Lauderdale County,AL,NA,NA,69.09009812667261
35640,Morgan County,AL,30.82077051926298,NA,NA
35646,Colbert County,AL,NA,97.36034376918354,NA
35654,Franklin County,AL,NA,81.64518109269491,NA
35660,Colbert County,AL,NA,NA,91.70383586083854
35661,Colbert County,AL,NA,NA,47.45762711864407
35750,Madison County,AL,NA,49.66236955187232,NA
35758,Madison County,AL,NA,NA,23.728813559322035
35759,Madison County,AL,NA,84.77593615715162,NA
35761,Madison County,AL,88.2747068676717,NA,NA
35763,Madison County,AL,NA,NA,85.01338090990187
35768,Jackson County,AL,NA,75.69060773480662,NA
35769,Jackson County,AL,NA,86.3720073664825,NA
35773,Madison County,AL,65.66164154103853,NA,NA
35803,Madison County,AL,NA,NA,82.4264049955397
35805,Madison County,AL,42.88107202680067,NA,60.61552185548618
35811,Madison County,AL,NA,NA,28.59054415700268
35816,Madison County,AL,67.33668341708542,NA,80.37466547725245
35906,Etowah County,AL,NA,69.61325966850829,99.42016057091882
35951,Marshall County,AL,NA,71.45488029465929,NA
35960,Cherokee County,AL,NA,NA,93.22033898305084
35976,Marshall County,AL,NA,NA,41.34701159678858
36079,Pike County,AL,NA,NA,85.7270294380018
36108,Montgomery County,AL,NA,NA,54.103479036574484
36116,Montgomery County,AL,NA,40.94536525475752,NA
36207,Calhoun County,AL,NA,52.3634131368938,NA
36264,Cleburne County,AL,NA,NA,61.195361284567355
36272,Calhoun County,AL,NA,NA,76.0035682426405
36301,Houston County,AL,NA,NA,15.878679750223016
36303,Houston County,AL,NA,NA,40.41034790365745
36310,Henry County,AL,NA,NA,82.60481712756467
36360,Dale County,AL,NA,NA,43.577163247100806
36442,Covington County,AL,NA,96.9306322897483,83.09545049063335
36527,Baldwin County,AL,NA,NA,71.6770740410348
36532,Baldwin County,AL,NA,NA,77.47546833184657
36542,Baldwin County,AL,NA,58.74769797421732,NA
36582,Mobile County,AL,NA,NA,75.82515611061552
36605,Mobile County,AL,NA,NA,59.99107939339875
36608,Mobile County,AL,NA,39.41068139963168,NA
36830,Lee County,AL,95.47738693467338,78.75997544505832,NA
36863,Chambers County,AL,NA,NA,97.90365744870651
99611,Kenai Peninsula Borough,AK,NA,NA,62.7564674397859
99669,Kenai Peninsula Borough,AK,NA,76.7341927562922,NA
85015,Maricopa County,AZ,NA,NA,47.94826048171276
