ZipCode,county,state,Youth,Pediatric,Adult,Retirement,Geriatric
35004,St. Clair County,AL,NA,NA,NA,86.73072991208342,NA
35005,Jefferson County,AL,NA,NA,NA,78.34798609691269,NA
35007,Shelby County,AL,NA,NA,28.289361702127657,NA,NA
35010,Tallapoosa County,AL,NA,NA,66.84255319148936,NA,75.11581733951026
35016,Marshall County,AL,NA,NA,29.582978723404256,NA,NA
35020,Jefferson County,AL,14.36077057793345,NA,NA,NA,28.16015883520847
35022,Jefferson County,AL,NA,NA,79.86382978723404,6.787977918626048,13.666446062210458
35043,Shelby County,AL,NA,NA,93.61702127659575,NA,NA
35044,Talladega County,AL,NA,NA,NA,64.69024739317113,NA
35045,Chilton County,AL,NA,NA,NA,53.44510325086894,92.58769027134348
35051,Shelby County,AL,NA,NA,73.46382978723405,NA,NA
35055,Cullman County,AL,NA,NA,31.846808510638297,NA,47.88219722038385
35057,Cullman County,AL,77.14535901926445,NA,NA,NA,NA
35058,Cullman County,AL,90.36777583187391,NA,54.55319148936171,NA,NA
35062,Jefferson County,AL,NA,NA,89.70212765957447,72.52095685953792,NA
35068,Jefferson County,AL,NA,NA,84.37446808510639,NA,NA
35071,Jefferson County,AL,NA,NA,52.59574468085106,62.584338581067264,49.768365320979484
35072,Coosa County,AL,NA,NA,91.43829787234043,NA,NA
35077,Cullman County,AL,68.21366024518389,NA,NA,NA,NA
35079,Blount County,AL,NA,NA,NA,NA,88.78226340172071
35080,Shelby County,AL,NA,NA,35.40425531914894,NA,NA
35083,Cullman County,AL,96.23467600700525,NA,NA,NA,NA
35085,Chilton County,AL,NA,NA,72.81702127659574,NA,NA
35094,Jefferson County,AL,69.52714535901926,NA,NA,79.61562052749949,65.98279285241561
35096,Talladega County,AL,NA,NA,NA,62.70701288080147,NA
35115,Shelby County,AL,NA,NA,NA,89.51134737272541,NA
35116,Jefferson County,AL,NA,NA,98.7404255319149,NA,NA
35120,St. Clair County,AL,50.350262697022764,NA,NA,NA,NA
35121,Blount County,AL,NA,NA,72.97021276595744,NA,NA
35124,Shelby County,AL,NA,77.93296089385476,41.58297872340426,NA,NA
35125,St. Clair County,AL,NA,50,33.58297872340425,52.23880597014925,NA
35126,Jefferson County,AL,NA,NA,79.3531914893617,NA,62.872270019854405
35128,St. Clair County,AL,NA,NA,NA,82.33490083827438,NA
35173,Jefferson County,AL,NA,NA,27.3531914893617,85.44264976487426,NA
35179,Cullman County,AL,NA,87.15083798882681,NA,NA,NA
35180,Jefferson County,AL,NA,NA,88.44255319148935,52.177468820282144,NA
35204,Jefferson County,AL,NA,NA,49.31063829787234,NA,53.34215751158173
35206,Jefferson County,AL,NA,NA,NA,28.7875690042936,NA
35208,Jefferson County,AL,NA,NA,18.382978723404257,NA,NA
35209,Jefferson County,AL,NA,NA,85.29361702127659,94.19341647924759,59.629384513567175
35211,Jefferson County,AL,NA,NA,NA,10.836229809854835,NA
35212,Jefferson County,AL,NA,NA,NA,80.00408914332448,NA
35213,Jefferson County,AL,NA,NA,NA,NA,53.54070152217075
35214,Jefferson County,AL,NA,NA,62.82553191489362,22.02003680228992,NA
35217,Jefferson County,AL,NA,56.424581005586596,26.451063829787238,NA,NA
35218,Jefferson County,AL,73.11733800350262,NA,NA,NA,NA
35221,Jefferson County,AL,NA,NA,95.0468085106383,NA,NA
35223,Jefferson County,AL,85.98949211908932,NA,NA,62.584338581067264,NA
35226,Jefferson County,AL,NA,NA,25.582978723404253,9.58904109589041,NA
35228,Jefferson County,AL,NA,NA,37.123404255319144,NA,NA
35234,Jefferson County,AL,61.90893169877408,NA,NA,NA,81.86631369953673
35235,Jefferson County,AL,NA,NA,31.914893617021278,NA,NA
35242,Shelby County,AL,40.98073555166375,NA,42.14468085106383,4.804743406256389,48.544010589013894
35243,Jefferson County,AL,NA,99.72067039106145,NA,NA,48.5771012574454
35244,Jefferson County,AL,NA,NA,25.429787234042557,NA,NA
35401,Tuscaloosa County,AL,NA,NA,NA,35.94356982212227,87.1277299801456
35404,Tuscaloosa County,AL,NA,NA,56.88510638297872,NA,NA
35405,Tuscaloosa County,AL,NA,NA,NA,4.395829073809037,NA
35444,Tuscaloosa County,AL,NA,NA,91.3531914893617,NA,NA
35452,Tuscaloosa County,AL,NA,NA,96.57872340425531,NA,NA
35453,Tuscaloosa County,AL,NA,NA,NA,51.50276017174402,NA
35462,Greene County,AL,NA,NA,72.0340425531915,NA,NA
35473,Tuscaloosa County,AL,NA,NA,66.31489361702127,NA,NA
35474,Hale County,AL,NA,NA,75.2,NA,NA
35475,Tuscaloosa County,AL,NA,NA,61.565957446808504,NA,NA
35476,Tuscaloosa County,AL,NA,NA,72.6468085106383,91.67859333469637,NA
35503,Walker County,AL,NA,NA,43.55744680851063,70.5172766305459,NA
35504,Walker County,AL,NA,NA,79.14893617021276,NA,NA
35570,Marion County,AL,NA,NA,NA,34.185238192598646,NA
35578,Walker County,AL,NA,NA,NA,72.97076262523001,NA
35581,Franklin County,AL,NA,NA,94.07659574468084,NA,NA
35601,Morgan County,AL,19.176882661996498,NA,4,NA,NA
35603,Morgan County,AL,24.69352014010508,NA,NA,16.704150480474343,NA
35611,Limestone County,AL,NA,NA,34.740425531914894,11.245144142302188,NA
35613,Limestone County,AL,NA,NA,20.22127659574468,64.95604170926191,NA
35619,Morgan County,AL,NA,NA,81.54893617021277,NA,95.30112508272667
35630,Lauderdale County,AL,NA,71.50837988826815,40.83404255319149,NA,NA
35633,Lauderdale County,AL,52.364273204903675,NA,81.12340425531916,NA,NA
35634,Lauderdale County,AL,NA,NA,NA,NA,93.05095962938451
35640,Morgan County,AL,54.378283712784594,NA,NA,NA,NA
35650,Lawrence County,AL,NA,NA,32.289361702127664,NA,NA
35652,Lauderdale County,AL,NA,NA,NA,79.14536904518503,NA
35654,Franklin County,AL,NA,64.80446927374301,NA,NA,NA
35674,Colbert County,AL,NA,67.59776536312849,15.931914893617021,65.32406460846452,NA
35750,Madison County,AL,NA,NA,NA,38.04947863422613,NA
35756,Limestone County,AL,NA,NA,60.697872340425526,89.28644448987937,NA
35757,Madison County,AL,NA,NA,NA,61.991412799018605,NA
35758,Madison County,AL,NA,NA,NA,56.45062359435698,22.36929185969557
35761,Madison County,AL,NA,NA,NA,58.86321815579636,76.70416942422237
35763,Madison County,AL,NA,NA,NA,37.436107135555105,NA
35768,Jackson County,AL,NA,NA,70.68936170212766,NA,NA
35773,Madison County,AL,NA,76.25698324022346,NA,NA,NA
35801,Madison County,AL,NA,NA,NA,50.173788591290126,31.17140966247518
35802,Madison County,AL,NA,NA,44.86808510638298,45.92107953383766,13.798808735936467
35803,Madison County,AL,NA,NA,NA,19.17808219178082,NA
35806,Madison County,AL,NA,NA,NA,75.09711715395625,NA
35810,Madison County,AL,NA,NA,13.310638297872341,37.21120425270906,NA
35811,Madison County,AL,NA,NA,51.778723404255324,NA,NA
35901,Etowah County,AL,NA,NA,NA,19.341647924759762,NA
35903,Etowah County,AL,NA,NA,NA,NA,57.77630708140305
35904,Etowah County,AL,NA,NA,23.148936170212767,NA,NA
35905,Etowah County,AL,NA,NA,NA,NA,90.0066181336863
35950,Marshall County,AL,NA,NA,20.187234042553193,NA,82.29649238914625
35951,Marshall County,AL,NA,59.49720670391061,NA,NA,NA
35952,Etowah County,AL,NA,NA,NA,NA,74.09000661813369
35954,Etowah County,AL,58.844133099824866,NA,NA,NA,NA
35957,Marshall County,AL,NA,NA,57.32765957446808,NA,NA
35960,Cherokee County,AL,NA,NA,51.897872340425536,64.42445307708036,NA
35962,DeKalb County,AL,63.92294220665499,60.055865921787714,69.73617021276596,NA,NA
35976,Marshall County,AL,NA,NA,57.736170212765956,NA,NA
35978,DeKalb County,AL,95.6217162872154,NA,NA,NA,NA
36022,Elmore County,AL,NA,NA,80.97021276595746,NA,NA
36024,Elmore County,AL,NA,NA,NA,90.16561030464118,NA
36027,Barbour County,AL,NA,NA,18.570212765957447,39.705581680637906,NA
36066,Autauga County,AL,NA,NA,29.736170212765956,NA,NA
