ZipCode,county,state,Adult,Retirement,Geriatric
35023,Jefferson County,AL,36.16161616161616,NA,NA
35096,Talladega County,AL,NA,83.41836734693877,NA
35206,Jefferson County,AL,NA,NA,69.6048632218845
35223,Jefferson County,AL,NA,NA,77.20364741641338
35235,Jefferson County,AL,63.43434343434343,NA,NA
35244,Jefferson County,AL,NA,46.1734693877551,NA
35405,Tuscaloosa County,AL,38.58585858585858,NA,NA
35466,Pickens County,AL,NA,90.81632653061224,NA
35601,Morgan County,AL,14.747474747474747,14.795918367346939,NA
35611,Limestone County,AL,NA,65.81632653061224,NA
35674,Colbert County,AL,42.62626262626263,NA,NA
35757,Madison County,AL,77.77777777777779,NA,NA
35810,Madison County,AL,36.56565656565657,NA,NA
36804,Lee County,AL,65.45454545454545,NA,NA
99504,Anchorage Municipality,AK,NA,NA,61.09422492401215
99705,Fairbanks North Star Borough,AK,NA,95.40816326530613,97.87234042553192
99901,Ketchikan Gateway Borough,AK,49.09090909090909,NA,NA
85009,Maricopa County,AZ,14.545454545454545,NA,NA
85012,Maricopa County,AZ,NA,91.3265306122449,NA
85020,Maricopa County,AZ,45.656565656565654,73.46938775510205,NA
85021,Maricopa County,AZ,12.525252525252526,NA,NA
85031,Maricopa County,AZ,56.76767676767677,NA,NA
85033,Maricopa County,AZ,17.97979797979798,NA,NA
85040,Maricopa County,AZ,NA,NA,94.52887537993921
85051,Maricopa County,AZ,50.90909090909091,NA,NA
85140,Pinal County,AZ,42.02020202020202,NA,NA
85225,Maricopa County,AZ,77.37373737373737,NA,NA
85249,Maricopa County,AZ,NA,40.30612244897959,NA
85257,Maricopa County,AZ,73.33333333333333,NA,NA
85296,Maricopa County,AZ,NA,87.5,NA
85301,Maricopa County,AZ,NA,21.683673469387756,NA
85308,Maricopa County,AZ,NA,17.346938775510203,NA
85323,Maricopa County,AZ,37.77777777777778,NA,NA
85326,Maricopa County,AZ,NA,NA,89.36170212765957
85339,Maricopa County,AZ,24.444444444444443,NA,NA
85340,Maricopa County,AZ,71.91919191919192,NA,NA
85351,Maricopa County,AZ,NA,10.714285714285714,NA
85355,Maricopa County,AZ,86.46464646464646,NA,NA
85631,Pinal County,AZ,97.77777777777777,NA,NA
85634,Pima County,AZ,25.656565656565654,NA,NA
85710,Pima County,AZ,NA,NA,8.206686930091186
85713,Pima County,AZ,6.262626262626263,NA,NA
85715,Pima County,AZ,NA,64.03061224489795,NA
85718,Pima County,AZ,NA,20.918367346938776,NA
86001,Coconino County,AZ,22.22222222222222,NA,NA
86053,Coconino County,AZ,91.31313131313131,NA,NA
86401,Mohave County,AZ,NA,NA,48.02431610942249
