ZipCode,county,state,Adult
35214,Jefferson County,AL,40.08620689655172
36081,Pike County,AL,84.05172413793103
36541,Mobile County,AL,81.03448275862068
85009,Maricopa County,AZ,15.948275862068966
85378,Maricopa County,AZ,95.25862068965517
72762,Washington County,AR,53.879310344827594
90022,Los Angeles County,CA,43.53448275862069
90222,Los Angeles County,CA,73.27586206896551
90805,Los Angeles County,CA,22.413793103448278
91789,Los Angeles County,CA,84.91379310344827
92223,Riverside County,CA,37.06896551724138
92260,Riverside County,CA,61.206896551724135
92583,Riverside County,CA,67.24137931034483
92656,Orange County,CA,41.37931034482759
93705,Fresno County,CA,40.94827586206897
94505,Contra Costa County,CA,88.79310344827587
94596,Contra Costa County,CA,85.77586206896551
94703,Alameda County,CA,75.43103448275862
94801,Contra Costa County,CA,98.70689655172413
94949,Marin County,CA,82.75862068965517
95012,Monterey County,CA,87.06896551724138
95051,Santa Clara County,CA,52.58620689655172
95073,Santa Cruz County,CA,97.84482758620689
95124,Santa Clara County,CA,63.36206896551724
95131,Santa Clara County,CA,82.32758620689656
95382,Stanislaus County,CA,30.603448275862068
95691,Yolo County,CA,59.48275862068966
95822,Sacramento County,CA,48.275862068965516
80015,Arapahoe County,CO,22.844827586206897
80033,Jefferson County,CO,56.46551724137932
80138,Douglas County,CO,59.91379310344828
80211,Denver County,CO,44.396551724137936
80538,Larimer County,CO,13.36206896551724
80701,Morgan County,CO,26.72413793103448
80920,El Paso County,CO,63.36206896551724
06606,Fairfield County,CT,55.172413793103445
19803,New Castle County,DE,66.8103448275862
32205,Duval County,FL,33.189655172413794
32686,Marion County,FL,100
32808,Orange County,FL,19.396551724137932
33013,Miami-Dade County,FL,92.24137931034483
33040,Monroe County,FL,51.724137931034484
33463,Palm Beach County,FL,54.741379310344826
33598,Hillsborough County,FL,94.39655172413794
34110,Collier County,FL,83.62068965517241
34287,Sarasota County,FL,59.05172413793104
34479,Marion County,FL,69.82758620689656
34482,Marion County,FL,69.39655172413794
34785,Sumter County,FL,75
34983,St. Lucie County,FL,28.01724137931034
30017,Gwinnett County,GA,71.12068965517241
30127,Cobb County,GA,23.70689655172414
30188,Cherokee County,GA,27.586206896551722
30217,Heard County,GA,73.70689655172413
30439,Candler County,GA,86.20689655172413
30904,Richmond County,GA,41.810344827586206
83316,Twin Falls County,ID,90.08620689655173
83605,Canyon County,ID,34.48275862068966
83607,Canyon County,ID,47.41379310344828
60087,Lake County,IL,74.56896551724138
60185,DuPage County,IL,44.827586206896555
60632,Cook County,IL,16.379310344827587
60653,Cook County,IL,37.93103448275862
61068,Ogle County,IL,74.13793103448276
61111,Winnebago County,IL,56.896551724137936
61201,Rock Island County,IL,46.55172413793103
61342,LaSalle County,IL,90.94827586206897
62034,Madison County,IL,97.41379310344827
62052,Jersey County,IL,76.29310344827587
62806,Edwards County,IL,99.56896551724138
46074,Hamilton County,IN,70.6896551724138
46201,Marion County,IN,24.137931034482758
46203,Marion County,IN,8.620689655172415
46226,Marion County,IN,12.068965517241379
46268,Marion County,IN,52.1551724137931
46514,Elkhart County,IN,38.362068965517246
46628,St. Joseph County,IN,55.603448275862064
46947,Cass County,IN,12.931034482758621
47401,Monroe County,IN,71.55172413793103
47581,Martin County,IN,99.13793103448276
47711,Vanderburgh County,IN,34.91379310344828
52601,Des Moines County,IA,14.224137931034484
52761,Muscatine County,IA,11.637931034482758
66212,Johnson County,KS,62.5
42431,Hopkins County,KY,28.879310344827587
70062,Jefferson Parish,LA,25
70087,St. Charles Parish,LA,56.03448275862068
70115,Orleans Parish,LA,24.568965517241377
71052,De Soto Parish,LA,45.258620689655174
71105,Caddo Parish,LA,47.8448275862069
04005,York County,ME,18.96551724137931
04260,Cumberland County,ME,96.98275862068965
04963,Kennebec County,ME,66.37931034482759
20737,Prince George's County,MD,87.5
21085,Harford County,MD,76.72413793103449
01752,Middlesex County,MA,1.293103448275862
02122,Suffolk County,MA,0.43103448275862066
02151,Suffolk County,MA,61.63793103448276
02770,Plymouth County,MA,96.55172413793103
02780,Bristol County,MA,0
48085,Oakland County,MI,39.224137931034484
48127,Wayne County,MI,13.793103448275861
48210,Wayne County,MI,31.896551724137932
48421,Lapeer County,MI,93.96551724137932
48601,Saginaw County,MI,0.8620689655172413
49201,Jackson County,MI,8.189655172413794
49509,Kent County,MI,15.086206896551724
49546,Kent County,MI,45.258620689655174
49548,Kent County,MI,6.896551724137931
55419,Hennepin County,MN,53.44827586206896
55448,Anoka County,MN,49.56896551724138
56215,Swift County,MN,93.10344827586206
56537,Otter Tail County,MN,23.275862068965516
39402,Lamar County,MS,68.53448275862068
64156,Clay County,MO,65.51724137931035
64468,Nodaway County,MO,71.98275862068965
64801,Jasper County,MO,14.655172413793101
64850,Newton County,MO,19.82758620689655
68046,Sarpy County,NE,88.36206896551724
89183,Clark County,NV,68.10344827586206
89512,Washoe County,NV,20.25862068965517
03766,Grafton County,NH,94.82758620689656
07047,Hudson County,NJ,3.0172413793103448
07442,Passaic County,NJ,75.86206896551724
88260,Lea County,NM,48.706896551724135
10458,Bronx County,NY,2.1551724137931036
10462,Bronx County,NY,33.62068965517241
10801,Westchester County,NY,40.51724137931034
11219,Kings County,NY,78.01724137931035
13140,Cayuga County,NY,84.48275862068965
14215,Erie County,NY,12.5
14221,Erie County,NY,11.206896551724139
14224,Erie County,NY,4.310344827586207
14420,Monroe County,NY,18.53448275862069
14432,Ontario County,NY,42.672413793103445
14617,Monroe County,NY,5.172413793103448
14622,Monroe County,NY,29.74137931034483
14895,Allegany County,NY,36.206896551724135
27205,Randolph County,NC,50
27320,Rockingham County,NC,10.775862068965516
27612,Wake County,NC,62.93103448275862
28212,Mecklenburg County,NC,31.03448275862069
28227,Mecklenburg County,NC,25.43103448275862
28371,Robeson County,NC,92.67241379310344
58103,Cass County,ND,6.0344827586206895
43074,Delaware County,OH,81.89655172413794
43103,Pickaway County,OH,78.44827586206897
43228,Franklin County,OH,1.7241379310344827
43812,Coshocton County,OH,3.8793103448275863
43822,Muskingum County,OH,89.65517241379311
44314,Summit County,OH,32.327586206896555
44601,Stark County,OH,6.4655172413793105
44646,Stark County,OH,9.051724137931034
45224,Hamilton County,OH,26.29310344827586
45424,Montgomery County,OH,9.913793103448276
45805,Allen County,OH,15.517241379310345
73034,Oklahoma County,OK,35.3448275862069
