ZipCode,county,state,Youth,Pediatric,Adult,Retirement,Geriatric
35004,St. Clair County,AL,92.38552563882696,NA,74.36035758323058,96.81172559685706,NA
35005,Jefferson County,AL,NA,NA,48.37392108508015,96.63040193411906,92.07207207207207
35006,Jefferson County,AL,NA,NA,99.8227496917386,NA,NA
35007,Shelby County,AL,68.90756302521008,NA,47.11775585696671,79.2611060743427,7.302038880986249
35010,Tallapoosa County,AL,79.54038758360487,47.408026755852845,50.11559802712701,72.06860078573587,62.10526315789474
35014,Talladega County,AL,NA,NA,80.38686806411837,NA,NA
35016,Marshall County,AL,65.20322414680157,NA,88.57120838471023,20.534904805077062,42.18112849691797
35020,Jefferson County,AL,NA,74.623745819398,82.75277435265104,65.04986400725295,1.4129919393077288
35022,Jefferson County,AL,NA,NA,81.2191738594328,74.18404351767906,36.33001422475107
35023,Jefferson County,AL,8.98645172354656,76.83946488294315,31.681565967940813,68.28346932608038,65.44333807491702
35031,Blount County,AL,NA,NA,31.920468557336623,92.05197944998488,21.659554291133237
35033,Cullman County,AL,NA,NA,90.55178791615289,48.7685101239045,NA
35034,Bibb County,AL,NA,NA,31.58908754623921,7.260501662133575,NA
35040,Shelby County,AL,66.33510547075974,NA,90.96023427866831,44.43185252342097,82.53200568990042
35042,Bibb County,AL,NA,NA,93.4648581997534,83.11423390752493,92.48933143669986
35043,Shelby County,AL,55.49648430800892,NA,70.84617755856966,45.33847083711091,61.10953058321479
35044,Talladega County,AL,95.60967244040474,NA,94.61313193588163,55.930794802055004,51.79706021811285
35045,Chilton County,AL,NA,78.80434782608695,19.767262638717632,82.87246902387429,NA
35046,Chilton County,AL,NA,NA,90.4361898890259,61.06829857963131,NA
35049,Blount County,AL,NA,NA,95.55332922318127,NA,NA
35051,Shelby County,AL,84.89109929686161,NA,53.53729963008631,37.63221517074645,NA
35054,St. Clair County,AL,96.0212656491168,NA,71.8403205918619,45.21003324267151,89.34091986723566
35055,Cullman County,AL,59.64671582918882,76.00334448160535,91.26849568434032,96.96282864913871,86.07871028923661
35057,Cullman County,AL,80.9638140970674,NA,94.77496917385943,95.28558476881233,82.14319582740636
35058,Cullman County,AL,78.85439890241811,NA,97.2333538840937,96.81172559685706,77.05073494547179
35062,Jefferson County,AL,93.44880809466643,NA,84.2940813810111,66.89332124508915,90.1090564248459
35064,Jefferson County,AL,NA,89.33946488294315,84.3865598027127,92.7470534904805,NA
35068,Jefferson County,AL,98.88526839307151,NA,NA,84.43638561498942,NA
35071,Jefferson County,AL,89.71016978219859,NA,56.596794081381006,25.10577213659716,54.10146989094358
35072,Coosa County,AL,NA,NA,54.93988902589396,29.971290420066488,NA
35077,Cullman County,AL,NA,NA,87.4383477188656,89.70988213961922,53.09625414888573
35079,Blount County,AL,NA,NA,45.63039457459926,69.22030825022667,33.067804646752016
35080,Shelby County,AL,44.3834676727834,NA,17.054562268803945,96.00332426715019,NA
35083,Cullman County,AL,94.82078545703996,NA,NA,NA,NA
35085,Chilton County,AL,59.64671582918882,84.53177257525084,68.672934648582,24.86400725294651,95.64722617354197
35094,Jefferson County,AL,85.88578288458241,89.59030100334448,65.5826140567201,90.77515865820489,96.49122807017544
35096,Talladega County,AL,41.022123134968275,NA,97.97318125770653,91.65911151405258,NA
35111,Tuscaloosa County,AL,29.274566969645,94.14715719063545,75.2851418002466,66.57600483529768,58.95685158843054
35114,Shelby County,AL,NA,NA,82.79130702836005,9.579933514656997,86.50545282124229
35115,Shelby County,AL,NA,NA,95.93094944512947,75.49864007252947,NA
35116,Jefferson County,AL,NA,NA,33.56966707768188,99.08582653369598,NA
35117,Jefferson County,AL,93.82610186931916,NA,88.12422934648582,94.09942580840132,NA
35118,Jefferson County,AL,NA,NA,95.04469790382244,58.91508008461771,57.67662399241347
35120,St. Clair County,AL,92.31692677070828,65.7190635451505,84.96454993834772,95.89755213055304,60.75865339023234
35121,Blount County,AL,60.36700394443491,69.06354515050167,31.273119605425403,45.482018736778485,NA
35124,Shelby County,AL,97.05024867089693,93.31103678929766,89.71177558569667,89.83076458144454,78.08440018966336
35125,St. Clair County,AL,95.83261876179043,84.23913043478261,84.85665844636252,29.14777878513146,71.42721669037458
35126,Jefferson County,AL,31.726976504887674,89.4648829431438,81.40413070283601,84.75370202478089,68.64864864864865
35127,Jefferson County,AL,NA,NA,96.8634401972873,4.925959504381989,74.49027975343765
