ZipCode,county,state,Adult,Retirement
35204,Jefferson County,AL,NA,71.98275862068965
35212,Jefferson County,AL,85.91885441527445,NA
35601,Morgan County,AL,NA,20.25862068965517
35603,Morgan County,AL,24.58233890214797,NA
35614,Limestone County,AL,84.00954653937947,NA
35630,Lauderdale County,AL,40.09546539379475,NA
35634,Lauderdale County,AL,92.84009546539379,NA
36054,Elmore County,AL,75.89498806682577,NA
36352,Houston County,AL,95.4653937947494,NA
36507,Baldwin County,AL,48.6873508353222,NA
99507,Anchorage Municipality,AK,42.720763723150355,NA
99801,Juneau City and Borough,AK,NA,73.70689655172413
85017,Maricopa County,AZ,41.527446300715994,NA
85019,Maricopa County,AZ,80.42959427207637,NA
85032,Maricopa County,AZ,21.241050119331742,NA
85035,Maricopa County,AZ,57.279236276849645,NA
85140,Pinal County,AZ,44.1527446300716,NA
85203,Maricopa County,AZ,45.58472553699284,NA
85259,Maricopa County,AZ,NA,80.17241379310344
85297,Maricopa County,AZ,72.31503579952268,NA
85298,Maricopa County,AZ,80.90692124105013,NA
85301,Maricopa County,AZ,NA,26.29310344827586
85326,Maricopa County,AZ,38.424821002386636,NA
85338,Maricopa County,AZ,43.198090692124104,NA
85345,Maricopa County,AZ,50.11933174224343,NA
85353,Maricopa County,AZ,74.7016706443914,NA
85379,Maricopa County,AZ,39.618138424821005,NA
85383,Maricopa County,AZ,35.79952267303103,NA
85392,Maricopa County,AZ,65.39379474940334,NA
85648,Santa Cruz County,AZ,NA,73.27586206896551
85706,Pima County,AZ,NA,10.344827586206897
85716,Pima County,AZ,26.49164677804296,NA
85719,Pima County,AZ,NA,42.672413793103445
85737,Pima County,AZ,NA,50.43103448275862
85748,Pima County,AZ,NA,75.86206896551724
86004,Coconino County,AZ,12.649164677804295,NA
86005,Coconino County,AZ,87.11217183770883,NA
86322,Yavapai County,AZ,NA,92.24137931034483
86323,Yavapai County,AZ,62.52983293556086,NA
86503,Apache County,AZ,NA,54.741379310344826
72104,Hot Spring County,AR,NA,66.8103448275862
72116,Pulaski County,AR,NA,44.827586206896555
72205,Pulaski County,AR,NA,62.5
72223,Pulaski County,AR,90.45346062052506,NA
90015,Los Angeles County,CA,90.9307875894988,NA
90033,Los Angeles County,CA,52.2673031026253,NA
90047,Los Angeles County,CA,22.673031026252982,NA
90057,Los Angeles County,CA,47.7326968973747,NA
90061,Los Angeles County,CA,81.38424821002387,NA
90221,Los Angeles County,CA,18.138424821002385,NA
90232,Los Angeles County,CA,NA,93.96551724137932
90805,Los Angeles County,CA,26.014319809069214,NA
91304,Los Angeles County,CA,86.63484486873509,NA
91342,Los Angeles County,CA,29.116945107398568,NA
91351,Los Angeles County,CA,93.55608591885442,NA
91364,Los Angeles County,CA,89.49880668257757,NA
91731,Los Angeles County,CA,NA,66.37931034482759
91746,Los Angeles County,CA,84.96420047732697,NA
92021,San Diego County,CA,22.434367541766107,NA
92234,Riverside County,CA,73.0310262529833,NA
92262,Riverside County,CA,NA,13.36206896551724
92354,San Bernardino County,CA,90.21479713603819,NA
92376,San Bernardino County,CA,15.75178997613365,NA
92404,San Bernardino County,CA,25.53699284009546,NA
92545,Riverside County,CA,NA,43.53448275862069
92646,Orange County,CA,NA,9.482758620689655
92782,Orange County,CA,97.3747016706444,NA
92841,Orange County,CA,NA,70.6896551724138
92843,Orange County,CA,46.06205250596659,NA
92865,Orange County,CA,90.69212410501193,NA
93001,Ventura County,CA,35.32219570405728,NA
93010,Ventura County,CA,NA,29.74137931034483
93041,Ventura County,CA,73.9856801909308,NA
93215,Kern County,CA,69.21241050119332,NA
94063,San Mateo County,CA,51.551312649164686,NA
94065,San Mateo County,CA,NA,97.84482758620689
94086,Santa Clara County,CA,70.16706443914082,NA
94102,San Francisco County,CA,40.81145584725537,NA
94112,San Francisco County,CA,33.17422434367542,NA
94124,San Francisco County,CA,NA,25.862068965517242
94523,Contra Costa County,CA,94.74940334128878,NA
94531,Contra Costa County,CA,NA,53.44827586206896
94534,Solano County,CA,NA,46.55172413793103
94568,Alameda County,CA,63.961813842482094,NA
94574,Napa County,CA,NA,89.22413793103449
94603,Alameda County,CA,NA,57.758620689655174
94605,Alameda County,CA,33.65155131264916,NA
94608,Alameda County,CA,64.67780429594272,NA
94706,Alameda County,CA,NA,89.65517241379311
95020,Santa Clara County,CA,41.766109785202865,NA
95030,Santa Clara County,CA,NA,95.25862068965517
95051,Santa Clara County,CA,NA,55.172413793103445
95111,Santa Clara County,CA,47.01670644391408,NA
95117,Santa Clara County,CA,84.48687350835323,NA
95328,Stanislaus County,CA,98.09069212410502,NA
95354,Stanislaus County,CA,42.482100238663485,NA
95667,El Dorado County,CA,41.288782816229116,NA
95758,Sacramento County,CA,63.72315035799523,NA
95901,Yuba County,CA,32.4582338902148,NA
80017,Arapahoe County,CO,NA,49.137931034482754
80022,Adams County,CO,24.821002386634845,NA
80203,Denver County,CO,NA,86.20689655172413
80207,Denver County,CO,51.78997613365155,NA
80219,Denver County,CO,10.501193317422434,NA
80241,Adams County,CO,NA,74.56896551724138
80620,Weld County,CO,53.46062052505967,NA
80634,Weld County,CO,23.86634844868735,NA
80734,Phillips County,CO,NA,99.56896551724138
80831,El Paso County,CO,78.75894988066825,NA
80910,El Paso County,CO,NA,60.775862068965516
80921,El Paso County,CO,NA,83.62068965517241
81625,Moffat County,CO,NA,65.94827586206897
06040,Hartford County,CT,17.899761336515514,NA
06042,Hartford County,CT,47.25536992840095,NA
06117,Hartford County,CT,82.33890214797135,NA
06405,New Haven County,CT,49.88066825775656,NA
06450,New Haven County,CT,NA,17.67241379310345
32091,Bradford County,FL,51.3126491646778,NA
32176,Volusia County,FL,NA,77.15517241379311
32208,Duval County,FL,NA,7.758620689655173
32210,Duval County,FL,9.069212410501192,NA
32234,Duval County,FL,89.49880668257757,NA
32257,Duval County,FL,68.01909307875896,NA
32404,Bay County,FL,33.89021479713604,NA
32696,Levy County,FL,72.0763723150358,NA
32811,Orange County,FL,31.026252983293556,NA
32901,Brevard County,FL,NA,48.275862068965516
32905,Brevard County,FL,69.4510739856802,NA
32955,Brevard County,FL,59.90453460620525,NA
32967,Indian River County,FL,NA,52.58620689655172
33024,Broward County,FL,39.37947494033413,NA
33136,Miami-Dade County,FL,60.62052505966587,NA
33166,Miami-Dade County,FL,84.96420047732697,NA
33175,Miami-Dade County,FL,66.34844868735084,NA
33176,Miami-Dade County,FL,NA,38.362068965517246
33711,Pinellas County,FL,NA,78.87931034482759
33781,Pinellas County,FL,NA,39.6551724137931
33881,Polk County,FL,46.30071599045346,NA
33936,Lee County,FL,58.94988066825776,NA
34202,Manatee County,FL,NA,43.103448275862064
34223,Sarasota County,FL,94.98806682577565,NA
34236,Sarasota County,FL,NA,93.10344827586206
34243,Manatee County,FL,NA,28.879310344827587
34293,Sarasota County,FL,58.233890214797135,NA
34473,Marion County,FL,NA,67.67241379310344
34741,Osceola County,FL,32.21957040572792,NA
30039,Gwinnett County,GA,48.44868735083532,NA
30043,Gwinnett County,GA,31.26491646778043,NA
30078,Gwinnett County,GA,70.40572792362768,NA
30088,DeKalb County,GA,NA,67.24137931034483
30153,Polk County,GA,50.35799522673031,NA
30241,Troup County,GA,36.9928400954654,NA
30297,Clayton County,GA,67.5417661097852,NA
30318,Fulton County,GA,NA,34.91379310344828
30340,DeKalb County,GA,91.16945107398568,NA
30354,Fulton County,GA,74.94033412887828,79.3103448275862
30523,Habersham County,GA,88.54415274463007,NA
30563,Habersham County,GA,NA,96.55172413793103
30736,Catoosa County,GA,19.09307875894988,NA
30906,Richmond County,GA,13.60381861575179,NA
31088,Houston County,GA,23.15035799522673,NA
31501,Ware County,GA,75.41766109785203,NA
31513,Appling County,GA,79.95226730310262,NA
31793,Tift County,GA,76.37231503579952,NA
96706,Honolulu County,HI,18.85441527446301,NA
96707,Honolulu County,HI,45.346062052505964,NA
96790,Maui County,HI,98.80668257756562,NA
96816,Honolulu County,HI,NA,21.120689655172413
83440,Madison County,ID,81.14558472553699,NA
83634,Ada County,ID,49.40334128878281,NA
60004,Cook County,IL,34.12887828162291,NA
60031,Lake County,IL,NA,27.155172413793103
60090,Cook County,IL,65.63245823389022,NA
60142,McHenry County,IL,NA,13.793103448275861
60155,Cook County,IL,NA,92.67241379310344
60422,Cook County,IL,91.64677804295943,NA
60428,Cook County,IL,99.28400954653938,NA
60467,Cook County,IL,61.575178997613364,NA
60540,DuPage County,IL,38.18615751789976,NA
60559,DuPage County,IL,NA,81.03448275862068
60565,DuPage County,IL,40.334128878281625,NA
60614,Cook County,IL,30.54892601431981,NA
60623,Cook County,IL,NA,16.810344827586206
60629,Cook County,IL,11.933174224343675,NA
60630,Cook County,IL,31.980906921241047,NA
60631,Cook County,IL,NA,49.137931034482754
60638,Cook County,IL,17.42243436754177,NA
60655,Cook County,IL,NA,35.775862068965516
60957,Ford County,IL,NA,93.53448275862068
61065,Boone County,IL,NA,81.46551724137932
61554,Tazewell County,IL,NA,15.948275862068966
61704,McLean County,IL,NA,45.689655172413794
61821,Champaign County,IL,51.07398568019092,NA
62002,Madison County,IL,NA,78.01724137931035
62010,Madison County,IL,NA,74.13793103448276
62040,Madison County,IL,NA,11.637931034482758
62243,St. Clair County,IL,NA,96.98275862068965
62522,Macon County,IL,66.5871121718377,NA
62702,Sangamon County,IL,NA,40.08620689655172
62711,Sangamon County,IL,95.94272076372316,NA
62959,Williamson County,IL,NA,21.982758620689655
62960,Massac County,IL,93.31742243436753,NA
46012,Madison County,IN,NA,25
46203,Marion County,IN,15.990453460620524,NA
46237,Marion County,IN,28.162291169451077,NA
46260,Marion County,IN,54.653937947494036,NA
46902,Howard County,IN,NA,5.603448275862069
47170,Scott County,IN,NA,56.03448275862068
47362,Henry County,IN,NA,16.379310344827587
47714,Vanderburgh County,IN,NA,22.413793103448278
47933,Montgomery County,IN,74.46300715990454,NA
51501,Pottawattamie County,IA,27.44630071599045,NA
51534,Mills County,IA,72.55369928400954,NA
52240,Johnson County,IA,NA,24.137931034482758
66071,Miami County,KS,83.53221957040573,NA
66203,Johnson County,KS,88.78281622911695,NA
67217,Sedgwick County,KS,62.76849642004774,NA
40219,Jefferson County,KY,19.809069212410503,NA
40508,Fayette County,KY,NA,72.84482758620689
40744,Laurel County,KY,38.902147971360385,58.620689655172406
41010,Grant County,KY,98.32935560859188,NA
41143,Carter County,KY,50.59665871121718,NA
41472,Morgan County,KY,96.18138424821002,NA
42141,Barren County,KY,NA,9.913793103448276
42728,Adair County,KY,NA,45.258620689655174
70441,St. Helena Parish,LA,76.37231503579952,NA
70448,St. Tammany Parish,LA,NA,33.62068965517241
70507,Lafayette Parish,LA,52.2673031026253,NA
70791,East Baton Rouge Parish,LA,20.286396181384248,NA
70814,East Baton Rouge Parish,LA,43.914081145584724,NA
71107,Caddo Parish,LA,6.443914081145586,NA
04092,Cumberland County,ME,NA,32.327586206896555
04101,Cumberland County,ME,NA,29.310344827586203
04457,Penobscot County,ME,80.1909307875895,NA
20639,Calvert County,MD,87.3508353221957,NA
21076,Anne Arundel County,MD,92.36276849642005,NA
21201,Baltimore city,MD,NA,51.724137931034484
21209,Baltimore County,MD,72.79236276849642,NA
21215,Baltimore city,MD,14.797136038186157,NA
01030,Hampden County,MA,60.14319809069213,NA
01075,Hampshire County,MA,85.44152744630071,NA
01453,Worcester County,MA,3.579952267303103,NA
01469,Middlesex County,MA,NA,76.29310344827587
01536,Worcester County,MA,86.39618138424821,NA
01543,Worcester County,MA,83.7708830548926,NA
01604,Worcester County,MA,NA,3.4482758620689653
01605,Worcester County,MA,NA,1.7241379310344827
