fips,county,state,Over18
01001,Autauga County,AL,60.043431053203044
01003,Baldwin County,AL,94.02823018458197
01005,Barbour County,AL,NA
01007,Bibb County,AL,NA
01009,Blount County,AL,60.26058631921825
01011,Bullock County,AL,NA
01013,Butler County,AL,NA
01015,Calhoun County,AL,NA
01017,Chambers County,AL,NA
01019,Cherokee County,AL,NA
01021,Chilton County,AL,NA
01025,Clarke County,AL,NA
01027,Clay County,AL,NA
01029,Cleburne County,AL,NA
01031,Coffee County,AL,NA
01033,Colbert County,AL,48.20846905537459
01035,Conecuh County,AL,NA
01037,Coosa County,AL,NA
01039,Covington County,AL,NA
01041,Crenshaw County,AL,NA
01043,Cullman County,AL,NA
01045,Dale County,AL,64.38653637350706
01047,Dallas County,AL,NA
01049,DeKalb County,AL,NA
01051,Elmore County,AL,NA
01053,Escambia County,AL,NA
01055,Etowah County,AL,18.458197611292075
01057,Fayette County,AL,NA
01059,Franklin County,AL,NA
01061,Geneva County,AL,NA
01063,Greene County,AL,NA
01065,Hale County,AL,NA
01067,Henry County,AL,NA
01069,Houston County,AL,27.25298588490771
01071,Jackson County,AL,NA
01073,Jefferson County,AL,56.02605863192183
01075,Lamar County,AL,91.63952225841476
01077,Lauderdale County,AL,40.60803474484256
01079,Lawrence County,AL,67.10097719869707
01081,Lee County,AL,NA
01083,Limestone County,AL,85.34201954397395
01085,Lowndes County,AL,NA
01087,Macon County,AL,NA
01089,Madison County,AL,1.737242128121607
01091,Marengo County,AL,NA
01093,Marion County,AL,90.66232356134635
01095,Marshall County,AL,22.36699239956569
01097,Mobile County,AL,3.040173724212812
01099,Monroe County,AL,NA
01101,Montgomery County,AL,59.934853420195445
01103,Morgan County,AL,63.84364820846905
01105,Perry County,AL,NA
01107,Pickens County,AL,NA
01109,Pike County,AL,NA
01111,Randolph County,AL,NA
01113,Russell County,AL,NA
01115,St. Clair County,AL,NA
01117,Shelby County,AL,NA
01119,Sumter County,AL,NA
01121,Talladega County,AL,58.08903365906624
01123,Tallapoosa County,AL,NA
01125,Tuscaloosa County,AL,38.327904451682954
01127,Walker County,AL,65.36373507057546
01129,Washington County,AL,NA
01131,Wilcox County,AL,NA
01133,Winston County,AL,NA
02020,Anchorage Municipality,AK,NA
02050,Bethel Census Area,AK,NA
02070,Dillingham Census Area,AK,NA
02090,Fairbanks North Star Borough,AK,NA
02110,Juneau City and Borough,AK,NA
02122,Kenai Peninsula Borough,AK,56.56894679695983
02130,Ketchikan Gateway Borough,AK,80.23887079261672
02150,Kodiak Island Borough,AK,NA
02170,Matanuska-Susitna Borough,AK,NA
02180,Nome Census Area,AK,NA
02220,Sitka City and Borough,AK,NA
02240,Southeast Fairbanks Census Area,AK,NA
02261,Valdez-Cordova Census Area,AK,NA
02270,Wade Hampton Census Area,AK,NA
04001,Apache County,AZ,NA
04003,Cochise County,AZ,22.149837133550488
04005,Coconino County,AZ,NA
04007,Gila County,AZ,NA
04009,Graham County,AZ,NA
04012,La Paz County,AZ,NA
04013,Maricopa County,AZ,2.6058631921824107
04015,Mohave County,AZ,16.612377850162865
04017,Navajo County,AZ,25.1900108577633
04019,Pima County,AZ,0.32573289902280134
04021,Pinal County,AZ,2.823018458197611
04023,Santa Cruz County,AZ,NA
04025,Yavapai County,AZ,18.349619978284473
04027,Yuma County,AZ,68.94679695982627
05001,Arkansas County,AR,NA
05003,Ashley County,AR,NA
05005,Baxter County,AR,63.08360477741585
05007,Benton County,AR,17.37242128121607
05009,Boone County,AR,NA
05011,Bradley County,AR,NA
05015,Carroll County,AR,NA
05017,Chicot County,AR,NA
05019,Clark County,AR,NA
05021,Clay County,AR,NA
05023,Cleburne County,AR,73.0727470141151
05025,Cleveland County,AR,NA
05027,Columbia County,AR,85.23344191096635
05029,Conway County,AR,NA
05031,Craighead County,AR,64.49511400651465
05033,Crawford County,AR,NA
05035,Crittenden County,AR,NA
05037,Cross County,AR,NA
05039,Dallas County,AR,NA
05041,Desha County,AR,92.83387622149837
