ZipCode,county,state,Youth,Pediatric,Adult,Retirement,Geriatric
35004,St. Clair County,AL,NA,NA,NA,77.32864674868189,NA
35010,Tallapoosa County,AL,49.959709911361806,NA,NA,NA,NA
35040,Shelby County,AL,45.04431909750202,NA,NA,NA,NA
35043,Shelby County,AL,78.08219178082192,NA,NA,NA,NA
35077,Cullman County,AL,NA,NA,61.396086726599684,NA,NA
35128,St. Clair County,AL,NA,NA,NA,73.4622144112478,NA
35133,Blount County,AL,58.259468170829976,NA,NA,NA,NA
35160,Talladega County,AL,NA,37.060041407867494,NA,NA,NA
35184,Bibb County,AL,NA,NA,78.21258593336859,NA,NA
35208,Jefferson County,AL,NA,NA,NA,NA,86.58536585365853
35210,Jefferson County,AL,83.80338436744562,NA,NA,NA,NA
35235,Jefferson County,AL,NA,NA,55.84346906398731,NA,NA
35242,Shelby County,AL,NA,NA,31.094658910629295,NA,NA
35243,Jefferson County,AL,NA,NA,83.97673188789001,NA,NA
35404,Tuscaloosa County,AL,NA,NA,14.595452141723955,NA,NA
35473,Tuscaloosa County,AL,NA,NA,NA,57.82073813708261,NA
35504,Walker County,AL,NA,NA,NA,68.0140597539543,NA
35570,Marion County,AL,NA,60.45548654244306,NA,NA,NA
35601,Morgan County,AL,NA,NA,42.147012162876784,NA,NA
35603,Morgan County,AL,24.012892828364222,NA,NA,NA,NA
35613,Limestone County,AL,NA,NA,40.29613960867266,NA,NA
35614,Limestone County,AL,NA,NA,76.0444209413009,NA,NA
35630,Lauderdale County,AL,NA,NA,29.8783712321523,NA,NA
35633,Lauderdale County,AL,NA,NA,NA,65.02636203866432,NA
35653,Franklin County,AL,NA,NA,80.59227921734532,NA,NA
35661,Colbert County,AL,NA,NA,NA,75.04393673110721,NA
35674,Colbert County,AL,NA,NA,NA,52.3725834797891,NA
35749,Madison County,AL,NA,NA,48.49286092014807,NA,NA
35763,Madison County,AL,67.20386784850928,NA,78.52987837123216,NA,NA
35810,Madison County,AL,NA,23.809523809523807,NA,NA,NA
35816,Madison County,AL,NA,49.68944099378882,NA,NA,NA
35952,Etowah County,AL,NA,NA,88.47170809095716,NA,NA
35956,Etowah County,AL,NA,NA,NA,NA,95.73170731707317
35959,Cherokee County,AL,NA,NA,96.7741935483871,NA,NA
36040,Lowndes County,AL,95.56809024979856,NA,NA,NA,NA
36089,Bullock County,AL,NA,75.56935817805382,NA,NA,NA
36108,Montgomery County,AL,NA,38.50931677018634,NA,NA,NA
36117,Montgomery County,AL,NA,NA,68.00634584875726,NA,NA
36203,Calhoun County,AL,NA,94.20289855072464,NA,NA,NA
36206,Calhoun County,AL,NA,78.4679089026915,NA,NA,NA
36251,Clay County,AL,NA,NA,94.55314648334215,NA,NA
36264,Cleburne County,AL,NA,NA,NA,85.41300527240774,NA
36265,Calhoun County,AL,NA,75.56935817805382,53.14648334214701,NA,NA
36301,Houston County,AL,26.26913779210314,NA,NA,NA,NA
36303,Houston County,AL,NA,NA,22.157588577472236,NA,NA
36305,Houston County,AL,NA,NA,58.963511369645694,NA,NA
36330,Coffee County,AL,NA,NA,NA,40.421792618629176,NA
36526,Baldwin County,AL,35.85817888799355,NA,NA,NA,NA
36527,Baldwin County,AL,NA,NA,83.07773664727657,NA,NA
36530,Baldwin County,AL,NA,NA,86.99101004759386,NA,NA
