fips,county,state,Under18,Over18
01001,Autauga County,AL,81.0126582278481,85.0502512562814
01003,Baldwin County,AL,50.9493670886076,78.64321608040201
01007,Bibb County,AL,88.29113924050634,NA
01013,Butler County,AL,86.39240506329115,NA
01015,Calhoun County,AL,27.848101265822784,19.34673366834171
01021,Chilton County,AL,NA,97.73869346733667
01025,Clarke County,AL,82.4367088607595,NA
01031,Coffee County,AL,86.70886075949366,NA
01037,Coosa County,AL,NA,97.8643216080402
01043,Cullman County,AL,NA,44.095477386934675
01047,Dallas County,AL,64.71518987341773,NA
01055,Etowah County,AL,NA,44.597989949748744
01061,Geneva County,AL,80.37974683544303,NA
01069,Houston County,AL,39.39873417721519,NA
01073,Jefferson County,AL,29.58860759493671,42.58793969849246
01079,Lawrence County,AL,NA,71.98492462311557
01081,Lee County,AL,68.0379746835443,NA
01083,Limestone County,AL,32.120253164556964,33.165829145728644
01089,Madison County,AL,42.879746835443036,46.35678391959799
01095,Marshall County,AL,37.65822784810127,NA
01097,Mobile County,AL,36.86708860759494,28.768844221105528
01101,Montgomery County,AL,NA,52.13567839195979
01103,Morgan County,AL,62.18354430379747,NA
01115,St. Clair County,AL,45.41139240506329,67.21105527638191
01117,Shelby County,AL,26.740506329113924,55.778894472361806
01125,Tuscaloosa County,AL,15.18987341772152,36.55778894472362
01127,Walker County,AL,75.15822784810126,96.10552763819096
01131,Wilcox County,AL,98.41772151898735,NA
02020,Anchorage Municipality,AK,NA,7.663316582914573
02090,Fairbanks North Star Borough,AK,77.05696202531645,NA
02170,Matanuska-Susitna Borough,AK,50.15822784810127,88.19095477386935
02220,Sitka City and Borough,AK,NA,98.49246231155779
04001,Apache County,AZ,49.208860759493675,75.25125628140702
04005,Coconino County,AZ,NA,60.30150753768844
04009,Graham County,AZ,71.51898734177216,NA
04013,Maricopa County,AZ,43.196202531645575,52.26130653266332
04015,Mohave County,AZ,16.61392405063291,3.5175879396984926
04019,Pima County,AZ,42.08860759493671,41.45728643216081
04021,Pinal County,AZ,44.778481012658226,39.698492462311556
04025,Yavapai County,AZ,26.89873417721519,4.396984924623116
04027,Yuma County,AZ,44.620253164556964,8.668341708542714
05001,Arkansas County,AR,NA,92.8391959798995
