fips,county,state,Under18,Over18
01001,Autauga County,AL,NA,3.2873806998939554
01003,Baldwin County,AL,NA,0.15906680805938495
01005,Barbour County,AL,NA,86.42629904559915
01007,Bibb County,AL,NA,36.79745493107105
01009,Blount County,AL,NA,16.755037115588546
01011,Bullock County,AL,NA,49.469777306468714
01013,Butler County,AL,NA,20.943796394485684
01015,Calhoun County,AL,NA,3.4994697773064685
01017,Chambers County,AL,NA,54.665959703075295
01019,Cherokee County,AL,NA,18.345705196182397
01025,Clarke County,AL,87.7995642701525,NA
01027,Clay County,AL,NA,76.13997879109226
01031,Coffee County,AL,NA,21.527041357370095
01033,Colbert County,AL,NA,18.82290562036055
01037,Coosa County,AL,NA,60.6574761399788
01039,Covington County,AL,NA,2.545068928950159
01043,Cullman County,AL,NA,34.30540827147402
01047,Dallas County,AL,NA,52.96924708377519
01049,DeKalb County,AL,NA,2.704135737009544
01051,Elmore County,AL,NA,12.61930010604454
01053,Escambia County,AL,NA,3.9766702014846236
01055,Etowah County,AL,NA,7.0519618239660655
01057,Fayette County,AL,86.71023965141612,12.142099681866384
01059,Franklin County,AL,NA,55.46129374337222
01061,Geneva County,AL,NA,8.112407211028632
01065,Hale County,AL,NA,41.993637327677625
01069,Houston County,AL,47.930283224400874,46.924708377518556
01071,Jackson County,AL,NA,6.256627783669141
01073,Jefferson County,AL,28.540305010893245,56.15058324496288
01075,Lamar County,AL,NA,78.6320254506893
01077,Lauderdale County,AL,NA,5.249204665959703
01081,Lee County,AL,52.94117647058824,59.650053022269354
01083,Limestone County,AL,39.433551198257085,NA
01089,Madison County,AL,35.72984749455338,19.300106044538705
01091,Marengo County,AL,NA,35.25980911983033
01093,Marion County,AL,NA,85.31283138918346
01095,Marshall County,AL,NA,19.77730646871686
01097,Mobile County,AL,8.278867102396514,76.24602332979852
01099,Monroe County,AL,NA,89.23647932131496
01101,Montgomery County,AL,22.22222222222222,51.64369034994698
01103,Morgan County,AL,NA,28.63202545068929
01107,Pickens County,AL,NA,63.52067868504771
01109,Pike County,AL,79.08496732026144,65.00530222693531
01113,Russell County,AL,NA,87.53976670201484
01115,St. Clair County,AL,NA,19.883351007423116
01117,Shelby County,AL,NA,8.377518557794273
01121,Talladega County,AL,NA,63.99787910922588
01123,Tallapoosa County,AL,NA,33.1389183457052
01125,Tuscaloosa County,AL,60.78431372549019,57.26405090137858
01127,Walker County,AL,NA,23.117709437963946
01131,Wilcox County,AL,NA,69.83032873807
01133,Winston County,AL,NA,46.553552492046656
02020,Anchorage Municipality,AK,NA,65.16436903499469
02050,Bethel Census Area,AK,NA,96.71261930010604
02090,Fairbanks North Star Borough,AK,NA,49.09862142099682
02110,Juneau City and Borough,AK,NA,78.73806998939554
02122,Kenai Peninsula Borough,AK,NA,26.35206786850477
02130,Ketchikan Gateway Borough,AK,NA,16.702014846235418
02150,Kodiak Island Borough,AK,NA,64.36903499469777
02170,Matanuska-Susitna Borough,AK,NA,72.69353128313892
02220,Sitka City and Borough,AK,85.40305010893246,97.87910922587487
04001,Apache County,AZ,44.44444444444444,74.07211028632025
04003,Cochise County,AZ,38.12636165577342,29.745493107104988
04005,Coconino County,AZ,NA,23.91304347826087
04007,Gila County,AZ,NA,2.2269353128313893
04009,Graham County,AZ,NA,22.58748674443266
04012,La Paz County,AZ,NA,9.490986214209968
04013,Maricopa County,AZ,10.457516339869281,78.15482502651113
04015,Mohave County,AZ,NA,27.571580063626723
04017,Navajo County,AZ,32.02614379084967,44.3796394485684
04019,Pima County,AZ,0.4357298474945534,59.1728525980912
04021,Pinal County,AZ,8.061002178649238,84.2523860021209
04023,Santa Cruz County,AZ,NA,3.8176033934252387
04025,Yavapai County,AZ,NA,41.46341463414634
04027,Yuma County,AZ,66.23093681917211,86.85047720042418
05005,Baxter County,AR,NA,4.665959703075292
05007,Benton County,AR,NA,10.763520678685047
05027,Columbia County,AR,NA,57.74125132555673
05029,Conway County,AR,NA,39.660657476139974
05031,Craighead County,AR,NA,12.778366914103923
05045,Faulkner County,AR,NA,5.090137857900318
05051,Garland County,AR,NA,0.2120890774125133
05055,Greene County,AR,NA,36.37327677624602
05061,Howard County,AR,NA,45.705196182396605
05083,Logan County,AR,NA,59.54400848356309
05085,Lonoke County,AR,NA,34.88865323435843
05093,Mississippi County,AR,NA,35.52492046659597
05103,Ouachita County,AR,NA,24.973488865323436
05115,Pope County,AR,NA,4.453870625662779
05119,Pulaski County,AR,NA,19.406150583244962
05121,Randolph County,AR,NA,39.34252386002121
05125,Saline County,AR,NA,93.31919406150583
05143,Washington County,AR,NA,19.353128313891833
05145,White County,AR,NA,0.3181336161187699
06001,Alameda County,CA,52.505446623093675,83.13891834570519
06005,Amador County,CA,NA,33.19194061505832
06007,Butte County,CA,NA,76.51113467656415
06009,Calaveras County,CA,NA,43.42523860021209
06011,Colusa County,CA,NA,99.20466595970308
06013,Contra Costa County,CA,4.793028322440087,64.26299045599151
06015,Del Norte County,CA,NA,79.05620360551431
06017,El Dorado County,CA,NA,47.87910922587486
06019,Fresno County,CA,NA,51.961823966065744
06021,Glenn County,CA,NA,93.84941675503711
06023,Humboldt County,CA,NA,21.10286320254507
06025,Imperial County,CA,31.590413943355124,84.67656415694591
06029,Kern County,CA,NA,87.6458112407211
06031,Kings County,CA,NA,32.97985153764581
06033,Lake County,CA,NA,6.203605514316013
06037,Los Angeles County,CA,1.3071895424836601,54.241781548250266
06039,Madera County,CA,NA,97.03075291622481
06041,Marin County,CA,NA,6.097560975609756
06045,Mendocino County,CA,NA,34.83563096500531
06047,Merced County,CA,11.546840958605664,87.75185577942736
06049,Modoc County,CA,NA,64.68716861081654
06051,Mono County,CA,NA,91.67550371155886
06053,Monterey County,CA,NA,63.20254506892895
06055,Napa County,CA,NA,6.6277836691410394
06057,Nevada County,CA,NA,0.5302226935312832
06059,Orange County,CA,15.686274509803921,39.76670201484623
06061,Placer County,CA,NA,51.908801696712615
06065,Riverside County,CA,2.3965141612200433,73.2237539766702
06067,Sacramento County,CA,39.651416122004356,85.10074231177094
06069,San Benito County,CA,NA,62.831389183457055
06071,San Bernardino County,CA,20.043572984749456,81.33616118769883
06073,San Diego County,CA,24.836601307189543,80.01060445387063
06075,San Francisco County,CA,28.322440087145967,60.127253446447504
06077,San Joaquin County,CA,5.010893246187364,85.68398727465537
06079,San Luis Obispo County,CA,NA,20.14846235418876
06081,San Mateo County,CA,NA,57.68822905620361
06083,Santa Barbara County,CA,34.42265795206972,70.67868504772005
06085,Santa Clara County,CA,NA,69.40615058324497
06087,Santa Cruz County,CA,61.22004357298475,27.624602332979855
06089,Shasta County,CA,93.4640522875817,88.12301166489925
