ZipCode,county,state,Retirement
35208,Jefferson County,AL,68.98395721925134
85037,Maricopa County,AZ,58.288770053475936
85364,Yuma County,AZ,4.81283422459893
85704,Pima County,AZ,23.52941176470588
85706,Pima County,AZ,75.93582887700535
72744,Washington County,AR,95.18716577540107
72756,Benton County,AR,32.085561497326204
90027,Los Angeles County,CA,55.080213903743314
90277,Los Angeles County,CA,26.737967914438503
90631,Orange County,CA,50.26737967914438
90703,Los Angeles County,CA,28.342245989304814
90810,Los Angeles County,CA,77.54010695187165
91204,Los Angeles County,CA,100
91352,Los Angeles County,CA,41.17647058823529
91730,San Bernardino County,CA,34.22459893048128
91942,San Diego County,CA,39.037433155080215
92021,San Diego County,CA,46.524064171122994
92111,San Diego County,CA,50.80213903743316
92131,San Diego County,CA,69.5187165775401
92869,Orange County,CA,47.05882352941176
93221,Tulare County,CA,96.79144385026738
93240,Kern County,CA,90.37433155080214
93433,San Luis Obispo County,CA,82.35294117647058
93611,Fresno County,CA,31.550802139037433
94110,San Francisco County,CA,8.0213903743315509
94116,San Francisco County,CA,33.68983957219251
94534,Solano County,CA,42.24598930481284
94804,Contra Costa County,CA,38.50267379679144
94947,Marin County,CA,47.593582887700535
95618,Yolo County,CA,86.09625668449198
95926,Butte County,CA,73.2620320855615
96080,Tehama County,CA,20.855614973262032
80504,Boulder County,CO,56.14973262032086
81507,Mesa County,CO,93.58288770053476
32210,Duval County,FL,7.4866310160427805
32712,Orange County,FL,29.411764705882355
32822,Orange County,FL,20.32085561497326
32951,Brevard County,FL,78.07486631016043
33015,Miami-Dade County,FL,99.46524064171123
33043,Monroe County,FL,96.2566844919786
33062,Broward County,FL,21.390374331550802
34608,Hernando County,FL,45.98930481283423
30012,Rockdale County,GA,48.663101604278076
30043,Gwinnett County,GA,10.16042780748663
30071,Gwinnett County,GA,81.81818181818183
30176,Haralson County,GA,81.28342245989305
30314,Fulton County,GA,44.38502673796791
30736,Catoosa County,GA,15.508021390374333
96748,Maui County,HI,98.93048128342245
96817,Honolulu County,HI,72.19251336898395
83835,Kootenai County,ID,88.23529411764706
60103,DuPage County,IL,19.786096256684495
60543,Kendall County,IL,44.919786096256686
60614,Cook County,IL,49.19786096256685
60625,Cook County,IL,45.45454545454545
61254,Henry County,IL,70.58823529411765
46241,Marion County,IN,62.56684491978609
46845,Allen County,IN,43.31550802139038
50138,Marion County,IA,79.67914438502673
50266,Polk County,IA,74.33155080213903
52245,Johnson County,IA,91.97860962566845
67401,Saline County,KS,17.11229946524064
04032,Cumberland County,ME,71.65775401069519
04240,Androscoggin County,ME,2.13903743315508
20854,Montgomery County,MD,29.946524064171122
01020,Hampden County,MA,9.090909090909092
01151,Hampden County,MA,48.1283422459893
01432,Middlesex County,MA,66.31016042780749
01550,Worcester County,MA,17.647058823529413
01824,Middlesex County,MA,28.87700534759358
01850,Middlesex County,MA,52.406417112299465
01867,Middlesex County,MA,35.294117647058826
01960,Essex County,MA,1.6042780748663104
02038,Norfolk County,MA,11.76470588235294
02148,Middlesex County,MA,1.06951871657754
02301,Plymouth County,MA,0.53475935828877
02478,Middlesex County,MA,19.25133689839572
48062,Macomb County,MI,76.47058823529412
48103,Washtenaw County,MI,10.695187165775401
48130,Washtenaw County,MI,65.24064171122996
48134,Wayne County,MI,41.711229946524064
48239,Wayne County,MI,8.55614973262032
48317,Macomb County,MI,14.973262032085561
49428,Ottawa County,MI,25.13368983957219
49721,Cheboygan County,MI,63.63636363636363
55060,Steele County,MN,24.06417112299465
56001,Blue Earth County,MN,31.016042780748666
56560,Clay County,MN,5.88235294117647
39702,Lowndes County,MS,75.40106951871658
63090,Franklin County,MO,73.79679144385027
63109,St. Louis city,MO,37.4331550802139
63124,St. Louis County,MO,72.72727272727273
68136,Sarpy County,NE,80.74866310160428
89129,Clark County,NV,35.82887700534759
89166,Clark County,NV,90.9090909090909
07524,Passaic County,NJ,94.11764705882352
07945,Morris County,NJ,87.16577540106952
