ZipCode,county,state,Adult
35442,Pickens County,AL,86.7816091954023
35620,Limestone County,AL,80.45977011494253
36109,Montgomery County,AL,47.701149425287355
36869,Russell County,AL,54.02298850574713
85286,Maricopa County,AZ,37.35632183908046
85367,Yuma County,AZ,82.75862068965517
86327,Yavapai County,AZ,94.25287356321839
72227,Pulaski County,AR,72.98850574712644
90042,Los Angeles County,CA,51.724137931034484
90045,Los Angeles County,CA,61.49425287356321
90254,Los Angeles County,CA,84.48275862068965
91361,Ventura County,CA,89.65517241379311
91387,Los Angeles County,CA,44.252873563218394
91932,San Diego County,CA,75.28735632183908
92021,San Diego County,CA,14.367816091954023
92027,San Diego County,CA,45.97701149425287
92107,San Diego County,CA,67.24137931034483
92555,Riverside County,CA,58.04597701149425
92808,Orange County,CA,76.4367816091954
93003,Ventura County,CA,14.942528735632186
93110,Santa Barbara County,CA,92.52873563218391
93311,Kern County,CA,86.20689655172413
93444,San Luis Obispo County,CA,58.620689655172406
93619,Fresno County,CA,41.37931034482759
94066,San Mateo County,CA,43.67816091954023
94513,Contra Costa County,CA,36.7816091954023
94619,Alameda County,CA,78.16091954022988
95070,Santa Clara County,CA,79.3103448275862
95123,Santa Clara County,CA,39.6551724137931
95401,Sonoma County,CA,56.32183908045977
80011,Arapahoe County,CO,7.471264367816093
80120,Arapahoe County,CO,60.3448275862069
80205,Denver County,CO,11.494252873563218
80222,Denver County,CO,41.95402298850575
80305,Boulder County,CO,95.97701149425288
80503,Boulder County,CO,64.9425287356322
80816,Teller County,CO,95.40229885057471
81001,Pueblo County,CO,18.39080459770115
06255,Windham County,CT,74.71264367816092
06437,New Haven County,CT,60.91954022988506
06457,Middlesex County,CT,8.045977011494253
06905,Fairfield County,CT,77.01149425287356
19966,Sussex County,DE,20.114942528735632
32189,Putnam County,FL,93.10344827586206
32210,Duval County,FL,2.8735632183908044
32257,Duval County,FL,20.689655172413794
33624,Hillsborough County,FL,52.29885057471264
33707,Pinellas County,FL,85.0574712643678
33710,Pinellas County,FL,49.42528735632184
34473,Marion County,FL,47.12643678160919
30068,Cobb County,GA,73.5632183908046
31558,Camden County,GA,68.96551724137932
