ZipCode,county,state,Adult,Retirement,Geriatric
35023,Jefferson County,AL,32.30769230769231,NA,NA
35031,Blount County,AL,78.68131868131869,NA,88.32599118942731
35124,Shelby County,AL,NA,38.19444444444444,NA
35242,Shelby County,AL,33.84615384615385,NA,NA
35601,Morgan County,AL,NA,NA,31.938325991189426
35613,Limestone County,AL,45.27472527472528,NA,NA
35630,Lauderdale County,AL,32.747252747252745,NA,NA
35810,Madison County,AL,NA,23.09027777777778,NA
35904,Etowah County,AL,50.10989010989011,NA,NA
35906,Etowah County,AL,91.20879120879121,NA,NA
35954,Etowah County,AL,NA,59.72222222222222,NA
36117,Montgomery County,AL,35.824175824175825,NA,NA
36203,Calhoun County,AL,NA,56.59722222222222,NA
36532,Baldwin County,AL,NA,NA,26.21145374449339
36582,Mobile County,AL,NA,52.25694444444444,NA
36608,Mobile County,AL,NA,84.02777777777779,NA
36693,Mobile County,AL,59.78021978021978,NA,NA
36744,Hale County,AL,79.12087912087912,NA,NA
99669,Kenai Peninsula Borough,AK,74.72527472527473,NA,NA
85006,Maricopa County,AZ,NA,46.35416666666667,NA
85009,Maricopa County,AZ,NA,28.47222222222222,NA
85016,Maricopa County,AZ,NA,NA,70.26431718061674
85018,Maricopa County,AZ,NA,40.625,NA
85020,Maricopa County,AZ,NA,NA,49.55947136563877
85022,Maricopa County,AZ,NA,29.51388888888889,NA
85024,Maricopa County,AZ,NA,NA,95.59471365638767
85037,Maricopa County,AZ,NA,NA,79.73568281938326
85042,Maricopa County,AZ,27.912087912087912,NA,NA
85048,Maricopa County,AZ,NA,NA,86.34361233480176
85051,Maricopa County,AZ,NA,38.54166666666667,NA
85122,Pinal County,AZ,34.72527472527472,NA,NA
85123,Pinal County,AZ,74.28571428571429,NA,NA
85142,Maricopa County,AZ,NA,NA,65.63876651982379
85201,Maricopa County,AZ,15.164835164835164,34.02777777777778,NA
85204,Maricopa County,AZ,48.13186813186813,30.03472222222222,NA
85208,Maricopa County,AZ,NA,39.93055555555556,27.312775330396477
85213,Maricopa County,AZ,63.95604395604395,NA,70.70484581497797
85234,Maricopa County,AZ,NA,59.375,NA
85248,Maricopa County,AZ,NA,NA,34.36123348017621
85263,Maricopa County,AZ,NA,NA,95.37444933920705
85282,Maricopa County,AZ,NA,47.74305555555556,NA
85301,Maricopa County,AZ,NA,NA,29.735682819383257
85302,Maricopa County,AZ,NA,28.125,NA
85326,Maricopa County,AZ,NA,45.48611111111111,NA
85350,Yuma County,AZ,56.043956043956044,NA,NA
85373,Maricopa County,AZ,NA,NA,20.26431718061674
85375,Maricopa County,AZ,NA,NA,1.762114537444934
85382,Maricopa County,AZ,NA,46.70138888888889,NA
85392,Maricopa County,AZ,59.34065934065934,NA,NA
85602,Cochise County,AZ,NA,86.63194444444444,NA
85653,Pima County,AZ,39.34065934065934,NA,NA
85658,Pima County,AZ,NA,69.79166666666666,NA
85710,Pima County,AZ,NA,17.881944444444446,NA
85718,Pima County,AZ,NA,NA,22.24669603524229
85737,Pima County,AZ,NA,NA,45.15418502202643
85739,Pinal County,AZ,NA,29.86111111111111,NA
86335,Yavapai County,AZ,98.46153846153847,NA,NA
86403,Mohave County,AZ,51.208791208791204,NA,NA
71901,Garland County,AR,52.74725274725275,NA,NA
72010,White County,AR,NA,88.88888888888889,NA
72103,Saline County,AR,NA,71.35416666666666,NA
72160,Arkansas County,AR,75.6043956043956,NA,NA
72404,Craighead County,AR,55.38461538461539,NA,NA
72450,Greene County,AR,NA,26.38888888888889,NA
72501,Independence County,AR,NA,NA,31.277533039647576
72687,Marion County,AR,92.3076923076923,NA,NA
72753,Washington County,AR,NA,NA,98.45814977973568
72903,Sebastian County,AR,NA,NA,57.9295154185022
72921,Crawford County,AR,NA,84.54861111111111,NA
90024,Los Angeles County,CA,NA,NA,8.149779735682818
90025,Los Angeles County,CA,NA,36.45833333333333,NA
90026,Los Angeles County,CA,NA,40.625,NA
90045,Los Angeles County,CA,NA,60.06944444444444,NA
90047,Los Angeles County,CA,16.7032967032967,NA,NA
90057,Los Angeles County,CA,71.64835164835165,NA,61.45374449339207
90061,Los Angeles County,CA,72.74725274725274,77.25694444444444,NA
90210,Los Angeles County,CA,NA,NA,21.58590308370044
90221,Los Angeles County,CA,NA,37.5,NA
90222,Los Angeles County,CA,NA,NA,91.40969162995594
90232,Los Angeles County,CA,96.04395604395604,NA,NA
90255,Los Angeles County,CA,NA,68.22916666666666,NA
90277,Los Angeles County,CA,NA,33.33333333333333,NA
90278,Los Angeles County,CA,NA,57.986111111111114,NA
90280,Los Angeles County,CA,33.62637362637363,NA,NA
90291,Los Angeles County,CA,NA,62.84722222222222,NA
90292,Los Angeles County,CA,NA,88.19444444444444,44.052863436123346
90301,Los Angeles County,CA,36.92307692307693,NA,NA
90601,Los Angeles County,CA,58.681318681318686,NA,NA
90602,Los Angeles County,CA,66.8131868131868,NA,NA
90630,Orange County,CA,NA,22.743055555555554,NA
90631,Orange County,CA,NA,18.055555555555554,NA
90703,Los Angeles County,CA,NA,34.375,37.22466960352423
90802,Los Angeles County,CA,NA,73.4375,NA
90808,Los Angeles County,CA,61.75824175824176,NA,NA
91103,Los Angeles County,CA,78.9010989010989,NA,NA
91107,Los Angeles County,CA,NA,53.81944444444444,NA
91202,Los Angeles County,CA,NA,73.09027777777779,NA
91303,Los Angeles County,CA,NA,89.93055555555556,NA
91324,Los Angeles County,CA,NA,NA,82.59911894273128
91331,Los Angeles County,CA,43.73626373626374,NA,NA
91355,Los Angeles County,CA,NA,55.03472222222222,NA
91387,Los Angeles County,CA,49.01098901098901,NA,NA
91402,Los Angeles County,CA,29.010989010989015,NA,NA
91406,Los Angeles County,CA,NA,NA,57.048458149779734
91706,Los Angeles County,CA,27.252747252747252,NA,NA
91709,San Bernardino County,CA,NA,28.819444444444443,NA
91731,Los Angeles County,CA,NA,64.0625,NA
91732,Los Angeles County,CA,NA,32.11805555555556,NA
91744,Los Angeles County,CA,NA,27.95138888888889,NA
91761,San Bernardino County,CA,NA,NA,84.36123348017621
91762,San Bernardino County,CA,NA,51.90972222222222,NA
91765,Los Angeles County,CA,69.01098901098901,NA,NA
91790,Los Angeles County,CA,NA,55.55555555555556,NA
91910,San Diego County,CA,NA,NA,12.114537444933921
91911,San Diego County,CA,25.054945054945055,NA,NA
91977,San Diego County,CA,37.362637362637365,NA,NA
92021,San Diego County,CA,NA,13.88888888888889,NA
92027,San Diego County,CA,NA,51.736111111111114,NA
92040,San Diego County,CA,NA,27.77777777777778,NA
92056,San Diego County,CA,58.46153846153847,NA,NA
92078,San Diego County,CA,NA,52.604166666666664,NA
92102,San Diego County,CA,40.65934065934066,NA,77.97356828193833
92111,San Diego County,CA,NA,56.423611111111114,NA
92122,San Diego County,CA,NA,72.39583333333334,NA
92154,San Diego County,CA,39.78021978021978,NA,NA
92210,Riverside County,CA,NA,NA,58.14977973568281
92236,Riverside County,CA,48.35164835164835,NA,NA
92240,Riverside County,CA,22.857142857142858,NA,NA
92277,San Bernardino County,CA,NA,95.48611111111111,NA
92335,San Bernardino County,CA,NA,15.972222222222221,NA
92399,San Bernardino County,CA,NA,21.180555555555554,NA
92503,Riverside County,CA,20.21978021978022,NA,42.731277533039645
92505,Riverside County,CA,52.087912087912095,NA,75.1101321585903
92530,Riverside County,CA,NA,NA,80.83700440528634
92563,Riverside County,CA,NA,43.92361111111111,NA
92570,Riverside County,CA,NA,48.26388888888889,NA
92630,Orange County,CA,NA,18.92361111111111,30.176211453744493
92646,Orange County,CA,NA,NA,8.81057268722467
92651,Orange County,CA,NA,50.173611111111114,NA
92677,Orange County,CA,NA,NA,24.44933920704846
92679,Orange County,CA,NA,67.01388888888889,NA
92804,Orange County,CA,NA,20.13888888888889,NA
92805,Orange County,CA,27.472527472527474,45.3125,NA
92841,Orange County,CA,NA,70.13888888888889,NA
92882,Riverside County,CA,31.428571428571427,NA,NA
92886,Orange County,CA,32.527472527472526,NA,NA
93060,Ventura County,CA,38.46153846153847,NA,NA
93215,Kern County,CA,NA,96.35416666666666,NA
93241,Kern County,CA,95.6043956043956,NA,NA
93307,Kern County,CA,NA,NA,54.62555066079295
93311,Kern County,CA,64.3956043956044,NA,NA
93422,San Luis Obispo County,CA,NA,49.13194444444444,NA
93463,Santa Barbara County,CA,NA,NA,98.89867841409692
93622,Fresno County,CA,98.02197802197801,NA,NA
93662,Fresno County,CA,NA,94.27083333333334,NA
93726,Fresno County,CA,21.978021978021978,NA,NA
94123,San Francisco County,CA,66.15384615384615,NA,NA
94506,Contra Costa County,CA,NA,NA,83.03964757709251
94520,Contra Costa County,CA,NA,67.88194444444444,NA
94530,Contra Costa County,CA,NA,66.14583333333334,NA
94559,Napa County,CA,65.71428571428571,NA,NA
94587,Alameda County,CA,NA,23.61111111111111,NA
94705,Alameda County,CA,NA,93.40277777777779,NA
95051,Santa Clara County,CA,NA,56.25,NA
95076,Santa Cruz County,CA,NA,18.75,NA
95124,Santa Clara County,CA,NA,39.40972222222222,NA
