ZipCode,county,state,Adult,Retirement,Geriatric
35020,Jefferson County,AL,15.09433962264151,NA,NA
35242,Shelby County,AL,35.471698113207545,NA,NA
35601,Morgan County,AL,NA,17.1875,NA
35802,Madison County,AL,NA,NA,27.82874617737003
35952,Etowah County,AL,NA,NA,80.42813455657493
36049,Crenshaw County,AL,NA,93.48958333333334,NA
36301,Houston County,AL,20.754716981132077,NA,NA
36401,Conecuh County,AL,NA,NA,89.60244648318043
36467,Covington County,AL,NA,74.47916666666666,NA
36541,Mobile County,AL,NA,83.33333333333334,NA
85019,Maricopa County,AZ,NA,NA,86.23853211009175
85033,Maricopa County,AZ,47.924528301886795,NA,NA
85041,Maricopa County,AZ,9.433962264150944,NA,63.91437308868502
85118,Pinal County,AZ,NA,68.22916666666666,NA
85131,Pinal County,AZ,78.11320754716982,NA,NA
85139,Pinal County,AZ,NA,76.5625,NA
85210,Maricopa County,AZ,NA,NA,88.9908256880734
85248,Maricopa County,AZ,NA,34.63541666666667,NA
85249,Maricopa County,AZ,47.16981132075472,NA,NA
85259,Maricopa County,AZ,NA,78.38541666666666,NA
85308,Maricopa County,AZ,NA,NA,42.201834862385326
85375,Maricopa County,AZ,NA,NA,3.058103975535168
85387,Maricopa County,AZ,NA,NA,81.34556574923548
85643,Cochise County,AZ,NA,NA,91.43730886850153
85735,Pima County,AZ,NA,NA,92.66055045871559
85750,Pima County,AZ,NA,NA,44.342507645259936
85757,Pima County,AZ,30.566037735849054,NA,NA
86044,San Juan County,AZ,NA,100,NA
86045,Coconino County,AZ,NA,42.96875,NA
86315,Yavapai County,AZ,NA,73.4375,NA
86326,Yavapai County,AZ,27.547169811320753,NA,NA
86404,Mohave County,AZ,69.0566037735849,NA,NA
86409,Mohave County,AZ,NA,31.770833333333332,NA
71603,Jefferson County,AR,NA,NA,78.2874617737003
71822,Little River County,AR,NA,NA,91.13149847094802
71913,Garland County,AR,NA,29.427083333333332,NA
72081,White County,AR,NA,NA,93.27217125382263
72118,Pulaski County,AR,NA,NA,48.92966360856269
72687,Marion County,AR,NA,85.67708333333334,NA
72761,Benton County,AR,NA,70.05208333333334,NA
90024,Los Angeles County,CA,NA,NA,12.844036697247708
90033,Los Angeles County,CA,NA,NA,48.01223241590214
90035,Los Angeles County,CA,NA,40.625,NA
90210,Los Angeles County,CA,97.35849056603773,NA,NA
90221,Los Angeles County,CA,NA,NA,52.90519877675841
90242,Los Angeles County,CA,NA,60.677083333333336,NA
90712,Los Angeles County,CA,NA,53.125,NA
91007,Los Angeles County,CA,89.43396226415095,NA,NA
91304,Los Angeles County,CA,NA,NA,23.24159021406728
91325,Los Angeles County,CA,75.09433962264151,NA,NA
91367,Los Angeles County,CA,NA,52.083333333333336,NA
91790,Los Angeles County,CA,50.56603773584906,NA,NA
91911,San Diego County,CA,NA,21.875,NA
92084,San Diego County,CA,NA,66.66666666666666,NA
92111,San Diego County,CA,NA,54.427083333333336,NA
92211,Riverside County,CA,NA,62.760416666666664,0.3058103975535168
92260,Riverside County,CA,NA,69.53125,17.431192660550458
92270,Riverside County,CA,NA,7.8125,NA
92277,San Bernardino County,CA,69.81132075471697,NA,NA
