ZipCode,county,state,Youth,Adult,Retirement,Geriatric
35005,Jefferson County,AL,NA,95.58652729384437,NA,NA
35007,Shelby County,AL,NA,NA,19.426689908967653,NA
35010,Tallapoosa County,AL,NA,NA,NA,23.56199403493822
35016,Marshall County,AL,NA,NA,21.208599651365486,NA
35020,Jefferson County,AL,NA,NA,14.139066434243658,NA
35022,Jefferson County,AL,NA,20.692992644212158,32.074375363160954,NA
35023,Jefferson County,AL,NA,NA,5.36509781134999,NA
35034,Bibb County,AL,NA,91.8505613627565,NA,NA
35042,Bibb County,AL,NA,NA,NA,88.62377503195569
35043,Shelby County,AL,NA,67.15060007742935,NA,97.48615253515126
35044,Talladega County,AL,NA,77.39063104916764,NA,96.25053259480187
35045,Chilton County,AL,NA,86.64343786295005,53.10865775711795,NA
35046,Chilton County,AL,NA,84.72706155632986,77.00949060623668,NA
35055,Cullman County,AL,NA,35.44328300425861,NA,NA
35058,Cullman County,AL,76.0344827586207,NA,NA,NA
35062,Jefferson County,AL,NA,NA,71.85744722060818,NA
35068,Jefferson County,AL,NA,95.89624467673248,NA,NA
35072,Coosa County,AL,NA,NA,67.22835560720512,NA
35077,Cullman County,AL,NA,NA,NA,66.42522368981679
35080,Shelby County,AL,NA,NA,57.58280069726903,NA
35085,Chilton County,AL,NA,NA,78.8301375169475,NA
35094,Jefferson County,AL,NA,72.53193960511034,NA,NA
35115,Shelby County,AL,NA,NA,45.47743559945768,NA
35120,St. Clair County,AL,NA,NA,60.66240557815223,NA
35124,Shelby County,AL,NA,44.23151374370887,18.845632384272708,NA
35125,St. Clair County,AL,NA,NA,52.31454580670153,85.68385172560717
35126,Jefferson County,AL,NA,80.48780487804879,30.796048808832072,NA
35150,Talladega County,AL,NA,21.893147502903602,39.82180902576022,NA
35160,Talladega County,AL,NA,6.639566395663957,26.147588611272514,26.203664252236898
35173,Jefferson County,AL,45,30.178087495160668,22.138291690877395,NA
35180,Jefferson County,AL,NA,79.38443670150987,52.21770288591904,NA
35208,Jefferson County,AL,NA,NA,58.76428433081542,NA
35209,Jefferson County,AL,NA,NA,79.15940344760799,NA
35211,Jefferson County,AL,NA,6.349206349206349,NA,NA
35213,Jefferson County,AL,NA,93.37979094076655,47.60797985667248,NA
35215,Jefferson County,AL,NA,3.1358885017421603,NA,NA
35216,Jefferson County,AL,NA,NA,66.14371489444122,73.58329782701321
35218,Jefferson County,AL,NA,44.44444444444444,NA,NA
35221,Jefferson County,AL,NA,NA,91.86519465427078,NA
35222,Jefferson County,AL,NA,NA,80.03098973465039,NA
35223,Jefferson County,AL,NA,NA,87.00368003098974,NA
35235,Jefferson County,AL,NA,35.48199767711963,67.84815030021305,NA
35243,Jefferson County,AL,NA,67.51838946960899,NA,NA
35244,Jefferson County,AL,NA,28.397212543554005,22.699980631415844,NA
35401,Tuscaloosa County,AL,NA,11.59504452187379,8.057331009103235,NA
35405,Tuscaloosa County,AL,NA,16.337591947348045,25.644005423203563,NA
35442,Pickens County,AL,NA,NA,NA,93.77929271410311
35452,Tuscaloosa County,AL,NA,99.53542392566783,NA,NA
35453,Tuscaloosa County,AL,NA,67.44096012388695,51.5979081929111,NA
35473,Tuscaloosa County,AL,NA,NA,34.30176254115824,NA
35475,Tuscaloosa County,AL,NA,30.720092915214863,NA,NA
35476,Tuscaloosa County,AL,NA,NA,72.28355607205114,NA
35480,Tuscaloosa County,AL,NA,99.96128532713898,NA,NA
35481,Pickens County,AL,NA,NA,99.34146813867906,NA
35503,Walker County,AL,NA,NA,90.25760216928143,75.37281636131232
35504,Walker County,AL,NA,50.89043747580333,NA,49.637835534725184
35555,Fayette County,AL,NA,NA,NA,44.311887515977844
35563,Marion County,AL,NA,82.88811459543167,NA,NA
35570,Marion County,AL,NA,NA,33.527019174898314,97.27311461440136
35578,Walker County,AL,NA,NA,72.12860739879915,NA
35582,Franklin County,AL,NA,87.41773132017035,NA,NA
35594,Marion County,AL,NA,NA,87.44915746658918,NA
35601,Morgan County,AL,NA,5.381339527680991,NA,NA
35603,Morgan County,AL,NA,NA,49.97094712376525,NA
35611,Limestone County,AL,17.24137931034483,11.227255129694154,10.555878365291498,NA
35613,Limestone County,AL,NA,22.493224932249323,NA,63.65573072006817
35633,Lauderdale County,AL,NA,NA,74.60778617083092,NA
35640,Morgan County,AL,NA,84.5915602013163,53.612240945186905,NA
35646,Colbert County,AL,NA,NA,NA,99.14784831700044
35650,Lawrence County,AL,NA,35.90785907859079,60.12008522177029,NA
35653,Franklin County,AL,NA,86.85636856368563,NA,NA
35660,Colbert County,AL,NA,50.77429345722029,NA,NA
35661,Colbert County,AL,NA,NA,55.568467944993216,NA
35672,Lawrence County,AL,NA,60.646535036778936,NA,NA
35747,Marshall County,AL,NA,NA,72.12860739879915,NA
35748,Madison County,AL,NA,NA,56.09141971721867,NA
35749,Madison County,AL,NA,29.248935346496324,33.15901607592485,NA
35750,Madison County,AL,NA,NA,38.09800503583188,NA
35757,Madison County,AL,NA,54.16182733255904,61.72767770675963,NA
35759,Madison County,AL,NA,84.12698412698413,NA,NA
35761,Madison County,AL,NA,58.18815331010453,NA,NA
35763,Madison County,AL,NA,95.87688734030198,37.49757892698044,66.76608436301662
35768,Jackson County,AL,NA,39.79868370112273,NA,NA
35773,Madison County,AL,NA,47.406116918312044,NA,89.94461014060504
35801,Madison County,AL,NA,NA,50.300213054425726,NA
35802,Madison County,AL,72.75862068965517,NA,46.174704629091615,15.551768214742223
35803,Madison County,AL,NA,44.73480449090205,17.8772031764478,23.817639539838094
35805,Madison County,AL,NA,25.416182733255905,NA,NA
35811,Madison County,AL,NA,54.045683313976,23.571566918458263,NA
35816,Madison County,AL,NA,51.355013550135496,NA,NA
35824,Madison County,AL,NA,NA,97.9662986635677,NA
35903,Etowah County,AL,NA,34.76577622919086,47.375556846794495,60.92884533446954
35905,Etowah County,AL,NA,NA,99.16715088127059,NA
35906,Etowah County,AL,NA,NA,62.32810381561108,NA
35950,Marshall County,AL,NA,NA,38.272322293240364,57.39241585002131
35951,Marshall County,AL,NA,45.18002322880372,NA,NA
35956,Etowah County,AL,NA,61.440185830429726,66.64729808251016,NA
35967,DeKalb County,AL,NA,NA,52.585705984892506,NA
36022,Elmore County,AL,NA,NA,89.69591322874297,NA
36027,Barbour County,AL,NA,81.30081300813008,39.647491768351735,NA
36037,Butler County,AL,NA,37.04994192799071,NA,NA
36049,Crenshaw County,AL,NA,NA,89.38601588223901,NA
36064,Montgomery County,AL,63.275862068965516,NA,NA,NA
36066,Autauga County,AL,NA,65.29229578010066,NA,NA
36079,Pike County,AL,NA,NA,89.03738136742204,90.71154665530464
36081,Pike County,AL,NA,67.38288811459543,NA,NA
36092,Elmore County,AL,NA,NA,35.076505907418166,NA
36104,Montgomery County,AL,NA,36.29500580720093,61.47588611272516,NA
36109,Montgomery County,AL,NA,29.113433991482772,NA,NA
36116,Montgomery County,AL,NA,33.62369337979094,65.79508037962425,45.97358329782701
36117,Montgomery County,AL,NA,46.34146341463415,19.523532829750145,14.912654452492543
36201,Calhoun County,AL,NA,12.427409988385598,30.64110013558009,NA
36203,Calhoun County,AL,NA,NA,67.77067596358705,NA
36206,Calhoun County,AL,NA,NA,NA,77.11972731146145
36207,Calhoun County,AL,NA,37.12737127371274,NA,NA
36250,Calhoun County,AL,NA,NA,95.95196591129188,NA
36264,Cleburne County,AL,NA,NA,74.97578926980438,NA
36265,Calhoun County,AL,NA,65.19550909794812,NA,86.87686408180656
36271,Calhoun County,AL,NA,80.19744483159117,NA,NA
36272,Calhoun County,AL,NA,NA,57.15669184582607,NA
36277,Calhoun County,AL,NA,NA,88.16579508037962,NA
36301,Houston County,AL,NA,7.8397212543554,5.907418167731938,NA
36303,Houston County,AL,NA,10.37553232675184,75.46000387371683,78.1849169152109
36305,Houston County,AL,89.48275862068965,NA,46.40712763896959,NA
36310,Henry County,AL,NA,NA,80.03098973465039,NA
36322,Dale County,AL,NA,NA,76.8739105171412,NA
36344,Geneva County,AL,NA,NA,73.6587255471625,NA
36360,Dale County,AL,NA,NA,53.94150687584738,NA
36420,Covington County,AL,NA,NA,52.74065465814449,NA
36421,Covington County,AL,NA,NA,NA,63.57051555176822
36426,Escambia County,AL,NA,37.24351529229578,42.51404222351346,NA
36502,Escambia County,AL,NA,24.990321331784745,24.559364710439667,NA
36521,Mobile County,AL,NA,98.68370112272551,NA,NA
