ZipCode,county,state,Adult,Retirement,Geriatric
35020,Jefferson County,AL,44.957983193277315,NA,NA
35064,Jefferson County,AL,NA,69.2982456140351,NA
35118,Jefferson County,AL,NA,NA,94.94163424124513
35150,Talladega County,AL,42.226890756302524,NA,NA
35404,Tuscaloosa County,AL,NA,29.166666666666668,NA
35405,Tuscaloosa County,AL,NA,78.0701754385965,NA
35470,Sumter County,AL,NA,NA,99.61089494163424
35473,Tuscaloosa County,AL,NA,92.54385964912281,NA
35475,Tuscaloosa County,AL,52.10084033613446,NA,NA
35504,Walker County,AL,NA,NA,51.36186770428015
35603,Morgan County,AL,17.016806722689076,NA,NA
35613,Limestone County,AL,NA,42.32456140350877,NA
35622,Morgan County,AL,90.12605042016807,NA,NA
35648,Lauderdale County,AL,NA,95.39473684210526,NA
35750,Madison County,AL,NA,NA,71.59533073929961
36054,Elmore County,AL,NA,NA,80.93385214007782
36092,Elmore County,AL,46.42857142857143,NA,NA
36116,Montgomery County,AL,21.84873949579832,NA,NA
36278,Randolph County,AL,NA,84.4298245614035,NA
36305,Houston County,AL,60.50420168067227,NA,NA
36801,Lee County,AL,61.97478991596639,NA,NA
36867,Russell County,AL,NA,82.45614035087719,NA
85032,Maricopa County,AZ,14.915966386554622,NA,NA
85035,Maricopa County,AZ,16.80672268907563,NA,NA
85042,Maricopa County,AZ,NA,49.34210526315789,NA
85085,Maricopa County,AZ,67.01680672268907,NA,NA
85086,Maricopa County,AZ,NA,36.18421052631579,NA
85234,Maricopa County,AZ,66.17647058823529,NA,NA
85258,Maricopa County,AZ,67.22689075630252,NA,NA
85259,Maricopa County,AZ,79.2016806722689,NA,NA
85614,Pima County,AZ,NA,16.00877192982456,NA
85711,Pima County,AZ,8.61344537815126,NA,NA
85743,Pima County,AZ,43.0672268907563,NA,NA
86045,Coconino County,AZ,NA,34.42982456140351,NA
86406,Mohave County,AZ,50.63025210084034,NA,NA
86409,Mohave County,AZ,NA,23.026315789473685,NA
86440,Mohave County,AZ,NA,72.14912280701753,NA
72205,Pulaski County,AR,NA,88.37719298245614,17.898832684824903
72501,Independence County,AR,NA,NA,27.626459143968873
72762,Washington County,AR,48.529411764705884,NA,NA
72764,Washington County,AR,39.285714285714285,NA,NA
90015,Los Angeles County,CA,NA,72.58771929824562,NA
90043,Los Angeles County,CA,46.21848739495798,NA,NA
90044,Los Angeles County,CA,7.142857142857142,NA,NA
90046,Los Angeles County,CA,NA,18.421052631578945,NA
90067,Los Angeles County,CA,NA,NA,70.8171206225681
90069,Los Angeles County,CA,56.30252100840336,NA,NA
90270,Los Angeles County,CA,NA,87.93859649122807,NA
90274,Los Angeles County,CA,NA,93.85964912280701,NA
90505,Los Angeles County,CA,60.29411764705882,35.96491228070175,NA
90660,Los Angeles County,CA,NA,NA,22.17898832684825
90731,Los Angeles County,CA,32.142857142857146,NA,NA
90805,Los Angeles County,CA,NA,18.859649122807017,47.47081712062256
90806,Los Angeles County,CA,57.773109243697476,NA,NA
91010,Los Angeles County,CA,NA,90.13157894736842,NA
91202,Los Angeles County,CA,85.71428571428571,NA,NA
91344,Los Angeles County,CA,46.008403361344534,NA,NA
91387,Los Angeles County,CA,45.79831932773109,NA,70.42801556420234
91403,Los Angeles County,CA,NA,NA,36.57587548638132
91405,Los Angeles County,CA,44.747899159663866,NA,NA
91710,San Bernardino County,CA,37.60504201680672,NA,NA
91732,Los Angeles County,CA,NA,27.631578947368425,NA
91762,San Bernardino County,CA,35.50420168067227,NA,NA
91770,Los Angeles County,CA,51.68067226890757,39.69298245614035,NA
91786,San Bernardino County,CA,65.54621848739495,NA,NA
92028,San Diego County,CA,64.28571428571429,NA,NA
92069,San Diego County,CA,68.0672268907563,NA,NA
92130,San Diego County,CA,84.24369747899159,NA,NA
92225,Riverside County,CA,NA,NA,72.76264591439688
92253,Riverside County,CA,NA,NA,9.33852140077821
92324,San Bernardino County,CA,NA,NA,58.36575875486382
92335,San Bernardino County,CA,9.663865546218489,NA,NA
92630,Orange County,CA,NA,46.271929824561404,NA
92707,Orange County,CA,NA,NA,85.21400778210116
92802,Orange County,CA,NA,NA,40.07782101167315
93257,Tulare County,CA,NA,17.543859649122805,NA
93306,Kern County,CA,21.218487394957982,NA,NA
93307,Kern County,CA,13.23529411764706,NA,NA
93308,Kern County,CA,NA,NA,40.856031128404666
93612,Fresno County,CA,NA,80.92105263157895,NA
93923,Monterey County,CA,NA,51.09649122807017,NA
93940,Monterey County,CA,NA,24.12280701754386,NA
94010,San Mateo County,CA,NA,NA,78.98832684824903
94014,San Mateo County,CA,NA,23.464912280701753,NA
94063,San Mateo County,CA,NA,35.526315789473685,NA
94066,San Mateo County,CA,NA,37.06140350877193,NA
94110,San Francisco County,CA,NA,NA,74.31906614785993
94121,San Francisco County,CA,NA,NA,11.673151750972762
94132,San Francisco County,CA,NA,NA,38.91050583657588
94513,Contra Costa County,CA,NA,85.30701754385966,NA
94517,Contra Costa County,CA,92.64705882352942,NA,NA
94536,Alameda County,CA,32.983193277310924,17.105263157894736,NA
94546,Alameda County,CA,NA,54.60526315789473,NA
94597,Contra Costa County,CA,NA,66.66666666666666,NA
94612,Alameda County,CA,88.8655462184874,NA,NA
94707,Alameda County,CA,NA,92.98245614035088,NA
94945,Marin County,CA,NA,NA,59.143968871595334
95003,Santa Cruz County,CA,NA,NA,54.86381322957199
95120,Santa Clara County,CA,NA,NA,32.295719844357976
95126,Santa Clara County,CA,65.75630252100841,NA,NA
95337,San Joaquin County,CA,41.806722689075634,NA,NA
95361,Stanislaus County,CA,NA,NA,49.416342412451364
95404,Sonoma County,CA,NA,NA,21.78988326848249
95531,Del Norte County,CA,NA,44.73684210526316,NA
95603,Placer County,CA,NA,71.49122807017544,NA
95610,Sacramento County,CA,46.63865546218487,NA,NA
