ZipCode,county,state,Adult,Retirement,Geriatric
35223,Jefferson County,AL,NA,80.93385214007782,NA
35234,Jefferson County,AL,95.05494505494505,NA,NA
35242,Shelby County,AL,NA,NA,34.519572953736656
35244,Jefferson County,AL,NA,NA,58.362989323843415
35405,Tuscaloosa County,AL,10.989010989010989,NA,NA
35549,Walker County,AL,93.95604395604396,NA,NA
35579,Walker County,AL,NA,96.88715953307393,NA
35592,Lamar County,AL,NA,88.32684824902724,NA
35802,Madison County,AL,NA,NA,19.9288256227758
36081,Pike County,AL,NA,NA,94.30604982206405
36207,Calhoun County,AL,64.28571428571429,NA,NA
36604,Mobile County,AL,NA,94.55252918287937,NA
36701,Dallas County,AL,35.16483516483517,NA,NA
36862,Chambers County,AL,NA,NA,92.17081850533808
85016,Maricopa County,AZ,NA,76.26459143968872,NA
85208,Maricopa County,AZ,NA,NA,25.26690391459075
85257,Maricopa County,AZ,NA,71.20622568093385,38.43416370106761
85304,Maricopa County,AZ,60.43956043956044,70.03891050583657,NA
85351,Maricopa County,AZ,NA,10.116731517509727,NA
85353,Maricopa County,AZ,NA,NA,75.44483985765125
85363,Maricopa County,AZ,NA,NA,81.49466192170819
85392,Maricopa County,AZ,NA,55.252918287937746,NA
85541,Gila County,AZ,NA,NA,26.334519572953734
85719,Pima County,AZ,NA,42.023346303501945,NA
85742,Pima County,AZ,NA,55.252918287937746,NA
86301,Yavapai County,AZ,NA,31.906614785992215,NA
86514,Apache County,AZ,96.7032967032967,NA,NA
71953,Polk County,AR,NA,57.58754863813229,NA
72150,Grant County,AR,NA,NA,88.96797153024912
72501,Independence County,AR,NA,NA,28.11387900355872
72576,Fulton County,AR,NA,NA,96.08540925266904
90003,Los Angeles County,CA,NA,42.80155642023346,NA
90004,Los Angeles County,CA,53.84615384615385,NA,NA
90006,Los Angeles County,CA,NA,64.59143968871595,NA
90014,Los Angeles County,CA,91.20879120879121,NA,NA
90065,Los Angeles County,CA,NA,NA,54.804270462633454
90254,Los Angeles County,CA,NA,NA,88.25622775800713
90274,Los Angeles County,CA,NA,NA,41.637010676156585
90640,Los Angeles County,CA,72.52747252747253,NA,NA
90805,Los Angeles County,CA,NA,NA,91.81494661921708
91201,Los Angeles County,CA,NA,NA,61.92170818505338
91206,Los Angeles County,CA,NA,NA,40.569395017793596
91208,Los Angeles County,CA,NA,76.65369649805449,NA
91214,Los Angeles County,CA,NA,NA,46.263345195729535
91342,Los Angeles County,CA,28.57142857142857,NA,NA
91361,Ventura County,CA,92.85714285714286,NA,NA
91601,Los Angeles County,CA,NA,70.8171206225681,NA
91605,Los Angeles County,CA,NA,NA,55.871886120996436
91702,Los Angeles County,CA,NA,79.76653696498055,NA
91710,San Bernardino County,CA,43.40659340659341,NA,NA
91732,Los Angeles County,CA,48.9010989010989,NA,NA
91741,Los Angeles County,CA,NA,84.43579766536965,NA
91744,Los Angeles County,CA,25.82417582417583,NA,NA
91763,San Bernardino County,CA,NA,77.82101167315176,NA
91765,Los Angeles County,CA,NA,59.92217898832685,NA
91766,Los Angeles County,CA,NA,50.97276264591439,NA
91770,Los Angeles County,CA,NA,47.85992217898833,14.94661921708185
91775,Los Angeles County,CA,NA,NA,76.15658362989323
91776,Los Angeles County,CA,NA,66.9260700389105,53.736654804270465
92007,San Diego County,CA,93.4065934065934,NA,NA
92021,San Diego County,CA,21.978021978021978,NA,NA
92082,San Diego County,CA,NA,NA,72.59786476868328
92277,San Bernardino County,CA,NA,66.14785992217898,NA
92308,San Bernardino County,CA,NA,NA,39.8576512455516
92345,San Bernardino County,CA,NA,NA,24.199288256227756
92376,San Bernardino County,CA,12.637362637362637,NA,NA
92503,Riverside County,CA,NA,22.56809338521401,NA
92504,Riverside County,CA,NA,59.143968871595334,NA
92543,Riverside County,CA,NA,NA,50.88967971530249
92662,Orange County,CA,NA,NA,98.22064056939502
93265,Tulare County,CA,NA,NA,99.644128113879
93280,Kern County,CA,94.5054945054945,NA,NA
93306,Kern County,CA,29.120879120879124,NA,NA
93309,Kern County,CA,37.91208791208791,NA,NA
93314,Kern County,CA,85.16483516483517,NA,NA
93534,Los Angeles County,CA,42.30769230769231,NA,NA
93535,Los Angeles County,CA,14.285714285714285,NA,NA
93657,Fresno County,CA,NA,48.249027237354085,NA
93706,Fresno County,CA,30.76923076923077,NA,NA
93720,Fresno County,CA,NA,26.848249027237355,NA
93722,Fresno County,CA,13.736263736263737,NA,NA
93940,Monterey County,CA,NA,29.961089494163424,NA
94024,Santa Clara County,CA,NA,75.87548638132296,NA
94066,San Mateo County,CA,NA,11.284046692607005,NA
94070,San Mateo County,CA,NA,NA,57.29537366548043
94608,Alameda County,CA,NA,56.42023346303502,NA
95203,San Joaquin County,CA,NA,NA,95.01779359430606
95210,San Joaquin County,CA,46.7032967032967,NA,NA
95348,Merced County,CA,NA,NA,85.76512455516014
95457,Lake County,CA,NA,NA,88.61209964412812
95650,Placer County,CA,NA,84.8249027237354,NA
95661,Placer County,CA,NA,59.53307392996109,NA
95765,Placer County,CA,79.12087912087912,NA,NA
95817,Sacramento County,CA,84.06593406593407,NA,NA
95901,Yuba County,CA,31.318681318681318,NA,NA
96001,Shasta County,CA,NA,82.49027237354085,NA
96080,Tehama County,CA,51.64835164835166,NA,NA
80106,El Paso County,CO,NA,99.61089494163424,NA
80111,Arapahoe County,CO,75.27472527472527,NA,NA
80118,Douglas County,CO,NA,96.49805447470817,NA
80127,Jefferson County,CO,NA,54.474708171206224,NA
80751,Logan County,CO,NA,67.70428015564202,NA
81006,Pueblo County,CO,78.57142857142857,NA,NA
81501,Mesa County,CO,79.67032967032966,NA,NA
06096,Hartford County,CT,NA,85.60311284046692,NA
