fips,county,state,Under18,Over18
01001,Autauga County,AL,29.848024316109424,77.47336377473364
01003,Baldwin County,AL,73.00911854103343,61.3013698630137
01005,Barbour County,AL,37.99392097264438,47.792998477929984
01007,Bibb County,AL,51.97568389057751,53.31050228310502
01009,Blount County,AL,NA,72.45053272450532
01011,Bullock County,AL,83.40425531914893,66.66666666666666
01013,Butler County,AL,45.95744680851064,13.622526636225265
01015,Calhoun County,AL,18.90577507598784,62.93759512937596
01017,Chambers County,AL,76.10942249240121,84.05631659056316
01019,Cherokee County,AL,43.039513677811556,4.832572298325723
01021,Chilton County,AL,17.507598784194528,11.149162861491629
01025,Clarke County,AL,66.01823708206686,58.86605783866058
01027,Clay County,AL,NA,7.191780821917808
01029,Cleburne County,AL,NA,10.616438356164384
01031,Coffee County,AL,17.872340425531917,70.31963470319634
01033,Colbert County,AL,7.477203647416414,31.43074581430746
01035,Conecuh County,AL,94.16413373860182,8.447488584474886
01037,Coosa County,AL,NA,46.53729071537291
01039,Covington County,AL,13.009118541033434,87.1765601217656
01041,Crenshaw County,AL,NA,39.04109589041096
01043,Cullman County,AL,49.66565349544073,21.80365296803653
01045,Dale County,AL,14.103343465045592,54.18569254185692
01047,Dallas County,AL,NA,3.1963470319634704
01049,DeKalb County,AL,66.74772036474164,63.43226788432268
01051,Elmore County,AL,3.525835866261398,82.99086757990868
01053,Escambia County,AL,78.2370820668693,91.55251141552512
01055,Etowah County,AL,39.27051671732523,42.54185692541857
01057,Fayette County,AL,NA,83.37138508371386
01059,Franklin County,AL,64.80243161094225,61.5296803652968
01061,Geneva County,AL,NA,22.26027397260274
01063,Greene County,AL,46.74772036474164,0.532724505327245
01065,Hale County,AL,NA,50.6468797564688
01067,Henry County,AL,58.237082066869306,40.52511415525114
01069,Houston County,AL,62.5531914893617,19.17808219178082
01071,Jackson County,AL,NA,78.2724505327245
01073,Jefferson County,AL,27.41641337386018,51.0654490106545
01075,Lamar County,AL,NA,75.4185692541857
01077,Lauderdale County,AL,54.46808510638298,33.371385083713854
01079,Lawrence County,AL,86.74772036474164,90.37290715372907
01081,Lee County,AL,36.41337386018237,35.84474885844749
01083,Limestone County,AL,74.58966565349544,86.41552511415526
01085,Lowndes County,AL,86.26139817629179,NA
01087,Macon County,AL,NA,4.794520547945205
01089,Madison County,AL,58.60182370820669,93.72146118721462
01091,Marengo County,AL,NA,65.79147640791476
01093,Marion County,AL,NA,85.38812785388129
01095,Marshall County,AL,73.73860182370821,82.11567732115678
01097,Mobile County,AL,15.866261398176293,13.08980213089802
01099,Monroe County,AL,NA,40.144596651445966
01101,Montgomery County,AL,46.808510638297875,44.90106544901065
01103,Morgan County,AL,76.23100303951368,59.627092846270926
01105,Perry County,AL,66.8693009118541,26.445966514459666
01107,Pickens County,AL,40.182370820668694,89.64992389649925
01109,Pike County,AL,NA,34.32267884322679
01111,Randolph County,AL,57.56838905775076,56.3165905631659
01113,Russell County,AL,9.483282674772036,34.855403348554034
01115,St. Clair County,AL,38.48024316109422,48.55403348554033
01117,Shelby County,AL,17.56838905775076,55.669710806697104
01119,Sumter County,AL,52.401215805471125,53.84322678843226
01121,Talladega County,AL,11.793313069908814,15.144596651445966
01123,Tallapoosa County,AL,52.70516717325228,22.031963470319635
01125,Tuscaloosa County,AL,59.027355623100306,78.72907153729072
01127,Walker County,AL,59.08814589665653,47.67884322678843
01131,Wilcox County,AL,NA,5.365296803652968
01133,Winston County,AL,15.80547112462006,38.88888888888889
02020,Anchorage Municipality,AK,26.990881458966566,31.81126331811263
02050,Bethel Census Area,AK,NA,40.220700152207
02070,Dillingham Census Area,AK,88.8145896656535,79.1476407914764
02090,Fairbanks North Star Borough,AK,6.018237082066869,54.49010654490106
02110,Juneau City and Borough,AK,85.77507598784194,5.403348554033485
02122,Kenai Peninsula Borough,AK,61.33738601823708,71.61339421613394
02130,Ketchikan Gateway Borough,AK,78.78419452887539,46.38508371385084
02150,Kodiak Island Borough,AK,NA,38.31811263318113
02170,Matanuska-Susitna Borough,AK,46.0790273556231,34.208523592085236
02220,Sitka City and Borough,AK,60.24316109422493,85.92085235920852
02240,Southeast Fairbanks Census Area,AK,NA,95.81430745814308
02261,Valdez-Cordova Census Area,AK,NA,95.92846270928462
04001,Apache County,AZ,0.182370820668693,2.207001522070015
04003,Cochise County,AZ,61.82370820668693,75.38051750380518
04005,Coconino County,AZ,26.13981762917933,26.36986301369863
04007,Gila County,AZ,NA,13.660578386605785
04009,Graham County,AZ,14.042553191489363,77.3972602739726
04012,La Paz County,AZ,NA,53.12024353120244
04013,Maricopa County,AZ,17.264437689969604,13.584474885844749
04015,Mohave County,AZ,33.191489361702125,40.82952815829528
04017,Navajo County,AZ,15.075987841945288,30.669710806697108
04019,Pima County,AZ,19.574468085106382,16.400304414003045
04021,Pinal County,AZ,12.76595744680851,49.54337899543379
04023,Santa Cruz County,AZ,19.51367781155015,64.30745814307458
04025,Yavapai County,AZ,40.547112462006076,46.34703196347032
04027,Yuma County,AZ,18.84498480243161,36.87214611872146
05001,Arkansas County,AR,NA,18.41704718417047
05003,Ashley County,AR,NA,89.00304414003044
05005,Baxter County,AR,NA,51.48401826484018
05007,Benton County,AR,NA,13.39421613394216
05009,Boone County,AR,NA,63.926940639269404
05011,Bradley County,AR,NA,40.98173515981735
05015,Carroll County,AR,NA,21.65144596651446
05017,Chicot County,AR,NA,88.50837138508372
05019,Clark County,AR,NA,48.17351598173516
05021,Clay County,AR,NA,66.17199391171994
05023,Cleburne County,AR,NA,87.70928462709284
05025,Cleveland County,AR,NA,41.47640791476408
05027,Columbia County,AR,NA,35.76864535768645
05029,Conway County,AR,NA,79.71841704718418
05031,Craighead County,AR,NA,71.38508371385083
05033,Crawford County,AR,NA,35.54033485540335
05035,Crittenden County,AR,NA,27.96803652968037
05037,Cross County,AR,NA,7.229832572298325
05039,Dallas County,AR,NA,62.78538812785388
05041,Desha County,AR,NA,96.04261796042618
05043,Drew County,AR,NA,71.19482496194824
05045,Faulkner County,AR,NA,37.29071537290715
05047,Franklin County,AR,NA,51.9406392694064
05049,Fulton County,AR,NA,27.663622526636228
05051,Garland County,AR,NA,15.182648401826485
05053,Grant County,AR,NA,55.36529680365297
05055,Greene County,AR,NA,76.10350076103501
05057,Hempstead County,AR,NA,31.27853881278539
05059,Hot Spring County,AR,NA,52.62557077625571
05061,Howard County,AR,NA,96.0806697108067
05063,Independence County,AR,NA,38.50837138508371
05067,Jackson County,AR,NA,59.1324200913242
05069,Jefferson County,AR,NA,88.62252663622526
05071,Johnson County,AR,NA,28.19634703196347
05075,Lawrence County,AR,NA,72.26027397260275
05077,Lee County,AR,NA,24.84779299847793
05079,Lincoln County,AR,NA,80.17503805175038
05081,Little River County,AR,NA,1.2937595129375952
05083,Logan County,AR,NA,89.84018264840182
05085,Lonoke County,AR,NA,19.7869101978691
05087,Madison County,AR,NA,33.143074581430746
05089,Marion County,AR,NA,30.63165905631659
05091,Miller County,AR,NA,89.23135464231355
05093,Mississippi County,AR,NA,40.71537290715373
05095,Monroe County,AR,NA,54.22374429223744
05099,Nevada County,AR,NA,71.27092846270928
05103,Ouachita County,AR,NA,18.645357686453575
05105,Perry County,AR,NA,98.21156773211568
05109,Pike County,AR,NA,11.87214611872146
05111,Poinsett County,AR,NA,49.42922374429224
05113,Polk County,AR,NA,45.243531202435314
05115,Pope County,AR,NA,60.80669710806698
05119,Pulaski County,AR,NA,62.823439878234396
05121,Randolph County,AR,NA,37.74733637747336
05123,St. Francis County,AR,NA,82.03957382039574
05125,Saline County,AR,NA,68.9117199391172
05127,Scott County,AR,NA,44.29223744292237
05129,Searcy County,AR,NA,31.05022831050228
05131,Sebastian County,AR,NA,52.8158295281583
05133,Sevier County,AR,NA,2.054794520547945
05135,Sharp County,AR,NA,49.923896499238964
05137,Stone County,AR,NA,80.40334855403349
05139,Union County,AR,NA,90.67732115677322
05141,Van Buren County,AR,NA,85.54033485540334
05143,Washington County,AR,NA,30.28919330289193
05145,White County,AR,NA,77.28310502283105
05149,Yell County,AR,NA,36.757990867579906
06001,Alameda County,CA,31.550151975683892,18.11263318112633
06005,Amador County,CA,NA,33.4855403348554
06007,Butte County,CA,22.492401215805472,69.1400304414003
06009,Calaveras County,CA,87.29483282674772,78.88127853881278
06011,Colusa County,CA,68.32826747720365,73.74429223744292
06013,Contra Costa County,CA,38.90577507598784,10.882800608828006
06015,Del Norte County,CA,54.22492401215806,29.71841704718417
06017,El Dorado County,CA,81.7629179331307,79.68036529680366
06019,Fresno County,CA,14.954407294832828,54.071537290715376
06021,Glenn County,CA,47.11246200607903,58.409436834094365
06023,Humboldt County,CA,60.9726443768997,35.15981735159817
06025,Imperial County,CA,57.38601823708207,15.068493150684931
06027,Inyo County,CA,NA,88.08980213089802
06029,Kern County,CA,26.382978723404253,20.319634703196346
06031,Kings County,CA,NA,38.62252663622527
06033,Lake County,CA,NA,62.86149162861492
06035,Lassen County,CA,86.50455927051671,55.28919330289194
06037,Los Angeles County,CA,8.753799392097264,11.225266362252663
06039,Madera County,CA,9.908814589665653,51.82648401826484
06041,Marin County,CA,56.109422492401215,64.49771689497716
06043,Mariposa County,CA,NA,69.558599695586
06045,Mendocino County,CA,94.8936170212766,70.24353120243532
06047,Merced County,CA,5.106382978723404,58.0289193302892
06049,Modoc County,CA,99.14893617021276,98.51598173515981
06051,Mono County,CA,NA,4.71841704718417
06053,Monterey County,CA,38.66261398176292,52.054794520547944
06055,Napa County,CA,NA,52.35920852359208
06057,Nevada County,CA,73.73860182370821,82.80060882800609
06059,Orange County,CA,13.25227963525836,18.493150684931507
06061,Placer County,CA,27.537993920972642,30.098934550989348
06063,Plumas County,CA,98.96656534954408,82.76255707762557
06065,Riverside County,CA,12.401215805471125,41.0958904109589
06067,Sacramento County,CA,39.088145896656535,14.802130898021309
06069,San Benito County,CA,75.92705167173253,88.58447488584474
06071,San Bernardino County,CA,6.930091185410335,20.357686453576864
06073,San Diego County,CA,22.188449848024316,7.15372907153729
06075,San Francisco County,CA,75.62310030395136,27.24505327245053
06077,San Joaquin County,CA,7.598784194528875,13.28006088280061
06079,San Luis Obispo County,CA,48.57142857142857,65.94368340943684
06081,San Mateo County,CA,20.486322188449847,27.397260273972602
06083,Santa Barbara County,CA,17.142857142857142,24.08675799086758
06085,Santa Clara County,CA,24.98480243161094,19.254185692541856
06087,Santa Cruz County,CA,48.93617021276596,14.3455098934551
06089,Shasta County,CA,30.21276595744681,27.92998477929985
06093,Siskiyou County,CA,91.3677811550152,88.20395738203958
06095,Solano County,CA,43.10030395136778,3.158295281582953
06097,Sonoma County,CA,10.516717325227964,35.12176560121766
06099,Stanislaus County,CA,45.714285714285715,66.0958904109589
06101,Sutter County,CA,35.379939209726444,43.79756468797565
06103,Tehama County,CA,64.37689969604862,55.74581430745814
06105,Trinity County,CA,NA,84.81735159817352
06107,Tulare County,CA,3.951367781155015,60.12176560121766
06109,Tuolumne County,CA,78.72340425531915,72.03196347031964
06111,Ventura County,CA,25.167173252279635,32.26788432267884
06113,Yolo County,CA,93.43465045592706,19.406392694063925
06115,Yuba County,CA,28.267477203647417,50.57077625570776
08001,Adams County,CO,18.054711246200608,18.60730593607306
08003,Alamosa County,CO,NA,86.3013698630137
08005,Arapahoe County,CO,13.799392097264437,23.74429223744292
08007,Archuleta County,CO,NA,90.48706240487063
08013,Boulder County,CO,53.799392097264445,61.948249619482496
08014,Broomfield County,CO,81.51975683890578,48.66818873668189
08015,Chaffee County,CO,NA,70.16742770167428
08021,Conejos County,CO,99.08814589665653,NA
08027,Custer County,CO,NA,6.8112633181126325
08029,Delta County,CO,49.361702127659576,91.0958904109589
08031,Denver County,CO,5.47112462006079,23.363774733637747
08035,Douglas County,CO,32.21884498480243,33.94216133942161
08037,Eagle County,CO,NA,93.98782343987824
08039,Elbert County,CO,NA,28.9193302891933
08041,El Paso County,CO,19.39209726443769,47.1841704718417
08043,Fremont County,CO,60.48632218844985,36.71993911719939
08045,Garfield County,CO,35.440729483282674,57.8386605783866
08051,Gunnison County,CO,NA,76.48401826484019
08055,Huerfano County,CO,NA,80.82191780821918
08059,Jefferson County,CO,45.83586626139818,30.59360730593607
08063,Kit Carson County,CO,NA,12.595129375951295
08067,La Plata County,CO,85.04559270516717,51.86453576864536
08069,Larimer County,CO,76.83890577507599,86.26331811263319
08071,Las Animas County,CO,NA,44.48249619482496
08075,Logan County,CO,NA,25.91324200913242
08077,Mesa County,CO,18.480243161094226,76.14155251141553
08081,Moffat County,CO,47.90273556231003,86.5296803652968
08083,Montezuma County,CO,76.29179331306992,85.08371385083714
08085,Montrose County,CO,77.14285714285715,60.692541856925416
08087,Morgan County,CO,52.52279635258359,72.67884322678843
08089,Otero County,CO,91.91489361702128,39.95433789954338
08095,Phillips County,CO,NA,76.2937595129376
08099,Prowers County,CO,NA,77.20700152207002
