ZipCode,county,state,Adult,Retirement
35022,Jefferson County,AL,39.53488372093023,NA
35046,Chilton County,AL,NA,84.42367601246106
35128,St. Clair County,AL,NA,89.09657320872275
35179,Cullman County,AL,NA,79.12772585669782
35205,Jefferson County,AL,NA,95.95015576323988
35550,Walker County,AL,79.58656330749353,NA
35592,Lamar County,AL,93.7984496124031,NA
35611,Limestone County,AL,NA,25.233644859813083
35650,Lawrence County,AL,54.52196382428941,NA
35670,Morgan County,AL,NA,91.90031152647975
35952,Etowah County,AL,85.01291989664082,NA
35976,Marshall County,AL,NA,37.07165109034268
36271,Calhoun County,AL,88.37209302325581,NA
36301,Houston County,AL,NA,12.461059190031152
36350,Dale County,AL,90.43927648578811,NA
36544,Mobile County,AL,NA,86.6043613707165
36744,Hale County,AL,NA,96.88473520249221
99701,Fairbanks North Star Borough,AK,36.17571059431525,NA
85032,Maricopa County,AZ,13.695090439276486,NA
85033,Maricopa County,AZ,75.71059431524549,NA
85050,Maricopa County,AZ,54.00516795865633,NA
85209,Maricopa County,AZ,NA,25.54517133956386
85353,Maricopa County,AZ,33.33333333333333,NA
85629,Pima County,AZ,NA,58.56697819314641
86004,Coconino County,AZ,6.718346253229974,NA
86323,Yavapai County,AZ,NA,60.12461059190031
86326,Yavapai County,AZ,NA,22.741433021806852
86406,Mohave County,AZ,NA,89.7196261682243
86426,Mohave County,AZ,NA,79.43925233644859
71602,Jefferson County,AR,NA,70.7165109034268
71653,Chicot County,AR,NA,94.39252336448598
71913,Garland County,AR,38.24289405684754,NA
72401,Craighead County,AR,NA,9.657320872274143
72714,Benton County,AR,91.7312661498708,NA
90057,Los Angeles County,CA,NA,24.299065420560748
90062,Los Angeles County,CA,51.162790697674424,NA
90232,Los Angeles County,CA,NA,89.7196261682243
90272,Los Angeles County,CA,86.56330749354005,NA
90405,Los Angeles County,CA,83.72093023255815,NA
91016,Los Angeles County,CA,97.9328165374677,NA
91311,Los Angeles County,CA,NA,50.467289719626166
91354,Los Angeles County,CA,NA,93.14641744548287
91403,Los Angeles County,CA,NA,60.747663551401864
91932,San Diego County,CA,77.51937984496125,NA
92009,San Diego County,CA,NA,72.89719626168224
92037,San Diego County,CA,80.10335917312662,NA
92203,Riverside County,CA,42.63565891472868,NA
92240,Riverside County,CA,NA,39.25233644859813
92503,Riverside County,CA,17.571059431524546,NA
92505,Riverside County,CA,46.253229974160206,NA
92509,Riverside County,CA,22.22222222222222,NA
92592,Riverside County,CA,NA,29.906542056074763
92629,Orange County,CA,NA,43.30218068535825
92653,Orange County,CA,73.1266149870801,NA
92688,Orange County,CA,NA,70.40498442367601
92802,Orange County,CA,53.48837209302325,NA
92804,Orange County,CA,12.661498708010335,NA
92867,Orange County,CA,58.139534883720934,NA
92869,Orange County,CA,59.17312661498708,NA
92886,Orange County,CA,NA,14.953271028037381
93003,Ventura County,CA,NA,19.626168224299064
93036,Ventura County,CA,30.23255813953488,48.598130841121495
93063,Ventura County,CA,35.917312661498705,NA
93230,Kings County,CA,15.762273901808785,12.149532710280374
93306,Kern County,CA,68.47545219638242,NA
93312,Kern County,CA,68.73385012919897,86.29283489096574
93436,Santa Barbara County,CA,14.21188630490956,NA
93458,Santa Barbara County,CA,12.919896640826872,NA
93638,Madera County,CA,NA,47.0404984423676
93722,Fresno County,CA,8.785529715762273,NA
93923,Monterey County,CA,95.09043927648578,NA
93955,Monterey County,CA,39.79328165374677,NA
94063,San Mateo County,CA,42.377260981912144,NA
94502,Alameda County,CA,NA,85.35825545171339
94559,Napa County,CA,61.240310077519375,NA
94607,Alameda County,CA,NA,76.01246105919003
94925,Marin County,CA,94.05684754521964,NA
95123,Santa Clara County,CA,39.01808785529715,NA
95328,Stanislaus County,CA,93.54005167958657,NA
95330,San Joaquin County,CA,NA,78.50467289719626
95336,San Joaquin County,CA,29.198966408268735,NA
95422,Lake County,CA,58.91472868217055,NA
95467,Lake County,CA,NA,88.1619937694704
95630,Sacramento County,CA,58.139534883720934,NA
95682,El Dorado County,CA,57.105943152454785,NA
95687,Solano County,CA,NA,21.806853582554517
95901,Yuba County,CA,NA,49.84423676012461
95928,Butte County,CA,35.14211886304909,NA
95973,Butte County,CA,21.705426356589147,NA
95993,Sutter County,CA,NA,41.74454828660436
80003,Jefferson County,CO,45.47803617571059,NA
80022,Adams County,CO,14.728682170542637,NA
80023,Broomfield County,CO,93.28165374677002,NA
80111,Arapahoe County,CO,68.9922480620155,NA
80138,Douglas County,CO,52.19638242894057,NA
80202,Denver County,CO,51.162790697674424,NA
80211,Denver County,CO,67.70025839793283,NA
80216,Denver County,CO,NA,88.47352024922118
80303,Boulder County,CO,NA,66.97819314641744
80501,Boulder County,CO,NA,53.89408099688473
80521,Larimer County,CO,NA,60.43613707165109
80526,Larimer County,CO,37.46770025839793,NA
80601,Adams County,CO,NA,40.809968847352025
80917,El Paso County,CO,60.46511627906976,NA
80918,El Paso County,CO,NA,36.7601246105919
81147,Archuleta County,CO,NA,57.63239875389408
81321,Montezuma County,CO,65.89147286821705,NA
81323,Montezuma County,CO,NA,96.26168224299066
06029,Tolland County,CT,95.34883720930233,NA
06117,Hartford County,CT,NA,83.17757009345794
06118,Hartford County,CT,24.289405684754524,NA
06260,Windham County,CT,NA,45.794392523364486
06451,New Haven County,CT,24.031007751937985,NA
06461,New Haven County,CT,NA,73.5202492211838
06512,New Haven County,CT,NA,22.429906542056074
19958,Sussex County,DE,NA,3.7383177570093453
19968,Sussex County,DE,73.38501291989664,NA
32208,Duval County,FL,NA,4.984423676012461
32209,Duval County,FL,4.1343669250646,NA
32211,Duval County,FL,19.12144702842377,NA
32244,Duval County,FL,5.426356589147287,NA
32578,Okaloosa County,FL,52.71317829457365,NA
32641,Alachua County,FL,24.54780361757106,NA
32680,Dixie County,FL,78.29457364341084,NA
32926,Brevard County,FL,70.80103359173127,NA
32976,Brevard County,FL,NA,51.4018691588785
33193,Miami-Dade County,FL,83.4625322997416,NA
33413,Palm Beach County,FL,NA,98.13084112149532
33701,Pinellas County,FL,NA,62.30529595015576
33706,Pinellas County,FL,NA,66.97819314641744
33841,Polk County,FL,NA,90.34267912772586
34135,Lee County,FL,48.320413436692505,NA
34208,Manatee County,FL,57.88113695090439,NA
34613,Hernando County,FL,73.90180878552972,NA
34667,Pasco County,FL,NA,27.41433021806853
34772,Osceola County,FL,NA,64.17445482866043
34787,Orange County,FL,73.64341085271317,NA
34983,St. Lucie County,FL,20.930232558139537,NA
30016,Newton County,GA,NA,19.314641744548286
30043,Gwinnett County,GA,NA,11.526479750778815
30094,Rockdale County,GA,NA,33.95638629283489
30101,Cobb County,GA,NA,27.102803738317753
30188,Cherokee County,GA,20.671834625322997,NA
30281,Henry County,GA,24.8062015503876,NA
30338,DeKalb County,GA,NA,66.35514018691589
30458,Bulloch County,GA,NA,93.76947040498442
30542,Hall County,GA,NA,42.36760124610592
30549,Jackson County,GA,NA,52.336448598130836
30635,Elbert County,GA,63.30749354005169,NA
30736,Catoosa County,GA,10.852713178294573,NA
30747,Chattooga County,GA,48.837209302325576,NA
31092,Dooly County,GA,94.57364341085271,NA
31401,Chatham County,GA,64.59948320413437,NA
31768,Colquitt County,GA,NA,97.19626168224299
39823,Early County,GA,84.49612403100775,NA
83211,Power County,ID,NA,91.58878504672897
83301,Twin Falls County,ID,2.842377260981912,NA
83404,Bonneville County,ID,52.97157622739018,NA
83440,Madison County,ID,NA,69.78193146417445
60064,Lake County,IL,75.96899224806202,NA
60137,DuPage County,IL,65.37467700258398,NA
60181,DuPage County,IL,NA,33.33333333333333
60304,Cook County,IL,56.07235142118863,NA
60402,Cook County,IL,NA,8.722741433021806
60435,Will County,IL,9.819121447028424,NA
60443,Cook County,IL,NA,40.49844236760124
60473,Cook County,IL,NA,48.28660436137071
60517,DuPage County,IL,40.56847545219638,NA
60565,DuPage County,IL,30.749354005167955,NA
60616,Cook County,IL,NA,9.034267912772584
60620,Cook County,IL,78.0361757105943,NA
60647,Cook County,IL,NA,19.003115264797508
60655,Cook County,IL,28.165374677002585,NA
60954,Kankakee County,IL,77.2609819121447,NA
61102,Winnebago County,IL,NA,55.45171339563863
61301,LaSalle County,IL,NA,85.66978193146417
61401,Knox County,IL,NA,32.087227414330215
61455,McDonough County,IL,82.94573643410853,NA
61571,Tazewell County,IL,74.16020671834626,NA
61760,Woodford County,IL,99.2248062015504,NA
62010,Madison County,IL,78.55297157622739,NA
62052,Jersey County,IL,NA,93.45794392523365
62095,Madison County,IL,NA,77.88161993769471
62230,Clinton County,IL,NA,91.27725856697819
62711,Sangamon County,IL,89.14728682170544,NA
46064,Madison County,IN,NA,55.7632398753894
46120,Putnam County,IN,NA,90.34267912772586
46124,Johnson County,IN,80.62015503875969,NA
46131,Johnson County,IN,NA,28.971962616822427
46168,Hendricks County,IN,41.08527131782946,NA
46219,Marion County,IN,NA,17.445482866043612
46236,Marion County,IN,59.68992248062015,NA
46350,LaPorte County,IN,34.883720930232556,NA
46356,Lake County,IN,NA,36.13707165109034
46383,Porter County,IN,7.493540051679587,NA
46385,Porter County,IN,NA,23.67601246105919
46504,Marshall County,IN,99.74160206718346,NA
46507,Elkhart County,IN,NA,85.98130841121495
46807,Allen County,IN,NA,83.17757009345794
46808,Allen County,IN,32.81653746770026,NA
46816,Allen County,IN,28.68217054263566,NA
46835,Allen County,IN,64.08268733850129,NA
47025,Dearborn County,IN,NA,51.71339563862928
47112,Harrison County,IN,NA,80.99688473520249
47348,Blackford County,IN,63.82428940568475,NA
47630,Warrick County,IN,NA,23.364485981308412
47711,Vanderburgh County,IN,NA,28.34890965732087
47802,Vigo County,IN,71.31782945736434,NA
47803,Vigo County,IN,NA,54.20560747663551
47918,Fountain County,IN,84.75452196382429,NA
50036,Boone County,IA,64.85788113695091,NA
50501,Webster County,IA,72.60981912144703,NA
50801,Union County,IA,40.310077519379846,NA
52402,Linn County,IA,NA,75.70093457943925
52403,Linn County,IA,NA,72.27414330218068
52748,Scott County,IA,95.60723514211887,NA
66436,Jackson County,KS,91.98966408268734,NA
66503,Riley County,KS,94.05684754521964,NA
66617,Shawnee County,KS,NA,81.30841121495327
67042,Butler County,KS,59.9483204134367,61.059190031152646
67410,Dickinson County,KS,82.68733850129199,NA
67502,Reno County,KS,92.50645994832041,NA
67701,Thomas County,KS,75.1937984496124,NA
67846,Finney County,KS,21.188630490956072,NA
67901,Seward County,KS,74.67700258397933,NA
40023,Jefferson County,KY,96.64082687338501,NA
40108,Meade County,KY,87.59689922480621,NA
40208,Jefferson County,KY,NA,97.81931464174455
40210,Jefferson County,KY,NA,55.140186915887845
40211,Jefferson County,KY,NA,39.56386292834891
40229,Jefferson County,KY,11.369509043927648,NA
40245,Jefferson County,KY,47.803617571059434,NA
40336,Estill County,KY,NA,50.155763239875384
40391,Clark County,KY,8.527131782945736,NA
40475,Madison County,KY,8.010335917312661,NA
40906,Knox County,KY,NA,74.45482866043614
40962,Clay County,KY,16.27906976744186,NA
41092,Boone County,KY,98.96640826873386,NA
41230,Lawrence County,KY,NA,44.54828660436137
42001,McCracken County,KY,28.940568475452196,NA
42003,McCracken County,KY,44.44444444444444,68.84735202492212
42066,Graves County,KY,21.705426356589147,NA
42240,Christian County,KY,6.2015503875969,NA
42431,Hopkins County,KY,54.263565891472865,NA
42633,Wayne County,KY,50.90439276485789,NA
42721,Grayson County,KY,88.11369509043928,NA
42748,Larue County,KY,81.65374677002583,NA
70056,Jefferson Parish,LA,4.3927648578811365,NA
70115,Orleans Parish,LA,16.5374677002584,NA
70123,Jefferson Parish,LA,NA,18.06853582554517
70301,Lafourche Parish,LA,NA,6.5420560747663545
70354,Lafourche Parish,LA,71.83462532299741,NA
70360,Terrebonne Parish,LA,NA,76.94704049844236
70443,Tangipahoa Parish,LA,23.772609819121445,NA
70520,Lafayette Parish,LA,NA,75.38940809968847
70812,East Baton Rouge Parish,LA,26.873385012919897,NA
71055,Webster Parish,LA,NA,37.38317757009346
71104,Caddo Parish,LA,43.15245478036176,NA
71334,Concordia Parish,LA,NA,92.5233644859813
20619,St. Mary's County,MD,84.23772609819122,NA
20774,Prince George's County,MD,83.97932816537468,NA
20814,Montgomery County,MD,77.77777777777779,NA
20871,Montgomery County,MD,85.78811369509044,NA
21152,Baltimore County,MD,NA,98.4423676012461
21227,Baltimore County,MD,NA,47.97507788161994
21228,Baltimore County,MD,NA,10.2803738317757
21793,Frederick County,MD,NA,99.06542056074767
21904,Cecil County,MD,92.24806201550388,NA
01201,Berkshire County,MA,0,NA
01505,Worcester County,MA,NA,94.70404984423676
01545,Worcester County,MA,14.987080103359174,NA
01608,Worcester County,MA,79.84496124031007,NA
01832,Essex County,MA,36.69250645994832,NA
01904,Essex County,MA,10.077519379844961,NA
01913,Essex County,MA,72.86821705426357,NA
01960,Essex County,MA,NA,0.6230529595015576
02066,Plymouth County,MA,NA,45.482866043613704
02118,Suffolk County,MA,1.2919896640826873,NA
02186,Norfolk County,MA,NA,26.479750778816197
02370,Plymouth County,MA,NA,26.168224299065418
02743,Bristol County,MA,54.78036175710594,NA
48079,St. Clair County,MI,NA,81.93146417445483
48091,Macomb County,MI,6.459948320413436,NA
48134,Wayne County,MI,26.356589147286826,NA
48180,Wayne County,MI,NA,38.31775700934579
48182,Monroe County,MI,59.43152454780362,NA
48186,Wayne County,MI,NA,9.968847352024921
48188,Wayne County,MI,NA,5.607476635514018
48203,Wayne County,MI,13.436692506459949,NA
48313,Macomb County,MI,25.064599483204137,NA
48315,Macomb County,MI,NA,17.75700934579439
48326,Oakland County,MI,NA,53.58255451713395
48451,Genesee County,MI,NA,73.20872274143302
48461,Lapeer County,MI,67.44186046511628,NA
48601,Saginaw County,MI,1.03359173126615,NA
48603,Saginaw County,MI,NA,7.476635514018691
48883,Isabella County,MI,NA,62.928348909657316
49002,Kalamazoo County,MI,34.366925064599485,NA
49017,Calhoun County,MI,NA,74.76635514018692
49236,Lenawee County,MI,93.02325581395348,NA
49341,Kent County,MI,27.648578811369507,NA
49408,Allegan County,MI,NA,59.19003115264797
49420,Oceana County,MI,NA,80.06230529595015
49431,Mason County,MI,34.10852713178294,NA
49442,Muskegon County,MI,66.66666666666666,NA
49546,Kent County,MI,38.50129198966408,NA
49801,Dickinson County,MI,62.532299741602074,NA
55033,Dakota County,MN,29.97416020671835,NA
55041,Wabasha County,MN,NA,63.55140186915887
55068,Dakota County,MN,NA,77.57009345794393
55082,Washington County,MN,34.62532299741602,NA
55126,Ramsey County,MN,NA,66.66666666666666
55306,Dakota County,MN,NA,68.53582554517133
55350,McLeod County,MN,27.39018087855297,NA
55362,Wright County,MN,NA,80.37383177570094
55407,Hennepin County,MN,5.943152454780361,NA
55411,Hennepin County,MN,1.8087855297157622,NA
55433,Anoka County,MN,36.434108527131784,NA
56345,Morrison County,MN,NA,39.875389408099686
56633,Hubbard County,MN,NA,71.33956386292834
39074,Scott County,MS,92.76485788113695,NA
39110,Madison County,MS,69.50904392764858,NA
39212,Hinds County,MS,19.896640826873384,NA
39301,Lauderdale County,MS,NA,46.728971962616825
39350,Neshoba County,MS,NA,95.6386292834891
39501,Harrison County,MS,NA,14.330218068535824
39531,Harrison County,MS,88.63049095607235,NA
39556,Hancock County,MS,62.01550387596899,NA
39560,Harrison County,MS,56.33074935400517,NA
39565,Jackson County,MS,61.75710594315246,NA
39574,Harrison County,MS,79.32816537467701,NA
39759,Oktibbeha County,MS,86.30490956072352,NA
63005,St. Louis County,MO,NA,72.58566978193146
63051,Jefferson County,MO,NA,64.797507788162
63130,St. Louis County,MO,NA,80.68535825545172
63139,St. Louis city,MO,NA,62.616822429906534
63304,St. Charles County,MO,29.457364341085274,NA
63366,St. Charles County,MO,NA,4.049844236760125
63401,Marion County,MO,47.02842377260982,NA
64012,Cass County,MO,NA,25.85669781931464
64052,Jackson County,MO,9.560723514211885,NA
64127,Jackson County,MO,5.684754521963824,NA
64129,Jackson County,MO,48.06201550387597,NA
64131,Jackson County,MO,NA,36.44859813084112
64133,Jackson County,MO,3.875968992248062,NA
64151,Platte County,MO,NA,14.018691588785046
64155,Clay County,MO,NA,23.05295950155763
64506,Buchanan County,MO,16.795865633074936,NA
64720,Bates County,MO,96.89922480620154,NA
64801,Jasper County,MO,12.144702842377262,NA
65203,Boone County,MO,NA,9.345794392523365
65781,Greene County,MO,100,NA
65803,Greene County,MO,9.30232558139535,NA
65807,Greene County,MO,NA,69.1588785046729
59602,Lewis and Clark County,MT,NA,33.64485981308411
59923,Lincoln County,MT,60.72351421188631,NA
89141,Clark County,NV,NA,74.14330218068535
89406,Churchill County,NV,NA,31.775700934579437
89506,Washoe County,NV,16.020671834625322,NA
03060,Hillsborough County,NH,47.286821705426355,NA
07002,Hudson County,NJ,67.18346253229974,NA
07036,Union County,NJ,9.043927648578812,NA
07103,Essex County,NJ,0.7751937984496124,NA
07463,Bergen County,NJ,98.19121447028424,NA
07628,Bergen County,NJ,NA,62.928348909657316
07670,Bergen County,NJ,NA,84.11214953271028
08080,Gloucester County,NJ,39.276485788113696,NA
08085,Gloucester County,NJ,22.48062015503876,NA
08096,Gloucester County,NJ,NA,92.83489096573209
08332,Cumberland County,NJ,NA,13.084112149532709
08611,Mercer County,NJ,4.909560723514212,NA
08723,Ocean County,NJ,NA,22.118380062305295
08861,Middlesex County,NJ,48.57881136950905,NA
87013,Sandoval County,NM,NA,98.75389408099689
87505,Santa Fe County,NM,4.651162790697675,NA
88203,Chaves County,NM,NA,15.57632398753894
88240,Lea County,NM,NA,15.887850467289718
10019,New York County,NY,61.49870801033591,NA
10036,New York County,NY,38.50129198966408,NA
10304,Richmond County,NY,NA,56.38629283489096
10454,Bronx County,NY,46.770025839793284,NA
10457,Bronx County,NY,NA,0.9345794392523363
10550,Westchester County,NY,NA,23.98753894080997
11030,Nassau County,NY,NA,87.85046728971963
11222,Kings County,NY,NA,85.04672897196261
11507,Nassau County,NY,NA,97.50778816199377
11725,Suffolk County,NY,NA,87.53894080996885
11727,Suffolk County,NY,NA,33.021806853582554
11779,Suffolk County,NY,40.82687338501292,NA
11967,Suffolk County,NY,31.52454780361757,NA
12020,Saratoga County,NY,17.31266149870801,NA
12118,Saratoga County,NY,58.656330749354005,NA
12302,Schenectady County,NY,NA,24.610591900311526
12306,Schenectady County,NY,32.299741602067186,NA
12701,Sullivan County,NY,43.41085271317829,NA
13045,Cortland County,NY,NA,8.09968847352025
13126,Oswego County,NY,3.10077519379845,NA
13204,Onondaga County,NY,11.11111111111111,NA
13209,Onondaga County,NY,85.52971576227391,NA
13365,Herkimer County,NY,35.14211886304909,NA
13669,St. Lawrence County,NY,69.76744186046511,NA
13676,St. Lawrence County,NY,32.041343669250644,NA
13697,St. Lawrence County,NY,97.67441860465115,NA
13808,Otsego County,NY,95.60723514211887,NA
13833,Broome County,NY,98.44961240310077,NA
14043,Erie County,NY,NA,30.529595015576323
14052,Erie County,NY,NA,53.271028037383175
14131,Niagara County,NY,NA,69.47040498442367
14136,Chautauqua County,NY,NA,88.78504672897196
14215,Erie County,NY,NA,5.29595015576324
14482,Genesee County,NY,NA,89.40809968847351
14586,Monroe County,NY,32.55813953488372,NA
14621,Monroe County,NY,0.516795865633075,2.803738317757009
14733,Chautauqua County,NY,80.87855297157623,NA
14843,Steuben County,NY,18.863049095607234,NA
14873,Steuben County,NY,NA,99.37694704049844
14901,Chemung County,NY,29.71576227390181,NA
27030,Surry County,NC,NA,2.1806853582554515
27103,Forsyth County,NC,NA,40.18691588785047
27278,Orange County,NC,20.41343669250646,NA
27284,Forsyth County,NC,NA,1.8691588785046727
27306,Montgomery County,NC,70.54263565891473,NA
27517,Orange County,NC,NA,29.595015576323984
27530,Wayne County,NC,NA,19.937694704049843
27803,Nash County,NC,46.51162790697674,NA
27844,Halifax County,NC,96.12403100775194,NA
27910,Hertford County,NC,NA,50.77881619937694
28025,Cabarrus County,NC,10.335917312661499,NA
28138,Rowan County,NC,NA,78.81619937694704
28170,Anson County,NC,NA,84.73520249221184
28443,Pender County,NC,55.03875968992248,NA
28630,Caldwell County,NC,33.0749354005168,42.99065420560748
28645,Caldwell County,NC,3.359173126614987,1.2461059190031152
28655,Burke County,NC,5.167958656330749,NA
28782,Polk County,NC,NA,94.0809968847352
28786,Haywood County,NC,NA,52.64797507788161
28792,Henderson County,NC,31.007751937984494,NA
28806,Buncombe County,NC,40.05167958656331,NA
43072,Champaign County,OH,NA,92.21183800623052
43113,Pickaway County,OH,12.4031007751938,NA
43123,Franklin County,OH,6.976744186046512,NA
43205,Franklin County,OH,45.21963824289406,NA
43351,Wyandot County,OH,NA,49.22118380062305
43420,Sandusky County,OH,37.2093023255814,NA
43543,Williams County,OH,66.40826873385012,NA
43606,Lucas County,OH,14.470284237726098,NA
43615,Lucas County,OH,2.3255813953488373,27.725856697819314
44035,Lorain County,OH,0.2583979328165375,0
44052,Lorain County,OH,63.565891472868216,NA
44134,Cuyahoga County,OH,50.3875968992248,NA
44136,Cuyahoga County,OH,NA,5.919003115264798
44147,Cuyahoga County,OH,NA,31.15264797507788
44216,Summit County,OH,NA,58.25545171339564
44406,Mahoning County,OH,NA,28.66043613707165
44460,Columbiana County,OH,51.93798449612403,NA
44601,Stark County,OH,NA,6.230529595015576
44622,Tuscarawas County,OH,33.59173126614987,NA
44883,Seneca County,OH,NA,38.62928348909657
45005,Warren County,OH,NA,13.707165109034266
45011,Butler County,OH,NA,3.4267912772585665
45030,Hamilton County,OH,NA,51.09034267912772
45036,Warren County,OH,NA,26.791277258566975
45066,Warren County,OH,60.20671834625323,NA
45140,Clermont County,OH,NA,11.838006230529595
45212,Hamilton County,OH,NA,57.009345794392516
45305,Greene County,OH,71.0594315245478,NA
45373,Miami County,OH,NA,44.85981308411215
45414,Montgomery County,OH,28.42377260981912,NA
45439,Montgomery County,OH,49.6124031007752,NA
45503,Clark County,OH,7.235142118863049,NA
45505,Clark County,OH,NA,54.82866043613706
45601,Ross County,OH,NA,0.3115264797507788
45640,Jackson County,OH,NA,65.10903426791276
45814,Hancock County,OH,NA,99.68847352024922
45817,Allen County,OH,82.17054263565892,NA
73025,Oklahoma County,OK,NA,57.3208722741433
73112,Oklahoma County,OK,36.95090439276486,NA
73130,Oklahoma County,OK,NA,45.17133956386293
73135,Oklahoma County,OK,71.57622739018088,NA
73160,Cleveland County,OK,NA,4.361370716510903
73533,Stephens County,OK,53.229974160206716,NA
74006,Washington County,OK,NA,41.1214953271028
74012,Tulsa County,OK,NA,10.2803738317757
74053,Rogers County,OK,NA,96.57320872274143
74115,Tulsa County,OK,69.25064599483204,NA
74133,Tulsa County,OK,NA,20.24922118380062
74464,Cherokee County,OK,NA,16.822429906542055
74604,Kay County,OK,NA,82.2429906542056
74881,Lincoln County,OK,97.1576227390181,NA
97005,Washington County,OR,76.48578811369508,NA
97034,Clackamas County,OR,NA,57.943925233644855
97045,Clackamas County,OR,43.41085271317829,NA
97141,Tillamook County,OR,62.273901808785524,NA
97267,Clackamas County,OR,NA,71.02803738317756
97392,Marion County,OR,NA,86.91588785046729
97470,Douglas County,OR,NA,59.19003115264797
97471,Douglas County,OR,15.245478036175712,NA
97801,Umatilla County,OR,35.65891472868217,NA
15037,Allegheny County,PA,NA,65.73208722741433
15238,Allegheny County,PA,NA,48.90965732087228
15857,Elk County,PA,NA,7.78816199376947
15909,Cambria County,PA,NA,81.61993769470405
16505,Erie County,PA,67.95865633074936,NA
16901,Tioga County,PA,86.82170542635659,NA
16947,Bradford County,PA,91.47286821705426,NA
17011,Cumberland County,PA,NA,18.38006230529595
17015,Cumberland County,PA,NA,32.398753894081
17046,Lebanon County,PA,NA,24.922118380062305
17050,Cumberland County,PA,21.44702842377261,NA
17055,Cumberland County,PA,NA,49.532710280373834
17074,Perry County,PA,NA,82.86604361370716
17331,York County,PA,NA,1.557632398753894
17406,York County,PA,66.1498708010336,NA
17821,Montour County,PA,56.84754521963824,NA
18036,Lehigh County,PA,NA,35.82554517133956
18052,Lehigh County,PA,81.91214470284238,NA
18058,Monroe County,PA,74.4186046511628,NA
18069,Lehigh County,PA,NA,83.8006230529595
18102,Lehigh County,PA,NA,67.91277258566979
18360,Monroe County,PA,81.3953488372093,NA
18510,Lackawanna County,PA,NA,67.601246105919
18640,Luzerne County,PA,41.86046511627907,NA
18976,Bucks County,PA,49.09560723514212,NA
19018,Delaware County,PA,25.581395348837212,NA
19020,Bucks County,PA,7.751937984496124,NA
19030,Bucks County,PA,76.74418604651163,NA
19053,Bucks County,PA,NA,34.890965732087224
19073,Delaware County,PA,51.67958656330749,NA
19107,Philadelphia County,PA,44.18604651162791,NA
19111,Philadelphia County,PA,2.5839793281653747,NA
19116,Philadelphia County,PA,26.614987080103358,NA
19119,Philadelphia County,PA,NA,16.1993769470405
19120,Philadelphia County,PA,2.0671834625323,NA
19136,Philadelphia County,PA,NA,76.63551401869158
19140,Philadelphia County,PA,1.550387596899225,NA
19144,Philadelphia County,PA,NA,8.411214953271028
19154,Philadelphia County,PA,45.99483204134367,NA
19335,Chester County,PA,15.503875968992247,NA
19382,Chester County,PA,13.178294573643413,NA
19401,Montgomery County,PA,NA,56.69781931464174
19454,Montgomery County,PA,42.89405684754522,NA
19460,Chester County,PA,22.48062015503876,NA
19606,Berks County,PA,10.594315245478036,NA
02840,Newport County,RI,NA,30.8411214953271
02886,Kent County,RI,31.52454780361757,NA
02904,Providence County,RI,NA,17.133956386292834
29356,Spartanburg County,SC,NA,71.33956386292834
