ZipCode,county,state,Youth,Pediatric,Adult,Retirement,Geriatric
35004,St. Clair County,AL,NA,34.707903780068726,NA,NA,NA
35005,Jefferson County,AL,NA,NA,NA,NA,78.62815884476534
35007,Shelby County,AL,NA,NA,NA,24.56953642384106,NA
35034,Bibb County,AL,97.11538461538461,NA,NA,NA,NA
35045,Chilton County,AL,NA,NA,NA,54.90066225165563,63.10469314079422
35124,Shelby County,AL,NA,NA,47.814451382694024,NA,NA
35126,Jefferson County,AL,NA,NA,NA,77.41721854304636,55.09025270758122
35128,St. Clair County,AL,NA,NA,NA,NA,83.971119133574
35146,St. Clair County,AL,NA,NA,NA,53.973509933774835,NA
35150,Talladega County,AL,NA,NA,27.83229259589652,NA,NA
35160,Talladega County,AL,NA,NA,9.991079393398751,NA,NA
35180,Jefferson County,AL,NA,NA,NA,NA,69.67509025270758
35205,Jefferson County,AL,NA,NA,NA,93.31125827814569,NA
35206,Jefferson County,AL,NA,NA,NA,32.913907284768214,NA
35211,Jefferson County,AL,NA,NA,NA,82.71523178807946,NA
35215,Jefferson County,AL,3.076923076923077,5.154639175257731,NA,NA,24.47653429602888
35216,Jefferson County,AL,40.96153846153846,NA,NA,NA,NA
35217,Jefferson County,AL,27.307692307692307,NA,61.55218554861731,NA,NA
35218,Jefferson County,AL,NA,NA,NA,75.82781456953643,NA
35235,Jefferson County,AL,NA,NA,NA,NA,83.75451263537906
35243,Jefferson County,AL,74.23076923076923,NA,NA,NA,NA
35475,Tuscaloosa County,AL,NA,NA,NA,NA,85.41516245487365
35555,Fayette County,AL,NA,NA,95.1828724353256,NA,35.234657039711195
35570,Marion County,AL,NA,NA,NA,37.81456953642384,NA
35578,Walker County,AL,NA,65.29209621993127,NA,NA,NA
35601,Morgan County,AL,8.173076923076923,NA,NA,NA,NA
35613,Limestone County,AL,80.28846153846155,NA,NA,NA,NA
35648,Lauderdale County,AL,NA,NA,NA,NA,87.22021660649818
35674,Colbert County,AL,NA,NA,NA,NA,51.55234657039711
35750,Madison County,AL,74.42307692307692,NA,NA,NA,NA
35758,Madison County,AL,NA,93.47079037800687,26.137377341659235,NA,NA
35803,Madison County,AL,NA,NA,NA,70.13245033112582,NA
35811,Madison County,AL,43.75,NA,NA,28.807947019867548,NA
35904,Etowah County,AL,NA,NA,NA,NA,56.38989169675091
35905,Etowah County,AL,NA,NA,NA,NA,83.82671480144404
35953,St. Clair County,AL,NA,NA,NA,78.01324503311258,NA
35954,Etowah County,AL,NA,NA,42.72970561998216,NA,NA
35962,DeKalb County,AL,99.23076923076923,NA,NA,NA,NA
35968,DeKalb County,AL,NA,NA,NA,84.76821192052981,NA
