ZipCode,county,state,Adult,Retirement
35020,Jefferson County,AL,18.4115523465704,NA
35978,DeKalb County,AL,90.25270758122743,NA
36093,Elmore County,AL,74.0072202166065,NA
36203,Calhoun County,AL,NA,54.58333333333333
36301,Houston County,AL,NA,18.75
36507,Baldwin County,AL,43.32129963898917,NA
85035,Maricopa County,AZ,NA,86.25
85119,Pinal County,AZ,68.23104693140795,NA
85123,Pinal County,AZ,NA,95.41666666666667
85138,Pinal County,AZ,42.96028880866426,NA
85258,Maricopa County,AZ,NA,57.49999999999999
85335,Maricopa County,AZ,39.35018050541516,NA
85338,Maricopa County,AZ,38.98916967509025,47.5
86409,Mohave County,AZ,NA,4.583333333333333
86505,Apache County,AZ,NA,76.66666666666667
72113,Pulaski County,AR,NA,50.416666666666664
72401,Craighead County,AR,19.494584837545126,46.25
72404,Craighead County,AR,49.81949458483754,NA
72758,Benton County,AR,57.03971119133574,NA
72858,Pope County,AR,99.63898916967509,NA
90007,Los Angeles County,CA,31.046931407942242,NA
90045,Los Angeles County,CA,NA,58.75
91350,Los Angeles County,CA,NA,82.5
91768,Los Angeles County,CA,NA,90
91910,San Diego County,CA,NA,36.25
91977,San Diego County,CA,66.4259927797834,NA
92084,San Diego County,CA,55.5956678700361,NA
92253,Riverside County,CA,72.56317689530685,43.75
92260,Riverside County,CA,NA,15.416666666666668
92307,San Bernardino County,CA,NA,58.333333333333336
92373,San Bernardino County,CA,90.61371841155234,NA
92386,San Bernardino County,CA,NA,99.58333333333333
92675,Orange County,CA,NA,48.333333333333336
93030,Ventura County,CA,21.299638989169676,NA
93308,Kern County,CA,29.96389891696751,NA
94306,Santa Clara County,CA,NA,70.83333333333334
94523,Contra Costa County,CA,65.70397111913357,NA
94544,Alameda County,CA,22.743682310469314,NA
94553,Contra Costa County,CA,NA,89.16666666666667
94579,Alameda County,CA,80.86642599277978,NA
94580,Alameda County,CA,87.36462093862815,NA
94941,Marin County,CA,NA,78.75
95037,Santa Clara County,CA,77.9783393501805,NA
95076,Santa Cruz County,CA,24.548736462093864,NA
95327,Tuolumne County,CA,NA,60.416666666666664
95355,Stanislaus County,CA,NA,8.75
95451,Lake County,CA,75.09025270758123,NA
95762,El Dorado County,CA,50.90252707581227,NA
80014,Arapahoe County,CO,NA,32.083333333333336
80113,Arapahoe County,CO,86.64259927797833,NA
80219,Denver County,CO,7.2202166064981945,NA
80543,Weld County,CO,92.4187725631769,NA
80634,Weld County,CO,3.2490974729241873,NA
80751,Logan County,CO,NA,64.58333333333334
06111,Hartford County,CT,78.70036101083032,NA
06512,New Haven County,CT,NA,27.500000000000004
06516,New Haven County,CT,9.386281588447654,NA
06517,New Haven County,CT,50.18050541516246,NA
06705,New Haven County,CT,NA,34.583333333333336
06795,Litchfield County,CT,80.14440433212997,NA
19701,New Castle County,DE,58.48375451263538,NA
19901,Kent County,DE,22.021660649819495,NA
32204,Duval County,FL,62.454873646209386,NA
32216,Duval County,FL,23.465703971119133,NA
32218,Duval County,FL,25.63176895306859,NA
32259,St. Johns County,FL,45.84837545126354,NA
32310,Leon County,FL,NA,90.41666666666667
32327,Wakulla County,FL,NA,85.83333333333333
