ZipCode,county,state,Youth,Pediatric,Adult,Retirement,Geriatric
35004,St. Clair County,AL,NA,NA,63.417508417508415,NA,NA
35016,Marshall County,AL,61.03806228373703,NA,25.925925925925924,NA,NA
35020,Jefferson County,AL,NA,NA,2.744107744107744,NA,NA
35022,Jefferson County,AL,NA,NA,64.5959595959596,NA,18.681318681318682
35023,Jefferson County,AL,29.688581314878892,NA,36.21212121212121,NA,NA
35031,Blount County,AL,NA,NA,78.87205387205387,NA,NA
35040,Shelby County,AL,NA,NA,55.101010101010104,NA,NA
35042,Bibb County,AL,NA,NA,63.93939393939394,NA,NA
35043,Shelby County,AL,94.2560553633218,NA,60.2020202020202,NA,NA
35045,Chilton County,AL,NA,NA,35.235690235690235,NA,NA
35046,Chilton County,AL,NA,NA,79.4949494949495,NA,NA
35049,Blount County,AL,NA,NA,96.83501683501684,NA,NA
35051,Shelby County,AL,NA,NA,88.68686868686869,NA,NA
35062,Jefferson County,AL,NA,NA,65.57239057239057,NA,NA
35063,Walker County,AL,NA,NA,91.38047138047139,NA,NA
35064,Jefferson County,AL,63.59861591695501,NA,32.676767676767675,NA,NA
35072,Coosa County,AL,NA,NA,69.78114478114477,79.2948717948718,NA
35077,Cullman County,AL,89.06574394463668,NA,65.94276094276094,NA,NA
35080,Shelby County,AL,NA,NA,31.4983164983165,70.76923076923077,NA
35096,Talladega County,AL,NA,NA,74.54545454545455,NA,NA
35111,Tuscaloosa County,AL,57.43944636678201,NA,NA,NA,NA
35115,Shelby County,AL,85.46712802768167,NA,NA,NA,NA
35124,Shelby County,AL,NA,NA,37.592592592592595,68.14102564102565,NA
35126,Jefferson County,AL,NA,NA,58.38383838383838,NA,NA
35146,St. Clair County,AL,NA,NA,58.58585858585859,NA,NA
35150,Talladega County,AL,NA,NA,NA,55.64102564102564,NA
35151,Talladega County,AL,NA,NA,76.63299663299664,NA,NA
35160,Talladega County,AL,NA,NA,3.2996632996632997,NA,NA
35173,Jefferson County,AL,NA,NA,55.69023569023569,NA,NA
35180,Jefferson County,AL,NA,NA,43.11447811447812,NA,NA
35203,Jefferson County,AL,NA,NA,97.45791245791246,NA,NA
35204,Jefferson County,AL,NA,NA,86.36363636363636,NA,NA
35205,Jefferson County,AL,NA,NA,39.09090909090909,68.2051282051282,NA
35206,Jefferson County,AL,20.69204152249135,NA,88.13131313131312,NA,NA
35208,Jefferson County,AL,NA,NA,14.747474747474747,NA,NA
35210,Jefferson County,AL,NA,NA,44.023569023569024,NA,NA
35211,Jefferson County,AL,48.16608996539792,NA,62.55892255892256,21.923076923076923,NA
35213,Jefferson County,AL,NA,NA,72.91245791245792,NA,NA
35214,Jefferson County,AL,69.96539792387543,NA,NA,36.666666666666664,NA
35215,Jefferson County,AL,NA,NA,59.023569023569024,34.166666666666664,NA
35216,Jefferson County,AL,NA,NA,76.02693602693603,NA,NA
35217,Jefferson County,AL,NA,NA,54.91582491582492,NA,NA
35218,Jefferson County,AL,NA,NA,69.86531986531986,NA,NA
35222,Jefferson County,AL,NA,NA,92.64309764309763,NA,NA
35234,Jefferson County,AL,93.2871972318339,NA,NA,NA,NA
35235,Jefferson County,AL,NA,NA,61.043771043771045,NA,NA
35242,Shelby County,AL,NA,NA,38.063973063973066,NA,NA
35243,Jefferson County,AL,NA,NA,NA,54.166666666666664,NA
35244,Jefferson County,AL,NA,NA,21.71717171717172,NA,NA
35401,Tuscaloosa County,AL,27.47404844290657,NA,NA,NA,NA
35404,Tuscaloosa County,AL,NA,NA,19.915824915824913,NA,NA
35442,Pickens County,AL,NA,NA,67.55892255892256,NA,NA
35453,Tuscaloosa County,AL,NA,NA,27.77777777777778,66.02564102564102,NA
