ZipCode,county,state,Adult,Retirement,Geriatric
35016,Marshall County,AL,NA,40.62140391254315,NA
35033,Cullman County,AL,NA,98.50402761795168,NA
35043,Shelby County,AL,NA,89.41311852704258,NA
35077,Cullman County,AL,NA,69.96547756041427,NA
35120,St. Clair County,AL,NA,79.17146144994246,NA
35121,Blount County,AL,NA,52.93440736478712,NA
35126,Jefferson County,AL,NA,52.243958573072504,NA
35128,St. Clair County,AL,NA,NA,95.05703422053232
35204,Jefferson County,AL,74.19847328244275,NA,NA
35405,Tuscaloosa County,AL,11.145038167938932,NA,NA
35406,Tuscaloosa County,AL,NA,NA,100
35546,Fayette County,AL,NA,89.06789413118527,NA
35555,Fayette County,AL,NA,92.98043728423475,NA
35601,Morgan County,AL,18.473282442748094,NA,NA
35645,Lauderdale County,AL,NA,94.13118527042577,NA
35763,Madison County,AL,NA,NA,94.29657794676805
35803,Madison County,AL,NA,NA,33.840304182509506
35816,Madison County,AL,NA,NA,91.06463878326996
35903,Etowah County,AL,60.152671755725194,NA,NA
36110,Montgomery County,AL,NA,NA,79.27756653992395
36265,Calhoun County,AL,NA,87.11162255466053,NA
36303,Houston County,AL,NA,41.88722669735328,NA
36526,Baldwin County,AL,NA,NA,32.88973384030418
36542,Baldwin County,AL,NA,NA,68.44106463878326
36551,Baldwin County,AL,NA,90.21864211737629,NA
36606,Mobile County,AL,NA,80.55235903337169,NA
36786,Perry County,AL,98.1679389312977,NA,NA
36801,Lee County,AL,NA,65.59263521288837,NA
36830,Lee County,AL,NA,61.795166858457996,NA
36874,Lee County,AL,98.3206106870229,NA,NA
99508,Anchorage Municipality,AK,22.137404580152673,NA,NA
99517,Anchorage Municipality,AK,NA,80.7825086306099,NA
99669,Kenai Peninsula Borough,AK,NA,NA,87.83269961977186
99705,Fairbanks North Star Borough,AK,NA,91.71461449942463,NA
99709,Fairbanks North Star Borough,AK,NA,NA,84.4106463878327
99835,Sitka City and Borough,AK,86.41221374045801,NA,NA
85013,Maricopa County,AZ,NA,NA,75.2851711026616
85015,Maricopa County,AZ,23.053435114503817,NA,NA
85021,Maricopa County,AZ,NA,NA,49.42965779467681
85027,Maricopa County,AZ,45.80152671755725,NA,NA
85029,Maricopa County,AZ,26.717557251908396,NA,NA
85032,Maricopa County,AZ,NA,63.98158803222095,NA
85033,Maricopa County,AZ,NA,41.657077100115075,NA
85048,Maricopa County,AZ,81.37404580152672,NA,NA
85050,Maricopa County,AZ,NA,NA,69.77186311787072
85085,Maricopa County,AZ,71.90839694656489,NA,NA
85119,Pinal County,AZ,73.58778625954199,NA,NA
85122,Pinal County,AZ,NA,NA,30.60836501901141
85132,Pinal County,AZ,NA,70.42577675489068,NA
85205,Maricopa County,AZ,NA,26.237054085155354,NA
85209,Maricopa County,AZ,NA,25.891829689298046,NA
85233,Maricopa County,AZ,95.72519083969465,NA,NA
85248,Maricopa County,AZ,NA,31.30034522439586,NA
85249,Maricopa County,AZ,NA,74.10817031070196,NA
85253,Maricopa County,AZ,NA,77.79056386651322,NA
85254,Maricopa County,AZ,NA,NA,50
85266,Maricopa County,AZ,NA,94.01611047180668,NA
85286,Maricopa County,AZ,39.38931297709924,NA,NA
85310,Maricopa County,AZ,92.21374045801527,NA,NA
85326,Maricopa County,AZ,NA,44.41887226697353,NA
85331,Maricopa County,AZ,NA,53.855005753739924,65.39923954372624
85364,Yuma County,AZ,5.038167938931298,NA,NA
85375,Maricopa County,AZ,NA,23.590333716915996,NA
85379,Maricopa County,AZ,67.17557251908397,NA,NA
85383,Maricopa County,AZ,30.53435114503817,NA,NA
