fips,county,state,Over18
01001,Autauga County,AL,93.33333333333333
01003,Baldwin County,AL,46.98412698412698
01005,Barbour County,AL,96.45502645502646
01007,Bibb County,AL,77.98941798941799
01009,Blount County,AL,20.052910052910054
01011,Bullock County,AL,NA
01013,Butler County,AL,87.24867724867725
01015,Calhoun County,AL,9.25925925925926
01017,Chambers County,AL,72.53968253968253
01019,Cherokee County,AL,NA
01021,Chilton County,AL,66.71957671957672
01025,Clarke County,AL,75.82010582010582
01027,Clay County,AL,NA
01029,Cleburne County,AL,NA
01031,Coffee County,AL,95.5026455026455
01033,Colbert County,AL,1.746031746031746
01035,Conecuh County,AL,89.52380952380953
01037,Coosa County,AL,67.24867724867724
01039,Covington County,AL,67.3015873015873
01041,Crenshaw County,AL,97.51322751322752
01043,Cullman County,AL,18.571428571428573
01045,Dale County,AL,95.92592592592592
01047,Dallas County,AL,96.5079365079365
01049,DeKalb County,AL,17.037037037037038
01051,Elmore County,AL,95.60846560846561
01053,Escambia County,AL,94.97354497354497
01055,Etowah County,AL,14.074074074074074
01057,Fayette County,AL,42.645502645502646
01059,Franklin County,AL,61.7989417989418
01061,Geneva County,AL,88.62433862433863
01063,Greene County,AL,NA
01065,Hale County,AL,NA
01067,Henry County,AL,99.36507936507937
01069,Houston County,AL,99.52380952380952
01071,Jackson County,AL,28.624338624338623
01073,Jefferson County,AL,33.75661375661376
01075,Lamar County,AL,NA
01077,Lauderdale County,AL,71.9047619047619
01079,Lawrence County,AL,8.148148148148149
01081,Lee County,AL,41.95767195767196
01083,Limestone County,AL,20.529100529100532
01085,Lowndes County,AL,NA
01087,Macon County,AL,84.86772486772487
01089,Madison County,AL,64.76190476190476
01091,Marengo County,AL,NA
01093,Marion County,AL,NA
01095,Marshall County,AL,17.195767195767196
01097,Mobile County,AL,92.64550264550265
01099,Monroe County,AL,47.354497354497354
01101,Montgomery County,AL,91.95767195767196
01103,Morgan County,AL,42.91005291005291
01105,Perry County,AL,83.06878306878306
01107,Pickens County,AL,NA
01109,Pike County,AL,97.93650793650794
01111,Randolph County,AL,70.47619047619048
01113,Russell County,AL,NA
01115,St. Clair County,AL,5.82010582010582
01117,Shelby County,AL,76.13756613756614
01119,Sumter County,AL,NA
01121,Talladega County,AL,18.042328042328045
01123,Tallapoosa County,AL,54.81481481481482
01125,Tuscaloosa County,AL,23.65079365079365
01127,Walker County,AL,16.87830687830688
01129,Washington County,AL,NA
01131,Wilcox County,AL,97.4074074074074
01133,Winston County,AL,74.97354497354497
02020,Anchorage Municipality,AK,8.35978835978836
02050,Bethel Census Area,AK,NA
02070,Dillingham Census Area,AK,NA
02090,Fairbanks North Star Borough,AK,3.2275132275132274
02110,Juneau City and Borough,AK,29.470899470899468
02122,Kenai Peninsula Borough,AK,45.55555555555556
02130,Ketchikan Gateway Borough,AK,NA
02150,Kodiak Island Borough,AK,NA
02170,Matanuska-Susitna Borough,AK,24.33862433862434
02180,Nome Census Area,AK,99.84126984126985
02220,Sitka City and Borough,AK,42.53968253968254
02240,Southeast Fairbanks Census Area,AK,NA
02261,Valdez-Cordova Census Area,AK,NA
02270,Wade Hampton Census Area,AK,NA
04001,Apache County,AZ,10.211640211640212
04003,Cochise County,AZ,40.84656084656085
04005,Coconino County,AZ,28.465608465608465
04007,Gila County,AZ,30.582010582010582
04009,Graham County,AZ,80.15873015873017
04012,La Paz County,AZ,86.4021164021164
04013,Maricopa County,AZ,22.063492063492063
04015,Mohave County,AZ,32.804232804232804
04017,Navajo County,AZ,19.1005291005291
04019,Pima County,AZ,51.64021164021164
04021,Pinal County,AZ,42.75132275132275
04023,Santa Cruz County,AZ,21.21693121693122
04025,Yavapai County,AZ,87.14285714285714
04027,Yuma County,AZ,38.94179894179894
05001,Arkansas County,AR,NA
05003,Ashley County,AR,21.322751322751323
05005,Baxter County,AR,86.66666666666667
05007,Benton County,AR,94.70899470899471
05009,Boone County,AR,33.91534391534392
05011,Bradley County,AR,64.07407407407408
05015,Carroll County,AR,19.365079365079367
05017,Chicot County,AR,NA
05019,Clark County,AR,NA
05021,Clay County,AR,74.33862433862434
05023,Cleburne County,AR,59.682539682539684
05025,Cleveland County,AR,NA
05027,Columbia County,AR,NA
05029,Conway County,AR,90.42328042328043
05031,Craighead County,AR,91.85185185185185
05033,Crawford County,AR,37.56613756613756
05035,Crittenden County,AR,27.24867724867725
05037,Cross County,AR,98.94179894179894
05039,Dallas County,AR,NA
05041,Desha County,AR,NA
05043,Drew County,AR,NA
05045,Faulkner County,AR,96.82539682539682
05047,Franklin County,AR,NA
05049,Fulton County,AR,NA
05051,Garland County,AR,96.93121693121694
05053,Grant County,AR,NA
05055,Greene County,AR,57.936507936507944
05057,Hempstead County,AR,NA
05059,Hot Spring County,AR,82.8042328042328
05061,Howard County,AR,92.5925925925926
05063,Independence County,AR,30.37037037037037
05067,Jackson County,AR,49.682539682539684
05069,Jefferson County,AR,1.164021164021164
05071,Johnson County,AR,NA
05075,Lawrence County,AR,NA
05077,Lee County,AR,NA
05079,Lincoln County,AR,NA
05081,Little River County,AR,NA
05083,Logan County,AR,66.08465608465607
05085,Lonoke County,AR,62.645502645502646
05087,Madison County,AR,NA
05089,Marion County,AR,NA
05091,Miller County,AR,32.48677248677249
05093,Mississippi County,AR,84.60317460317461
05095,Monroe County,AR,NA
05097,Montgomery County,AR,NA
05099,Nevada County,AR,91.7989417989418
05103,Ouachita County,AR,NA
05105,Perry County,AR,NA
05107,Phillips County,AR,98.2010582010582
05109,Pike County,AR,99.1005291005291
05111,Poinsett County,AR,94.65608465608466
05113,Polk County,AR,24.444444444444443
05115,Pope County,AR,5.661375661375661
05119,Pulaski County,AR,48.67724867724868
05121,Randolph County,AR,NA
05123,St. Francis County,AR,93.54497354497354
05125,Saline County,AR,49.31216931216931
05127,Scott County,AR,58.25396825396826
05129,Searcy County,AR,NA
05131,Sebastian County,AR,0.5291005291005291
05133,Sevier County,AR,59.57671957671957
05135,Sharp County,AR,37.61904761904762
05137,Stone County,AR,NA
05139,Union County,AR,NA
05141,Van Buren County,AR,NA
05143,Washington County,AR,69.47089947089947
05145,White County,AR,11.058201058201059
05149,Yell County,AR,NA
