ZipCode,county,state,Adult,Retirement,Geriatric
35020,Jefferson County,AL,13.940256045519202,28.932584269662918,NA
35044,Talladega County,AL,81.79231863442389,NA,NA
35068,Jefferson County,AL,NA,86.51685393258427,NA
35111,Tuscaloosa County,AL,40.96728307254623,NA,NA
35115,Shelby County,AL,NA,58.70786516853933,NA
35126,Jefferson County,AL,47.08392603129445,NA,NA
35179,Cullman County,AL,80.2275960170697,NA,NA
35180,Jefferson County,AL,NA,63.62359550561798,NA
35234,Jefferson County,AL,NA,NA,84.23076923076923
35470,Sumter County,AL,NA,NA,97.3076923076923
35473,Tuscaloosa County,AL,NA,NA,89.61538461538461
35601,Morgan County,AL,13.513513513513514,NA,NA
35653,Franklin County,AL,95.30583214793741,NA,NA
35660,Colbert County,AL,NA,92.13483146067416,NA
35673,Morgan County,AL,NA,82.16292134831461,NA
35748,Madison County,AL,NA,87.21910112359551,NA
35763,Madison County,AL,NA,NA,96.15384615384616
35810,Madison County,AL,NA,21.910112359550563,NA
35952,Etowah County,AL,80.79658605974396,NA,NA
35976,Marshall County,AL,NA,34.12921348314607,NA
36054,Elmore County,AL,60.4551920341394,NA,NA
36105,Montgomery County,AL,59.17496443812234,NA,NA
36330,Coffee County,AL,41.10953058321479,NA,NA
36420,Covington County,AL,73.54196301564723,NA,NA
36502,Escambia County,AL,39.82930298719772,NA,NA
36830,Lee County,AL,61.16642958748222,NA,NA
99502,Anchorage Municipality,AK,46.372688477951634,NA,NA
99515,Anchorage Municipality,AK,NA,70.92696629213484,NA
99669,Kenai Peninsula Borough,AK,66.42958748221906,NA,NA
99705,Fairbanks North Star Borough,AK,NA,86.65730337078652,NA
99709,Fairbanks North Star Borough,AK,57.7524893314367,NA,NA
85003,Maricopa County,AZ,94.73684210526315,NA,NA
85086,Maricopa County,AZ,NA,68.67977528089888,73.84615384615385
85138,Pinal County,AZ,35.41963015647226,NA,NA
85283,Maricopa County,AZ,17.78093883357041,NA,NA
85306,Maricopa County,AZ,49.217638691322904,NA,NA
85310,Maricopa County,AZ,70.27027027027027,NA,NA
85344,La Paz County,AZ,NA,NA,70.38461538461539
85375,Maricopa County,AZ,NA,22.47191011235955,NA
85541,Gila County,AZ,NA,NA,24.615384615384617
85542,Gila County,AZ,83.3570412517781,NA,NA
85546,Graham County,AZ,NA,82.7247191011236,NA
85634,Pima County,AZ,NA,59.8314606741573,NA
85705,Pima County,AZ,NA,32.86516853932584,NA
85718,Pima County,AZ,NA,50.84269662921348,NA
85749,Pima County,AZ,NA,66.57303370786516,NA
85756,Pima County,AZ,NA,58.42696629213483,NA
85936,Apache County,AZ,NA,98.87640449438202,NA
86040,Coconino County,AZ,58.74822190611664,NA,NA
86314,Yavapai County,AZ,NA,22.752808988764045,NA
86325,Yavapai County,AZ,NA,82.58426966292134,NA
86409,Mohave County,AZ,NA,26.96629213483146,NA
72023,Lonoke County,AR,NA,58.14606741573034,NA
72032,Faulkner County,AR,77.24039829302988,NA,NA
72034,Faulkner County,AR,45.94594594594595,NA,13.846153846153847
72076,Pulaski County,AR,NA,34.41011235955056,NA
72143,White County,AR,33.14366998577525,NA,NA
72601,Boone County,AR,NA,NA,16.153846153846153
72715,Benton County,AR,NA,NA,81.53846153846153
72756,Benton County,AR,77.9516358463727,NA,NA
72823,Pope County,AR,89.33143669985776,NA,NA
72941,Sebastian County,AR,NA,92.2752808988764,NA
72958,Scott County,AR,NA,NA,92.3076923076923
90025,Los Angeles County,CA,NA,34.26966292134831,NA
90031,Los Angeles County,CA,63.30014224751067,NA,NA
90041,Los Angeles County,CA,NA,72.0505617977528,NA
90044,Los Angeles County,CA,NA,19.662921348314608,NA
90047,Los Angeles County,CA,15.078236130867708,NA,NA
90064,Los Angeles County,CA,24.466571834992887,NA,NA
90210,Los Angeles County,CA,NA,83.56741573033707,NA
90221,Los Angeles County,CA,NA,NA,78.07692307692308
90241,Los Angeles County,CA,NA,NA,55.00000000000001
90250,Los Angeles County,CA,21.763869132290186,NA,NA
90275,Los Angeles County,CA,52.34708392603129,NA,NA
90403,Los Angeles County,CA,NA,NA,27.307692307692307
90604,Los Angeles County,CA,51.635846372688476,NA,NA
90638,Los Angeles County,CA,NA,66.01123595505618,NA
90713,Los Angeles County,CA,NA,50.42134831460674,NA
90740,Orange County,CA,NA,40.30898876404495,NA
90803,Los Angeles County,CA,NA,83.42696629213484,NA
91011,Los Angeles County,CA,NA,NA,88.46153846153845
91344,Los Angeles County,CA,NA,55.33707865168539,NA
91362,Ventura County,CA,NA,69.3820224719101,NA
91367,Los Angeles County,CA,51.20910384068279,NA,NA
91765,Los Angeles County,CA,NA,50.56179775280899,NA
91942,San Diego County,CA,57.32574679943101,NA,NA
92056,San Diego County,CA,NA,31.03932584269663,NA
92065,San Diego County,CA,44.66571834992888,NA,NA
92122,San Diego County,CA,85.6330014224751,NA,NA
92123,San Diego County,CA,NA,NA,56.15384615384615
92131,San Diego County,CA,NA,NA,83.46153846153847
92154,San Diego County,CA,NA,NA,45
92211,Riverside County,CA,NA,66.99438202247191,0.38461538461538464
92225,Riverside County,CA,NA,NA,69.23076923076923
92231,Imperial County,CA,NA,15.308988764044946,NA
92234,Riverside County,CA,NA,2.6685393258426964,NA
92260,Riverside County,CA,NA,NA,10.76923076923077
92270,Riverside County,CA,76.67140825035563,NA,NA
92316,San Bernardino County,CA,NA,NA,95.76923076923077
92336,San Bernardino County,CA,10.099573257467995,NA,NA
92346,San Bernardino County,CA,NA,42.13483146067416,NA
92354,San Bernardino County,CA,NA,84.97191011235955,NA
92376,San Bernardino County,CA,NA,17.696629213483146,NA
92392,San Bernardino County,CA,NA,30.0561797752809,NA
92543,Riverside County,CA,NA,49.157303370786515,NA
92651,Orange County,CA,NA,43.258426966292134,NA
92656,Orange County,CA,NA,45.36516853932584,NA
92677,Orange County,CA,NA,10.393258426966293,NA
92679,Orange County,CA,NA,56.03932584269663,NA
93230,Kings County,CA,NA,16.713483146067414,NA
93257,Tulare County,CA,NA,22.331460674157302,NA
93286,Tulare County,CA,90.3271692745377,NA,NA
93291,Tulare County,CA,19.06116642958748,NA,NA
93312,Kern County,CA,64.58036984352773,NA,NA
93446,San Luis Obispo County,CA,23.897581792318633,NA,NA
93458,Santa Barbara County,CA,14.082503556187767,NA,NA
93536,Los Angeles County,CA,NA,47.89325842696629,NA
93555,Kern County,CA,22.04836415362731,NA,NA
93619,Fresno County,CA,NA,38.90449438202247,NA
93637,Madera County,CA,58.32147937411095,NA,NA
93702,Fresno County,CA,26.173541963015644,NA,NA
93705,Fresno County,CA,29.72972972972973,NA,NA
93906,Monterey County,CA,NA,40.02808988764045,NA
93940,Monterey County,CA,NA,73.31460674157303,NA
93955,Monterey County,CA,76.95590327169275,NA,NA
94014,San Mateo County,CA,40.6827880512091,NA,NA
94027,San Mateo County,CA,97.43954480796586,NA,NA
